Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
U9 EPP Blue,MA,20,20,18,1,0,0.9,92,13,72,0.7833333333333333,10,0.5,18,0.9,2025-06-15,0.22668015623776627,20,10,4.6,0.65,4.239761423845597,1.437634394834786,0.6521467302076014,0.7826503335887495,0.8198431785750928,0.7788653199043258,1.0,0.7788653199043258,9,Active,1
NEFC Metro West Boys 2016 MLS Futures Red,MA,30,30,26,2,0,0.8666666666666667,250,14,142,0.8716666666666667,0,0.0,9,0.3,2025-10-11,0.10064003214194508,30,0,8.333333333333334,0.4666666666666667,7.28192947020202,1.0856253435624739,0.9427388460105784,0.8196879546432594,0.6813306425890904,0.7612837456842219,1.0,0.7612837456842219,20,Active,2
Marlborough Rising Stars FC,MA,19,19,14,1,0,0.7368421052631579,53,21,32,0.575,13,0.6842105263157895,6,0.3157894736842105,2025-08-24,0.13313516489689647,19,13,2.789473684210526,1.105263157894737,2.952345180284323,1.787176409458297,0.4277669988247383,0.7407279983835874,0.7610987371779955,0.6903582417484624,0.9746794344808963,0.6728779806566172,121,Active,3
2016/U10 Boys: Boston Elite Navy,MA,30,34,25,5,0,0.8333333333333334,169,61,84,0.8333333333333334,0,0.0,14,0.4666666666666667,2025-10-12,-0.022825136826288908,30,0,5.633333333333334,2.033333333333333,5.150350522833598,2.322467448825632,0.7822488596123358,0.6671567283324739,0.6014670544843097,0.6507613502795477,1.0,0.6507613502795477,167,Active,4
Wellesley Premier Club 2016 Boys FC,MA,30,33,24,4,0,0.8,151,43,96,0.7933333333333333,0,0.0,9,0.3,2025-10-05,-0.047702377852783764,30,0,5.033333333333333,1.4333333333333333,4.676666312307282,1.8487832382993161,0.7192048420464696,0.73281803260976,0.5510288399671726,0.6210218789115495,1.0,0.6210218789115495,248,Active,5
Greater Lowell 2016 Boys Pre-MLS Academy,MA,18,18,15,3,0,0.8333333333333334,87,50,40,0.75,0,0.0,2,0.1111111111111111,2025-10-12,0.05542498504079225,18,0,4.833333333333333,2.7777777777777777,4.373589225679874,2.9712985790528466,0.673501959373488,0.5660563084596986,0.6769907778272803,0.6541061202630055,0.9486832980505138,0.620539551446134,254,Active,6
New England Force 2016 Boys Pre National White,MA,20,20,8,8,0,0.4,76,44,18,0.37666666666666665,0,0.0,5,0.25,2025-10-12,-0.024950311198724946,20,0,3.8,2.2,3.668332852417026,2.544777251977643,0.5548735269032096,0.6337103641104704,0.6212766721260272,0.6104827814783523,1.0,0.6104827814783523,308,Active,7
North Shore 2016B AT Sky Blue,MA,30,42,22,6,0,0.7333333333333333,172,68,80,0.7316666666666667,0,0.0,9,0.3,2025-10-13,-0.0920631219537568,30,0,5.733333333333333,2.2666666666666666,5.22929789125465,2.506677975141421,0.7917000168237687,0.6395455368244605,0.5387547770457509,0.6095019769570964,1.0,0.6095019769570964,313,Active,8
B2016 Navy,MA,30,109,22,8,0,0.7333333333333333,132,101,42,0.7316666666666666,0,0.0,3,0.1,2025-10-05,-0.02007338730550289,30,0,4.4,3.3666666666666667,4.176666312307282,3.3750990277730004,0.6418555997875538,0.49960820696514263,0.6225050505649056,0.6017957916894826,1.0,0.6017957916894826,349,Active,9
Boston Vigor FC Boys 2016 Milan,MA,30,44,21,9,0,0.7,113,60,49,0.6983333333333334,2,0.06666666666666667,14,0.4666666666666667,2025-10-05,-0.04844128641539048,30,2,3.7666666666666666,2.0,3.676666312307282,2.2961516593519478,0.5563430345668589,0.6710143259169061,0.5878983971482735,0.5982105103857172,1.0,0.5982105103857172,367,Active,10
