Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Bethesda Pulisic 2016,MD,30,48,18,12,0,0.6,141,93,46,0.595,11,0.36666666666666664,11,0.36666666666666664,2025-10-12,0.44782689744446647,30,11,4.7,3.1,4.41350841757044,3.1645727119835265,0.6797398986223776,0.5343997985044738,0.8954384780185194,0.7800910262364819,1.224744871391589,0.9554124836017326,10,Active,1
Bethesda McKennie 2016,MD,30,46,23,5,0,0.7666666666666667,138,52,84,0.7766666666666666,15,0.5,13,0.43333333333333335,2025-09-01,0.2971801451373398,30,15,4.6,1.7333333333333334,4.334561049149388,2.085625343562474,0.6673432883613991,0.7010201327800369,0.8132446208595572,0.7616194567440215,1.224744871391589,0.9327895235992885,18,Active,2
SAC Boys 2016 - Pre-MLS NEXT,MD,30,59,10,14,0,0.3333333333333333,52,68,-16,0.3333333333333333,30,1.0,5,0.16666666666666666,2025-10-12,0.24267874309354645,30,30,1.7333333333333334,2.2666666666666666,2.071403154412545,2.506677975141421,0.28493236895402857,0.6395455368244605,0.8197123918679344,0.6767230162764585,1.224744871391589,0.8288130435372393,93,Active,3
Southeast SC Thunder - 2016 Boys,MD,30,69,16,12,0,0.5333333333333333,133,95,32,0.54,14,0.4666666666666667,6,0.2,2025-10-11,0.13918753677282736,30,14,4.433333333333334,3.1666666666666665,4.202982101780966,3.217204290930895,0.6461643864925285,0.5257200017088294,0.722905477195567,0.6681201639576118,1.224744871391589,0.8182767442803925,112,Active,4
SEVERNA PARK 16B - GREEN,MD,30,48,15,11,0,0.5,126,81,41,0.5033333333333333,0,0.0,7,0.23333333333333334,2025-10-11,0.025044227396472375,30,0,4.2,2.7,4.018771575465177,2.848783238299316,0.6155401162362442,0.585863949104091,0.6511115118757594,0.6309477201935227,1.224744871391589,0.7727499844232323,187,Active,5
2016 Maryland United FC Red,MD,30,57,18,8,0,0.6,128,88,30,0.6033333333333333,0,0.0,4,0.13333333333333333,2025-10-04,0.013291108453730771,30,0,4.266666666666667,2.933333333333333,4.071403154412545,3.0329937646151053,0.6243960220430453,0.5559970967423802,0.6461839316942145,0.6237889827736138,1.224744871391589,0.7639823574825597,210,Active,6
Potomac Premier I 16B,MD,30,34,13,17,0,0.43333333333333335,128,112,-9,0.42666666666666664,15,0.5,12,0.4,2025-10-05,0.055822002120363805,30,15,4.266666666666667,3.7333333333333334,4.071403154412545,3.6645727119835265,0.6243960220430453,0.4518446529797545,0.6474337514999182,0.6037083859045109,1.224744871391589,0.739388749452644,281,Active,7
2016 Maryland United FC White,MD,30,57,15,15,0,0.5,158,96,25,0.5049999999999999,2,0.06666666666666667,7,0.23333333333333334,2025-09-28,-0.107666581587025,30,2,5.266666666666667,3.2,4.860876838623072,3.243520080404579,0.7449925808434802,0.5213739369715802,0.5401487371002858,0.5773625458231835,1.224744871391589,0.7071218169305352,410,Active,8
Coppermine SC 2016 Boys Pre-Academy I,MD,30,52,13,17,0,0.43333333333333335,99,121,-12,0.43333333333333335,0,0.0,7,0.23333333333333334,2025-10-11,-0.010694323742468405,30,0,3.3,4.033333333333333,3.308245259675703,3.9014148172466845,0.4908039730012743,0.4133757782253281,0.6416278266178342,0.5658126462160211,1.224744871391589,0.6929761366215754,470,Active,9
WCU 16B Blue,MD,30,47,24,4,0,0.8,171,62,74,0.7966666666666666,2,0.06666666666666667,7,0.23333333333333334,2025-10-11,-0.17939470386519454,30,2,5.7,2.066666666666667,5.202982101780966,2.3487832382993163,0.7885836174782521,0.6632765961587932,0.45557372505737037,0.5637162777618313,1.224744871391589,0.6904086201087594,480,Active,10
SAC Boys 2016 - Premier Blue,MD,30,58,15,10,0,0.5,108,71,33,0.49999999999999994,10,0.3333333333333333,7,0.23333333333333334,2025-10-12,-0.10053426824626496,30,10,3.6,2.3666666666666667,3.545087364938861,2.585625343562474,0.5330421202984004,0.6274103609772617,0.5477901811976836,0.5607646049737426,1.224744871391589,0.6867935739995216,499,Active,11
CCSC Boys 2016 Chaos,MD,30,51,15,13,0,0.5,102,85,5,0.4966666666666666,0,0.0,7,0.23333333333333334,2025-10-04,-0.10839892942125266,30,0,3.4,2.8333333333333335,3.3871926280967557,2.954046396194053,0.5048985826640426,0.568859879732039,0.5482707188997987,0.5437141238190956,1.224744871391589,0.6659110846506087,606,Active,12
Rangers Blue 2016,MD,28,28,19,6,0,0.6785714285714286,171,84,55,0.6633333333333333,0,0.0,13,0.4642857142857143,2025-10-04,-0.16850789492889168,28,0,6.107142857142857,3.0,5.49203666299102,3.0903823070937224,0.8209574803517593,0.5465985006044527,0.4746728165982451,0.5583148861501894,1.1832159566199232,0.6606070821113399,635,Active,13
2016 Cockeysville FC Mambas,MD,30,30,15,13,0,0.5,100,78,16,0.49,20,0.6666666666666666,6,0.2,2025-10-12,-0.1366049034279737,30,20,3.3333333333333335,2.6,3.334561049149387,2.7698358698782632,0.49550165842880106,0.5984863246318898,0.527081689281421,0.5350466101809908,1.224744871391589,0.6552955917746232,670,Active,14
Academia De Glen Burnie 2016 Gold,MD,26,26,21,5,0,0.8076923076923077,163,55,77,0.8283333333333334,0,0.0,18,0.6923076923076923,2025-10-04,-0.1329078912432696,26,0,6.269230769230769,2.1153846153846154,5.579803525519903,2.419228325158059,0.8299862736586898,0.652781991776969,0.45826615078650396,0.5715133435590342,1.140175425099138,0.6516254694422515,693,Active,15
Bethesda Donovan 2016,MD,29,29,7,22,0,0.2413793103448276,82,108,-28,0.24333333333333332,16,0.5517241379310345,10,0.3448275862068966,2025-10-05,-0.08399100033256568,29,16,2.8275862068965516,3.7241379310344827,2.938197834261533,3.655507109604703,0.4252955775247512,0.45333168567472637,0.596486153493511,0.5336171447360021,1.2041594578792296,0.6425601317203666,746,Active,16
2016 Boys Academy I,MD,30,45,11,11,0,0.36666666666666664,117,79,23,0.365,1,0.03333333333333333,13,0.43333333333333335,2025-10-12,-0.18076768704590035,30,1,3.9,2.6333333333333333,3.781929470202019,2.7961516593519478,0.5748118585408895,0.5942924770901905,0.4821324592769886,0.5231003426924092,1.224744871391589,0.6406644619357108,756,Active,17
BSC 2016 Raptors,MD,30,55,14,12,0,0.4666666666666667,117,117,3,0.4716666666666667,0,0.0,9,0.3,2025-10-12,-0.13312014013150175,30,0,3.9,3.9,3.781929470202019,3.7961516593519478,0.5748118585408895,0.4303715626154808,0.5202701234807969,0.5131987583197521,1.224744871391589,0.628537547256648,839,Active,18
HES Red Demons 2016B,MD,30,49,15,7,0,0.5,97,57,32,0.49666666666666665,0,0.0,11,0.36666666666666664,2025-10-12,-0.17950888629492587,30,0,3.2333333333333334,1.9,3.2556136807283345,2.217204290930895,0.48141430067637286,0.6824481223960763,0.46587496013499546,0.5122974606954871,1.224744871391589,0.627433687613732,846,Active,19
AC Salisbury 2016 Boys Blue,MD,30,49,21,7,0,0.7,188,90,83,0.6916666666666667,7,0.23333333333333334,22,0.7333333333333333,2025-10-12,-0.2956550095442055,30,7,6.266666666666667,3.0,5.650350522833598,3.085625343562474,0.8369781550298351,0.5473789125841155,0.3793991106401382,0.504510879906873,1.224744871391589,0.6178971127272006,901,Active,20
MSI 2016 Boys Gold,MD,27,27,13,14,0,0.48148148148148145,125,92,10,0.525,0,0.0,13,0.48148148148148145,2025-08-24,-0.18609868262376467,27,0,4.62962962962963,3.4074074074074074,4.334666281933621,3.407250373010686,0.66735997248339,0.4942868097328875,0.4939722613746337,0.5287127132680357,1.161895003862225,0.6143086600245719,923,Active,21
