Team,State,Games_Played,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Win_Pct_Norm,Goal_Diff_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Nationals Macomb 16 Boys Black - Premier,MI,30,23,7,0,0.7666666666666667,121,42,79,0.8,12,0.4,30,1.0,2025-10-12,0.5767141594436846,26,12,0.7666666666666667,0.666,0.5767141594436846,0.6325618289995442,1.224744871391589,0.774726855905275,27,Active,1
Chaos 16' Red,MI,30,28,2,0,0.9333333333333333,150,47,103,0.9,4,0.13333333333333333,30,1.0,2025-10-11,0.40164269469543307,22,4,0.9333333333333333,0.714,0.40164269469543307,0.5704522834839265,1.224744871391589,0.6986585085705598,128,Active,2
MFA GR 16B Elite,MI,25,22,3,0,0.88,177,42,135,1.0,17,0.68,25,1.0,2025-10-12,0.48303992513408195,22,17,0.88,0.778,0.48303992513408195,0.6214239550804492,1.118033988749895,0.6947731032033302,139,Active,3
Michigan Jaguars Novi 2016 Boys Black,MI,30,27,1,0,0.9,165,33,132,0.7,0,0.0,30,1.0,2025-09-28,0.38521008403361345,17,0,0.9,0.772,0.38521008403361345,0.5655260504201681,1.224744871391589,0.692625129890442,146,Active,4
Central 16 B Red,MI,30,12,18,0,0.4,141,119,22,0.3,4,0.13333333333333333,30,1.0,2025-10-12,0.6074458629605688,16,4,0.4,0.552,0.6074458629605688,0.5548675177763414,1.224744871391589,0.6795711466983554,186,Active,5
TKO Premier SC 2016B Blue,MI,30,23,1,0,0.7666666666666667,86,34,52,0.6,13,0.43333333333333335,30,1.0,2025-10-03,0.4548344580138058,24,13,0.7666666666666667,0.612,0.4548344580138058,0.5486340081416168,1.224744871391589,0.6719366877424564,227,Active,6
Vardar 2016 Pre MLS Next,MI,30,20,5,0,0.6666666666666666,142,63,79,0.6,8,0.26666666666666666,30,1.0,2025-10-05,0.4612109615306546,24,8,0.6666666666666666,0.666,0.4612109615306546,0.5432599102517262,1.224744871391589,0.6653547889134565,255,Active,7
SWM Kickers 2016B Blue,MI,30,15,12,0,0.5,59,39,20,0.6,0,0.0,30,1.0,2025-10-12,0.5324610422061697,23,0,0.5,0.548,0.5324610422061697,0.5290766253237018,1.224744871391589,0.6479838834383731,340,Active,8
Portage SC 2016B Green,MI,30,12,12,0,0.4,64,43,21,0.3,2,0.06666666666666667,30,1.0,2025-10-05,0.5520771756978653,20,2,0.4,0.55,0.5520771756978653,0.5212463054187192,1.224744871391589,0.6383937392933902,404,Active,9
Nationals Macomb 16 Boys Black - Classic,MI,30,18,7,0,0.6,82,51,31,0.5,8,0.26666666666666666,30,1.0,2025-10-12,0.473095880864423,20,8,0.6,0.57,0.473095880864423,0.5178575285186537,1.224744871391589,0.6342433521647447,429,Active,10
Michigan Jaguars Novi 2016 Boys Green-DA,MI,22,20,0,0,0.9090909090909091,102,29,73,1.0,14,0.6363636363636364,22,1.0,2025-09-28,0.4728961047176508,16,14,0.9090909090909091,0.654,0.4728961047176508,0.5963558446487722,1.0488088481701516,0.6254632865256167,480,Active,11
Nationals Oakland 16 Boys Black 1,MI,26,10,14,0,0.38461538461538464,81,68,13,0.1,2,0.07692307692307693,26,1.0,2025-10-12,0.6059874440659855,14,2,0.38461538461538464,0.534,0.6059874440659855,0.5473155433626682,1.140175425099138,0.6240357323168959,493,Active,12
Fury '16 Red,MI,30,17,9,0,0.5666666666666667,122,64,58,0.6,2,0.06666666666666667,30,1.0,2025-10-11,0.44732748094817054,28,2,0.5666666666666667,0.624,0.44732748094817054,0.5065298219022356,1.224744871391589,0.620369801581658,516,Active,13
Kingdom SC 2016B White,MI,30,19,5,0,0.6333333333333333,87,42,45,0.7,7,0.23333333333333334,30,1.0,2025-10-05,0.42319132641471474,20,7,0.6333333333333333,0.598,0.42319132641471474,0.5001814625154954,1.224744871391589,0.6125946809809973,580,Active,14
RASC 2016B Red,MI,29,15,11,0,0.5172413793103449,67,41,26,0.4,2,0.06896551724137931,29,1.0,2025-10-12,0.4870370370370369,18,2,0.5172413793103449,0.56,0.4870370370370369,0.5076704980842911,1.2041594578792296,0.6113162317544585,589,Active,15
Downriver 16B Rouge,MI,29,17,7,0,0.5862068965517241,106,62,44,0.4,0,0.0,29,1.0,2025-10-12,0.44398943278943287,25,0,0.5862068965517241,0.596,0.44398943278943287,0.5028350389840045,1.2041594578792296,0.6054935679456601,632,Active,16
Michigan Jaguars Novi 2016 Boys White,MI,29,19,9,0,0.6551724137931034,140,89,51,0.8,0,0.0,29,1.0,2025-10-12,0.4131107925890534,15,0,0.6551724137931034,0.61,0.4131107925890534,0.5009009583120527,1.2041594578792296,0.603164626412228,656,Active,17
Nationals Macomb 16 Boys Red,MI,30,12,12,0,0.4,108,71,37,0.0,13,0.43333333333333335,30,1.0,2025-10-12,0.48858547140280895,18,13,0.4,0.582,0.48858547140280895,0.48955128284168536,1.224744871391589,0.5995754229435273,686,Active,18
Central 16 B Black,MI,27,8,19,0,0.2962962962962963,71,148,-77,0.4,0,0.0,27,1.0,2025-10-12,0.6292063492063492,14,0,0.2962962962962963,0.354,0.6292063492063492,0.5075830687830688,1.161895003862225,0.5897582316641038,768,Active,19
MI Stars Oakland 16B White,MI,26,15,9,0,0.5769230769230769,166,104,62,0.6,0,0.0,26,1.0,2025-10-12,0.44992157013499273,12,0,0.5769230769230769,0.632,0.44992157013499273,0.511737557465611,1.140175425099138,0.5834705871225476,816,Active,20
Central 16 B White,MI,30,9,20,0,0.3,94,150,-56,0.5,0,0.0,30,1.0,2025-10-11,0.5537183930512266,20,0,0.3,0.396,0.5537183930512266,0.4714310358307359,1.224744871391589,0.5773827433485182,856,Active,21
