Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Nationals Macomb 16 Boys Black - Premier,MI,30,48,23,7,0,0.7666666666666667,121,42,72,0.7666666666666666,12,0.4,10,0.3333333333333333,2025-10-12,0.53933436653572,30,12,4.033333333333333,1.4,3.8871926280967557,1.8224674488256318,0.5930741971808283,0.7362155168951565,0.931125751689872,0.8245333938291202,1.224744871391589,1.009843045383316,3,Active,1
Vardar 2016 Pre MLS Next,MI,30,32,20,5,0,0.6666666666666666,142,63,65,0.6733333333333332,8,0.26666666666666666,10,0.3333333333333333,2025-10-05,0.035252442492574775,30,8,4.733333333333333,2.1,4.439824207044124,2.3750990277730004,0.6838174253182677,0.6593743253992184,0.6671649519132115,0.668937321291424,1.224744871391589,0.8192775535340991,110,Active,2
Williamston Boys U10 - White,MI,22,26,19,1,0,0.8636363636363636,82,21,58,0.7166666666666667,11,0.5,5,0.22727272727272727,2025-09-27,0.29030829234306926,22,11,3.727272727272727,0.9545454545454546,3.623777328922557,1.608458768512467,0.5470010129402829,0.7627978190210786,0.8311050000508787,0.7606227664227996,1.0488088481701516,0.7977478875438907,140,Active,3
MFA GR 16B Elite,MI,25,25,22,3,0,0.88,177,42,71,0.7483333333333333,17,0.68,7,0.28,2025-10-12,0.02763006757516793,25,17,7.08,1.68,6.173130905081113,2.098598880465879,0.8817676585301428,0.6992167601065649,0.6580671590427816,0.7110371791530106,1.118033988749895,0.794963733557914,145,Active,4
Nationals Macomb 16 Boys Red,MI,30,30,12,12,0,0.4,108,71,20,0.4016666666666666,13,0.43333333333333335,12,0.4,2025-10-12,0.07501143595745996,30,13,3.6,2.3666666666666667,3.545087364938861,2.585625343562474,0.5330421202984004,0.6274103609772617,0.6939482276990949,0.6484594328745894,1.224744871391589,0.7941973647186517,146,Active,5
Chaos 16' Red,MI,30,30,28,2,0,0.9333333333333333,150,47,85,0.9366666666666666,4,0.13333333333333333,8,0.26666666666666666,2025-10-11,-0.008474817055676064,30,4,5.0,1.5666666666666667,4.650350522833598,1.9540463961940528,0.7153937374553605,0.7189532733248771,0.5894309113154808,0.6405279489453359,1.224744871391589,0.7844833204537737,168,Active,6
Nationals Macomb 16 Boys Black - Classic,MI,30,30,18,7,0,0.6,82,51,31,0.5983333333333333,8,0.26666666666666666,12,0.4,2025-10-12,0.03422057155160599,30,8,2.7333333333333334,1.7,2.8608768386230716,2.05930955408879,0.41185718838092605,0.7046590007214567,0.6712390306844971,0.6260466562311748,1.224744871391589,0.7667474314709846,204,Active,7
Fury '16 Red,MI,30,32,17,9,0,0.5666666666666667,122,64,52,0.5716666666666667,2,0.06666666666666667,2,0.06666666666666667,2025-10-11,-0.01444317656903693,30,2,4.066666666666666,2.1333333333333333,3.9135084175704398,2.4014148172466845,0.5976019325412073,0.6554503233465948,0.6067951649325817,0.6146875501371094,1.224744871391589,0.7528354245386849,238,Active,8
Legends FC 2016 Boys Blue,MI,27,27,9,10,0,0.3333333333333333,76,65,11,0.31,6,0.2222222222222222,6,0.2222222222222222,2025-10-05,0.09397762885174225,27,6,2.814814814814815,2.4074074074074074,2.9346662819336204,2.6358218015821144,0.42467922217411286,0.619609095583014,0.7215467721831162,0.6417857268612951,1.161895003862225,0.7456876295902254,264,Active,9
RLFC U10 Boys A,MI,21,21,6,11,0,0.2857142857142857,49,38,5,0.22499999999999998,10,0.47619047619047616,9,0.42857142857142855,2025-10-13,0.3846760594647662,21,10,2.3333333333333335,1.8095238095238095,2.6108041333681626,2.2501297605301382,0.3693766531605455,0.6777053031717384,0.8515484752202543,0.7203454763986095,1.02469507659596,0.7381344631138264,288,Active,10
