Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
2016 Lobos Rush HERNANDO Blue,MS,30,31,20,10,0,0.6666666666666666,150,95,42,0.6666666666666666,0,0.0,16,0.5333333333333333,2025-09-07,-0.14800515773923845,30,0,5.0,3.1666666666666665,4.650350522833598,3.217204290930895,0.7153937374553605,0.5257200017088293,0.49038054569490347,0.54245107524978,1.224744871391589,0.6643641723930209,627,Active,1
Desoto FC 16B,MS,29,29,18,9,0,0.6206896551724138,123,82,41,0.6216666666666666,0,0.0,18,0.6206896551724138,2025-09-21,-0.16841855137638354,29,0,4.241379310344827,2.8275862068965516,4.046305942369641,2.952804406902,0.6201830776121927,0.5690615416016992,0.46831895788825617,0.5188402985757321,1.2041594578792296,0.6247664526588512,864,Active,2
DC Panthers 2016 Premier,MS,13,13,9,4,0,0.6923076923076923,77,24,40,0.34615384615384615,0,0.0,6,0.46153846153846156,2025-09-21,0.13251850981537247,13,0,5.923076923076923,1.8461538461538463,4.938729517508415,2.4406553835892386,0.7554110553836264,0.6495596263686241,0.7305926864159983,0.719349748200049,0.806225774829855,0.5799583081162456,1144,Active,3
MISSISSIPPI RUSH 2016 BOYS MADISON PREMIER,MS,11,11,9,2,0,0.8181818181818182,51,22,29,0.4090909090909091,5,0.45454545454545453,4,0.36363636363636365,2025-03-23,0.4102801759545778,11,5,4.636363636363637,2.0,4.090174729877722,2.592303318703895,0.6275348899467726,0.6263762239803313,0.8816234914180502,0.779756317636251,0.7416198487095663,0.578282762315725,1154,Inactive,4
2016 Lobos Rush DESOTO Blue,MS,14,14,6,8,0,0.42857142857142855,52,66,-8,0.21428571428571427,0,0.0,11,0.7857142857142857,2025-09-07,-0.12014773543729242,14,0,3.7142857142857144,4.714285714285714,3.577878175803487,4.238807411607909,0.5388664747978313,0.3604511879784025,0.5500941532620625,0.5099200245124842,0.8366600265340756,0.4266297012388715,2074,Active,5
Oxford FC 2016 Boys Navy,MS,12,12,6,5,0,0.5,45,43,3,0.25,0,0.0,9,0.75,2025-09-07,-0.08781702755335931,12,0,3.75,3.5833333333333335,3.5856659933838357,3.5126881527687006,0.5402482608704049,0.4768512077039153,0.5405322069856958,0.5277392179062815,0.7745966692414834,0.4087850404183111,2172,Active,6
DC Panthers 2016 Elite,MS,11,11,4,7,0,0.36363636363636365,37,25,10,0.18181818181818182,0,0.0,4,0.36363636363636365,2025-09-21,-0.14664683143608434,11,0,3.3636363636363638,2.272727272727273,3.353332624614564,2.750198055546001,0.4988531446351202,0.6016065981685579,0.5175480685691329,0.5306207897022154,0.7416198487095663,0.3935189097811076,2264,Active,7
Oxford FC 2016 Boys Red,MS,16,16,7,6,0,0.4375,66,77,-10,0.55,0,0.0,10,0.625,2025-09-07,-0.34811362268575535,16,0,4.125,4.8125,3.86305499448653,4.343906793973917,0.588907252574164,0.34457095608973975,0.35243521229639535,0.3981567691106179,0.8944271909999159,0.35612224057321207,2442,Active,8
2016 Lobos Rush DeSoto White,MS,4,4,3,1,0,0.75,23,13,7,0.375,0,0.0,0,0.0,2025-09-21,-0.05321949802235519,4,0,5.75,3.25,4.142776655639726,3.3544802546145007,0.6362728618353054,0.5030209606949974,0.5867146195191235,0.5798875362175346,0.4472135954999579,0.25933359005745577,2904,Provisional,9
2016 Lobos Rush HERNANDO White,MS,6,6,2,4,0,0.3333333333333333,8,16,-8,0.16666666666666666,0,0.0,1,0.16666666666666666,2025-09-07,-0.3506694139394902,6,0,1.3333333333333333,2.6666666666666665,2.479522847691194,3.0895545039552865,0.3478164045086921,0.546734323868563,0.35625221674218965,0.3926614757207648,0.5477225575051661,0.21506954771552997,3066,Active,10
Golden Triangle Elite U8 Academy Boys,MS,3,3,0,2,0,0.0,6,15,-9,0.0,2,0.6666666666666666,1,0.3333333333333333,2025-03-23,-0.3326413221551884,3,2,2.0,5.0,2.9739381697887923,3.841251186852183,0.4315460306665101,0.4230672416644029,0.34996869753927684,0.3809038729897487,0.3872983346207417,0.1475234356595202,3188,Inactive,11
RSC 2016 BOYS BRANDON BLACK,MS,2,4,1,1,0,0.5,2,7,-5,0.25,0,0.0,2,1.0,2025-05-11,-0.32617300130407206,2,0,1.0,3.5,2.871331986767672,3.4253763055374007,0.41366709310708516,0.4912872640307495,0.35559423449073657,0.39434741212200886,0.31622776601683794,0.12470360116986418,3205,Provisional,12
