Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
REAL B2016 Gold,MT,30,55,16,10,0,0.5333333333333333,84,69,13,0.5349999999999999,6,0.2,9,0.3,2025-10-12,0.17562815096973428,30,6,2.8,2.3,2.9135084175704398,2.5329937646151053,0.4209915457480923,0.6355193746292995,0.7804946857082122,0.6795989955004057,1.0,0.6795989955004057,111,Active,1
Glacier Surf 2016 Boys BLUE,MT,29,29,22,4,0,0.7586206896551724,140,64,70,0.7516666666666666,0,0.0,13,0.4482758620689655,2025-10-12,-0.00905156320753011,29,0,4.827586206896552,2.206896551724138,4.5057654018291,2.4663179204155137,0.6939105143228362,0.6456822847558366,0.6055819938410533,0.6312677561203666,1.0,0.6312677561203666,225,Active,2
GESC B16 black,MT,30,31,12,16,0,0.4,95,109,-21,0.3916666666666666,12,0.4,9,0.3,2025-10-12,-0.00461926004089447,30,12,3.1666666666666665,3.6333333333333333,3.2029821017809663,3.585625343562474,0.4720377371689137,0.46482040899666466,0.6628509492424438,0.5850821987785819,1.0,0.5850821987785819,445,Active,3
HYSA B2016 BLUE,MT,27,27,16,11,0,0.5925925925925926,129,67,51,0.5449999999999999,3,0.1111111111111111,7,0.25925925925925924,2025-10-12,-0.09396421323568742,27,3,4.777777777777778,2.4814814814814814,4.448951996219335,2.692964658724972,0.6852252034933586,0.6106526777989133,0.539908824512468,0.5831208709659352,1.0,0.5831208709659352,464,Active,4
MT Rush B-2016-SE-Blue,MT,30,47,15,14,0,0.5,130,106,10,0.5066666666666666,1,0.03333333333333333,15,0.5,2025-10-12,-0.21976286636003575,30,1,4.333333333333333,3.533333333333333,4.124034733359913,3.506677975141421,0.6331695043275598,0.47784396174453037,0.43499860302569776,0.4832018550298367,1.0,0.4832018550298367,1311,Active,5
GESC B 16/17,MT,15,15,4,9,0,0.26666666666666666,42,50,-18,0.13333333333333333,8,0.5333333333333333,7,0.4666666666666667,2025-06-15,-0.21927213435973153,15,8,2.8,3.3333333333333335,2.987535646420727,3.358859263277131,0.43392987727433857,0.5022961739083542,0.46785863624395607,0.46796039198291217,0.8660254037844386,0.40526558742212565,2029,Active,6
FVU B2016 Green-AC,MT,19,19,3,16,0,0.15789473684210525,55,85,-38,0.1,1,0.05263157894736842,7,0.3684210526315789,2025-10-12,-0.29338073859457775,19,1,2.8947368421052633,4.473684210526316,3.0264192543583968,4.157546779828667,0.4407632973530109,0.3729444121315494,0.4129487046775849,0.41051076470346304,0.9746794344808963,0.40011639998949167,2067,Active,7
REAL B2016 Black,MT,30,41,2,23,0,0.06666666666666667,30,165,-99,0.065,4,0.13333333333333333,14,0.4666666666666667,2025-10-12,-0.22396816612859152,30,5,1.0,5.5,1.4924557859914926,5.05930955408879,0.20856414662064485,0.24663508308166804,0.5069127459243856,0.39518749349509397,1.0,0.39518749349509397,2115,Active,8
FRSC B2016 AC,MT,12,12,5,7,0,0.4166666666666667,40,46,-10,0.20833333333333334,0,0.0,4,0.3333333333333333,2025-10-12,-0.26759252997944677,12,0,3.3333333333333335,3.8333333333333335,3.3356659933838357,3.6626881527687005,0.4956989274570514,0.45215370774031105,0.4221122532510572,0.44283787899010685,0.7745966692414834,0.34302074607969985,2467,Active,9
FVU B2016 White-AC,MT,30,34,6,20,0,0.2,79,152,-55,0.2033333333333333,5,0.16666666666666666,15,0.5,2025-10-12,-0.40377242505824695,30,5,2.6333333333333333,5.066666666666666,2.781929470202019,4.717204290930895,0.39827055652005094,0.29108078524974235,0.3399492517592751,0.3418398194095237,1.0,0.3418398194095237,2475,Active,10
MT SURF B2016/17 Blue,MT,10,10,3,7,0,0.3,24,40,-16,0.15,0,0.0,4,0.4,2025-10-12,-0.19339319247845163,10,0,2.4,4.0,2.817406659315373,3.7363201697430006,0.4043580485742705,0.4401083218342473,0.5081259297443574,0.47376883192831803,0.7071067811865476,0.33500515377134343,2512,Active,11
HYSA B2016 GOLD,MT,10,10,6,4,0,0.6,34,24,6,0.3,0,0.0,3,0.3,2025-10-12,-0.26952385617895364,10,0,3.4,2.4,3.372962214870929,2.847431280854112,0.5023579265443453,0.5860811073060472,0.3871194316470658,0.449959465758318,0.7071067811865476,0.3181693894967828,2608,Active,12
MT Rush B-2016-SE-Red,MT,12,12,5,7,0,0.4166666666666667,25,63,-21,0.20833333333333334,0,0.0,5,0.4166666666666667,2025-10-12,-0.33223618259223286,12,0,2.0833333333333335,5.25,2.5856659933838357,4.512688152768701,0.3652045419385858,0.3197902634022489,0.3936107324144726,0.3731654005168505,0.7745966692414834,0.28905267631651654,2765,Active,13
