Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Sting NE B16 Waldoch Brave,NE,8,8,6,2,0,0.75,24,10,14,0.375,0,0.0,3,0.375,2025-08-24,0.43478311322443586,8,0,3.0,1.25,3.152400135160482,2.3446164010007537,0.4671998146459996,0.6719073821238354,0.9116065213272218,0.7747853521503001,0.6324555320336759,0.49001728210611695,1375,Active,1
OUSC 2015B BLACK,NE,15,16,4,9,0,0.26666666666666666,33,70,-21,0.13333333333333333,2,0.13333333333333333,2,0.13333333333333333,2025-10-11,-0.015764856869357205,15,2,2.2,4.666666666666667,2.5842783548942485,4.239733148522263,0.3657386204435276,0.36278165126308326,0.6532563992238892,0.5376578938756558,0.8660254037844386,0.4656253946415556,1577,Active,2
INTER 16B,NE,20,20,8,9,0,0.4,44,62,-12,0.37666666666666665,0,0.0,7,0.35,2025-10-11,-0.09660381125625547,20,0,2.2,3.1,2.515657220091704,3.1969236577147164,0.3540760653308391,0.5352160976358016,0.3846260370871398,0.408634054845612,1.0,0.408634054845612,2052,Active,3
WNFC 2016 Boys Select Black,NE,8,8,7,1,0,0.875,54,20,21,0.4375,1,0.125,7,0.875,2025-01-19,0.15191247793329893,8,1,6.75,2.5,5.027400135160482,2.9696164010007537,0.7776391212158568,0.5731322385407795,0.6118348304064684,0.6372551701952083,0.6324555320336759,0.4030355577070211,2095,Inactive,4
Omaha-EVO-2016B-Orange,NE,6,6,6,0,0,1.0,42,1,31,0.5,0,0.0,3,0.5,2025-08-24,0.19800476498602287,6,0,7.0,0.16666666666666666,4.888457297326265,2.036704458286576,0.7594105745307795,0.7160224946706262,0.6222788363121214,0.668453915627554,0.5477225575051661,0.36612728824186636,2341,Active,5
Omaha United 2016B White,NE,4,4,4,0,0,1.0,14,2,12,0.5,0,0.0,1,0.25,2025-08-24,0.661231770039027,4,0,3.5,0.5,3.3698668468806425,2.459488534667672,0.5072631512797384,0.6545792410031854,0.9747791488708594,0.8172359677791005,0.4472135954999579,0.36547903552237926,2345,Provisional,6
CSC 2016B - VONASEK,NE,10,12,5,5,0,0.5,23,25,-2,0.25,0,0.0,3,0.3,2025-08-24,-0.004857520055683861,10,0,2.3,2.5,2.7465778979204285,2.917436800889559,0.39393537620501917,0.5817323907488681,0.5198216791787477,0.507026560898026,0.7071067811865476,0.3585219194526882,2401,Active,7
Diablos FC 2016B Black,NE,7,7,6,1,0,0.8571428571428571,35,8,23,0.42857142857142855,0,0.0,2,0.2857142857142857,2025-08-24,0.12313951734565443,7,0,5.0,1.1428571428571428,4.095893477504514,2.3675908277341375,0.6375410759694902,0.6684771614216528,0.5444790833697163,0.5878910975000584,0.5916079783099616,0.34780106365843405,2452,Active,8
Sting NE B16 Ausenbaugh,NE,8,14,4,4,0,0.5,38,18,14,0.25,0,0.0,4,0.5,2025-09-21,0.048524877693909715,8,0,4.75,2.25,4.027400135160482,2.8446164010007537,0.6257844619320967,0.5936508708941673,0.4986807772282466,0.5430955329022008,0.6324555320336759,0.3434837742067741,2478,Active,9
WNFC U10 Boys Select Black,NE,9,9,2,7,0,0.2222222222222222,21,37,-14,0.1111111111111111,0,0.0,5,0.5555555555555556,2025-09-07,-0.07736199442918239,9,0,2.3333333333333335,4.111111111111111,2.7904942448569243,3.794933083294827,0.40169709631093914,0.4346626447696996,0.5075416640526272,0.4717969466477041,0.6708203932499369,0.3164910132843324,2621,Active,10
Omaha United 2016B Black,NE,7,7,1,4,0,0.14285714285714285,10,13,-4,0.07142857142857142,0,0.0,2,0.2857142857142857,2025-08-24,-0.05023577931298485,7,0,1.4285714285714286,1.8571428571428572,2.4292268108378474,2.7009241610674706,0.33963141065783314,0.6168363570645765,0.49788895622663437,0.4900269272804626,0.5916079783099616,0.28990383976583706,2728,Active,11
Diablos FC 2016B Yellow,NE,7,7,1,6,0,0.14285714285714285,7,38,-21,0.07142857142857142,0,0.0,3,0.42857142857142855,2025-08-24,-0.056541916477897754,7,0,1.0,5.428571428571429,2.2292268108378477,4.367590827734137,0.3073591716874598,0.34306209301506363,0.5861432855346406,0.481770224261289,0.5916079783099616,0.285019108385158,2740,Active,12
WNFC U10 Boys Select White,NE,6,6,1,5,0,0.16666666666666666,6,32,-19,0.08333333333333333,0,0.0,5,0.8333333333333334,2025-09-07,-0.07899688228642679,6,0,1.0,5.333333333333333,2.3170287258976936,4.25099017257229,0.32131929063443077,0.36102566040408945,0.514281141560427,0.4450376751439603,0.5477225575051661,0.24375717361600321,2898,Active,13
