Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Timbers,NJ,30,38,11,18,0,0.36666666666666664,119,116,-2,0.37166666666666665,22,0.7333333333333333,1,0.03333333333333333,2025-10-11,0.2418976321833443,30,22,3.966666666666667,3.8666666666666667,3.834561049149387,3.7698358698782632,0.5839718461063022,0.434647926180858,0.8234029456293647,0.6977657218350508,1.224744871391589,0.8545849892503286,64,Active,1
STA MOSC 2016 BOYS,NJ,30,66,21,7,0,0.7,214,85,89,0.6983333333333334,12,0.4,11,0.36666666666666664,2025-10-11,0.038700615244791854,30,12,7.133333333333334,2.8333333333333335,6.334561049149388,2.954046396194053,0.8932682531004157,0.568859879732039,0.6621348537389002,0.6897065388098311,1.224744871391589,0.8447145461725846,73,Active,2
Beast Dawgs,NJ,30,53,19,7,0,0.6333333333333333,124,82,42,0.625,12,0.4,6,0.2,2025-10-11,0.1422331459246613,30,12,4.133333333333334,2.7333333333333334,3.9661399965178092,2.8750990277730004,0.6066069613601965,0.5816304232438936,0.7367705828345132,0.679709826621526,1.224744871391589,0.8324711241891801,87,Active,3
GUSC Thunder B2016,NJ,30,60,16,8,0,0.5333333333333333,67,78,-5,0.5366666666666666,19,0.6333333333333333,11,0.36666666666666664,2025-10-12,0.2034601522686898,30,19,2.2333333333333334,2.6,2.4661399965178084,2.7698358698782632,0.3456514628088828,0.5984863246318898,0.7919607026033897,0.6640039790501883,1.224744871391589,0.8132354679253262,119,Active,4
New York Red Bulls - U10,NJ,30,30,10,16,0,0.3333333333333333,80,91,-11,0.335,13,0.43333333333333335,16,0.5333333333333333,2025-10-11,0.13415091904426815,30,13,2.6666666666666665,3.033333333333333,2.808245259675703,3.111941133036158,0.40278315165959905,0.5430588134362537,0.7610534251119866,0.6458004480863625,1.224744871391589,0.7909407867361625,154,Active,5
Dutchmen FC 16/15,NJ,29,30,18,11,0,0.6206896551724138,149,119,30,0.625,13,0.4482758620689655,15,0.5172413793103449,2025-10-10,0.020372603776039715,29,13,5.137931034482759,4.103448275862069,4.749008645072344,3.952804406902001,0.7295196336108443,0.4051501874183472,0.6949410597662774,0.6438986000656047,1.2041594578792296,0.7753565891841935,183,Active,6
A.S. Junior Elite 2016 Boys,NJ,30,45,10,12,0,0.3333333333333333,118,109,9,0.33666666666666667,2,0.06666666666666667,16,0.5333333333333333,2025-10-05,0.02175031548316117,30,2,3.933333333333333,3.6333333333333333,3.808245259675703,3.585625343562474,0.5793986866229471,0.46482040899666466,0.6801979406650875,0.6169625835229748,1.224744871391589,0.7556217600102683,236,Active,7
FUTBOLTECH CHSC - 2016 UNITED,NJ,30,33,13,13,0,0.43333333333333335,115,98,13,0.42833333333333334,2,0.06666666666666667,17,0.5666666666666667,2025-10-11,0.023077377493899542,30,2,3.8333333333333335,3.2666666666666666,3.7292978912546504,3.2961516593519478,0.5656002143998043,0.5126727504959994,0.6570889682424619,0.6099079739246378,1.224744871391589,0.7469816630850351,258,Active,8
Ballers Den 2016B,NJ,30,40,19,6,0,0.6333333333333333,107,38,58,0.6366666666666666,10,0.3333333333333333,15,0.5,2025-08-24,-0.0738071923170839,30,10,3.566666666666667,1.2666666666666666,3.518771575465177,1.7172042909308949,0.5283612694559454,0.7495253692176274,0.569173364349286,0.5970813463442861,1.224744871391589,0.7312723167387495,310,Active,9
Dynamo,NJ,30,46,18,11,0,0.6,110,99,19,0.595,9,0.3,9,0.3,2025-10-12,-0.0512457675696361,30,9,3.6666666666666665,3.3,3.5977189438862296,3.322467448825632,0.5423855790596002,0.5083189446705814,0.6231707983658004,0.5840433837655166,1.224744871391589,0.7153041389370061,374,Active,10
2016 Thunder Red,NJ,30,47,19,9,0,0.6333333333333333,123,65,58,0.6466666666666666,0,0.0,8,0.26666666666666666,2025-10-05,-0.11226653718326261,30,0,4.1,2.1666666666666665,3.9398242070441243,2.4277306067203686,0.6021130877180225,0.6515050084751982,0.5346707214385629,0.5715260521017819,1.224744871391589,0.6999736011783394,441,Active,11
GLADIATORS 2016,NJ,30,52,20,7,0,0.6666666666666666,121,80,39,0.6633333333333333,0,0.0,18,0.6,2025-10-12,-0.08729425607180133,30,0,4.033333333333333,2.6666666666666665,3.8871926280967557,2.822467448825632,0.5930741971808283,0.5900848274234214,0.5521906362559513,0.5679461866744208,1.224744871391589,0.6955891793559068,456,Active,12
Anarchy,NJ,30,33,18,6,0,0.6,109,65,44,0.6016666666666666,2,0.06666666666666667,14,0.4666666666666667,2025-10-05,-0.09565704729189997,30,2,3.6333333333333333,2.1666666666666665,3.571403154412545,2.4277306067203686,0.5377171612377663,0.6515050084751982,0.5488501786599642,0.5671545411385714,1.224744871391589,0.6946196155459153,458,Active,13
Riptide,NJ,30,60,17,13,0,0.5666666666666667,111,86,25,0.565,15,0.5,10,0.3333333333333333,2025-10-05,-0.04897818851512037,30,15,3.7,2.8666666666666667,3.6240347333599137,2.980362185667737,0.5470465651876089,0.5645817168764471,0.5720181485895566,0.5655365455665451,1.224744871391589,0.6926379837671417,473,Active,14
Panthers Green,NJ,29,30,2,26,0,0.06896551724137931,53,169,-110,0.06833333333333333,22,0.7586206896551724,5,0.1724137931034483,2025-10-05,0.0982945509801626,29,22,1.8275862068965518,5.827586206896552,2.154414050477749,5.304155758253351,0.2971638874350572,0.2177637085452543,0.782843916974093,0.5726918693805181,1.2041594578792296,0.6896123309650872,484,Active,15
Real FA 2016B II,NJ,24,24,15,9,0,0.625,124,61,52,0.5333333333333333,3,0.125,12,0.5,2025-10-05,-0.03089250339766751,24,3,5.166666666666667,2.5416666666666665,4.709791245864897,2.7579300954804378,0.7239575693951498,0.6003790158338581,0.59872718949577,0.6241036307432635,1.0954451150103321,0.6836712735579201,520,Active,16
MUSC 2016 Boys Premier,NJ,30,37,18,7,0,0.6,139,80,46,0.5983333333333333,0,0.0,16,0.5333333333333333,2025-10-11,-0.12845464303383336,30,0,4.633333333333334,2.6666666666666665,4.360876838623072,2.822467448825632,0.6715023720000476,0.5900848274234214,0.5063645811841164,0.5561361885951637,1.224744871391589,0.6811249447771922,531,Active,17
2016 Boys NEAL White,NJ,30,30,18,8,0,0.6,139,74,58,0.5966666666666667,1,0.03333333333333333,24,0.8,2025-10-05,-0.13717167914957262,30,1,4.633333333333334,2.466666666666667,4.360876838623072,2.6645727119835265,0.6715023720000476,0.6151125075633612,0.4963242285088292,0.5551175130179793,1.224744871391589,0.6798773270884237,535,Active,18
Wall Elite Whitecaps,NJ,27,28,18,4,0,0.6666666666666666,149,58,70,0.6966666666666667,0,0.0,15,0.5555555555555556,2025-10-11,-0.11601301594633118,27,0,5.518518518518518,2.1481481481481484,5.020380567647906,2.435821801582115,0.7660243970806013,0.6502877428734073,0.5005974410744471,0.58362089263547,1.161895003862225,0.6781061993027647,546,Active,19
NJMYSA United 2016,NJ,29,32,23,3,0,0.7931034482758621,139,51,88,0.7941666666666667,0,0.0,21,0.7241379310344828,2025-10-05,-0.10899808160664955,29,0,4.793103448275862,1.7586206896551724,4.478738374802074,2.1149665690641624,0.6897954429155598,0.6969327714055871,0.47285264843425384,0.5610572319247817,1.2041594578792296,0.6756023722337664,559,Active,20
Bordentown FC Revolution 2016,NJ,30,47,20,4,0,0.6666666666666666,126,63,62,0.6583333333333333,4,0.13333333333333333,18,0.6,2025-10-05,-0.14293835332563598,30,4,4.2,2.1,4.018771575465177,2.3750990277730004,0.6155401162362442,0.6593743253992184,0.49148613746346226,0.5498745708051698,1.224744871391589,0.6734560605022828,569,Active,21
Hibernian Heat,NJ,30,53,14,11,0,0.4666666666666667,95,103,-8,0.46499999999999997,2,0.06666666666666667,14,0.4666666666666667,2025-10-12,-0.08262345028700804,30,2,3.1666666666666665,3.433333333333333,3.2029821017809663,3.4277306067203686,0.4720377371689137,0.4908977070778454,0.5880822429328728,0.5454364346090754,1.224744871391589,0.6680204759575789,596,Active,22
MSA 2016 Infinity Blue,NJ,30,66,12,15,0,0.4,89,102,-13,0.3933333333333333,2,0.06666666666666667,8,0.26666666666666666,2025-10-11,-0.08292089156667166,30,2,2.966666666666667,3.4,3.045087364938861,3.4014148172466845,0.4440521946917153,0.4952525967902075,0.5911177916997052,0.5425316333162077,1.224744871391589,0.6644628354717275,612,Active,23
Futevol Premier 2016 Barcelona,NJ,30,45,17,12,0,0.5666666666666667,145,110,27,0.5716666666666665,0,0.0,21,0.7,2025-10-11,-0.11900864426030142,30,0,4.833333333333333,3.6666666666666665,4.518771575465177,3.611941133036158,0.6958798916394986,0.4604889834644794,0.5120021481075768,0.5384750638853417,1.224744871391589,0.6594945728658305,643,Active,24
