Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Nevada FC 16B Pre-EA,NV,30,46,25,4,0,0.8333333333333334,160,57,85,0.8333333333333334,10,0.3333333333333333,19,0.6333333333333333,2025-09-28,0.3155604632343749,30,10,5.333333333333333,1.9,4.91350841757044,2.217204290930895,0.7520676642325477,0.6824481223960763,0.8095350239489125,0.7726241716950724,1.0,0.7726241716950724,12,Active,1
Las Vegas Sports Academy U10 Boys Red 2016,NV,30,73,24,0,0,0.8,144,24,101,0.7916666666666666,16,0.5333333333333333,9,0.3,2025-10-12,0.23443394560818454,30,16,4.8,0.8,4.492455785991493,1.3487832382993161,0.6918878326609081,0.7924907108780967,0.7566722037580429,0.7508790309626268,1.0,0.7508790309626268,30,Active,2
Players 16 Boys Juniors Elite,NV,30,51,13,10,0,0.43333333333333335,59,32,26,0.43499999999999994,7,0.23333333333333334,11,0.36666666666666664,2025-05-10,0.1128771776374359,30,7,1.9666666666666666,1.0666666666666667,2.2556136807283345,1.5593095540887898,0.31247699419660374,0.7686351646870945,0.7341889630088129,0.6567358095820274,1.0,0.6567358095820274,157,Active,3
RAYADOS LAS VEGAS SOCCER ACADEMY 2016 BLUE,NV,30,39,17,10,0,0.5666666666666667,102,42,54,0.565,10,0.3333333333333333,9,0.3,2025-10-12,0.0772953330910245,30,10,3.4,1.4,3.3871926280967557,1.8224674488256318,0.5048985826640425,0.7362155168951565,0.6410116142263468,0.6328297884476479,1.0,0.6328297884476479,223,Active,4
16B Premier,NV,30,49,21,8,0,0.7,123,94,33,0.695,2,0.06666666666666667,16,0.5333333333333333,2025-10-05,0.08601519689201609,30,2,4.1,3.1333333333333333,3.9398242070441243,3.1908885014572106,0.6021130877180225,0.530062173173252,0.6339333608170833,0.6067950686685049,1.0,0.6067950686685049,329,Active,5
ALBION SC Las Vegas B16 Academy II,NV,30,88,15,8,0,0.5,82,60,15,0.4933333333333333,10,0.3333333333333333,14,0.4666666666666667,2025-10-11,-0.17380846873480893,30,10,2.7333333333333334,2.0,2.8608768386230716,2.2961516593519478,0.41185718838092594,0.6710143259169061,0.6092767517872494,0.5821403539319161,1.0,0.5821403539319161,466,Active,6
Las Vegas Sports Academy U10 Boys White 2016,NV,30,76,18,4,0,0.6,88,30,53,0.605,14,0.4666666666666667,17,0.5666666666666667,2025-10-12,-0.03373291498457581,30,14,2.933333333333333,1.0,3.018771575465177,1.5066779751414212,0.4394174328606215,0.7747739269098793,0.5645680929145374,0.5815791277028226,1.0,0.5815791277028226,470,Active,7
RAYADOS LAS VEGAS SOCCER ACADEMY 2016 WHITE,NV,30,41,19,8,0,0.6333333333333333,126,54,66,0.6416666666666666,1,0.03333333333333333,5,0.16666666666666666,2025-10-12,0.03648443448104011,30,1,4.2,1.8,4.018771575465177,2.1382569225098425,0.6155401162362442,0.6936659533575177,0.526056453317877,0.5774750859094786,1.0,0.5774750859094786,494,Active,8
LV Heat Surf B16 Select Orange Henderson,NV,30,52,13,14,0,0.43333333333333335,80,76,-1,0.43499999999999994,17,0.5666666666666667,15,0.5,2025-10-17,-0.05479145767911753,30,17,2.6666666666666665,2.533333333333333,2.808245259675703,2.717204290930895,0.40278315165959894,0.6068303593895323,0.6092786739437951,0.5674899065761033,1.0,0.5674899065761033,576,Active,9
Nevada FC 16B Select I,NV,28,28,16,11,0,0.5714285714285714,132,64,44,0.56,0,0.0,11,0.39285714285714285,2025-10-04,-0.09900692539445971,28,0,4.714285714285714,2.2857142857142856,4.408703329657687,2.534826751538167,0.6789923720328684,0.6352382228761362,0.4896620690346254,0.5566433604025762,1.0,0.5566433604025762,656,Active,10
