Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
B2016 Elite Red,NY,30,68,29,1,0,0.9666666666666667,237,38,146,0.97,11,0.36666666666666664,9,0.3,2025-10-05,0.3506303007573221,30,11,7.9,1.2666666666666666,6.939824207044124,1.7172042909308949,0.9280316628250919,0.7495253692176274,0.8446058533891614,0.8422749184420406,1.0,0.8422749184420406,2,Active,1
United FC 2016,NY,30,158,28,2,0,0.9333333333333333,145,61,81,0.9333333333333333,8,0.26666666666666666,5,0.16666666666666666,2025-10-11,0.15733151073814197,30,8,4.833333333333333,2.033333333333333,4.518771575465177,2.322467448825632,0.6958798916394986,0.6671567283324739,0.7415291174529659,0.717524794466174,1.0,0.717524794466174,53,Active,2
Fire,NY,30,111,17,12,0,0.5666666666666667,82,81,1,0.5700000000000001,25,0.8333333333333334,3,0.1,2025-10-12,0.17724895585731748,30,25,2.7333333333333334,2.7,2.8608768386230716,2.848783238299316,0.41185718838092605,0.585863949104091,0.8282744772743398,0.6965089138616072,1.0,0.6965089138616072,79,Active,3
Manhattan Kickers FC - 2016's,NY,30,61,26,2,0,0.8666666666666667,220,49,128,0.8650000000000001,6,0.2,12,0.4,2025-10-11,0.02866362654682176,30,6,7.333333333333333,1.6333333333333333,6.492455785991493,2.006677975141421,0.9035524402361869,0.7118588949879066,0.6195455770987427,0.6948096133040642,1.0,0.6948096133040642,83,Active,4
Legends,NY,30,62,12,13,0,0.4,78,78,-2,0.4033333333333333,19,0.6333333333333333,4,0.13333333333333333,2025-10-12,0.21690167183503234,30,19,2.6,2.6,2.7556136807283345,2.7698358698782632,0.39377518360699576,0.5984863246318898,0.8272114593982008,0.6947791772866976,1.0,0.6947791772866976,84,Active,5
Ballston Spa Soccer Club U10 Boys A Thunder,NY,19,19,10,9,0,0.5263157894736842,70,39,20,0.38749999999999996,9,0.47368421052631576,14,0.7368421052631579,2025-06-22,0.1701171721140898,19,9,3.6842105263157894,2.0526315789473686,3.5819748099139526,2.453843076124963,0.5395934130418021,0.6475695327494502,0.7853131008352782,0.7086204496594173,0.9746794344808963,0.6906777791356393,92,Active,6
Black B16,NY,30,38,24,6,0,0.8,138,73,63,0.7983333333333333,8,0.26666666666666666,15,0.5,2025-10-12,0.0964476359927869,30,8,4.6,2.433333333333333,4.334561049149388,2.6382569225098425,0.6673432883613991,0.6192290296772606,0.721532074988318,0.6902337086007228,1.0,0.6902337086007228,93,Active,7
2016B Navy,NY,30,49,27,2,0,0.9,169,37,119,0.9,1,0.03333333333333333,4,0.13333333333333333,2025-10-12,0.013540822068360422,30,1,5.633333333333334,1.2333333333333334,5.150350522833598,1.6908885014572108,0.7822488596123358,0.7527820737621818,0.6173332331397863,0.6774061265587753,1.0,0.6774061265587753,114,Active,8
Soca Warriors,NY,30,60,24,4,0,0.8,151,69,76,0.7999999999999999,0,0.0,4,0.13333333333333333,2025-10-11,0.018306656862598244,30,0,5.033333333333333,2.3,4.676666312307282,2.5329937646151053,0.7192048420464696,0.6355193746292995,0.6393249209388763,0.6545397958984795,1.0,0.6545397958984795,162,Active,9
Nighthawks,NY,30,57,22,6,0,0.7333333333333333,105,36,64,0.7399999999999999,8,0.26666666666666666,7,0.23333333333333334,2025-10-05,0.01797158350292511,30,8,3.5,1.2,3.4661399965178084,1.6645727119835265,0.5189854107361288,0.7560102182956471,0.6549075617760322,0.6479436628719745,1.0,0.6479436628719745,182,Active,10
Bulls,NY,30,49,15,14,0,0.5,95,89,8,0.495,18,0.6,16,0.5333333333333333,2025-10-05,0.04971074942010708,30,18,3.1666666666666665,2.966666666666667,3.2029821017809663,3.05930955408879,0.4720377371689137,0.5516918854553152,0.7286813741792377,0.6419547490323885,1.0,0.6419547490323885,198,Active,11
Three Lions 2016,NY,30,49,19,7,0,0.6333333333333333,120,49,69,0.6333333333333333,11,0.36666666666666664,9,0.3,2025-10-05,0.003812861950675251,30,10,4.0,1.6333333333333333,3.8608768386230716,2.006677975141421,0.5885305940297632,0.7118588949879066,0.6348795750369252,0.6410056428256891,1.0,0.6410056428256891,201,Active,12
East Coast Surf B2016,NY,30,32,18,11,0,0.6,171,85,48,0.6016666666666666,1,0.03333333333333333,16,0.5333333333333333,2025-10-12,-0.017103638615750295,30,1,5.7,2.8333333333333335,5.202982101780966,2.954046396194053,0.7885836174782521,0.568859879732039,0.6155117979038146,0.640795778184347,1.0,0.640795778184347,203,Active,13
Porto,NY,30,99,16,11,0,0.5333333333333333,88,75,15,0.5366666666666666,12,0.4,5,0.16666666666666666,2025-10-12,0.08287503550072811,30,12,2.933333333333333,2.5,3.018771575465177,2.6908885014572106,0.4394174328606215,0.6109794404382614,0.7101734911613572,0.6361834693565909,1.0,0.6361834693565909,211,Active,14
Wolves,NY,30,113,11,17,0,0.36666666666666664,95,110,-12,0.3683333333333333,14,0.4666666666666667,9,0.3,2025-10-05,0.05606228909757237,30,14,3.1666666666666665,3.6666666666666665,3.2029821017809663,3.611941133036158,0.4720377371689137,0.4604889834644794,0.732516966487476,0.6260155240191643,1.0,0.6260155240191643,238,Active,15
B2016,NY,30,173,14,12,0,0.4666666666666667,93,75,13,0.46166666666666667,1,0.03333333333333333,7,0.23333333333333334,2025-10-12,0.0235666258256151,30,1,3.1,2.5,3.1503505228335977,2.6908885014572106,0.46268086146502463,0.6109794404382614,0.6726083939596134,0.6182970967564252,1.0,0.6182970967564252,270,Active,16
Sounders,NY,30,38,12,16,0,0.4,84,90,-4,0.3983333333333333,28,0.9333333333333333,7,0.23333333333333334,2025-10-12,0.06547105841096428,30,28,2.8,3.0,2.9135084175704398,3.085625343562474,0.4209915457480923,0.5473789125841155,0.7055058464942026,0.6169775995629632,1.0,0.6169775995629632,277,Active,17
NYSC B2016 White,NY,30,67,23,3,0,0.7666666666666667,175,61,89,0.7750000000000001,0,0.0,22,0.7333333333333333,2025-10-11,-0.08019180275756259,30,0,5.833333333333333,2.033333333333333,5.3082452596757035,2.322467448825632,0.8008453980583203,0.6671567283324739,0.5342822886309356,0.6141697984567203,1.0,0.6141697984567203,293,Active,18
MSC LSTS Boys 2016 MAROON,NY,30,66,22,5,0,0.7333333333333333,135,67,68,0.7366666666666666,4,0.13333333333333333,12,0.4,2025-10-11,-0.0340313065640331,30,4,4.5,2.2333333333333334,4.2556136807283345,2.480362185667737,0.654710580203802,0.6435521693522868,0.5888495597241434,0.6129622857457038,1.0,0.6129622857457038,297,Active,19
2016,NY,26,26,14,11,0,0.5384615384615384,94,81,6,0.4783333333333333,1,0.038461538461538464,0,0.0,2025-10-12,-0.007043799930068618,26,1,3.6153846153846154,3.1153846153846154,3.550391760814021,3.183934207511,0.5339849482663159,0.5312089164273917,0.6513118111631176,0.6038258596366122,1.0,0.6038258596366122,339,Active,20
Fusion,NY,30,55,22,6,0,0.7333333333333333,108,63,43,0.7266666666666667,8,0.26666666666666666,15,0.5,2025-10-11,-0.05004022033657099,30,8,3.6,2.1,3.545087364938861,2.3750990277730004,0.5330421202984004,0.6593743253992184,0.602659641014365,0.6000790737481427,1.0,0.6000790737481427,356,Active,21
Fire Wolves,NY,30,79,18,5,0,0.6,102,57,41,0.595,1,0.03333333333333333,10,0.3333333333333333,2025-10-11,-0.04720561689577263,30,1,3.4,1.9,3.3871926280967557,2.217204290930895,0.5048985826640426,0.6824481223960763,0.5960439258733681,0.5950956965360447,1.0,0.5950956965360447,381,Active,22
Kicks,NY,30,53,16,10,0,0.5333333333333333,70,56,14,0.52,8,0.26666666666666666,14,0.4666666666666667,2025-10-12,-0.005305007341857109,30,8,2.3333333333333335,1.8666666666666667,2.545087364938861,2.1908885014572106,0.35851254113692743,0.6862118505293052,0.6407359487041707,0.593386447555749,1.0,0.593386447555749,388,Active,23
UST FC Wolves B2016,NY,30,52,20,10,0,0.6666666666666666,125,106,19,0.6733333333333333,1,0.03333333333333333,10,0.3333333333333333,2025-10-05,-0.04020133254247837,30,1,4.166666666666667,3.533333333333333,3.9924557859914933,3.506677975141421,0.6110828635595581,0.47784396174453037,0.625767030884833,0.5932455835917174,1.0,0.5932455835917174,390,Active,24
SK NYC (2016),NY,30,54,16,10,0,0.5333333333333333,176,97,46,0.5299999999999999,3,0.1,20,0.6666666666666666,2025-10-11,-0.0940465905702739,30,3,5.866666666666666,3.2333333333333334,5.334561049149388,3.2698358698782632,0.8038260153515683,0.5170246341758067,0.536888933295215,0.5863034898826041,1.0,0.5863034898826041,433,Active,25
Warriors,NY,30,77,20,9,0,0.6666666666666666,107,66,36,0.6649999999999999,15,0.5,2,0.06666666666666667,2025-10-14,-0.04090856593556064,30,15,3.566666666666667,2.2,3.518771575465177,2.454046396194053,0.5283612694559454,0.6475388103212933,0.5836793766003957,0.5853876419156852,1.0,0.5853876419156852,443,Active,26
Galaxy,NY,30,60,5,20,0,0.16666666666666666,62,112,-49,0.16333333333333333,27,0.9,6,0.2,2025-09-27,0.03138886294764256,30,27,2.066666666666667,3.7333333333333334,2.3345610491493876,3.6645727119835265,0.32471625413505434,0.4518446529797545,0.7136587978027386,0.5835074601046049,1.0,0.5835074601046049,460,Active,27
Arsenal B2016,NY,30,44,18,8,0,0.6,101,68,35,0.5966666666666667,0,0.0,9,0.3,2025-10-11,-0.05668224030754697,30,0,3.3666666666666667,2.2666666666666666,3.3608768386230716,2.506677975141421,0.5002001382190667,0.6395455368244605,0.5904348407536936,0.5822100394609215,1.0,0.5822100394609215,472,Active,28
Hurricanes 2016,NY,30,41,13,15,0,0.43333333333333335,102,89,4,0.43499999999999994,6,0.2,16,0.5333333333333333,2025-10-11,-0.07189482146478764,30,6,3.4,2.966666666666667,3.3871926280967557,3.05930955408879,0.5048985826640426,0.5516918854553152,0.6112419391275039,0.5780632571003739,1.0,0.5780632571003739,498,Active,29
Thunder,NY,30,113,19,10,0,0.6333333333333333,118,94,23,0.6399999999999999,17,0.5666666666666667,5,0.16666666666666666,2025-10-05,-0.017467633150049608,30,17,3.933333333333333,3.1333333333333333,3.808245259675703,3.1908885014572106,0.5793986866229471,0.5300621731732522,0.5925724550878961,0.5774356450119775,1.0,0.5774356450119775,504,Active,30
CPSC Evolution U10 Boys Gold 25/26,NY,18,18,9,5,0,0.5,65,26,25,0.4666666666666667,11,0.6111111111111112,15,0.8333333333333334,2025-10-12,-0.1259713266487945,18,11,3.611111111111111,1.4444444444444444,3.5274353795260276,2.048221655975923,0.5299029118237308,0.7061844748099995,0.6008651435031377,0.6077365634286287,0.9486832980505138,0.5765495273393567,510,Active,31
United FC B2016,NY,30,62,13,14,0,0.43333333333333335,100,78,20,0.435,2,0.06666666666666667,6,0.2,2025-10-12,-0.0578620966764628,30,2,3.3333333333333335,2.6,3.334561049149387,2.7698358698782632,0.49550165842880106,0.5984863246318898,0.5949816581443133,0.5757865914987261,1.0,0.5757865914987261,519,Active,32
B16 White,NY,30,142,20,10,0,0.6666666666666666,153,93,54,0.6683333333333332,4,0.13333333333333333,7,0.23333333333333334,2025-10-11,-0.11040352346093299,30,4,5.1,3.1,4.72929789125465,3.1645727119835265,0.7267329580317653,0.5343997985044738,0.534488378689533,0.5729195785209676,1.0,0.5729195785209676,548,Active,33
Flash,NY,30,48,17,10,0,0.5666666666666667,129,92,39,0.5549999999999999,6,0.2,18,0.6,2025-10-11,-0.08608963853592726,30,6,4.3,3.066666666666667,4.097718943886229,3.1382569225098425,0.6287933813961231,0.5387322275867664,0.5627721398815977,0.5711684057255365,1.0,0.5711684057255365,563,Active,34
JJV2016 travel,NY,30,34,21,9,0,0.7,106,38,59,0.7033333333333333,1,0.03333333333333333,18,0.6,2025-10-05,-0.12212226360768783,30,1,3.533333333333333,1.2666666666666666,3.4924557859914924,1.7172042909308949,0.5236754260016445,0.7495253692176274,0.5211034595365802,0.5673022347658025,1.0,0.5673022347658025,582,Active,35
B2016 Napoli,NY,30,74,15,15,0,0.5,125,93,27,0.5,3,0.1,12,0.4,2025-10-12,-0.0926605521559968,30,3,4.166666666666667,3.1,3.9924557859914933,3.1645727119835265,0.6110828635595581,0.5343997985044738,0.5625147844018651,0.5666054030539255,1.0,0.5666054030539255,586,Active,36
B16 BLUE,NY,16,17,5,8,0,0.3125,41,57,-13,0.4833333333333333,9,0.5625,2,0.125,2025-10-12,0.09121831867621935,16,9,2.5625,3.5625,2.821388327819863,3.510573460640584,0.40504313676270753,0.4772004896002957,0.760947571425171,0.6330172681277032,0.8944271909999159,0.5661878569859021,591,Active,37
B2016 Razorbacks,NY,30,37,19,6,0,0.6333333333333333,132,61,62,0.635,1,0.03333333333333333,14,0.4666666666666667,2025-10-05,-0.14581335498637565,30,1,4.4,2.033333333333333,4.176666312307282,2.322467448825632,0.6418555997875538,0.6671567283324739,0.5066641776258514,0.5658009721995163,1.0,0.5658009721995163,593,Active,38
B2016 Green,NY,30,59,15,11,0,0.5,112,87,15,0.495,8,0.26666666666666666,8,0.26666666666666666,2025-10-12,-0.0870842564606955,30,8,3.7333333333333334,2.9,3.6503505228335977,3.006677975141421,0.5516993162381171,0.5602939157737783,0.5700307005156174,0.5644170667117495,1.0,0.5644170667117495,604,Active,39
MSC LSTS Boys 2016 GOLD,NY,30,44,18,9,0,0.6,115,84,31,0.595,1,0.03333333333333333,13,0.43333333333333335,2025-10-05,-0.09018168139190827,30,1,3.8333333333333335,2.8,3.7292978912546504,2.9277306067203686,0.5656002143998043,0.5731277897264655,0.5573172900469302,0.562135974853412,1.0,0.562135974853412,620,Active,40
Inter,NY,30,72,16,14,0,0.5333333333333333,97,86,11,0.5366666666666666,1,0.03333333333333333,7,0.23333333333333334,2025-10-12,-0.07581192033729378,30,1,3.2333333333333334,2.8666666666666667,3.2556136807283345,2.980362185667737,0.48141430067637286,0.5645817168764471,0.5865375245245346,0.5611217182252848,1.0,0.5611217182252848,630,Active,41
B2016 White,NY,30,216,13,13,0,0.43333333333333335,121,105,11,0.42999999999999994,0,0.0,5,0.16666666666666666,2025-10-11,-0.11327830093344227,30,0,4.033333333333333,3.5,3.8871926280967557,3.480362185667737,0.5930741971808283,0.4821927304498854,0.5560975517046113,0.5487119165489096,1.0,0.5487119165489096,711,Active,42
EM B16 EDP Black,NY,30,42,13,14,0,0.43333333333333335,106,113,-12,0.43666666666666665,1,0.03333333333333333,11,0.36666666666666664,2025-10-12,-0.08732218221432886,30,1,3.533333333333333,3.7666666666666666,3.4924557859914924,3.6908885014572106,0.5236754260016445,0.4475330296580926,0.5847120588724214,0.5450689264554003,1.0,0.5450689264554003,736,Active,43
B2016 Blue (Legion),NY,30,43,11,17,0,0.36666666666666664,89,96,-10,0.36333333333333334,3,0.1,15,0.5,2025-10-11,-0.09369914242265534,30,3,2.966666666666667,3.2,3.045087364938861,3.243520080404579,0.4440521946917153,0.5213739369715802,0.5813882645079593,0.5419181850374347,1.0,0.5419181850374347,766,Active,44
B2016 (Chefs),NY,30,63,15,11,0,0.5,82,71,13,0.5016666666666667,11,0.36666666666666664,3,0.1,2025-10-05,-0.12044945347506238,30,10,2.7333333333333334,2.3666666666666667,2.8608768386230716,2.585625343562474,0.41185718838092605,0.6274103609772617,0.5552919830178249,0.5410286996823325,1.0,0.5410286996823325,778,Active,45
Elite,NY,30,50,15,9,0,0.5,91,64,25,0.5033333333333334,9,0.3,12,0.4,2025-10-11,-0.1291920271815797,30,9,3.033333333333333,2.1333333333333333,3.0977189438862296,2.4014148172466845,0.4533501972193655,0.6554503233465948,0.5312573379534301,0.5405145068852502,1.0,0.5405145068852502,780,Active,46
NY Select 2016,NY,19,19,8,11,0,0.42105263157894735,72,71,2,0.375,0,0.0,9,0.47368421052631576,2025-08-31,-0.044830489637341764,19,0,3.789473684210526,3.736842105263158,3.6560488839880265,3.6390282613101483,0.5527056499529202,0.45603683045884924,0.5878547628099912,0.5544613537683486,0.9746794344808963,0.5404220787324462,782,Active,47
SWSC BU9 Rangers,NY,15,15,6,5,0,0.4,57,44,18,0.2,2,0.13333333333333333,6,0.4,2025-06-15,0.03499193458235293,15,2,3.8,2.933333333333333,3.639709559464205,3.0979896980597394,0.5498189885505732,0.5453499821782544,0.6739616843867366,0.6234108047778075,0.8660254037844386,0.5398895939312826,784,Active,48
Falcons,NY,30,90,19,9,0,0.6333333333333333,104,75,27,0.6333333333333333,17,0.5666666666666667,7,0.23333333333333334,2025-10-12,-0.11997807139382735,30,17,3.466666666666667,2.5,3.4398242070441243,2.6908885014572106,0.5142920473967733,0.6109794404382614,0.5234457056291402,0.5391217209444911,1.0,0.5391217209444911,789,Active,49
2016 Pre-Academy Green,NY,30,63,14,14,0,0.4666666666666667,124,117,1,0.45833333333333337,2,0.06666666666666667,6,0.2,2025-10-11,-0.12552753550851511,30,2,4.133333333333334,3.9,3.9661399965178092,3.7961516593519478,0.6066069613601965,0.4303715626154808,0.5510657428407395,0.5380351504995792,1.0,0.5380351504995792,799,Active,50
2016 Pre-Academy White,NY,30,42,14,15,0,0.4666666666666667,103,84,18,0.4666666666666666,6,0.2,14,0.4666666666666667,2025-10-11,-0.14885386435445042,30,6,3.433333333333333,2.8,3.4135084175704398,2.9277306067203686,0.509596162080665,0.5731277897264655,0.52409210090286,0.5310000509031421,1.0,0.5310000509031421,854,Active,51
AB7 Future Soccer Academy 2016 Blue,NY,30,34,17,7,0,0.5666666666666667,124,85,32,0.5666666666666667,0,0.0,18,0.6,2025-10-12,-0.18057392650803977,30,0,4.133333333333334,2.8333333333333335,3.9661399965178092,2.954046396194053,0.6066069613601965,0.568859879732039,0.4767204851243067,0.5211256592930311,1.0,0.5211256592930311,947,Active,52
B16 Red Phantoms,NY,28,29,17,10,0,0.6071428571428571,102,91,11,0.6116666666666666,7,0.25,14,0.5,2025-10-05,-0.16092711069996907,28,7,3.642857142857143,3.25,3.575369996324353,3.284826751538167,0.5384213223511237,0.5145458425267116,0.5154670605702142,0.5198736693176955,1.0,0.5198736693176955,961,Active,53
B16 Red,NY,30,125,15,13,0,0.5,127,128,2,0.5016666666666667,0,0.0,10,0.3333333333333333,2025-10-12,-0.14154973487387737,30,0,4.233333333333333,4.266666666666667,4.045087364938861,4.085625343562474,0.6199780535080033,0.38414570730948605,0.5309578033129688,0.5193994341512791,1.0,0.5193994341512791,969,Active,54
Blue Tigers 2016,NY,30,39,17,12,0,0.5666666666666667,87,116,-5,0.5766666666666667,6,0.2,9,0.3,2025-10-05,-0.1171319507939779,30,6,2.9,3.8666666666666667,2.9924557859914924,3.7698358698782632,0.43479321311862995,0.434647926180858,0.5755750937123442,0.5192332840873041,1.0,0.5192332840873041,970,Active,55
Blue Devils,NY,30,68,9,16,0,0.3,85,112,-19,0.30000000000000004,17,0.5666666666666667,3,0.1,2025-10-11,-0.09254225124925385,30,17,2.8333333333333335,3.7333333333333334,2.9398242070441243,3.6645727119835265,0.4255795036211866,0.4518446529797545,0.5689825371536249,0.5168743536123632,1.0,0.5168743536123632,994,Active,56
B2016 RAPHINHA,NY,30,50,12,14,0,0.4,151,143,15,0.3983333333333333,0,0.0,17,0.5666666666666667,2025-10-11,-0.15014130972860099,30,0,5.033333333333333,4.766666666666667,4.676666312307282,4.480362185667737,0.7192048420464696,0.3244636104895209,0.5103708472497827,0.5149561988570677,1.0,0.5149561988570677,1009,Active,57
Gunners B2016,NY,30,33,15,10,0,0.5,132,96,31,0.5016666666666666,0,0.0,15,0.5,2025-10-11,-0.18528912725844646,30,0,4.4,3.2,4.176666312307282,3.243520080404579,0.6418555997875538,0.5213739369715802,0.4674103104438359,0.5130920936181284,1.0,0.5130920936181284,1026,Active,58
