Team,State,Games_Played,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Win_Pct_Norm,Goal_Diff_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Cleveland Force 16B White West,OH,30,26,4,0,0.8666666666666667,232,49,183,1.0,0,0.0,30,1.0,2025-10-12,0.545542292956086,24,0,0.8666666666666667,0.874,0.545542292956086,0.675458709106985,1.224744871391589,0.8272645898155631,6,Active,1
SPIRE FC 2016 BLACK BOYS,OH,30,30,0,0,1.0,228,47,181,1.0,2,0.06666666666666667,30,1.0,2025-10-12,0.4593410477701666,27,2,1.0,0.87,0.4593410477701666,0.6496046286621,1.224744871391589,0.7955999373861445,15,Active,2
Ambassadors FC 2016 Boys Blue,OH,30,24,6,0,0.8,239,77,162,0.6,2,0.06666666666666667,30,1.0,2025-10-12,0.5039097266369994,22,2,0.8,0.832,0.5039097266369994,0.6287458359821996,1.224744871391589,0.7700532380280161,30,Active,3
2016 Boys Academy Dublin Black,OH,29,23,3,0,0.7931034482758621,176,45,131,1.0,7,0.2413793103448276,29,1.0,2025-09-14,0.5298337805886972,23,7,0.7931034482758621,0.77,0.5298337805886972,0.6305209580083908,1.2041594578792296,0.7592477749768763,37,Active,4
Forest Hills FC B2016,OH,30,26,4,0,0.8666666666666667,128,45,83,0.9,0,0.0,30,1.0,2025-10-05,0.4893353772664117,22,0,0.8666666666666667,0.674,0.4893353772664117,0.6017345596931803,1.224744871391589,0.7369713159232986,51,Active,5
CE 2016B Grasshoppers,OH,30,20,6,0,0.6666666666666666,122,66,56,0.4,8,0.26666666666666666,30,1.0,2025-05-27,0.548818072166924,19,8,0.6666666666666666,0.62,0.548818072166924,0.5866241766334876,1.224744871391589,0.7184649517661775,88,Active,6
Columbus Force 16B Pre-ECNL,OH,30,21,8,0,0.7,139,81,58,0.7,1,0.03333333333333333,30,1.0,2025-09-21,0.5199233716475095,18,1,0.7,0.624,0.5199233716475095,0.5767540229885056,1.224744871391589,0.7063765317096389,109,Active,7
Cleveland Force 16B Yellow West,OH,30,19,10,0,0.6333333333333333,164,133,31,0.7,1,0.03333333333333333,30,1.0,2025-10-12,0.5593482440124908,19,1,0.6333333333333333,0.57,0.5593482440124908,0.5762756130741612,1.224744871391589,0.7057906016206226,111,Active,8
Kolping SC B16 Orange,OH,30,22,5,0,0.7333333333333333,122,76,46,1.0,0,0.0,30,1.0,2025-10-12,0.5075962018990505,23,0,0.7333333333333333,0.6,0.5075962018990505,0.571224387806097,1.224744871391589,0.6996041393793173,126,Active,9
Ambassadors FC 2016 Boys White,OH,30,20,8,0,0.6666666666666666,178,98,80,0.4,0,0.0,30,1.0,2025-10-12,0.4994172494172494,26,0,0.6666666666666666,0.668,0.4994172494172494,0.566583682983683,1.224744871391589,0.6939204599484237,143,Active,10
Grasshoppers FC - 2016B Pool 1,OH,30,17,7,0,0.5666666666666667,108,58,50,0.8,11,0.36666666666666664,30,1.0,2025-10-12,0.5453605399976368,28,11,0.5666666666666667,0.608,0.5453605399976368,0.5621496573319154,1.224744871391589,0.6884899097718025,157,Active,11
Croatia Juniors 2016 Boys Blue,OH,29,13,13,0,0.4482758620689655,127,128,-1,0.4,2,0.06896551724137931,29,1.0,2025-10-04,0.6264069264069263,21,2,0.4482758620689655,0.506,0.6264069264069263,0.5666993282579489,1.2041594578792296,0.6823963558956153,172,Active,12
CUSM 16B Bayern,OH,30,25,3,0,0.8333333333333334,133,64,69,0.8,0,0.0,30,1.0,2025-10-12,0.4346360153256705,25,0,0.8333333333333334,0.646,0.4346360153256705,0.556648275862069,1.224744871391589,0.6817521210310394,178,Active,13
UPPER 90 FC Pre ECNL 2016 Boys Red,OH,30,20,9,0,0.6666666666666666,138,91,47,0.7,0,0.0,30,1.0,2025-08-24,0.5041666666666665,24,0,0.6666666666666666,0.602,0.5041666666666665,0.5562333333333334,1.224744871391589,0.6812439222970482,181,Active,14
Club Ohio United 2016B Black,OH,30,18,10,0,0.6,132,87,45,0.6,0,0.0,30,1.0,2025-09-28,0.5187830687830688,21,0,0.6,0.598,0.5187830687830688,0.5508698412698412,1.224744871391589,0.6746750128995367,212,Active,15
Club Ohio West 16B Green II,OH,30,22,4,0,0.7333333333333333,148,63,85,0.8,0,0.0,30,1.0,2025-10-12,0.4442941673710904,26,0,0.7333333333333333,0.678,0.4442941673710904,0.5488431670893209,1.224744871391589,0.6721928540909627,225,Active,16
LEGEND SC 2016 Boys Haynes,OH,30,26,3,0,0.8666666666666667,142,23,119,1.0,0,0.0,30,1.0,2025-10-05,0.37684859584859587,25,0,0.8666666666666667,0.746,0.37684859584859587,0.5486424908424908,1.224744871391589,0.6719470768868474,226,Active,17
Cincy SC B16 Premier,OH,30,17,10,0,0.5666666666666667,136,92,44,0.9,24,0.8,30,1.0,2025-10-17,0.5231013761070441,24,24,0.5666666666666667,0.596,0.5231013761070441,0.5463941589975598,1.224744871391589,0.6691934439905818,237,Active,18
CAU Force 2016B Blue,OH,30,20,8,0,0.6666666666666666,132,111,21,0.9,0,0.0,30,1.0,2025-10-12,0.5000932596582034,29,0,0.6666666666666666,0.55,0.5000932596582034,0.5433892891282553,1.224744871391589,0.665513245028952,254,Active,19
STAR Rush B2016 Blue,OH,30,19,8,0,0.6333333333333333,119,71,48,0.6,0,0.0,30,1.0,2025-10-09,0.4842490842490843,28,0,0.6333333333333333,0.604,0.4842490842490843,0.5380161172161173,1.224744871391589,0.6589324802864557,281,Active,20
Madeira FC B2016 Blue,OH,30,16,11,0,0.5333333333333333,107,87,20,0.3,0,0.0,30,1.0,2025-10-11,0.5342163009404388,20,0,0.5333333333333333,0.548,0.5342163009404388,0.53679644723093,1.224744871391589,0.6574386957273072,290,Active,21
CULM 16B Aberdeen,OH,30,18,4,0,0.6,116,74,42,0.6,0,0.0,30,1.0,2025-10-11,0.4967512077294686,24,0,0.6,0.592,0.4967512077294686,0.5364507246376812,1.224744871391589,0.6570152737543016,294,Active,22
Polaris SC 16B Navy,OH,30,22,5,0,0.7333333333333333,96,44,52,0.8,0,0.0,30,1.0,2025-10-12,0.4446305418719212,25,0,0.7333333333333333,0.612,0.4446305418719212,0.5358449917898194,1.224744871391589,0.6562734055554493,296,Active,23
Cleveland Select U10 Boys Yellow,OH,30,22,6,0,0.7333333333333333,163,70,93,0.6,2,0.06666666666666667,30,1.0,2025-10-11,0.41706089104208227,22,2,0.7333333333333333,0.694,0.41706089104208227,0.5357032012919161,1.224744871391589,0.6560997483703302,298,Active,24
CUSE 16B Arsenal,OH,30,18,8,0,0.6,147,86,61,0.5,0,0.0,30,1.0,2025-10-05,0.4816,25,0,0.6,0.63,0.4816,0.53496,1.224744871391589,0.6551895163996444,302,Active,25
Lakota FC B16 Red,OH,30,9,14,0,0.3,72,76,-4,0.3,0,0.0,30,1.0,2025-10-12,0.6220289855072464,23,0,0.3,0.5,0.6220289855072464,0.5332173913043479,1.224744871391589,0.653055265336802,311,Active,26
FC Storm B16 IH Orange,OH,30,18,5,0,0.6,105,65,40,0.6,0,0.0,30,1.0,2025-10-05,0.4908717948717949,25,0,0.6,0.588,0.4908717948717949,0.5321230769230769,1.224744871391589,0.6517150094106504,319,Active,27
2016 Boys Academy Dublin Grey,OH,30,21,2,0,0.7,144,52,92,1.0,0,0.0,30,1.0,2025-09-20,0.4224379069206655,22,0,0.7,0.692,0.4224379069206655,0.5318627441523993,1.224744871391589,0.6513961681849079,322,Active,28
CULM 16B Brechin,OH,30,20,9,0,0.6666666666666666,148,59,89,1.0,0,0.0,30,1.0,2025-10-11,0.43504273504273516,26,0,0.6666666666666666,0.686,0.43504273504273516,0.5315589743589744,1.224744871391589,0.651024127688327,327,Active,29
Madeira FC B2016 Orange,OH,30,17,9,0,0.5666666666666667,126,82,44,0.5,0,0.0,30,1.0,2025-10-11,0.4888808373590982,24,0,0.5666666666666667,0.596,0.4888808373590982,0.5258618357487923,1.224744871391589,0.6440465863938994,365,Active,30
Cincy Galaxy 2016B Navy,OH,30,20,9,0,0.6666666666666666,119,55,64,0.6,0,0.0,30,1.0,2025-10-12,0.43805453805453803,21,0,0.6666666666666666,0.636,0.43805453805453803,0.5233660561660561,1.224744871391589,0.6409898931498196,387,Active,31
GC Cosmos B2016 Green,OH,29,18,7,0,0.6206896551724138,110,45,65,0.2,20,0.6896551724137931,29,1.0,2025-10-14,0.4666272189349112,26,20,0.6206896551724138,0.638,0.4666272189349112,0.5317142623954295,1.2041594578792296,0.6402687579527349,389,Active,32
Cincinnati Elite FC B16 Gold-East,OH,30,18,10,0,0.6,119,59,60,0.8,0,0.0,30,1.0,2025-10-04,0.46190476190476193,21,0,0.6,0.628,0.46190476190476193,0.5227428571428572,1.224744871391589,0.6402266333423003,390,Active,33
FOSC Lebanon Warriors Premier B2016 Maroon,OH,30,17,8,0,0.5666666666666667,122,79,43,0.6,0,0.0,30,1.0,2025-10-08,0.48364682609533866,26,0,0.5666666666666667,0.594,0.48364682609533866,0.5223214289905365,1.224744871391589,0.6397104913740855,393,Active,34
CAPS FC 2016 Boys,OH,30,18,12,0,0.6,239,138,101,0.6,0,0.0,30,1.0,2025-10-11,0.4298898071625344,22,0,0.6,0.71,0.4298898071625344,0.5199338842975206,1.224744871391589,0.6367863582560962,413,Active,35
PSC B2016 Gold,OH,30,22,4,0,0.7333333333333333,187,43,144,0.6,22,0.7333333333333333,30,1.0,2025-10-12,0.3549022824440781,25,22,0.7333333333333333,0.796,0.3549022824440781,0.5188080361331135,1.224744871391589,0.635407481490773,420,Active,36
Club Ohio East Pre MLS NEXT 16B,OH,28,19,6,0,0.6785714285714286,126,62,64,0.8,0,0.0,28,1.0,2025-10-12,0.4556410256410257,20,0,0.6785714285714286,0.636,0.4556410256410257,0.5362989010989012,1.1832159566199232,0.63455741729795,426,Active,37
