Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Grasshoppers FC - 2016B Pool 1,OH,30,36,17,7,0,0.5666666666666667,108,58,40,0.5700000000000001,11,0.36666666666666664,7,0.23333333333333334,2025-10-12,0.3528980804583312,30,11,3.6,1.9333333333333333,3.545087364938861,2.243520080404579,0.5330421202984004,0.6786603903211782,0.8586202337866529,0.7575126423959073,1.224744871391589,0.9277597237886782,20,Active,1
2016 Boys Academy Dublin Black,OH,29,30,23,3,0,0.7931034482758621,176,45,95,0.7966666666666666,7,0.2413793103448276,6,0.20689655172413793,2025-09-14,0.19506629474783146,29,7,6.068965517241379,1.5517241379310345,5.478738374802074,1.9528044069020003,0.8195572246276388,0.7191193947499737,0.7657065799745609,0.767159271860259,1.2041594578792296,0.923782092910274,25,Active,2
Cleveland Force 16B White West,OH,30,107,26,4,0,0.8666666666666667,232,49,122,0.8633333333333334,0,0.0,7,0.23333333333333334,2025-10-12,0.12340753116841327,30,0,7.733333333333333,1.6333333333333333,6.8082452596757035,2.006677975141421,0.9214973534841896,0.7118588949879066,0.702114925250356,0.7479402048446329,1.224744871391589,0.9160359299910386,29,Active,3
Cincy SC B16 Premier,OH,30,35,17,10,0,0.5666666666666667,136,92,34,0.5683333333333334,24,0.8,8,0.26666666666666666,2025-10-17,0.2846875226430159,30,24,4.533333333333333,3.066666666666667,4.2819294702020185,3.1382569225098425,0.6589468878842994,0.5387322275867664,0.8359474376759193,0.7411042856997647,1.224744871391589,0.9076636730771137,31,Active,4
SPIRE FC 2016 BLACK BOYS,OH,30,50,30,0,0,1.0,228,47,139,1.0,2,0.06666666666666667,4,0.13333333333333333,2025-10-12,0.05033347645267905,30,2,7.6,1.5666666666666667,6.702982101780966,1.9540463961940528,0.9158837710406313,0.7189532733248771,0.6367555741801535,0.7090207533811939,1.224744871391589,0.8683695314138178,52,Active,5
Ambassadors FC 2016 Boys Blue,OH,30,51,24,6,0,0.8,239,77,100,0.8066666666666665,2,0.06666666666666667,8,0.26666666666666666,2025-10-12,0.03851993216608147,30,2,7.966666666666667,2.566666666666667,6.992455785991493,2.743520080404579,0.9305021390291125,0.6026658045073703,0.6363180885319891,0.68842444182649,1.224744871391589,0.8431443044676109,75,Active,6
TFA B16 Elite,OH,30,57,13,17,0,0.43333333333333335,63,97,-18,0.43,18,0.6,3,0.1,2025-10-12,0.2116034963964416,30,18,2.1,3.2333333333333334,2.3608768386230716,3.2698358698782632,0.3288509079645095,0.5170246341758067,0.8301546616124983,0.6672679053955622,1.224744871391589,0.8172329449774228,115,Active,7
Ambassadors FC 2016 Boys White,OH,30,43,20,8,0,0.6666666666666666,178,98,57,0.6716666666666666,0,0.0,6,0.2,2025-10-12,-0.0006129915055751792,30,0,5.933333333333334,3.2666666666666666,5.387192628096756,3.2961516593519478,0.8096857743326441,0.5126727504959994,0.6294285395512873,0.642128828696501,1.224744871391589,0.7864439897187278,164,Active,8
CUSE 16B Arsenal,OH,30,43,18,8,0,0.6,147,86,59,0.5983333333333333,0,0.0,6,0.2,2025-10-05,0.031323439877170595,30,0,4.9,2.8666666666666667,4.571403154412545,2.980362185667737,0.7037757852383751,0.5645817168764471,0.6471425179898043,0.641957011216847,1.224744871391589,0.7862335571417061,165,Active,9
CE 2016B Grasshoppers,OH,30,58,20,6,0,0.6666666666666666,122,66,44,0.675,8,0.26666666666666666,11,0.36666666666666664,2025-05-27,0.03763828740368001,30,8,4.066666666666666,2.2,3.9135084175704398,2.454046396194053,0.5976019325412073,0.6475388103212933,0.653473166491276,0.6411120484672657,1.224744871391589,0.7851986933476394,167,Active,10
DUSC Cobras 2016 Boys,OH,30,52,17,7,0,0.5666666666666667,105,77,28,0.565,21,0.7,10,0.3333333333333333,2025-10-05,0.08907398367919277,30,21,3.5,2.566666666666667,3.4661399965178084,2.743520080404579,0.5189854107361288,0.6026658045073703,0.6859704109393783,0.6359124896123268,1.224744871391589,0.7788305603065544,181,Active,11
2016 Boys Academy Dublin Grey,OH,30,34,21,2,0,0.7,144,52,80,0.6983333333333334,0,0.0,10,0.3333333333333333,2025-09-20,-0.04852973813923105,30,0,4.8,1.7333333333333334,4.492455785991493,2.085625343562474,0.6918878326609083,0.7010201327800369,0.5588551503131108,0.6138946832760556,1.224744871391589,0.7518643649169129,241,Active,12
Club Ohio West 16B Green II,OH,30,65,22,4,0,0.7333333333333333,148,63,81,0.7433333333333334,0,0.0,4,0.13333333333333333,2025-10-12,-0.04722999580240769,30,0,4.933333333333334,2.1,4.597718943886229,2.3750990277730004,0.707678893636587,0.6593743253992184,0.5660769713538512,0.6130568266194718,1.224744871391589,0.7508382042738007,243,Active,13
Forest Hills FC B2016,OH,30,51,26,4,0,0.8666666666666667,128,45,80,0.8633333333333334,0,0.0,9,0.3,2025-10-05,-0.05054912143437515,30,0,4.266666666666667,1.5,4.071403154412545,1.9014148172466845,0.6243960220430453,0.7259402268891852,0.5687253971133385,0.6113024880544492,1.224744871391589,0.7486895871136047,250,Active,14
UPPER 90 FC Pre ECNL 2016 Boys Red,OH,30,42,20,9,0,0.6666666666666666,138,91,44,0.6716666666666666,0,0.0,10,0.3333333333333333,2025-08-24,-0.018804186020868918,30,0,4.6,3.033333333333333,4.334561049149388,3.111941133036158,0.6673432883613991,0.5430588134362537,0.612038956088842,0.6093037940128357,1.224744871391589,0.7462416968366578,262,Active,15
CAU Force 2016B Blue,OH,30,67,20,8,0,0.6666666666666666,132,111,34,0.6666666666666666,0,0.0,7,0.23333333333333334,2025-10-12,0.012958762210090922,30,0,4.4,3.7,4.176666312307282,3.6382569225098425,0.6418555997875538,0.4561635171934625,0.6479426247984006,0.6083693982752436,1.224744871391589,0.7450973004491915,266,Active,16
CULM 16B Aberdeen,OH,30,41,18,4,0,0.6,116,74,39,0.6066666666666667,0,0.0,7,0.23333333333333334,2025-10-11,-0.019634046209377386,30,0,3.8666666666666667,2.466666666666667,3.7556136807283345,2.6645727119835265,0.5702121141107013,0.6151125075633612,0.6166863488945802,0.6070767336715606,1.224744871391589,0.7435141161054013,273,Active,17
LEGEND SC 2016 Boys Haynes,OH,30,47,26,3,0,0.8666666666666667,142,23,103,0.87,0,0.0,7,0.23333333333333334,2025-10-05,-0.09646214799860289,30,0,4.733333333333333,0.7666666666666667,4.439824207044124,1.3224674488256318,0.6838174253182677,0.7953413118603614,0.513236680806243,0.6037737559194716,1.224744871391589,0.7394688110432098,280,Active,18
CUSM 16B Bayern,OH,30,58,25,3,0,0.8333333333333334,133,64,67,0.83,0,0.0,6,0.2,2025-10-12,-0.0585994871825594,30,0,4.433333333333334,2.1333333333333333,4.202982101780966,2.4014148172466845,0.6461643864925285,0.6554503233465948,0.5697968361827532,0.6022010436774766,1.224744871391589,0.7375426397906517,290,Active,19
Columbus Force 16B Pre-ECNL,OH,30,30,21,8,0,0.7,139,81,50,0.7066666666666666,1,0.03333333333333333,14,0.4666666666666667,2025-09-21,-0.052162212800220875,30,1,4.633333333333334,2.7,4.360876838623072,2.848783238299316,0.6715023720000476,0.585863949104091,0.582944689326363,0.6012400778166456,1.224744871391589,0.7363657017810165,293,Active,20
Polaris SC 16B Navy,OH,30,52,22,5,0,0.7333333333333333,96,44,44,0.7333333333333333,0,0.0,5,0.16666666666666666,2025-10-12,-0.04234359273874755,30,0,3.2,1.4666666666666666,3.2292978912546504,1.8750990277730002,0.4767239680511952,0.72939287371498,0.5942688059839956,0.5977846519436324,1.224744871391589,0.7321336866645698,308,Active,21
STAR Rush B2016 Blue,OH,30,64,19,8,0,0.6333333333333333,119,71,42,0.6399999999999999,0,0.0,2,0.06666666666666667,2025-10-09,-0.05271757046578744,30,0,3.966666666666667,2.3666666666666667,3.834561049149387,2.585625343562474,0.5839718461063022,0.6274103609772617,0.5863609048055024,0.5940929843000142,1.224744871391589,0.7276123356511662,317,Active,22
