Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
SWAG Academy 2016,PA,30,87,22,6,0,0.7333333333333333,152,45,81,0.7366666666666666,28,0.9333333333333333,5,0.16666666666666666,2025-10-12,0.5071278164485309,30,28,5.066666666666666,1.5,4.702982101780966,1.9014148172466845,0.7229846742307094,0.7259402268891852,0.9304625217259735,0.8480624932595631,1.0,0.8480624932595631,1,Active,1
FC Philly,PA,30,86,23,5,0,0.7666666666666667,167,47,111,0.7683333333333333,18,0.6,14,0.4666666666666667,2025-07-27,0.21156943325814195,30,18,5.566666666666666,1.5666666666666667,5.097718943886229,1.9540463961940528,0.7757782606053683,0.718953273324877,0.7947768662219166,0.775812426519199,1.0,0.775812426519199,10,Active,2
2016 Nero Boys,PA,29,29,21,6,0,0.7241379310344828,98,58,40,0.7183333333333333,5,0.1724137931034483,6,0.20689655172413793,2025-10-12,0.31726413809636883,29,5,3.3793103448275863,2.0,3.3706302666939654,2.3041557582533514,0.5019415722764762,0.6698434232961394,0.7955266398042132,0.7116729829970511,1.0,0.7116729829970511,61,Active,3
Whitpain 2016 Green,PA,29,30,8,18,0,0.27586206896551724,82,94,-13,0.27749999999999997,7,0.2413793103448276,13,0.4482758620689655,2025-10-12,0.10438999676131017,29,7,2.8275862068965516,3.2413793103448274,2.938197834261533,3.2771287312263246,0.4252955775247512,0.5158188326215853,0.8255660176710521,0.6835624926318986,1.0,0.6835624926318986,103,Active,4
Wolves Black 2016,PA,30,58,25,3,0,0.8333333333333334,125,42,71,0.8316666666666667,8,0.26666666666666666,3,0.1,2025-10-12,0.2752404642822602,30,8,4.166666666666667,1.4,3.9924557859914933,1.8224674488256318,0.611082863559558,0.7362155168951565,0.6781142346247373,0.6763282168657853,1.0,0.6763282168657853,118,Active,5
CSSC Destroyers 16,PA,27,28,23,0,0,0.8518518518518519,112,34,78,0.7816666666666667,3,0.1111111111111111,3,0.1111111111111111,2025-10-05,0.42824747447848976,27,3,4.148148148148148,1.2592592592592593,3.963237710505049,1.7501075158678288,0.6061122153938829,0.7454134436218238,0.6689255711609414,0.6716604744997062,1.0,0.6716604744997062,123,Active,6
Raptors,PA,30,145,14,14,0,0.4666666666666667,73,91,-13,0.4716666666666667,22,0.7333333333333333,4,0.13333333333333333,2025-10-12,-0.0008935180535046827,30,22,2.433333333333333,3.033333333333333,2.6240347333599137,3.111941133036158,0.3715804133449393,0.5430588134362537,0.80198147790705,0.6641167321004686,1.0,0.6641167321004686,138,Active,7
PA Classics Academy Lancaster 16M,PA,30,48,16,12,0,0.5333333333333333,89,95,-6,0.5233333333333333,21,0.7,7,0.23333333333333334,2025-10-12,0.17241065132920536,30,21,2.966666666666667,3.1666666666666665,3.045087364938861,3.217204290930895,0.4440521946917153,0.5257200017088293,0.7828196086251841,0.6636462044552194,1.0,0.6636462044552194,139,Active,8
Towamencin Timberwolves,PA,30,57,23,5,0,0.7666666666666667,126,39,79,0.7633333333333333,2,0.06666666666666667,5,0.16666666666666666,2025-10-12,0.40004453419044644,30,2,4.2,1.3,4.018771575465177,1.7435200804045792,0.6155401162362442,0.7462402248136693,0.6518107963296011,0.6634425460077433,1.0,0.6634425460077433,140,Active,9
Black Conshy '16 (B),PA,30,70,16,6,0,0.5333333333333333,149,76,55,0.5299999999999999,0,0.0,16,0.5333333333333333,2025-10-11,0.17567085392994736,30,0,4.966666666666667,2.533333333333333,4.624034733359913,2.717204290930895,0.7115516521552983,0.6068303593895323,0.6438890530424265,0.650009834134422,1.0,0.650009834134422,169,Active,10
