Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
BH Rapids 2016 Boys Burgundy,SD,26,26,21,4,0,0.8076923076923077,139,56,74,0.71,18,0.6923076923076923,7,0.2692307692307692,2025-03-02,0.12249927472814702,26,18,5.346153846153846,2.1538461538461537,4.873921172578727,2.4486400898639413,0.7467583975279853,0.6483553077323366,0.72665034119802,0.7150129457708763,1.0,0.7150129457708763,56,Inactive,1
BH Rapids BU10 Burgundy,SD,30,33,25,4,0,0.8333333333333334,167,51,89,0.8333333333333334,8,0.26666666666666666,23,0.7666666666666667,2025-09-14,-0.08814183995358743,30,8,5.566666666666666,1.7,5.097718943886229,2.05930955408879,0.7757782606053685,0.7046590007214567,0.5153334735180984,0.605287536376224,1.0,0.605287536376224,332,Active,2
BH Rapids BU10 White,SD,30,43,19,7,0,0.6333333333333333,142,91,44,0.6266666666666667,7,0.23333333333333334,17,0.5666666666666667,2025-10-12,-0.07715123506897618,30,7,4.733333333333333,3.033333333333333,4.439824207044124,3.111941133036158,0.6838174253182677,0.5430588134362537,0.5427606259951895,0.5710316233480179,1.0,0.5710316233480179,547,Active,3
Ignite U10 Boys Blue,SD,11,11,9,2,0,0.8181818181818182,41,19,16,0.4090909090909091,5,0.45454545454545453,0,0.0,2025-10-12,0.07689676889290707,11,5,3.727272727272727,1.7272727272727273,3.5638589404040375,2.4344085818617898,0.536377561498921,0.6505004939778951,0.7168886161126998,0.6675087807629831,0.7416198487095663,0.4950377610017506,1205,Active,4
Ignite U9/U10 Boys Yellow,SD,21,21,6,15,0,0.2857142857142857,67,79,-14,0.275,8,0.38095238095238093,9,0.42857142857142855,2025-10-12,-0.2183628421035635,21,8,3.1904761904761907,3.761904761904762,3.2314937885405763,3.663922863978414,0.47711520312983496,0.45195121940372385,0.4980281491519703,0.484630173997894,1.0,0.484630173997894,1284,Active,5
Ignite U9/U10 Boys Red,SD,17,17,12,3,0,0.7058823529411765,73,32,39,0.6833333333333333,9,0.5294117647058824,6,0.35294117647058826,2025-06-08,-0.2222755289274215,17,9,4.294117647058823,1.8823529411764706,3.988532794707069,2.3701505222149604,0.6104167909125289,0.6601097923901551,0.42784942545998667,0.5108149719365288,0.9219544457292888,0.4709481343219646,1413,Active,6
BH Rapids 2016 Boys White,SD,21,21,6,13,0,0.2857142857142857,65,95,-26,0.2,9,0.42857142857142855,8,0.38095238095238093,2025-03-01,-0.3016426998255707,21,9,3.0952380952380953,4.523809523809524,3.1625282712991973,4.215647001909448,0.46484373566196435,0.363993566682957,0.4098920268677116,0.41170267658961124,1.0,0.41170267658961124,1976,Inactive,7
BASA,SD,9,9,2,5,0,0.2222222222222222,19,34,-15,0.1111111111111111,3,0.3333333333333333,3,0.3333333333333333,2025-08-24,0.017777176603487876,9,3,2.111111111111111,3.7777777777777777,2.689018815745689,3.6031625326690593,0.38248073817163897,0.4619332593839953,0.7212449610546674,0.6016297761439273,0.6708203932499369,0.40358552302374084,2043,Active,8
HCSC Blaze,SD,7,7,5,0,0,0.7142857142857143,48,21,25,0.35714285714285715,0,0.0,2,0.2857142857142857,2025-08-24,0.09620266657256438,7,0,6.857142857142857,3.0,4.980887991178448,3.216917537024934,0.7609312911147459,0.5257673389931521,0.6871317755250417,0.6696187913366046,0.5916079783099616,0.3961518193810087,2109,Active,9
Oahe Futbol Club U10,SD,7,7,0,7,0,0.0,6,43,-34,0.0,0,0.0,3,0.42857142857142855,2025-08-24,0.09265359423527433,7,0,0.8571428571428571,6.142857142857143,2.1808879911784476,4.6835842036916,0.30112791473009376,0.2956952596417258,0.789057244952642,0.592798981845949,0.5916079783099616,0.3507046071940855,2409,Active,10
DASC Galaxy,SD,11,11,4,5,0,0.36363636363636365,31,38,-3,0.18181818181818182,0,0.0,7,0.6363636363636364,2025-08-24,-0.22766471560211518,11,0,2.8181818181818183,3.4545454545454546,3.0375431509303534,3.4344085818617898,0.44272246837356133,0.4897927905280376,0.4616434605867559,0.4634891281323733,0.7416198487095663,0.3437327370840595,2464,Active,11
BH Rapids BU10 Sky,SD,10,10,7,3,0,0.7,57,35,17,0.35,3,0.3,2,0.2,2025-09-14,-0.3634214169580413,10,3,5.7,3.5,4.650739992648706,3.4585423919652225,0.7154503678436609,0.4858005967287369,0.2985670608684779,0.4193904294355663,0.7071067811865476,0.29655381661862723,2726,Active,12
Sturgis U10,SD,14,14,7,7,0,0.5,55,69,-7,0.25,2,0.14285714285714285,11,0.7857142857142857,2025-09-14,-0.5623123996433418,14,2,3.9285714285714284,4.928571428571429,3.7142418121671237,4.375171047971546,0.5629564333013418,0.3399113546073268,0.24362647693748118,0.32674944374422243,0.8366600265340756,0.27337819827303556,2841,Active,13
DASC Dynamo,SD,11,11,6,5,0,0.5454545454545454,40,33,8,0.2727272727272727,0,0.0,5,0.45454545454545453,2025-08-24,-0.4920121989969478,11,0,3.6363636363636362,3.0,3.5112273614566694,3.1712506871249477,0.5270184057818732,0.5332995357731698,0.1926331981772235,0.3276435072173427,0.7416198487095663,0.2429869282531974,2968,Active,14
DASC Revolution,SD,3,3,1,2,0,0.3333333333333333,7,18,-5,0.16666666666666666,0,0.0,0,0.0,2025-09-21,-0.05748407433053747,3,0,2.3333333333333335,6.0,3.064847260697883,4.113978459579456,0.44753878308744144,0.3797144664468669,0.6326819930329074,0.5450598457266062,0.3872983346207417,0.21110077051855297,3069,Provisional,15
Yankton United U10 Boys Red,SD,6,6,2,2,0,0.3333333333333333,9,17,-8,0.16666666666666666,0,0.0,4,0.6666666666666666,2025-08-24,-0.37485836193008015,6,0,1.5,2.8333333333333335,2.5509514191197655,3.1609830753838577,0.35947628017613287,0.5349910891796705,0.343588637460206,0.3850466563472843,0.5477225575051661,0.21089873937334735,3071,Active,16
Vermillion Predators U10B,SD,6,6,2,4,0,0.3333333333333333,12,20,-8,0.16666666666666666,0,0.0,1,0.16666666666666666,2025-08-24,-0.6691182417588686,6,0,2.0,3.3333333333333335,2.76523713340548,3.375268789669572,0.39541706058270015,0.4995801082313538,0.1361572257223407,0.26069376919621523,0.5477225575051661,0.1427878579898125,3189,Active,17
WYSA U10B,SD,6,6,0,5,0,0.0,8,30,-22,0.0,0,0.0,1,0.16666666666666666,2025-08-24,-0.7049219778374376,6,0,1.3333333333333333,5.0,2.479522847691194,4.089554503955286,0.34781640450869206,0.38353046044406225,0.14718859511029153,0.2345825300567258,0.5477225575051661,0.12848614330870234,3203,Active,18
Yankton United U10 Boys Black,SD,3,3,1,1,0,0.3333333333333333,4,2,2,0.16666666666666666,0,0.0,0,0.0,2025-08-24,-0.6601710326549276,3,0,1.3333333333333333,0.6666666666666666,2.792119987970611,2.659433005034001,0.40001600738900706,0.6159178174266149,0.12861620300083568,0.2803564867636258,0.3872983346207417,0.10858160042367428,3216,Provisional,19
