Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Midsouth Bartlett 2016 Navy,TN,30,32,20,7,0,0.6666666666666666,95,49,46,0.6733333333333333,8,0.26666666666666666,12,0.4,2025-09-21,0.16913343422260532,30,8,3.1666666666666665,1.6333333333333333,3.2029821017809663,2.006677975141421,0.4720377371689137,0.7118588949879064,0.7860800045422948,0.7084273291567409,1.224744871391589,0.8676427381383595,53,Active,1
JSC 2016 Boys - Team 1,TN,24,24,16,8,0,0.6666666666666666,108,82,22,0.55,2,0.08333333333333333,9,0.375,2025-09-21,-0.03302635420003516,24,2,4.5,3.4166666666666665,4.209791245864897,3.4141800954804378,0.6472754523804116,0.49313999356306937,0.6116591728017862,0.5950785928697679,1.0954451150103321,0.6518759376064096,695,Active,2
2016 Lobos Rush Blue,TN,26,26,15,8,0,0.5769230769230769,86,55,21,0.6233333333333333,10,0.38461538461538464,9,0.34615384615384615,2025-09-21,-0.08355542761470677,26,10,3.3076923076923075,2.1153846153846154,3.315097643166962,2.419228325158059,0.4920270831946143,0.652781991776969,0.5637760227904947,0.5672274286686134,1.140175425099138,0.6467387746101273,723,Active,3
KHP1 Murfreesboro B16,TN,18,18,12,4,0,0.6666666666666666,74,49,16,0.4833333333333333,13,0.7222222222222222,6,0.3333333333333333,2025-05-11,-0.052370743285930874,18,13,4.111111111111111,2.7222222222222223,3.873589225679874,2.9328370405913082,0.5907274114189577,0.572300455783859,0.5118797302886925,0.5397334116137789,0.9486832980505138,0.5120360729978152,1591,Active,4
Midsouth Bartlett 2016 Red,TN,22,22,8,12,0,0.36363636363636365,97,101,-10,0.3333333333333333,0,0.0,9,0.4090909090909091,2025-09-07,-0.2981509779606528,22,0,4.409090909090909,4.590909090909091,4.123777328922557,4.275125435179134,0.6331268046836577,0.35492693587156054,0.38579132930993154,0.4290855456970026,1.0488088481701516,0.45002871694893426,1953,Active,5
2016 Lobos Rush White,TN,20,20,6,14,0,0.3,47,87,-31,0.2,0,0.0,11,0.55,2025-09-21,-0.22609972182610144,20,0,2.35,4.35,2.6326185667027397,4.080491537691929,0.3730130519678571,0.3849501420951207,0.489053490118598,0.4450247328837543,1.0,0.4450247328837543,1980,Active,6
2016/17 Lobos Rush Gold,TN,19,19,7,12,0,0.3684210526315789,65,98,-33,0.2875,0,0.0,11,0.5789473684210527,2025-09-07,-0.22298589768635363,19,0,3.4210526315789473,5.157894736842105,3.3967896247287674,4.639028261310148,0.5066118674282535,0.3018755813586014,0.48265991308591466,0.45129343760891977,0.9746794344808963,0.4398664325536016,2003,Active,7
ARIS FC 2016 BOYS PREDATOR,TN,18,18,7,6,0,0.3888888888888889,57,62,0,0.4833333333333333,3,0.16666666666666666,13,0.7222222222222222,2025-05-11,-0.23950025333982403,18,3,3.1666666666666665,3.4444444444444446,3.2197430718337197,3.4328370405913082,0.47502195916120565,0.4900528041805292,0.409116960573305,0.43848512901232994,0.9486832980505138,0.4159835183375222,2134,Active,8
"Jackson, TN Boom Academy 2016",TN,20,20,3,17,0,0.15,37,93,-52,0.1,3,0.15,10,0.5,2025-09-21,-0.3503659895694534,20,3,1.85,4.65,2.2754757095598825,4.294777251977643,0.31553255229647736,0.3519536799509495,0.3632642310509126,0.35145578508003295,1.0,0.35145578508003295,2463,Active,9
JSC 2016 Boys - Team 2,TN,14,14,6,8,0,0.42857142857142855,56,69,-13,0.21428571428571427,0,0.0,12,0.8571428571428571,2025-09-21,-0.34863079960563964,14,0,4.0,4.928571428571429,3.759696357621669,4.375171047971546,0.570926542299927,0.3399113546073267,0.38622993709680575,0.4139055416395342,0.8366600265340756,0.3462982214507336,2493,Active,10
