Team,State,Games_Played,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Win_Pct_Norm,Goal_Diff_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
FC War Hawks 16B,TX,30,27,2,0,0.9,196,35,161,1.0,0,0.0,30,1.0,2025-10-11,0.6418859649122808,8,0,0.9,0.83,0.6418859649122808,0.7311315789473685,1.224744871391589,0.8954496516282241,1,Active,1
United FC 16,TX,30,20,8,0,0.6666666666666666,159,54,105,0.7,0,0.0,30,1.0,2025-10-11,0.6366666666666666,10,0,0.6666666666666666,0.718,0.6366666666666666,0.6589333333333334,1.224744871391589,0.8070252205889644,9,Active,2
Solar Pre-ECNL B16 Paez,TX,30,25,4,0,0.8333333333333334,181,45,136,1.0,8,0.26666666666666666,30,1.0,2025-09-01,0.5552842996181004,23,8,0.8333333333333334,0.78,0.5552842996181004,0.6558372464375269,1.224744871391589,0.8032333040419427,12,Active,3
Pflugerville AYSL 2016 PFalcons(F25),TX,25,13,9,0,0.52,99,84,15,0.7,0,0.0,25,1.0,2025-10-11,0.8166666666666667,2,0,0.52,0.538,0.8166666666666667,0.7016,1.118033988749895,0.7844126465069262,22,Active,4
Lbk Cowboys 16B,TX,30,22,4,0,0.7333333333333333,158,46,112,0.4,8,0.26666666666666666,30,1.0,2025-08-31,0.547536231884058,14,8,0.7333333333333333,0.732,0.547536231884058,0.6215884057971015,1.224744871391589,0.7612872121164739,33,Active,5
SBYSC SB Baby Cougars,TX,30,15,13,0,0.5,125,80,45,0.5,6,0.2,30,1.0,2025-10-11,0.6543981481481482,16,6,0.5,0.598,0.6543981481481482,0.612238888888889,1.224744871391589,0.7498364392331517,42,Active,6
FC Dallas Youth Pre ECNL B16 Hickam,TX,30,21,5,0,0.7,112,72,40,0.6,4,0.13333333333333333,30,1.0,2025-06-15,0.5884510551177218,21,4,0.7,0.588,0.5884510551177218,0.6106706330706331,1.224744871391589,0.7479157259627127,44,Active,7
The 956 United 16B Red,TX,30,26,3,0,0.8666666666666667,127,57,70,0.9,4,0.13333333333333333,30,1.0,2025-09-28,0.49515347317856906,16,4,0.8666666666666667,0.648,0.49515347317856906,0.6000254172404749,1.224744871391589,0.7348780524698699,54,Active,8
DKSC 16B Guerrero,TX,30,21,6,0,0.7,131,37,94,0.9,2,0.06666666666666667,30,1.0,2025-10-05,0.5339958287326708,19,2,0.7,0.696,0.5339958287326708,0.5995974972396025,1.224744871391589,0.7343539596434356,55,Active,9
JUVENTUS AH-2016-DEL PIERO-INH,TX,30,19,10,0,0.6333333333333333,126,68,58,0.8,2,0.06666666666666667,30,1.0,2025-10-11,0.5691840712893345,15,2,0.6333333333333333,0.624,0.5691840712893345,0.5929771094402674,1.224744871391589,0.7262456736395765,66,Active,10
