Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Solar Pre-ECNL B16 Paez,TX,30,84,25,4,0,0.8333333333333334,181,45,114,0.8383333333333333,8,0.26666666666666666,7,0.23333333333333334,2025-09-01,0.1500551747442487,30,8,6.033333333333333,1.5,5.466139996517808,1.9014148172466845,0.8182228027252377,0.7259402268891852,0.7345219902270785,0.7495458000591317,1.0,0.7495458000591317,31,Active,1
FW All Stars FC 2016B White,TX,24,25,15,7,0,0.625,126,80,35,0.5277777777777778,18,0.75,6,0.25,2025-05-17,0.18203050618640976,24,18,5.25,3.3333333333333335,4.772291245864897,3.3516800954804378,0.7327881607943881,0.5034844194811583,0.7928545906197705,0.7229672704269716,1.0,0.7229672704269716,48,Active,2
Molano Futbol Academy Elite 2016B,TX,30,99,21,5,0,0.7,144,48,73,0.695,4,0.13333333333333333,9,0.3,2025-06-07,0.11689154405693251,30,4,4.8,1.6,4.492455785991493,1.9803621856677371,0.6918878326609083,0.7154193973234687,0.7250467113408989,0.7164894728014147,1.0,0.7164894728014147,56,Active,3
AHFC 16B Blue E,TX,23,23,16,2,0,0.6956521739130435,83,33,36,0.5645833333333333,9,0.391304347826087,7,0.30434782608695654,2025-05-18,0.1410892848584248,23,9,3.608695652173913,1.434782608695652,3.5391393505702164,1.9436697759798067,0.5319846121421508,0.7203393505704583,0.7585158202739195,0.7055742847068736,1.0,0.7055742847068736,68,Active,4
SBYSC SB Baby Cougars,TX,30,34,15,13,0,0.5,125,80,33,0.505,6,0.2,14,0.4666666666666667,2025-10-11,0.1403611675370644,30,6,4.166666666666667,2.6666666666666665,3.9924557859914933,2.822467448825632,0.6110828635595581,0.5900848274234214,0.7647632701986156,0.6990915003157652,1.0,0.6990915003157652,75,Active,5
Prime FC 2016,TX,30,54,18,9,0,0.6,197,84,59,0.6016666666666667,6,0.2,17,0.5666666666666667,2025-09-27,0.11104344114972146,30,6,6.566666666666666,2.8,5.887192628096756,2.9277306067203686,0.858764182791816,0.5731277897264655,0.6823238506314465,0.6957727048825242,1.0,0.6957727048825242,81,Active,6
NTX United FC 2016B Pre ECNL Fannin,TX,19,19,11,3,0,0.5789473684210527,59,36,23,0.475,8,0.42105263157894735,6,0.3157894736842105,2025-10-04,0.2063468098547947,19,8,3.1052631578947367,1.894736842105263,3.174567402506545,2.342731965013852,0.4669832910638437,0.6641708009046534,0.8101519868216973,0.7123220104867178,0.9746794344808963,0.6942856143494892,86,Active,7
Arsenal,TX,30,319,15,12,0,0.5,86,63,19,0.49999999999999994,18,0.6,6,0.2,2025-10-12,0.14476304844260338,30,19,2.8666666666666667,2.1,2.9661399965178084,2.3750990277730004,0.4301803133434595,0.6593743253992184,0.790642208471385,0.6922962528313665,1.0,0.6922962528313665,89,Active,8
2016B Locomotive EPPL Valcarcel-LC,TX,30,48,18,5,0,0.6,183,50,74,0.6033333333333333,11,0.36666666666666664,19,0.6333333333333333,2025-10-12,-0.007682666059838451,30,11,6.1,1.6666666666666667,5.518771575465177,2.0329937646151053,0.8237468194466337,0.7082720107443605,0.6282615121020604,0.6833606732994351,1.0,0.6833606732994351,102,Active,9
FC Dallas Youth Pre ECNL B16 Hickam,TX,30,63,21,5,0,0.7,112,72,40,0.6966666666666667,4,0.13333333333333333,12,0.4,2025-06-15,0.13397440274267386,30,4,3.7333333333333334,2.4,3.6503505228335977,2.611941133036158,0.5516993162381171,0.6233284849372778,0.7459404348074927,0.6825698211195745,1.0,0.6825698211195745,106,Active,10
