Team,State,Games_Played,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Win_Pct_Norm,Goal_Diff_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
El Mellindo FC 2016A,UT,21,14,7,0,0.6666666666666666,103,45,58,0.7,0,0.0,21,1.0,2025-09-01,0.4549735449735449,15,0,0.6666666666666666,0.624,0.4549735449735449,0.5311174603174602,1.02469507659596,0.5442334466814516,1165,Active,1
La Roca16B M Hernandez Red,UT,19,9,7,0,0.47368421052631576,50,47,3,0.4,6,0.3157894736842105,19,1.0,2025-07-18,0.5331867057673508,11,6,0.47368421052631576,0.514,0.5331867057673508,0.5174488655656737,0.9746794344808963,0.5043467676623322,1504,Active,2
Park City SC B2016 Silver,UT,18,12,5,0,0.6666666666666666,104,61,43,1.0,2,0.1111111111111111,18,1.0,2025-10-05,0.41369047619047616,16,2,0.6666666666666666,0.594,0.41369047619047616,0.500347619047619,0.9486832980505138,0.47467142940981727,1702,Active,3
16B N Odeh Black,UT,21,12,9,0,0.5714285714285714,83,41,42,0.6,1,0.047619047619047616,21,1.0,2025-08-30,0.37202380952380953,8,1,0.5714285714285714,0.592,0.37202380952380953,0.45589999999999997,1.02469507659596,0.4671584854200981,1758,Active,4
Avalanche 16B Black DW,UT,14,8,6,0,0.5714285714285714,90,44,46,0.4,2,0.14285714285714285,14,1.0,2025-08-30,0.5363945578231293,14,2,0.5714285714285714,0.6,0.5363945578231293,0.5561224489795918,0.8366600265340756,0.4652854229194604,1773,Active,5
Park City SC B2016 White,UT,18,8,6,0,0.4444444444444444,62,50,12,0.4,8,0.4444444444444444,18,1.0,2025-08-31,0.4354166666666667,16,8,0.4444444444444444,0.532,0.4354166666666667,0.4565388888888889,0.9486832980505138,0.43311081879942814,1981,Active,6
Impact JD 16,UT,15,9,4,0,0.6,49,42,7,0.4,2,0.13333333333333333,15,1.0,2025-09-01,0.45340909090909093,12,2,0.6,0.522,0.45340909090909093,0.4964454545454545,0.8660254037844386,0.4299343752296764,1994,Active,7
Vipers FC B16 - EG (SFC),UT,8,4,4,0,0.5,26,26,0,0.5,0,0.0,8,1.0,2025-08-02,0.7748917748917749,7,0,0.5,0.508,0.7748917748917749,0.6665350649350649,0.6324555320336759,0.42155378911260716,2041,Active,8
Park City SC B2016 Bronze,UT,18,6,12,0,0.3333333333333333,55,100,-45,0.6,6,0.3333333333333333,18,1.0,2025-10-05,0.47655677655677653,16,6,0.3333333333333333,0.418,0.47655677655677653,0.43620073260073255,0.9486832980505138,0.41381634961571323,2089,Active,9
La Roca 16B- N. Odeh Red,UT,18,6,10,0,0.3333333333333333,46,61,-15,0.6,0,0.0,18,1.0,2025-09-01,0.4548562548562549,13,0,0.3333333333333333,0.478,0.4548562548562549,0.4351804195804196,0.9486832980505138,0.41284839569455883,2097,Active,10
MetaSport FC 16B PJ,UT,12,2,8,0,0.16666666666666666,24,80,-56,0.2,0,0.0,12,1.0,2025-08-31,0.6831168831168829,12,0,0.16666666666666666,0.396,0.6831168831168829,0.5224034632034631,0.7745966692414834,0.40465198259761836,2144,Active,11
Wasatch 16B DT Blue,UT,8,8,0,0,1.0,56,14,42,1.0,0,0.0,8,1.0,2025-08-02,0.5220238095238094,8,0,1.0,0.592,0.5220238095238094,0.6316142857142857,0.6324555320336759,0.39946794911149874,2169,Active,12
16B-I Acosta Black,UT,9,9,0,0,1.0,57,6,51,1.0,2,0.2222222222222222,9,1.0,2025-09-01,0.44953703703703707,6,2,1.0,0.61,0.44953703703703707,0.5917222222222223,0.6708203932499369,0.3969393338058377,2185,Active,13
NUU '16B Royalty,UT,10,6,4,0,0.6,49,46,3,0.6,0,0.0,10,1.0,2025-08-01,0.5374149659863944,7,0,0.6,0.514,0.5374149659863944,0.5452489795918366,0.7071067811865476,0.38554925090443315,2238,Active,14
Park City SC B2016 Black,UT,10,2,8,0,0.2,24,57,-33,0.2,2,0.2,10,1.0,2025-08-31,0.6708333333333334,8,2,0.2,0.442,0.6708333333333334,0.5309,0.7071067811865476,0.3754029901319381,2289,Active,15
UTAH GLORY 2016 BL,UT,10,3,7,0,0.3,24,36,-12,0.3,0,0.0,10,1.0,2025-08-31,0.6068181818181818,8,0,0.3,0.484,0.6068181818181818,0.5208909090909091,0.7071067811865476,0.3683254940766073,2322,Active,16
Wasatch 16B DT white,UT,8,6,2,0,0.75,44,30,14,0.75,2,0.25,8,1.0,2025-08-02,0.5089285714285714,8,2,0.75,0.536,0.5089285714285714,0.5625571428571429,0.6324555320336759,0.3557923770850589,2383,Active,17
La Roca 16B- N.Odeh White,UT,8,8,0,0,1.0,28,20,8,1.0,0,0.0,8,1.0,2025-08-02,0.42857142857142855,7,0,1.0,0.524,0.42857142857142855,0.5619428571428571,0.6324555320336759,0.3554038686868096,2385,Active,18
Impact City FC Millcreek 16B Black,UT,8,4,4,0,0.5,46,26,20,0.5,0,0.0,8,1.0,2025-09-01,0.5732323232323233,8,0,0.5,0.548,0.5732323232323233,0.553539393939394,0.6324555320336759,0.35008905189553796,2415,Active,19
Wasatch SC 16B Blue AC,UT,15,9,4,0,0.6,58,43,15,0.4,1,0.06666666666666667,15,1.0,2025-09-01,0.29435261707988986,11,1,0.6,0.538,0.29435261707988986,0.40421157024793397,0.8660254037844386,0.35005748833830896,2417,Active,20
Mexico Utah Academy,UT,10,7,1,0,0.7,59,31,28,0.7,4,0.4,10,1.0,2025-09-21,0.39452380952380955,10,4,0.7,0.564,0.39452380952380955,0.4895142857142857,0.7071067811865476,0.34613887091626055,2440,Active,21
Avalanche 16B White DW,UT,7,7,0,0,1.0,49,11,38,1.0,0,0.0,7,1.0,2025-09-01,0.4333333333333333,6,0,1.0,0.584,0.4333333333333333,0.5768,0.5916079783099616,0.34123948188918585,2459,Active,22
16B I Acosta Red,UT,12,5,7,0,0.4166666666666667,43,42,1,0.5,0,0.0,12,1.0,2025-09-01,0.3984126984126984,7,0,0.4166666666666667,0.51,0.3984126984126984,0.42438095238095236,0.7745966692414834,0.3287240722038143,2525,Active,23
Wasatch SC ‘16B - AW Blue,UT,12,0,12,0,0.0,8,86,-78,0.0,4,0.3333333333333333,12,1.0,2025-08-31,0.5730820105820106,12,4,0.0,0.352,0.5730820105820106,0.41424920634920637,0.7745966692414834,0.3208760554740232,2575,Active,24
Wasatch SC '16B - AW White,UT,9,3,6,0,0.3333333333333333,20,27,-7,0.3333333333333333,0,0.0,9,1.0,2025-08-01,0.5151515151515151,6,0,0.3333333333333333,0.494,0.5151515151515151,0.47455757575757573,0.6708203932499369,0.3183428995894337,2584,Active,25
Utah Real FC 16B MR,UT,11,6,5,0,0.5454545454545454,32,37,-5,0.6,0,0.0,11,1.0,2025-08-01,0.35333333333333333,10,0,0.5454545454545454,0.498,0.35333333333333333,0.4206909090909091,0.7416198487095663,0.31199272835348996,2620,Active,26
Avalanche 16B Black WE,UT,10,0,9,0,0.0,15,71,-56,0.0,0,0.0,10,1.0,2025-08-30,0.5986394557823128,7,0,0.0,0.396,0.5986394557823128,0.43838367346938767,0.7071067811865476,0.30998406827167324,2635,Active,27
La Roca 2016B J Castro,UT,11,8,3,0,0.7272727272727273,45,33,12,0.8,0,0.0,11,1.0,2025-09-01,0.26666666666666666,8,0,0.7272727272727273,0.532,0.26666666666666666,0.4118545454545455,0.7416198487095663,0.3054395056903472,2648,Active,28
City SC UT Premier 16B - WU,UT,8,6,2,0,0.75,62,14,48,0.75,0,0.0,8,1.0,2025-09-01,0.35,8,0,0.75,0.604,0.35,0.4808,0.6324555320336759,0.30408461980179136,2660,Active,29
Impact United CL 2016B,UT,9,4,5,0,0.4444444444444444,27,47,-20,0.4444444444444444,0,0.0,9,1.0,2025-08-31,0.44949494949494945,6,0,0.4444444444444444,0.468,0.44949494949494945,0.4521858585858586,0.6708203932499369,0.30333549547862604,2665,Active,30
Wasatch SC 16B White AC,UT,11,2,9,0,0.18181818181818182,12,69,-57,0.2,0,0.0,11,1.0,2025-08-31,0.47777777777777775,8,0,0.18181818181818182,0.394,0.47777777777777775,0.401830303030303,0.7416198487095663,0.29800532854025247,2683,Active,31
Strikers JJ,UT,5,3,2,0,0.6,17,12,5,0.6,0,0.0,5,1.0,2025-08-31,0.6,4,0,0.6,0.518,0.6,0.5836,0.5,0.2918,2711,Active,32
Cachimbas FC,UT,9,3,4,0,0.3333333333333333,10,21,-11,0.3333333333333333,3,0.3333333333333333,9,1.0,2025-08-31,0.4276357323232323,8,3,0.3333333333333333,0.486,0.4276357323232323,0.42044810606060606,0.6708203932499369,0.28204516384876693,2750,Active,33
7 Elite Academy 17B Predator South,UT,14,3,10,0,0.21428571428571427,27,81,-54,0.1,0,0.0,14,1.0,2025-08-31,0.35,8,0,0.21428571428571427,0.4,0.35,0.33285714285714285,0.8366600265340756,0.2784882659749137,2769,Active,34
NUU 16B Futures,UT,7,2,5,0,0.2857142857142857,20,44,-24,0.2857142857142857,2,0.2857142857142857,7,1.0,2025-08-01,0.5142857142857143,7,2,0.2857142857142857,0.46,0.5142857142857143,0.45771428571428574,0.5916079783099616,0.2707874232150167,2804,Active,35
Copper Mountain 2016 EA,UT,9,2,6,0,0.2222222222222222,25,32,-7,0.2222222222222222,1,0.1111111111111111,9,1.0,2025-08-31,0.42708333333333326,8,1,0.2222222222222222,0.494,0.42708333333333326,0.3994944444444444,0.6708203932499369,0.26798902032338723,2827,Active,36
Utah Surf 16B RHarris,UT,10,2,8,0,0.2,24,43,-19,0.2,0,0.0,10,1.0,2025-09-01,0.40773809523809523,8,0,0.2,0.47,0.40773809523809523,0.37864285714285717,0.7071067811865476,0.2677409319335635,2829,Active,37
