Team,State,Games_Played,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Win_Pct_Norm,Goal_Diff_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
El Mellindo FC 2016A,UT,21,14,7,0,0.6666666666666666,103,45,58,0.7,0,0.0,7,0.3333333333333333,2025-09-01,0.424981103552532,21,0,0.6666666666666666,0.624,0.558055994563931,0.5929669300716919,1.02469507659596,0.6076102938286835,1211,Active,1
Avalanche 16B Black DW,UT,14,8,6,0,0.5714285714285714,90,44,46,0.4,2,0.14285714285714285,0,0.0,2025-08-30,0.5363945578231293,14,2,0.5714285714285714,0.6,0.7043564900707758,0.6568996083281797,0.8366600265340756,0.5496016437340787,1623,Active,2
Park City SC B2016 Silver,UT,18,12,5,0,0.6666666666666666,104,61,43,1.0,2,0.1111111111111111,5,0.2777777777777778,2025-10-05,0.4066137566137566,18,2,0.6666666666666666,0.594,0.5339372561594784,0.5724956870290203,0.9486832980505138,0.5431170964903858,1663,Active,3
La Roca16B M Hernandez Red,UT,19,9,7,0,0.47368421052631576,50,47,3,0.4,6,0.3157894736842105,11,0.5789473684210527,2025-07-18,0.4560554612337294,19,6,0.47368421052631576,0.514,0.5988607066705538,0.5568532661075954,0.9746794344808963,0.5427534264985912,1665,Active,4
16B N Odeh Black,UT,21,12,9,0,0.5714285714285714,83,41,42,0.6,1,0.047619047619047616,14,0.6666666666666666,2025-08-30,0.35839002267573694,21,1,0.5714285714285714,0.592,0.4706131610893516,0.5150536109393252,1.02469507659596,0.5277728993124976,1770,Active,5
MetaSport FC 16B PJ,UT,12,2,8,0,0.16666666666666666,24,80,-56,0.2,0,0.0,0,0.0,2025-08-31,0.6831168831168829,12,0,0.16666666666666666,0.396,0.8970221697494423,0.6507466351829987,0.7745966692414834,0.5040661761328535,1921,Active,6
Park City SC B2016 White,UT,18,8,6,0,0.4444444444444444,62,50,12,0.4,8,0.4444444444444444,4,0.2222222222222222,2025-08-31,0.4259259259259259,18,8,0.4444444444444444,0.532,0.5592966704077815,0.5308668911335578,0.9486832980505138,0.5036245531064066,1925,Active,7
Impact JD 16,UT,15,9,4,0,0.6,49,42,7,0.4,2,0.13333333333333333,3,0.2,2025-09-01,0.4327272727272727,15,2,0.6,0.522,0.5682277318640955,0.5653366391184573,0.8660254037844386,0.48959589116669944,2009,Active,8
Park City SC B2016 Bronze,UT,18,6,12,0,0.3333333333333333,55,100,-45,0.6,6,0.3333333333333333,8,0.4444444444444444,2025-10-05,0.4624949124949124,18,6,0.3333333333333333,0.418,0.6073165517609962,0.5146565977232644,0.9486832980505138,0.488246118491563,2015,Active,9
Vipers FC B16 - EG (SFC),UT,8,4,4,0,0.5,26,26,0,0.5,0,0.0,1,0.125,2025-08-02,0.721780303030303,8,0,0.5,0.508,0.947792317110499,0.7702753902662994,0.6324555320336759,0.4871649317633197,2026,Active,10
La Roca 16B- N. Odeh Red,UT,18,6,10,0,0.3333333333333333,46,61,-15,0.6,0,0.0,5,0.2777777777777778,2025-09-01,0.425729517396184,18,0,0.3333333333333333,0.478,0.5590387602172113,0.4976899227969935,0.9486832980505138,0.47215011736555734,2078,Active,11
Wasatch 16B DT Blue,UT,8,8,0,0,1.0,56,14,42,1.0,0,0.0,0,0.0,2025-08-02,0.5220238095238094,8,0,1.0,0.592,0.6854858104858104,0.7296914862914863,0.6324555320336759,0.46149741718292564,2131,Active,12
16B-I Acosta Black,UT,9,9,0,0,1.0,57,6,51,1.0,2,0.2222222222222222,3,0.3333333333333333,2025-09-01,0.416358024691358,9,2,1.0,0.61,0.5467327596957227,0.6500396558174336,0.6708203932499369,0.43605985754350446,2236,Active,13
Park City SC B2016 Black,UT,10,2,8,0,0.2,24,57,-33,0.2,2,0.2,2,0.2,2025-08-31,0.6066666666666667,10,2,0.2,0.442,0.7966329966329967,0.606379797979798,0.7071067811865476,0.42877526712604397,2278,Active,14
NUU '16B Royalty,UT,10,6,4,0,0.6,49,46,3,0.6,0,0.0,3,0.3,2025-08-01,0.4811904761904763,10,0,0.6,0.514,0.631866281866282,0.6019197691197692,0.7071067811865476,0.42562155047482986,2300,Active,15
UTAH GLORY 2016 BL,UT,10,3,7,0,0.3,24,36,-12,0.3,0,0.0,3,0.3,2025-08-31,0.5554545454545454,10,0,0.3,0.484,0.7293847566574839,0.5944308539944904,0.7071067811865476,0.4203260878060147,2317,Active,16
Impact City FC Millcreek 16B Black,UT,8,4,4,0,0.5,46,26,20,0.5,0,0.0,0,0.0,2025-09-01,0.5732323232323233,8,0,0.5,0.548,0.7527293133353741,0.6612375880012245,0.6324555320336759,0.41820337051997897,2325,Active,17
Wasatch 16B DT white,UT,8,6,2,0,0.75,44,30,14,0.75,2,0.25,0,0.0,2025-08-02,0.5089285714285714,8,2,0.75,0.536,0.6682900432900433,0.658174025974026,0.6324555320336759,0.416265803768149,2336,Active,18
Wasatch SC 16B Blue AC,UT,15,9,4,0,0.6,58,43,15,0.4,1,0.06666666666666667,5,0.3333333333333333,2025-09-01,0.3091919191919192,15,1,0.6,0.538,0.4060095908580757,0.4712057545148454,0.8660254037844386,0.40807615381927004,2386,Active,19
Wasatch SC ‘16B - AW Blue,UT,12,0,12,0,0.0,8,86,-78,0.0,4,0.3333333333333333,0,0.0,2025-08-31,0.5730820105820106,12,4,0.0,0.352,0.7525319330874887,0.5219191598524932,0.7745966692414834,0.40427684283505455,2400,Active,20
La Roca 16B- N.Odeh White,UT,8,8,0,0,1.0,28,20,8,1.0,0,0.0,1,0.125,2025-08-02,0.41874999999999996,8,0,1.0,0.524,0.5498737373737373,0.6347242424242424,0.6324555320336759,0.4014348584370961,2415,Active,21
Mexico Utah Academy,UT,10,7,1,0,0.7,59,31,28,0.7,4,0.4,4,0.4,2025-09-21,0.39452380952380955,10,4,0.7,0.564,0.5180615680615681,0.5636369408369408,0.7071067811865476,0.39855150299304176,2429,Active,22
Avalanche 16B White DW,UT,7,7,0,0,1.0,49,11,38,1.0,0,0.0,1,0.14285714285714285,2025-09-01,0.4214285714285714,7,0,1.0,0.584,0.5533910533910533,0.648834632034632,0.5916079783099616,0.38385574491549646,2498,Active,23
16B I Acosta Red,UT,12,5,7,0,0.4166666666666667,43,42,1,0.5,0,0.0,6,0.5,2025-09-01,0.3782407407407407,12,0,0.4166666666666667,0.51,0.49667976056864943,0.483341189674523,0.7745966692414834,0.3743944756291016,2550,Active,24
Utah Real FC 16B MR,UT,11,6,5,0,0.5454545454545454,32,37,-5,0.6,0,0.0,1,0.09090909090909091,2025-08-01,0.353030303030303,11,0,0.5454545454545454,0.498,0.4635751453933272,0.48683599632690544,0.7416198487095663,0.3610472379423306,2618,Active,25
La Roca 2016B J Castro,UT,11,8,3,0,0.7272727272727273,45,33,12,0.8,0,0.0,3,0.2727272727272727,2025-09-01,0.28939393939393937,11,0,0.7272727272727273,0.532,0.38001224364860725,0.47986189164370985,0.7416198487095663,0.3558751034822944,2641,Active,26
Wasatch SC '16B - AW White,UT,9,3,6,0,0.3333333333333333,20,27,-7,0.3333333333333333,0,0.0,3,0.3333333333333333,2025-08-01,0.46010101010101007,9,0,0.3333333333333333,0.494,0.604173043566983,0.5279704928068565,0.6708203932499369,0.3541733736090585,2649,Active,27
Avalanche 16B Black WE,UT,10,0,9,0,0.0,15,71,-56,0.0,0,0.0,3,0.3,2025-08-30,0.5240476190476191,10,0,0.0,0.396,0.6881433381433383,0.49208600288600296,0.7071067811865476,0.3479573495676757,2669,Active,28
City SC UT Premier 16B - WU,UT,8,6,2,0,0.75,62,14,48,0.75,0,0.0,1,0.125,2025-09-01,0.35,8,0,0.75,0.604,0.4595959595959596,0.5465575757575758,0.6324555320336759,0.3456733623627937,2678,Active,29
Wasatch SC 16B White AC,UT,11,2,9,0,0.18181818181818182,12,69,-57,0.2,0,0.0,3,0.2727272727272727,2025-08-31,0.4429292929292929,11,0,0.18181818181818182,0.394,0.5816243240485665,0.4641382307927763,0.7416198487095663,0.3442141245008645,2685,Active,30
Impact United CL 2016B,UT,9,4,5,0,0.4444444444444444,27,47,-20,0.4444444444444444,0,0.0,3,0.3333333333333333,2025-08-31,0.4163299663299663,9,0,0.4444444444444444,0.468,0.5466959153827841,0.5105064381185593,0.6708203932499369,0.34245812957531657,2697,Active,31
7 Elite Academy 17B Predator South,UT,14,3,10,0,0.21428571428571427,27,81,-54,0.1,0,0.0,9,0.6428571428571429,2025-08-31,0.35000000000000003,14,0,0.21428571428571427,0.4,0.45959595959595967,0.3986147186147187,0.8366600265340756,0.33350500105306363,2726,Active,32
Cachimbas FC,UT,9,3,4,0,0.3333333333333333,10,21,-11,0.3333333333333333,3,0.3333333333333333,1,0.1111111111111111,2025-08-31,0.4190095398428732,9,3,0.3333333333333333,0.486,0.5502145472684193,0.4939953950277183,0.6708203932499369,0.3313821851561519,2734,Active,33
Strikers JJ,UT,5,3,2,0,0.6,17,12,5,0.6,0,0.0,1,0.2,2025-08-31,0.55,5,0,0.6,0.518,0.7222222222222223,0.6569333333333334,0.5,0.3284666666666667,2748,Active,34
Avalanche 16B Blue DW,UT,6,0,6,0,0.0,12,34,-22,0.0,0,0.0,0,0.0,2025-08-31,0.6424242424242425,6,0,0.0,0.464,0.8435873890419345,0.5989524334251607,0.5477225575051661,0.3280597586595717,2751,Active,35
NUU 16B Futures,UT,7,2,5,0,0.2857142857142857,20,44,-24,0.2857142857142857,2,0.2857142857142857,0,0.0,2025-08-01,0.5142857142857143,7,2,0.2857142857142857,0.46,0.6753246753246754,0.5543376623376625,0.5916079783099616,0.32795058371665464,2753,Active,36
Copper Mountain 2016 EA,UT,9,2,6,0,0.2222222222222222,25,32,-7,0.2222222222222222,1,0.1111111111111111,1,0.1111111111111111,2025-08-31,0.4185185185185185,9,1,0.2222222222222222,0.494,0.5495697717919941,0.4729863075196409,0.6708203932499369,0.31728886081216107,2808,Active,37
Utah Surf 16B RHarris,UT,10,2,8,0,0.2,24,43,-19,0.2,0,0.0,2,0.2,2025-09-01,0.39619047619047615,10,0,0.2,0.47,0.5202501202501202,0.44615007215007213,0.7071067811865476,0.31547574144418344,2816,Active,38
Atomic Athletics 16B - ZP,UT,12,0,5,0,0.0,18,54,-36,0.0,0,0.0,7,0.5833333333333334,2025-08-30,0.3819444444444444,12,0,0.0,0.436,0.5015432098765432,0.38812592592592593,0.7745966692414834,0.30064104946848896,2879,Active,39
NWR Outlaws,UT,10,6,4,0,0.6,39,24,15,0.6,0,0.0,2,0.2,2025-08-31,0.24151515151515146,10,0,0.6,0.538,0.3171411080501989,0.4178846648301193,0.7071067811865476,0.29548908025524495,2896,Active,40
Peak SC 16B KB Blue,UT,6,4,2,0,0.6666666666666666,28,14,14,0.6666666666666666,0,0.0,0,0.0,2025-08-31,0.37542087542087543,6,0,0.6666666666666666,0.536,0.4929769071183213,0.5363194776043261,0.5477225575051661,0.29375427591327613,2900,Active,41
Fire FC 16B AD,UT,6,0,6,0,0.0,0,76,-76,0.0,0,0.0,3,0.5,2025-08-31,0.5888888888888889,6,0,0.0,0.356,0.7732884399551067,0.535173063973064,0.5477225575051661,0.29312635930720243,2906,Active,42
Avalanche 16B Black UC 2,UT,6,2,4,0,0.3333333333333333,20,22,-2,0.3333333333333333,2,0.3333333333333333,0,0.0,2025-08-31,0.4398148148148149,6,2,0.3333333333333333,0.504,0.5775346053123832,0.5139874298540965,0.5477225575051661,0.28152250960519287,2945,Active,43
2016B Predator 7 Elite,UT,6,0,6,0,0.0,4,78,-74,0.0,0,0.0,0,0.0,2025-09-01,0.5388888888888889,6,0,0.0,0.36,0.707631874298541,0.4965791245791246,0.5477225575051661,0.2719875881181546,2977,Active,44
Avalanche 16B White SL,UT,6,2,4,0,0.3333333333333333,8,16,-8,0.3333333333333333,2,0.3333333333333333,1,0.16666666666666666,2025-08-31,0.3731481481481482,6,2,0.3333333333333333,0.492,0.4899925177702956,0.459062177328844,0.5477225575051661,0.25143870982044453,3052,Active,45
Avalanche 16B Blue SL,UT,6,2,4,0,0.3333333333333333,12,20,-8,0.3333333333333333,2,0.3333333333333333,1,0.16666666666666666,2025-09-01,0.3444444444444444,6,2,0.3333333333333333,0.492,0.4523007856341189,0.436447138047138,0.5477225575051661,0.23905194266698868,3075,Active,46
Impact City FC Daybreak 16B,UT,6,2,4,0,0.3333333333333333,18,34,-16,0.3333333333333333,2,0.3333333333333333,1,0.16666666666666666,2025-09-01,0.3444444444444444,6,2,0.3333333333333333,0.476,0.4523007856341189,0.433247138047138,0.5477225575051661,0.23729923048297216,3081,Active,47
Avalanche 16B Black SL,UT,6,0,6,0,0.0,10,46,-36,0.0,0,0.0,1,0.16666666666666666,2025-08-30,0.42407407407407405,6,0,0.0,0.436,0.5568649457538346,0.42131896745230074,0.5477225575051661,0.23076590237841,3097,Active,48
Swat '16B - BH,UT,6,0,6,0,0.0,10,26,-16,0.0,0,0.0,1,0.16666666666666666,2025-08-02,0.4068181818181818,6,0,0.0,0.476,0.5342056932966024,0.4157234159779614,0.5477225575051661,0.22770109261423305,3103,Active,49
Peak SC 16B KB Black,UT,6,2,4,0,0.3333333333333333,8,18,-10,0.3333333333333333,0,0.0,1,0.16666666666666666,2025-08-30,0.3027777777777778,6,0,0.3333333333333333,0.488,0.3975869809203143,0.40281885521885524,0.5477225575051661,0.2206329735917746,3119,Active,50
swat 16 RS,UT,3,1,2,0,0.3333333333333333,10,9,1,0.3333333333333333,0,0.0,0,0.0,2025-08-02,0.5,3,0,0.3333333333333333,0.51,0.6565656565656566,0.5626060606060606,0.3872983346207417,0.21789639032026334,3130,Provisional,51
