Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
SYC 2016B Pre-MLS Next,VA,30,49,24,4,0,0.8,152,62,84,0.795,0,0.0,11,0.36666666666666664,2025-10-11,0.6602640914042861,30,0,5.066666666666666,2.066666666666667,4.69574742533073,2.355627958316107,0.7324859184219779,0.6702655514539455,0.8214159708676854,0.7733998764957959,1.0,0.7733998764957959,15,Active,1
Loudoun 2016B Madrid,VA,20,20,13,3,0,0.65,81,33,42,0.5066666666666666,0,0.0,4,0.2,2025-08-17,0.40437137412401425,20,0,4.05,1.65,3.8370857915202756,2.161209372000431,0.5923678521373339,0.6986156784075243,0.7624993964576355,0.7156963439835529,1.0,0.7156963439835529,56,Active,2
America FC 2016,VA,21,21,18,3,0,0.8571428571428571,105,47,47,0.7250000000000001,0,0.0,11,0.5238095238095238,2025-09-21,0.39623590596018604,21,0,5.0,2.238095238095238,4.532358695260956,2.569443531586623,0.7082140417594238,0.6375984133045821,0.7375392986091719,0.7116860701783043,1.0,0.7116860701783043,67,Active,3
McLean Youth Soccer U10/2016 Boys Green,VA,30,52,24,6,0,0.8,112,52,56,0.7983333333333333,0,0.0,11,0.36666666666666664,2025-10-11,0.5053859421424105,30,0,3.7333333333333334,1.7333333333333334,3.643115846383361,2.0924700635792646,0.5574092468115334,0.7083011344800809,0.7505738811634697,0.7034864049564047,1.0,0.7034864049564047,84,Active,4
McLean Youth Soccer 2016 Boys White,VA,27,27,21,4,0,0.7777777777777778,134,42,79,0.7516666666666666,0,0.0,13,0.48148148148148145,2025-10-12,0.44704791532985066,27,0,4.962962962962963,1.5555555555555556,4.583954347501934,1.9861103547432017,0.7160175926474576,0.72292003280522,0.6319141593789632,0.6669360207179134,1.0,0.6669360207179134,172,Active,5
PW Courage Nike B16,VA,30,46,17,11,0,0.5666666666666667,82,70,15,0.5716666666666667,0,0.0,6,0.2,2025-10-12,0.287467165716952,30,0,2.7333333333333334,2.3333333333333335,2.8536421621728345,2.5661542741055805,0.4129437788098845,0.6381116554706281,0.7550734555750607,0.663255160201139,1.0,0.663255160201139,185,Active,6
Herndon 2016B FC Black,VA,24,24,14,8,0,0.5833333333333334,77,73,3,0.5,0,0.0,7,0.2916666666666667,2025-08-31,0.2231474537173005,24,0,3.2083333333333335,3.0416666666666665,3.232450067580241,3.141058200500377,0.4819254680509263,0.5445898924508081,0.752410835246657,0.656749573248341,1.0,0.656749573248341,202,Active,7
TSJFC 2016B North Pre - MLS Next,VA,30,35,16,13,0,0.5333333333333333,104,92,12,0.5366666666666666,0,0.0,11,0.36666666666666664,2025-10-11,0.18072930845007365,30,0,3.466666666666667,3.066666666666667,3.432589530593887,3.145101642526633,0.5188237543414551,0.5439124129464636,0.7125698645869992,0.6400891522097834,1.0,0.6400891522097834,264,Active,8
Golden Ball Soccer Academy 16B (U9)Black TASL,VA,20,20,12,5,0,0.6,82,50,25,0.4733333333333333,2,0.1,11,0.55,2025-10-04,0.2169626316391611,20,2,4.1,2.5,3.872800077234561,2.768352229143288,0.5987146110491157,0.6060156193818587,0.6597693741051703,0.6368076705492971,1.0,0.6368076705492971,280,Active,9
FC Richmond 2016 Magic Futures Navy,VA,25,25,12,9,0,0.48,73,46,21,0.40499999999999997,0,0.0,4,0.16,2025-08-31,0.10503982749055524,25,0,2.92,1.84,3.0132849140172033,2.227692800485214,0.4417588694249862,0.6890765223804773,0.6785490492722981,0.6332965079244716,1.0,0.6332965079244716,301,Active,10
