Team,State,Games_Played,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Win_Pct_Norm,Goal_Diff_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Nordic 2016 Boys Bayern,VT,30,24,4,0,0.8,144,50,94,0.7,3,0.1,30,1.0,2025-10-12,0.636707133446264,22,3,0.8,0.696,0.636707133446264,0.6812242800677584,1.224744871391589,0.8343259432804145,4,Active,1
MUSC U10 BOYS Burrows,VT,28,19,6,0,0.6785714285714286,112,76,36,0.4,15,0.5357142857142857,28,1.0,2025-10-12,0.44205146705146714,21,15,0.6785714285714286,0.58,0.44205146705146714,0.516945165945166,1.1832159566199232,0.6116577690438546,585,Active,2
Far Post U10 Boys Utrecht,VT,19,14,2,0,0.7368421052631579,105,47,58,0.6,2,0.10526315789473684,19,1.0,2025-10-05,0.5272727272727272,6,2,0.7368421052631579,0.624,0.5272727272727272,0.5885320574162679,0.9746794344808963,0.5736300928963665,895,Active,3
Patenaude U10 boys,VT,25,10,14,0,0.4,112,92,20,0.8,15,0.6,25,1.0,2025-10-12,0.4107041107041108,21,15,0.4,0.548,0.4107041107041108,0.4360224664224665,1.118033988749895,0.48748793731887735,1609,Active,4
Nordic 2016 Boys Dortmund,VT,26,13,12,0,0.5,130,145,-15,0.8,2,0.07692307692307693,26,1.0,2025-10-12,0.3343753322700691,15,2,0.5,0.478,0.3343753322700691,0.3962251993620415,1.140175425099138,0.4517662351176064,1870,Active,5
U10 Boys Gold,VT,25,2,18,0,0.08,44,120,-76,0.2,11,0.44,25,1.0,2025-10-12,0.4289726146869005,21,11,0.08,0.356,0.4289726146869005,0.3445835688121403,1.118033988749895,0.3852561418967111,2240,Active,6
Queen City FC U10 Boys Black,VT,11,8,3,0,0.7272727272727273,56,29,27,0.7,3,0.2727272727272727,11,1.0,2025-10-05,0.43030303030303024,3,3,0.7272727272727273,0.562,0.43030303030303024,0.5160363636363636,0.7416198487095663,0.38270280992863476,2253,Active,7
Far Post Fall U9/U10 Boys PSV,VT,19,8,7,0,0.42105263157894735,84,61,23,0.6,1,0.05263157894736842,19,1.0,2025-10-05,0.32222222222222224,6,1,0.42105263157894735,0.554,0.32222222222222224,0.38834385964912277,0.9746794344808963,0.37851077350693557,2271,Active,8
U10 Boys Blue,VT,18,7,9,0,0.3888888888888889,54,81,-27,0.3,10,0.5555555555555556,18,1.0,2025-10-12,0.35942073799216656,14,10,0.3888888888888889,0.454,0.35942073799216656,0.3842302205730777,0.9486832980505138,0.3645127928639437,2341,Active,9
Nordic 2016 Boys Leverkusen,VT,16,0,13,0,0.0,40,113,-73,0.0,4,0.25,16,1.0,2025-06-15,0.5103896103896105,14,4,0.0,0.362,0.5103896103896105,0.3786337662337663,0.8944271909999159,0.3386603359501864,2475,Active,10
MUSC U10 BOYS Cowles,VT,20,6,12,0,0.3,41,96,-55,0.3,10,0.5,20,1.0,2025-10-12,0.31805555555555554,16,10,0.3,0.398,0.31805555555555554,0.33043333333333336,1.0,0.33043333333333336,2517,Active,11
Williston SC 2016-2017 Boys Timbers,VT,15,6,8,0,0.4,40,70,-30,0.3,7,0.4666666666666667,15,1.0,2025-10-12,0.32499999999999996,12,7,0.4,0.448,0.32499999999999996,0.36460000000000004,0.8660254037844386,0.31575286221980636,2602,Active,12
Queen City FC U10 Boys Red,VT,10,4,4,0,0.4,35,42,-7,0.4,1,0.1,10,1.0,2025-09-28,0.43333333333333335,3,1,0.4,0.494,0.43333333333333335,0.4388,0.7071067811865476,0.3102784555846571,2631,Active,13
MUSC U10 BOYS Sunset,VT,14,0,12,0,0.0,16,82,-66,0.0,12,0.8571428571428571,14,1.0,2025-06-02,0.49230769230769234,13,12,0.0,0.376,0.49230769230769234,0.3705846153846154,0.8366600265340756,0.3100533341408125,2633,Active,14
Queen City FC U9/10 Boys White,VT,12,2,9,0,0.16666666666666666,35,95,-60,0.2,1,0.08333333333333333,12,1.0,2025-10-05,0.34736842105263155,3,1,0.16666666666666666,0.388,0.34736842105263155,0.3193543859649123,0.7745966692414834,0.2473708436760802,2907,Active,15
MUSC U10 BOYS Long,VT,10,2,8,0,0.2,8,46,-38,0.2,8,0.8,10,1.0,2025-06-01,0.3338461538461538,10,8,0.2,0.432,0.3338461538461538,0.32670769230769225,0.7071067811865476,0.23101722469657726,2959,Active,16
Williston SC 2016-2017 Boys Revolution,VT,2,1,1,0,0.5,12,9,3,0.5,0,0.0,2,1.0,2025-10-05,0.5,2,0,0.5,0.514,0.5,0.5028,0.31622776601683794,0.15899932075326612,3159,Provisional,17
Islands U10,VT,6,4,0,0,0.6666666666666666,31,13,18,0.6666666666666666,0,0.0,6,1.0,2025-10-12,0.0,0,0,0.6666666666666666,0.544,0.0,0.24213333333333334,0.5477225575051661,0.1326218885905842,3192,Active,18
