Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Nordic 2016 Boys Bayern,VT,30,66,24,4,0,0.8,144,50,83,0.8016666666666666,3,0.1,17,0.5666666666666667,2025-10-12,-0.06294673111323815,30,3,4.8,1.6666666666666667,4.492455785991493,2.0329937646151053,0.6918878326609083,0.7082720107443605,0.568463137402544,0.6211098511225801,1.224744871391589,0.7607011047331733,217,Active,1
MUSC U10 BOYS Burrows,VT,28,28,19,6,0,0.6785714285714286,112,76,40,0.7000000000000001,15,0.5357142857142857,7,0.25,2025-10-12,-0.07429672094714068,28,15,4.0,2.7142857142857144,3.853147774102131,2.8681600848715,0.5871932076975074,0.5827479134667857,0.5727290770702544,0.5776256704750112,1.1832159566199232,0.683455910259315,522,Active,2
Patenaude U10 boys,VT,25,25,10,14,0,0.4,112,92,0,0.33666666666666667,15,0.6,4,0.16,2025-10-12,0.057317324585053356,25,15,4.48,3.68,4.203433935384144,3.6137503956173944,0.6462381624357133,0.46019140097955613,0.6302220235400684,0.599419126807095,1.118033988749895,0.6701709572771154,585,Active,3
Far Post U10 Boys Utrecht,VT,19,19,14,2,0,0.7368421052631579,105,47,46,0.6291666666666667,2,0.10526315789473684,16,0.8421052631578947,2025-10-05,-0.049308174364594635,19,2,5.526315789473684,2.473684210526316,4.878271106210248,2.7501393724212595,0.747345449862633,0.6016159101703978,0.5745102636159056,0.6144984301761496,0.9746794344808963,0.5989389824134881,1027,Active,4
Nordic 2016 Boys Dortmund,VT,26,26,13,12,0,0.5,130,145,-18,0.43999999999999995,2,0.07692307692307693,14,0.5384615384615384,2025-10-12,-0.21149914996597144,26,2,5.0,5.576923076923077,4.6092152902257855,5.066287148687471,0.7093745040736386,0.24577772156457722,0.45970525678408813,0.46685359919809605,1.140175425099138,0.5322950009247518,1446,Active,5
U10 Boys Gold,VT,25,25,2,18,0,0.08,44,120,-68,0.06666666666666667,11,0.44,4,0.16,2025-10-12,-0.15036830719261743,25,11,1.76,4.8,2.1428278747780825,4.462235244102243,0.2954385597403062,0.3270996793398253,0.5639422536715872,0.46287300001897863,1.118033988749895,0.5175077464958489,1550,Active,6
MUSC U10 BOYS Sunset,VT,14,14,0,12,0,0.0,16,82,-64,0.0,12,0.8571428571428571,1,0.07142857142857142,2025-06-02,0.1675477925979722,14,12,1.1428571428571428,5.857142857142857,1.9415145394398508,4.966080138880637,0.2664146372559141,0.258282390177747,0.8524904205529485,0.6164336578185013,0.8366600265340756,0.5157454005069246,1567,Active,7
Nordic 2016 Boys Leverkusen,VT,16,16,0,13,0,0.0,40,113,-56,0.0,4,0.25,5,0.3125,2025-06-15,-0.07922055113419613,16,4,2.5,7.0625,2.7797216611531965,5.843906793973917,0.39789273786693397,0.16299621093498062,0.6400723335995201,0.496221189920095,0.8944271909999159,0.44383372501486634,1985,Active,8
Far Post Fall U9/U10 Boys PSV,VT,19,19,8,7,0,0.42105263157894735,84,61,18,0.3208333333333333,1,0.05263157894736842,16,0.8421052631578947,2025-10-05,-0.3680403209866589,19,1,4.421052631578948,3.210526315789474,4.100493328432472,3.2686578909397785,0.6292557534130873,0.5172193829631757,0.29212860623187886,0.4045721910143799,0.9746794344808963,0.394328194344593,2255,Active,9
Williston SC 2016-2017 Boys Timbers,VT,15,15,6,8,0,0.4,40,70,-19,0.2,7,0.4666666666666667,3,0.2,2025-10-12,-0.20869137041409846,15,7,2.6666666666666665,4.666666666666667,2.900579124681596,4.228424480668435,0.4187423595371546,0.3620374029230441,0.48802949254419936,0.4489736480185593,0.8660254037844386,0.38882258481384524,2284,Active,10
