Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Basin Sounders B2016 Lombardini,WA,24,25,19,4,0,0.7916666666666666,134,45,78,0.6777777777777777,2,0.08333333333333333,20,0.8333333333333334,2025-10-04,0.4071105972976119,24,2,5.583333333333333,1.875,5.013700067580241,2.266058200500377,0.7758864241020587,0.6834970950086742,0.5899844478909652,0.6458673725567257,1.0,0.6458673725567257,242,Active,1
BVBIA Coeur D'Alene B2016,WA,15,15,10,2,0,0.6666666666666666,62,40,22,0.3333333333333333,0,0.0,5,0.3333333333333333,2025-10-11,0.24233515151115365,15,0,4.133333333333334,2.6666666666666665,3.8451479201116396,2.935385322435307,0.5938033439496627,0.5787794721352519,0.714135957243218,0.6629981375629137,0.8660254037844386,0.5741732297912531,661,Active,2
NW United B16 Red,WA,12,12,11,1,0,0.9166666666666666,49,18,24,0.4583333333333333,0,0.0,7,0.5833333333333334,2025-08-03,0.3379154976229779,12,0,4.083333333333333,1.5,3.7719201081283855,2.275693120800603,0.5807089217570154,0.6820874816492062,0.7838870733728636,0.7228915247049624,0.7745966692414834,0.5599493672593614,785,Active,3
Shadow Academy B2016/2017 Basel,WA,18,18,11,7,0,0.6111111111111112,92,29,36,0.6166666666666667,0,0.0,8,0.4444444444444444,2025-10-04,0.10600386111982366,18,0,5.111111111111111,1.6111111111111112,4.555323160098758,2.173610092923541,0.7117028445965151,0.6968490443694765,0.5055037112335963,0.5850126045333561,0.9486832980505138,0.5549916870698253,824,Active,4
NW United B16 Blk,WA,15,15,15,0,0,1.0,72,3,64,0.5,0,0.0,2,0.13333333333333333,2025-08-03,0.33907114511576814,15,0,4.8,0.2,4.2799305288072915,1.3266896702613942,0.6682958860585893,0.8028852432847903,0.5471403618322274,0.6225204429680123,0.8660254037844386,0.5391185179854404,952,Active,5
Columbia Premier SC 16B East 1,WA,27,27,11,16,0,0.4074074074074074,90,121,-30,0.375,0,0.0,12,0.4444444444444444,2025-08-24,-0.09738469348177084,27,0,3.3333333333333335,4.481481481481482,3.3268114903590775,4.243253211886059,0.499322243618989,0.3622321581422523,0.6105013324520333,0.5386116798234682,1.0,0.5386116798234682,957,Active,6
Washington Rush B16 Azul,WA,13,13,9,1,0,0.6923076923076923,53,17,33,0.34615384615384615,0,0.0,2,0.15384615384615385,2025-08-03,0.2425480718101622,13,0,4.076923076923077,1.3076923076923077,3.7827810553603674,2.1197077340958126,0.5826587198243581,0.7044852251773275,0.6842049236163097,0.667951743170123,0.806225774829855,0.5385199116862847,959,Active,7
J&S Othello United FC B17/18 Garcia,WA,16,18,10,6,0,0.625,71,48,18,0.3333333333333333,2,0.125,12,0.75,2025-10-11,0.12937392384663238,16,2,4.4375,3.0,4.059933423440321,3.1464109340005026,0.6313881693352008,0.5436930059489888,0.6094341293363861,0.6006767126586696,0.8944271909999159,0.5372615848023574,968,Active,8
Shadow Academy B2016/2017 Folsom,WA,16,16,6,8,0,0.375,61,61,0,0.5166666666666666,0,0.0,6,0.375,2025-10-12,0.06315439034266299,16,0,3.8125,3.8125,3.6432667567736545,3.688077600667169,0.5574367146056782,0.452475785280931,0.6553501602502125,0.5951925961274493,0.8944271909999159,0.532356441858222,1015,Active,9
Milan,WA,30,72,12,15,0,0.4,92,80,7,0.39,3,0.1,2,0.06666666666666667,2025-10-05,0.02575523345293796,30,3,3.066666666666667,2.6666666666666665,3.1168000569096765,2.8293121688424225,0.4606677576742295,0.5961422392109741,0.4953406276331299,0.5085663759569187,1.0,0.5085663759569187,1218,Active,10
Pacific FC 16B Legion Orange,WA,15,15,6,9,0,0.4,55,62,-7,0.2,0,0.0,7,0.4666666666666667,2025-08-24,-0.04016680065268258,15,0,3.6666666666666665,4.133333333333334,3.540800094024683,3.8919070615657425,0.5387140931560049,0.41864030603638025,0.5133792750445613,0.4994984448652138,0.8660254037844386,0.4325783424040959,1852,Active,11
Eastside FC B16 Blue,WA,11,11,6,5,0,0.5454545454545454,27,26,1,0.2727272727272727,0,0.0,4,0.36363636363636365,2025-10-05,0.08606680924539113,11,0,2.4545454545454546,2.3636363636363638,2.8125474822404057,2.8165190745269504,0.4056136912535069,0.5982210292572188,0.6304881338449685,0.5790598244091263,0.7416198487095663,0.4294422593720843,1873,Active,12
FC Salmon Creek,WA,24,24,10,10,0,0.4166666666666667,52,60,-6,0.35,0,0.0,8,0.3333333333333333,2025-08-31,-0.09065905627078961,24,0,2.1666666666666665,2.5,2.451200067580241,2.734808200500377,0.34327677234540677,0.6114124349686498,0.37915771210615595,0.4184324687265049,1.0,0.4184324687265049,1979,Active,13
WPFC B16 White,WA,7,7,5,2,0,0.7142857142857143,41,13,20,0.35714285714285715,0,0.0,4,0.5714285714285714,2025-08-10,0.2357441420897634,7,0,5.857142857142857,1.8571428571428572,4.495893477504514,2.7009241610674706,0.7026235253008566,0.6168363570645765,0.732984488048729,0.7036826693023239,0.5916079783099616,0.41630428135770514,1989,Active,14
Pacific FC 16B Legion Blue,WA,16,16,7,3,0,0.4375,65,36,29,0.23333333333333334,0,0.0,4,0.25,2025-08-30,0.017023443133417526,16,0,4.0625,2.25,3.8099334234403215,2.6464109340005026,0.5875217971799988,0.625501244173297,0.36694109976037526,0.46276926812688435,0.8944271909999159,0.4139134165718161,2013,Active,15
Spokane Legacy SA - B2016 Olsen,WA,13,13,6,7,0,0.46153846153846156,58,62,-7,0.23076923076923078,0,0.0,8,0.6153846153846154,2025-10-11,-0.02019126534751436,13,0,4.461538461538462,4.769230769230769,4.020876293455605,4.262564876952955,0.6246566333581508,0.3592239805714941,0.5257357574214704,0.5122175772388112,0.806225774829855,0.4129630130908317,2019,Active,16
Eastside FC B16 Navy,WA,8,8,4,2,0,0.5,20,10,10,0.25,0,0.0,0,0.0,2025-08-03,0.18379359624896213,8,0,2.5,1.25,2.902400135160482,2.3446164010007537,0.42169084480107205,0.6719073821238354,0.7083035536554875,0.643701777578274,0.6324555320336759,0.40711275020929016,2060,Active,17
Eastside FC B16 Bellevue Red,WA,8,8,4,2,0,0.5,21,15,6,0.25,0,0.0,4,0.5,2025-08-02,0.15578299380526067,8,0,2.625,1.875,2.964900135160482,2.6571164010007537,0.43297473909720785,0.6238057485276768,0.6916005557125094,0.6263164309524826,0.6324555320336759,0.3961172915594854,2150,Active,18
HPFC Heat B2016 Blue,WA,5,5,3,1,0,0.6,20,7,13,0.3,0,0.0,1,0.2,2025-08-03,0.28375480605613546,5,0,4.0,1.4,3.5721847817359778,2.6549124935393893,0.5444627809097318,0.6241550455128253,0.8221505973647703,0.7270139237033736,0.5,0.3635069618516868,2360,Active,19
HPFC Heat B2016 White,WA,16,17,5,9,0,0.3125,31,39,-9,0.16666666666666666,0,0.0,9,0.5625,2025-08-02,-0.17440209254724015,16,0,1.9375,2.4375,2.3932667567736545,2.7714109340005026,0.3337065756567618,0.6055222008543015,0.3593313608133346,0.4034445717902134,0.8944271909999159,0.3608517950704845,2380,Active,20
