Team,State,Games_Played,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Win_Pct_Norm,Goal_Diff_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
FC Alliance South 2016/17B Gold,WV,26,13,10,0,0.5,107,93,14,0.5,5,0.19230769230769232,26,1.0,2025-09-27,0.5348917147219476,12,5,0.5,0.536,0.5348917147219476,0.5281350288331685,1.140175425099138,0.6021665810096035,662,Active,1
Putnam United FC - 2016 Boys,WV,29,19,5,0,0.6551724137931034,150,57,93,0.5,4,0.13793103448275862,29,1.0,2025-05-18,0.3802856984969054,16,4,0.6551724137931034,0.694,0.3802856984969054,0.49800590185676397,1.2041594578792296,0.5996785168004978,685,Active,2
WVFC 2016 Boys - Black,WV,29,10,17,0,0.3448275862068966,81,114,-33,0.5,2,0.06896551724137931,29,1.0,2025-10-12,0.5212432690349982,18,2,0.3448275862068966,0.442,0.5212432690349982,0.47011147866237823,1.2041594578792296,0.5660891832888924,971,Active,3
Great Teays Black 2016,WV,18,10,7,0,0.5555555555555556,104,47,57,0.6,2,0.1111111111111111,18,1.0,2025-09-21,0.47031099834698037,9,2,0.5555555555555556,0.622,0.47031099834698037,0.5176977101192993,0.9486832980505138,0.4911311710291757,1585,Active,4
MUSC 2016 Boys,WV,15,8,4,0,0.5333333333333333,61,39,22,0.4,0,0.0,15,1.0,2025-08-31,0.5608465608465608,9,0,0.5333333333333333,0.552,0.5608465608465608,0.5535746031746032,0.8660254037844386,0.47940966923909606,1665,Active,5
WVFC 2016 Boys - Gray,WV,23,4,18,0,0.17391304347826086,49,114,-65,0.0,1,0.043478260869565216,23,1.0,2025-09-14,0.5297544118383699,8,1,0.17391304347826086,0.378,0.5297544118383699,0.42823525579867405,1.0723805294763609,0.4592311503538269,1808,Active,6
FC Alliance South 2016/17B Black,WV,18,4,14,0,0.2222222222222222,62,84,-22,0.2,0,0.0,18,1.0,2025-09-21,0.5592948717948718,8,0,0.2222222222222222,0.464,0.5592948717948718,0.4728213675213675,0.9486832980505138,0.448557734328925,1887,Active,7
FC Alliance Central 2016B Gold,WV,15,4,11,0,0.26666666666666666,45,118,-73,0.3,0,0.0,15,1.0,2025-09-21,0.5566666666666666,10,0,0.26666666666666666,0.362,0.5566666666666666,0.4597333333333333,0.8660254037844386,0.39814074563316587,2180,Active,8
Legacy FC 16 Black,WV,13,8,5,0,0.6153846153846154,62,52,10,0.5,0,0.0,13,1.0,2025-09-14,0.3099505802654228,6,0,0.6153846153846154,0.528,0.3099505802654228,0.41464727123617684,0.806225774829855,0.33429931753347175,2495,Active,9
Legacy FC 16/17 Red,WV,8,6,2,0,0.75,32,28,4,0.75,0,0.0,8,1.0,2025-09-14,0.45555555555555555,8,0,0.75,0.516,0.45555555555555555,0.5265333333333333,0.6324555320336759,0.3330089194667981,2503,Active,10
East River Boys U10 2016-2017,WV,8,8,0,0,1.0,78,6,72,1.0,0,0.0,8,1.0,2025-09-14,0.30972222222222223,8,0,1.0,0.652,0.30972222222222223,0.5162333333333333,0.6324555320336759,0.32649462748685126,2538,Active,11
Putnam United FC - 2016-17 Boys,WV,6,0,6,0,0.0,14,52,-38,0.0,0,0.0,6,1.0,2025-09-14,0.5333333333333333,6,0,0.0,0.432,0.5333333333333333,0.4064,0.5477225575051661,0.22259444737009948,2992,Active,12
