Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Putnam United FC - 2016 Boys,WV,30,31,20,5,0,0.6666666666666666,153,57,73,0.6699999999999999,2,0.06666666666666667,17,0.5666666666666667,2025-05-18,0.3844861612029131,30,2,5.1,1.9,4.722063214804414,2.224049010947686,0.7362731664498726,0.6896036211978372,0.6004215676546507,0.6454282981223324,1.0,0.6454282981223324,244,Active,1
FC Alliance South 2016/17B Gold,WV,28,28,15,11,0,0.5357142857142857,111,97,7,0.5266666666666667,1,0.03571428571428571,20,0.7142857142857143,2025-09-27,0.07129444863938714,28,1,3.9642857142857144,3.4642857142857144,3.8177333934046587,3.4587184004447793,0.5889156886148439,0.4910654051593555,0.5706869428825394,0.5584083844843635,1.0,0.5584083844843635,798,Active,2
MUSC 2016 Boys,WV,24,24,14,4,0,0.5833333333333334,108,62,42,0.5055555555555555,2,0.08333333333333333,9,0.375,2025-08-31,0.17097952973164804,24,2,4.5,2.5833333333333335,4.201200067580241,2.797308200500377,0.6552960918545219,0.6013360202251874,0.4863974463561234,0.5431648902296159,1.0,0.5431648902296159,913,Active,3
WVFC 2016 Boys - Black,WV,30,39,12,17,0,0.4,93,116,-17,0.3983333333333333,0,0.0,11,0.36666666666666664,2025-10-12,-0.0745432687250574,30,0,3.1,3.8666666666666667,3.143115846383361,3.7766805898950544,0.4654951171621998,0.43769476741725355,0.5631719033495048,0.5185411189255935,1.0,0.5185411189255935,1130,Active,4
Great Teays Black 2016,WV,19,19,9,9,0,0.47368421052631576,89,60,17,0.4083333333333333,4,0.21052631578947367,10,0.5263157894736842,2025-09-21,0.012883542960057653,19,4,4.684210526315789,3.1578947368421053,4.275496376391397,3.241254163556002,0.6675702815630142,0.5277597054330795,0.4743836869573858,0.5236962095736502,0.9746794344808963,0.5104359253870343,1204,Active,5
Legacy FC 16 Black,WV,13,13,8,5,0,0.6153846153846154,62,52,5,0.3076923076923077,1,0.07692307692307693,6,0.46153846153846156,2025-09-14,0.04501727793561658,13,1,4.769230769230769,4.0,4.211352483931796,3.786374400762479,0.6569860548870234,0.436083827302545,0.5424239481405312,0.5440683453222324,0.806225774829855,0.4386419232678139,1804,Active,6
WVFC 2016 Boys - Gray,WV,30,30,5,23,0,0.16666666666666666,63,138,-68,0.17166666666666666,5,0.16666666666666666,16,0.5333333333333333,2025-09-14,-0.4550178987104871,30,5,2.1,4.6,2.3536421621728345,4.3556279583161075,0.3272382921471274,0.34488557400683884,0.48350582333708375,0.4245282672330435,1.0,0.4245282672330435,1921,Active,7
FC Alliance South 2016/17B Black,WV,16,16,4,12,0,0.25,56,73,-22,0.44999999999999996,4,0.25,8,0.5,2025-09-21,-0.3373277097360331,16,4,3.5,4.5625,3.4349334234403215,4.188077600667169,0.5192554507670676,0.37088586210811414,0.257310426056029,0.33241451820865375,0.8944271909999159,0.29732058376895654,2696,Active,8
East River Boys U10 2016-2017,WV,8,8,8,0,0,1.0,78,6,48,0.5,0,0.0,0,0.0,2025-09-14,-0.06453222168717013,8,0,9.75,0.75,6.527400135160482,2.0946164010007537,0.9136186299013714,0.7080014930579558,0.19312864222335407,0.4402012099258779,0.6324555320336759,0.278407690425539,2777,Active,9
Legacy FC 16/17 Red,WV,14,14,8,6,0,0.5714285714285714,51,58,-4,0.2857142857142857,1,0.07142857142857142,2,0.14285714285714285,2025-09-14,-0.20869530753073134,14,1,3.642857142857143,4.142857142857143,3.519927371025805,3.886993746182367,0.534885061522547,0.41944828036153725,0.22226959573270308,0.32422842581643874,0.8366600265340756,0.27126896334668316,2811,Active,10
FC Alliance Central 2016B Gold,WV,15,15,2,13,0,0.13333333333333333,38,130,-61,0.06666666666666667,4,0.26666666666666666,6,0.4,2025-09-21,-0.49040744692673155,15,4,2.533333333333333,8.666666666666666,2.8016696592420742,6.848428800696177,0.40368028498807423,0.0890359089220607,0.18320865835511885,0.2084684337950983,0.8660254037844386,0.18053895955370952,3097,Active,11
Putnam United FC - 2016-17 Boys,WV,7,7,1,6,0,0.14285714285714285,24,54,-14,0.07142857142857142,0,0.0,1,0.14285714285714285,2025-09-14,-0.5037879960287667,7,0,3.4285714285714284,7.714285714285714,3.362560144171181,5.434257494400804,0.5059156888642186,0.202587112569805,0.08162147577770162,0.1906734457534257,0.5916079783099616,0.11280393175957831,3204,Active,12
