Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
"Red Bulls Regional Select, Westchester, Boys 2015 White",AL,14,14,8,6,0,0.5714285714285714,66,56,8,0.2857142857142857,0,0.0,7,0.5,2025-07-27,1.3848341311097723,14,0,4.714285714285714,4.0,4.073274260901578,3.6948778765251813,0.7119463078669989,0.4019898497537815,0.7152322893362411,0.6519266051259007,0.8366600265340756,0.5454409307429059,1956,Active,1
FWSC 2015B Mannheim,AL,19,19,11,7,0,0.5789473684210527,76,53,19,0.475,0,0.0,11,0.5789473684210527,2025-10-04,-0.30230709419947177,19,0,4.0,2.789473684210526,3.689334582956841,2.8995301216131106,0.6432845178309987,0.5393551970538493,0.4469306203729282,0.5046863152007265,0.9746794344808963,0.49190737229009146,2966,Active,2
Hoover Vestavia 15B Yellow Pre-MLS NEXT,AL,12,12,4,7,0,0.3333333333333333,15,24,-9,0.16666666666666666,0,0.0,7,0.5833333333333334,2025-10-12,0.589352681326667,12,0,1.25,2.0,1.9306016869917362,2.4643656641776994,0.2985448490220121,0.6133388704250229,0.5974422060878449,0.540842067542114,0.7745966692414834,0.41893446410379886,4261,Active,3
AFCHSV- USC 2015 Boys Premier,AL,12,12,8,3,0,0.6666666666666666,34,13,21,0.3333333333333333,0,0.0,7,0.5833333333333334,2025-10-17,0.0013076148106983335,12,0,2.8333333333333335,1.0833333333333333,2.880601686991736,1.9143656641776992,0.48143221221195903,0.6995410827803206,0.4947595413615989,0.5330503838154153,0.7745966692414834,0.412899051841315,4362,Active,4
SOCA u10 Boys Jamboree White,AL,8,8,4,2,0,0.5,18,22,-4,0.25,0,0.0,3,0.375,2025-05-25,1.7177096434961951,8,0,2.25,2.75,2.60075210873967,2.955457080222124,0.42456617123035933,0.5296466536332286,0.7587878749802112,0.6461152899608442,0.6324555320336759,0.4086391894672785,4437,Active,5
NOW FC BOYS 2015 Black,AL,14,14,7,5,0,0.5,34,35,1,0.25,0,0.0,6,0.42857142857142855,2025-10-17,-0.17767872666990858,14,0,2.4285714285714284,2.5,2.6187288063561236,2.7403324219797267,0.42817577395533013,0.566803709637475,0.47030757249143007,0.4811804402134191,0.8366600265340756,0.4025844398766374,4518,Active,6
NASC Gravity 15B Barca,AL,11,11,5,4,0,0.45454545454545453,21,22,-1,0.22727272727272727,2,0.18181818181818182,5,0.45454545454545453,2025-05-11,-0.036953146901437514,11,2,1.9090909090909092,2.0,2.3480017757807747,2.488805962292315,0.37482802252580155,0.6092870825730408,0.49031216715211373,0.49101032131103667,0.7416198487095663,0.36414300020552653,5108,Active,7
TUSC Academy Boys 2015 Red,AL,10,10,8,1,0,0.8,41,18,20,0.4,0,0.0,8,0.8,2025-10-04,-0.4154856673932965,10,0,4.1,1.8,3.5895574299908173,2.4048507379752215,0.6242750083421249,0.6231390766601461,0.42842608678324523,0.5065384690704013,0.7071067811865476,0.35817678641153305,5177,Active,8
TFC 2015 Boys Black,AL,10,10,8,2,0,0.8,43,18,23,0.4,0,0.0,10,1.0,2025-10-05,-0.7438137453149911,10,0,4.3,1.8,3.7006685411019284,2.4048507379752215,0.6454168641192436,0.6231390766601461,0.37851826650421216,0.48082214805840523,0.7071067811865476,0.3399926014367805,5413,Active,9
SOCA u10 Boys Jamboree Red,AL,6,6,4,2,0,0.6666666666666666,18,10,8,0.3333333333333333,0,0.0,2,0.3333333333333333,2025-05-25,1.0264509526105676,6,0,3.0,1.6666666666666667,2.9722881242739088,2.520522377396713,0.5002418640784669,0.6040065562281114,0.6628016689981614,0.6185306854602125,0.5477225575051661,0.338783208935691,5429,Active,10
AFCHSV- USC 2015 Boys Elite,AL,11,11,3,8,0,0.2727272727272727,18,30,-12,0.13636363636363635,0,0.0,5,0.45454545454545453,2025-10-04,-0.2458309722454596,11,0,1.6363636363636365,2.727272727272727,2.1901070389386694,2.9098585938712622,0.34497804845470487,0.5375642695659484,0.46281356404391955,0.45419660203048234,0.7416198487095663,0.3368412152822454,5458,Active,11
NASC Gravity 15B ManU,AL,16,16,3,11,0,0.1875,32,54,-22,0.1,0,0.0,7,0.4375,2025-05-11,-1.1430107775224738,16,0,2.0,3.375,2.3171680724931134,3.303638053481416,0.36891522450502295,0.46898834579614024,0.32159093320928195,0.3605352739858018,0.8944271909999159,0.32247255236750577,5638,Active,12
OWS FC 2015,AL,7,7,5,2,0,0.7142857142857143,27,12,14,0.35714285714285715,0,0.0,4,0.5714285714285714,2025-06-22,0.06598506384545058,7,0,3.857142857142857,1.7142857142857142,3.374135582655648,2.4858208855702655,0.5819725991289102,0.6097827790184749,0.506105817900784,0.5420145663699474,0.5916079783099616,0.32066014182467506,5664,Active,13
Dothan Shockers FC 15B,AL,17,17,4,13,0,0.23529411764705882,31,74,-35,0.13333333333333333,0,0.0,9,0.5294117647058824,2025-09-28,-1.028861247975823,17,0,1.8235294117647058,4.352941176470588,2.184481349593389,3.971492531342159,0.3439351445426905,0.35659361211066787,0.3381865874106283,0.34301770377704865,0.9219544457292888,0.31624669696110225,5719,Active,14
SOCA u10 Boys Jamboree Blue,AL,6,6,0,4,0,0.0,16,30,-14,0.0,0,0.0,3,0.5,2025-05-25,0.34728995880094216,6,0,2.6666666666666665,5.0,2.829430981416766,3.949093805968142,0.47095387238783126,0.3601871923848685,0.5608394037597347,0.5027318552103808,0.5477225575051661,0.2753575774751466,6170,Active,15
Fire 15 Red,AL,8,8,5,3,0,0.625,31,20,11,0.3125,0,0.0,4,0.5,2025-09-19,-0.92224863634193,8,0,3.875,2.5,3.41325210873967,2.830457080222124,0.5897641053606744,0.5513039441615954,0.3403187914395166,0.43240488476816397,0.6324555320336759,0.27347686145000943,6188,Active,16
GlobalJC-B11A-Nobrega,AL,4,4,4,0,0,1.0,18,4,14,0.5,0,0.0,4,1.0,2025-03-16,0.32240585837763663,4,0,4.5,1.0,3.4676694783195603,2.4406094402961656,0.6005280706834505,0.6172622737083646,0.543495764566352,0.5696555276181742,0.4472135954999579,0.2547576967025493,6376,Inactive,17
Alabama FC Central 15B Academy South Red,AL,12,12,4,7,0,0.3333333333333333,25,45,-17,0.16666666666666666,2,0.16666666666666666,6,0.5,2025-10-17,-1.481977635318067,12,2,2.0833333333333335,3.75,2.430601686991736,3.5143656641776992,0.3908486054850403,0.4326040831747029,0.2708952612940123,0.327227694508356,0.7745966692414834,0.2534694822497422,6389,Active,18
NASC Gravity15B Chelsea,AL,11,11,2,7,0,0.18181818181818182,26,43,-17,0.09090909090909091,0,0.0,4,0.36363636363636365,2025-04-27,-1.4013327921316514,11,0,2.3636363636363638,3.909090909090909,2.6111596705176168,3.594069120187052,0.42665498624823495,0.4190085139464029,0.2834648945208691,0.33921163675144905,0.7416198487095663,0.251566082728134,6405,Active,19
Cottontown United 15 Boys,AL,7,7,4,1,0,0.5714285714285714,23,17,6,0.2857142857142857,0,0.0,3,0.42857142857142855,2025-04-27,-1.3370523036373865,7,0,3.2857142857142856,2.4285714285714284,3.1074689159889815,2.819154218903599,0.5279578703687748,0.5532539386695059,0.2873676130426613,0.3886629296332529,0.5916079783099616,0.2299360900443556,6609,Active,20
Auburn Soccer Club 2015 Boys Blue,AL,5,5,3,0,0,0.6,23,7,13,0.3,1,0.2,4,0.8,2025-10-12,-1.002270973569934,5,1,4.6,1.4,3.585541056910363,2.4836394833503066,0.623501276394087,0.6101448754613352,0.3389145003101331,0.4500779305571643,0.5,0.22503896527858214,6645,Active,21
Hoover Jr Phantoms 2015 Blue,AL,4,4,1,1,0,0.25,4,4,0,0.125,2,0.5,3,0.75,2025-04-13,-0.41923443123529464,4,2,1.0,1.0,2.3010028116528933,2.4406094402961656,0.3658308393650561,0.6172622737083646,0.4287117511418792,0.4538456732998117,0.4472135954999579,0.20296595535850803,6812,Inactive,22
Steamers 15 Leverkusen,AL,4,4,2,2,0,0.5,12,6,6,0.25,0,0.0,0,0.0,2025-09-13,-0.9315659133981619,4,0,3.0,1.5,2.9676694783195603,2.6072761069628325,0.4992939100013549,0.5894416836494762,0.345842245678278,0.42525246613713297,0.4472135954999579,0.19017868437641133,6904,Provisional,23
Savage Premier 2015,AL,3,3,3,0,0,1.0,14,3,11,0.5,1,0.3333333333333333,3,1.0,2025-07-20,-0.48535651706004074,3,1,4.666666666666667,1.0,3.4192757945304293,2.5715739348685442,0.590960056714072,0.5954562035520407,0.41981105938292823,0.4891698876829795,0.3872983346207417,0.1894546828462332,6908,Provisional,24
Hoover Vestavia 15B Grey Pre MLS NEXT,AL,6,6,0,6,0,0.0,5,34,-25,0.0,3,0.5,3,0.5,2025-10-12,-1.7776426583347955,6,3,0.8333333333333334,5.666666666666667,2.04371669570248,4.234808091682427,0.31834855574764054,0.31563614797047534,0.23415173757858215,0.26728798329077247,0.5477225575051661,0.14639965779841999,7186,Active,25
Fenómenos 2015,AL,3,3,0,3,0,0.0,2,21,-15,0.0,0,0.0,3,1.0,2025-03-09,-0.6819276796142122,3,0,0.6666666666666666,7.0,2.3283667036213385,4.20793757123218,0.37105827653966894,0.3196998363437352,0.3944366707332959,0.3748136250166584,0.3872983346207417,0.14516469276211497,7193,Inactive,26
Barca Academy Hoover 15 Boys Blue,AL,5,5,0,5,0,0.0,2,31,-28,0.0,0,0.0,1,0.2,2025-10-05,-1.5903872912712758,5,0,0.4,6.2,1.9701564415257478,4.329793329504152,0.30538952820014204,0.3014984634394079,0.270009969184651,0.28338357983870055,0.5,0.14169178991935028,7219,Active,27
DSC 2015 U10 Boys (WHITE),AL,5,5,2,3,0,0.4,13,15,-2,0.2,0,0.0,3,0.6,2025-06-08,-3.3775302261982447,5,0,2.6,3.0,2.816310287679594,3.099024098734922,0.46827086731988116,0.504639034512027,0.09452744195313785,0.25129844553826436,0.5,0.12564922276913218,7287,Active,28
AFCHSV- USC 2015 Boys Adidas,AL,3,3,0,3,0,0.0,4,14,-10,0.0,0,0.0,3,1.0,2025-05-11,-1.7306780869319078,3,0,1.3333333333333333,4.666666666666667,2.51018488543952,3.5715739348685442,0.40651037261307893,0.4228341640674397,0.2462302771580055,0.313607073630907,0.3872983346207417,0.1214594973425346,7302,Provisional,29
Alabama FC Central 15B Academy South Black,AL,3,4,0,2,0,0.0,7,17,-10,0.0,0,0.0,3,1.0,2025-04-18,-1.7776426583347904,3,0,2.3333333333333335,5.666666666666667,2.782912158166793,3.8443012075958167,0.46145002939328156,0.37720322780789495,0.23415173757858282,0.30822169398738497,0.3872983346207417,0.11937374877529808,7310,Inactive,30
USC 15 Boys Select,AL,6,6,0,6,0,0.0,0,34,-32,0.0,0,0.0,3,0.5,2025-04-13,-2.9674511076815486,6,0,0.0,5.666666666666667,1.686573838559623,4.234808091682427,0.2583467962313998,0.31563614797047534,0.12882976856186537,0.19209444997749425,0.5477225575051661,0.10521446342422135,7344,Inactive,31
