Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
F.C. Horizon 2015 Boys Green,AR,23,23,16,6,0,0.6956521739130435,97,61,38,0.6166666666666667,0,0.0,10,0.43478260869565216,2025-09-01,0.5189995229159032,23,0,4.217391304347826,2.652173913043478,3.8907107658011197,2.7834617188243223,0.6802616579714014,0.5594006637251628,0.5802565762960937,0.5960864101169692,1.0,0.5960864101169692,1182,Active,1
AFC Benton Wolverines 2015 Boys,AR,22,23,15,7,0,0.6818181818181818,91,41,46,0.6,2,0.09090909090909091,15,0.6818181818181818,2025-08-30,-0.1985066595899575,22,2,4.136363636363637,1.8636363636363635,3.8204011246611573,2.2095771094517995,0.6675781552507672,0.6545588783741908,0.46348680990793584,0.5425194926697532,1.0,0.5425194926697532,2008,Active,2
ARFC 2015B Martinez,AR,21,21,8,11,0,0.38095238095238093,60,59,1,0.31666666666666665,0,0.0,18,0.8571428571428571,2025-09-21,0.022806604353944094,21,0,2.857142857142857,2.8095238095238093,2.88317357723568,2.9064590787432407,0.48195937266094635,0.5381538450595629,0.5040794788251273,0.5064703308391783,1.0,0.5064703308391783,2690,Active,3
Advantage Academy 2015 Boys Elite,AR,11,11,9,1,0,0.8181818181818182,81,13,46,0.4090909090909091,0,0.0,8,0.7272727272727273,2025-04-19,0.745375032480957,11,0,7.363636363636363,1.1818181818181819,5.50589651262288,2.0151217517659994,0.8890437567573155,0.684561384236247,0.6047794599874524,0.6775887041911839,0.7416198487095663,0.5025132322895769,2765,Inactive,4
Little Rock Rangers 2015 Boys Red,AR,24,24,14,8,0,0.5833333333333334,75,51,27,0.49444444444444446,9,0.375,13,0.5416666666666666,2025-08-30,-0.5814214698636696,24,9,3.125,2.125,3.081626054369835,2.383978540111062,0.5226673930296318,0.6265527980582326,0.4045427665616516,0.47256969815456384,1.0,0.47256969815456384,3345,Active,5
ARFC 2015B Pina,AR,23,23,7,15,0,0.30434782608695654,45,80,-33,0.24375000000000002,2,0.08695652173913043,17,0.7391304347826086,2025-10-12,-0.07468784947988455,23,2,1.9565217391304348,3.4782608695652173,2.21329141096241,3.3963649446307738,0.3492917063566108,0.4529141319920099,0.4887527052319075,0.45369279080886865,1.0,0.45369279080886865,3661,Active,6
Arkansas Comets 2015B Pre ECNL,AR,12,12,9,2,0,0.75,54,20,26,0.375,4,0.3333333333333333,12,1.0,2025-05-26,-0.1031899733261648,12,4,4.5,1.6666666666666667,3.880601686991736,2.2643656641776992,0.678453806053533,0.6458650207573435,0.4828454153087221,0.5545710145474085,0.7745966692414834,0.4295688607262929,4082,Active,7
Sporting Arkansas 2015B Porto,AR,17,17,8,9,0,0.47058823529411764,61,55,6,0.4083333333333333,1,0.058823529411764705,4,0.23529411764705882,2025-10-12,-0.5463057943697925,17,1,3.588235294117647,3.235294117647059,3.3844813495933885,3.2114925313421594,0.5840374939669952,0.48502585072949156,0.4102254050346034,0.4599479119600594,0.9219544457292888,0.42405102223548025,4173,Active,8
Tigres 2015,AR,12,12,6,4,0,0.5,52,32,18,0.25,0,0.0,3,0.25,2025-04-05,-0.18967540535137928,12,0,4.333333333333333,2.6666666666666665,3.780601686991736,2.8643656641776993,0.6602878261619235,0.545444724947705,0.4636789068404792,0.5193538543262133,0.7745966692414834,0.40228976571881137,4522,Inactive,9
Sporting Arkansas 2015B AFC Richmond,AR,17,17,8,9,0,0.47058823529411764,33,53,-20,0.4083333333333333,4,0.23529411764705882,2,0.11764705882352941,2025-10-12,-0.9115289622285517,17,4,1.9411764705882353,3.1176470588235294,2.264481349593389,3.1314925313421593,0.35890311773332895,0.49897572132764323,0.35597708555469526,0.3851620191450116,0.9219544457292888,0.3551018358768129,5222,Active,10
Arkansas Comets 2015B Navy,AR,14,14,3,9,0,0.21428571428571427,26,48,-22,0.10714285714285714,0,0.0,9,0.6428571428571429,2025-10-12,-0.5439592992442422,14,0,1.8571428571428572,3.4285714285714284,2.2550924427197603,3.3312415128888175,0.3571314815442858,0.4641950254603394,0.4164362769328602,0.41412706756064116,0.8366600265340756,0.34648356333376495,5332,Active,11
Sporting Arkansas 2015B Leeds United,AR,15,15,3,12,0,0.2,25,52,-27,0.1,1,0.06666666666666667,5,0.3333333333333333,2025-10-12,-0.9742540368386541,15,1,1.6666666666666667,3.466666666666667,2.11356668434064,3.360317968850173,0.3309201948532425,0.4591530813643099,0.3479932105864667,0.3668105815953905,0.8660254037844386,0.3176672820385528,5705,Active,12
Arkansas Rising 2015 Boys - Pre-RL,AR,9,10,4,3,0,0.4444444444444444,30,26,3,0.2222222222222222,3,0.3333333333333333,3,0.3333333333333333,2024-11-13,-0.9198236751444626,9,3,3.3333333333333335,2.888888888888889,3.1536490435196893,3.0169007813855284,0.5373953481777878,0.5189547968042035,0.350998126042323,0.42186890462179205,0.6708203932499369,0.28299826449831067,6081,Inactive,13
Sporting Arkansas 2015B Newcastle,AR,12,12,2,9,0,0.16666666666666666,12,28,-16,0.08333333333333333,6,0.5,3,0.25,2025-10-12,-1.290483839900836,12,6,1.0,2.3333333333333335,1.780601686991736,2.664365664177699,0.27341118937487374,0.5797690591377873,0.29859044284848885,0.34979031541162553,0.7745966692414834,0.27094641325077307,6211,Active,14
Spa City FC 2015,AR,5,5,0,5,0,0.0,5,27,-18,0.0,0,0.0,3,0.6,2025-09-21,-0.7658354870600158,5,0,1.0,5.4,2.2009256722949786,4.022101021811845,0.3469878264532151,0.34853382859665194,0.38471825477194027,0.36993528387313757,0.5,0.18496764193656878,6936,Active,15
SS ACADEMY 2015B PRE SELECT BLACK,AR,6,6,0,6,0,0.0,6,24,-18,0.0,0,0.0,0,0.0,2024-10-27,-1.3016604430209198,6,0,1.0,4.0,2.1151452671310516,3.520522377396713,0.33120720451233554,0.431549990177849,0.3022728521616422,0.3339151502350222,0.5477225575051661,0.18289286007644812,6954,Inactive,16
Sporting Arkansas 2015B Santos,AR,4,4,2,1,0,0.5,5,4,1,0.25,0,0.0,1,0.25,2024-10-27,-1.167749321213874,4,0,1.25,1.0,2.384336144986227,2.4406094402961656,0.38184377610716785,0.6172622737083646,0.3123317382016309,0.387220252884085,0.4472135954999579,0.1731701615426946,7021,Inactive,17
SS ACADEMY 2015B PRE SELECT GREY,AR,5,5,0,3,0,0.0,0,17,-15,0.0,0,0.0,2,0.4,2024-10-27,-1.3170575165679383,5,0,0.0,3.4,1.816310287679594,3.2528702525810758,0.27927356796476344,0.47781845127069755,0.3023682193702058,0.3328393354692157,0.5,0.16641966773460784,7065,Inactive,18
