Team,State,Games_Played,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Win_Pct_Norm,Goal_Diff_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Northwest 2015 Boys Black,AZ,30,17,5,0,0.5666666666666667,132,47,85,0.5,2,0.06666666666666667,4,0.13333333333333333,2025-10-12,0.5518518518518518,30,2,0.5666666666666667,0.7586206896551724,0.6898148148148148,0.6789463601532567,1.224744871391589,0.8315360725476878,29,Active,1
15 Boys Navy,AZ,29,27,2,0,0.9310344827586207,145,41,104,0.92,0,0.0,10,0.3448275862068966,2025-09-14,0.44527458492975736,29,0,0.9310344827586207,0.7950191570881227,0.5565932311621966,0.6791666666666667,1.2041594578792296,0.8178249651429769,39,Active,2
AZ Arsenal Pre-ECNL B15,AZ,30,17,7,0,0.5666666666666667,145,59,86,0.56,3,0.1,6,0.2,2025-10-12,0.524059829059829,30,3,0.5666666666666667,0.7605363984674329,0.6550747863247861,0.6584854848216916,1.224744871391589,0.8064767204211707,69,Active,3
Chelsea 15B,AZ,30,26,2,0,0.8666666666666667,187,46,141,0.86,0,0.0,5,0.16666666666666666,2025-09-28,0.40105616605616606,30,0,0.8666666666666667,0.8659003831417624,0.5013202075702076,0.6473055345038103,1.224744871391589,0.7927841336069329,104,Active,4
15B AChacon Pre-MLS Next,AZ,30,18,1,0,0.6,112,24,88,0.62,3,0.1,6,0.2,2025-10-05,0.4703561253561253,30,3,0.6,0.764367816091954,0.5879451566951566,0.6256406572354848,1.224744871391589,0.766250186283223,208,Active,5
BRAZAS FC 2015 Boys Black,AZ,30,21,6,0,0.7,117,63,54,0.64,0,0.0,2,0.06666666666666667,2025-10-12,0.45333333333333325,30,0,0.7,0.6992337164750958,0.5666666666666665,0.619846743295019,1.224744871391589,0.7591541198993532,238,Active,6
PRFC Scottsdale 15B Pre-Academy,AZ,30,18,10,0,0.6,97,67,30,0.5800000000000001,3,0.1,5,0.16666666666666666,2025-10-12,0.48481481481481475,30,3,0.6,0.6532567049808429,0.6060185185185184,0.6142624521072797,1.224744871391589,0.7523147879068124,288,Active,7
FDI 2015,AZ,30,17,11,0,0.5666666666666667,97,76,21,0.5899999999999999,0,0.0,5,0.16666666666666666,2025-09-20,0.4925432098765432,30,0,0.5666666666666667,0.6360153256704981,0.615679012345679,0.6099438058748403,1.224744871391589,0.7470255480822776,324,Active,8
15B DGerman,AZ,30,19,9,0,0.6333333333333333,132,60,72,0.64,7,0.23333333333333334,7,0.23333333333333334,2025-09-20,0.4318426501035197,30,7,0.6333333333333333,0.7337164750957854,0.5398033126293996,0.5972919492634635,1.224744871391589,0.731530251583912,466,Active,9
Chelsea 15B2,AZ,28,20,6,0,0.7142857142857143,123,43,80,0.6799999999999999,0,0.0,11,0.39285714285714285,2025-05-24,0.429109977324263,28,0,0.7142857142857143,0.7490421455938697,0.5363874716553287,0.614498054969114,1.1832159566199232,0.7270839039513624,515,Active,10
PRFC West Valley 15B Pre-Academy,AZ,30,18,10,0,0.6,154,72,82,0.5499999999999999,4,0.13333333333333333,15,0.5,2025-10-05,0.42206896551724143,30,4,0.6,0.7528735632183908,0.5275862068965518,0.5871264367816091,1.224744871391589,0.7190800923066938,606,Active,11
Northwest 2015 Boys Red,AZ,30,18,10,0,0.6,122,67,55,0.6099999999999999,7,0.23333333333333334,10,0.3333333333333333,2025-10-17,0.4234466151132817,30,7,0.6,0.7011494252873564,0.5293082688916021,0.5778148463924324,1.224744871391589,0.7076757697330504,756,Active,12
Deportivo Mexico 15B,AZ,30,20,8,0,0.6666666666666666,130,63,67,0.6599999999999999,0,0.0,9,0.3,2025-04-06,0.39201058201058203,30,0,0.6666666666666666,0.7241379310344828,0.4900132275132275,0.5721688560481664,1.224744871391589,0.700760872014984,833,Inactive,13
FCDA 2015B Pre - Academy,AZ,30,14,12,0,0.4666666666666667,113,103,10,0.45999999999999996,0,0.0,18,0.6,2025-05-25,0.47444444444444434,30,0,0.4666666666666667,0.6149425287356322,0.5930555555555553,0.572155172413793,1.224744871391589,0.7007441130539633,836,Active,14
PRFC Southeast Valley 15B Predator-Central,AZ,30,13,11,0,0.43333333333333335,90,69,21,0.41,0,0.0,6,0.2,2025-10-04,0.4776456876456877,30,0,0.43333333333333335,0.6360153256704981,0.5970571095571096,0.5721039975350319,1.224744871391589,0.7006814368836566,837,Active,15
PSG 15B Blue,AZ,30,17,9,0,0.5666666666666667,89,53,36,0.5299999999999999,2,0.06666666666666667,15,0.5,2025-09-20,0.43098765432098757,30,2,0.5666666666666667,0.6647509578544061,0.5387345679012344,0.5695242656449553,1.224744871391589,0.6975219234817199,890,Active,16
Phoenix Premier FC 15B Black,AZ,30,18,8,0,0.6,107,78,29,0.5700000000000001,0,0.0,9,0.3,2025-09-28,0.4255555555555555,30,0,0.6,0.6513409961685823,0.5319444444444443,0.5694348659003831,1.224744871391589,0.6974124316030513,891,Active,17
State 48 FC Avondale 15 Copper,AZ,27,17,7,0,0.6296296296296297,64,46,18,0.64,0,0.0,11,0.4074074074074074,2025-09-28,0.4628601836647813,27,0,0.6296296296296297,0.6302681992337165,0.5785752295809766,0.5991247035212552,1.161895003862225,0.6961199997117833,912,Active,18
Southeast 2015 Boys Black,AZ,30,16,7,0,0.5333333333333333,54,36,18,0.53,4,0.13333333333333333,24,0.8,2025-10-11,0.4452173913043477,30,4,0.5333333333333333,0.6302681992337165,0.5565217391304346,0.5666333499916707,1.224744871391589,0.693981289361734,944,Active,19
State 48 FC 15 Elite,AZ,30,17,8,0,0.5666666666666667,91,69,22,0.54,1,0.03333333333333333,13,0.43333333333333335,2025-10-05,0.4336868686868687,30,1,0.5666666666666667,0.6379310344827587,0.5421085858585858,0.5661846917450365,1.224744871391589,0.6934317974751611,956,Active,20
CDO 15B Premier,AZ,30,18,9,0,0.6,89,52,37,0.5900000000000001,8,0.26666666666666666,6,0.2,2025-10-05,0.4144444444444445,30,8,0.6,0.6666666666666666,0.5180555555555556,0.5641666666666667,1.224744871391589,0.6909602316100881,1000,Active,21
Phoenix United 2015 Elite,AZ,30,15,11,0,0.5,110,58,52,0.53,10,0.3333333333333333,10,0.3333333333333333,2025-10-05,0.4322222222222222,30,10,0.5,0.6954022988505747,0.5402777777777776,0.5632471264367815,1.224744871391589,0.689834029429498,1017,Active,22
15B OMolina,AZ,30,15,13,0,0.5,106,83,23,0.48,0,0.0,11,0.36666666666666664,2025-10-04,0.44692201518288477,30,0,0.5,0.6398467432950191,0.5586525189786059,0.5631608600461674,1.224744871391589,0.6897283751100199,1019,Active,23
Scottsdale 15 Sandsharks Select,AZ,30,19,11,0,0.6333333333333333,107,65,42,0.6200000000000001,1,0.03333333333333333,11,0.36666666666666664,2025-09-28,0.40111111111111114,30,1,0.6333333333333333,0.6762452107279694,0.5013888888888889,0.5627490421455938,1.224744871391589,0.6892240032483452,1026,Active,24
15 Boys Soul Warriors,AZ,30,14,16,0,0.4666666666666667,68,86,-18,0.47000000000000003,0,0.0,5,0.16666666666666666,2025-09-21,0.4718253968253968,30,0,0.4666666666666667,0.5613026819923371,0.5897817460317459,0.5594629173508483,1.224744871391589,0.6851993387592279,1082,Active,25
CCV Stars 15 Boys West Pre-ECNL,AZ,30,16,11,0,0.5333333333333333,84,85,-1,0.49,2,0.06666666666666667,12,0.4,2025-10-05,0.44480056980056976,30,2,0.5333333333333333,0.5938697318007663,0.5560007122507121,0.5590410403772472,1.224744871391589,0.6846826470994517,1086,Active,26
Synergy FC 15/16B Montone,AZ,30,17,10,0,0.5666666666666667,99,57,42,0.6199999999999999,0,0.0,12,0.4,2025-10-04,0.4138717948717948,30,0,0.5666666666666667,0.6762452107279694,0.5173397435897434,0.5589862216327732,1.224744871391589,0.6846155081233011,1089,Active,27
Deportivo Coras USA 2015,AZ,30,17,11,0,0.5666666666666667,132,95,37,0.5899999999999999,1,0.03333333333333333,8,0.26666666666666666,2025-09-07,0.41603174603174603,30,1,0.5666666666666667,0.6666666666666666,0.5200396825396825,0.5586904761904762,1.224744871391589,0.6842532954096103,1092,Active,28
15B NJMarkette,AZ,30,17,9,0,0.5666666666666667,104,66,38,0.5700000000000001,0,0.0,13,0.43333333333333335,2025-10-11,0.41444444444444434,30,0,0.5666666666666667,0.6685823754789272,0.5180555555555554,0.557883141762452,1.224744871391589,0.6832645167093899,1108,Active,29
15B Jason Pre MLS Next,AZ,30,15,15,0,0.5,99,94,5,0.4,0,0.0,10,0.3333333333333333,2025-10-05,0.4483082817565576,30,0,0.5,0.6053639846743295,0.560385352195697,0.5573040082522841,1.224744871391589,0.6825552259129607,1127,Active,30
La Piedad FC 2015,AZ,30,14,14,0,0.4666666666666667,161,107,54,0.46,0,0.0,4,0.13333333333333333,2025-10-11,0.43102900930487137,30,0,0.4666666666666667,0.6992337164750958,0.5387862616310892,0.556451833607006,1.224744871391589,0.6815115293866264,1144,Active,31
15 Pre-MLS Next #2,AZ,28,18,8,0,0.6428571428571429,118,73,45,0.6666666666666666,0,0.0,11,0.39285714285714285,2025-10-04,0.41003401360544217,28,0,0.6428571428571429,0.6819923371647509,0.5125425170068026,0.5724954062084604,1.1832159566199232,0.677385699717455,1208,Active,32
