Team,State,Games_Played,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Win_Pct_Norm,Goal_Diff_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
APSC 2015B Arsenal,CA,30,30,0,0,1.0,129,33,96,0.9999999999999999,0,0.0,5,0.16666666666666666,2025-10-11,0.4777777777777777,30,0,1.0,0.7796934865900383,0.5972222222222221,0.7142720306513409,1.224744871391589,0.8748010063186856,4,Active,1
CVFA 15B Academy,CA,30,25,5,0,0.8333333333333334,152,33,119,0.8099999999999999,7,0.23333333333333334,6,0.2,2025-10-05,0.4969540229885058,30,7,0.8333333333333334,0.8237547892720306,0.6211925287356321,0.7041331417624521,1.224744871391589,0.8623834541504098,8,Active,2
Worldwide Soccer Club B2015,CA,30,26,1,0,0.8666666666666667,133,22,111,0.8799999999999999,3,0.1,11,0.36666666666666664,2025-09-01,0.48909523809523797,30,3,0.8666666666666667,0.8084291187739464,0.6113690476190474,0.7018405856595511,1.224744871391589,0.8595756578210044,9,Active,3
Inglewood sc B2015,CA,30,30,0,0,1.0,150,39,111,0.9999999999999999,0,0.0,4,0.13333333333333333,2025-09-01,0.44166666666666665,30,0,1.0,0.8084291187739464,0.5520833333333333,0.6929358237547892,1.224744871391589,0.8486695963471841,15,Active,4
MVLA 15B Liverpool Blue,CA,30,25,2,0,0.8333333333333334,150,39,111,0.8300000000000001,4,0.13333333333333333,6,0.2,2025-10-12,0.4799168008588299,30,4,0.8333333333333334,0.8084291187739464,0.5998960010735374,0.6882900910655784,1.224744871391589,0.8429797590622168,19,Active,5
Little Knights,CA,30,22,6,0,0.7333333333333333,139,60,79,0.72,3,0.1,3,0.1,2025-10-10,0.49666666666666665,30,3,0.7333333333333333,0.7471264367816092,0.6208333333333332,0.6685919540229884,1.224744871391589,0.8188545667433361,38,Active,6
City SC B15 Pre MLS Next- Jones,CA,30,23,6,0,0.7666666666666667,124,55,69,0.77,3,0.1,9,0.3,2025-08-24,0.48769455690508323,30,3,0.7666666666666667,0.7279693486590039,0.609618196131354,0.6646981207439465,1.224744871391589,0.8140856144047757,47,Active,7
SD Surf Academy Boys 2015 (Penate),CA,30,22,4,0,0.7333333333333333,105,41,64,0.74,0,0.0,3,0.1,2025-10-12,0.49771047809428626,30,0,0.7333333333333333,0.7183908045977011,0.6221380976178578,0.6636276861569215,1.224744871391589,0.8127746051341566,50,Active,8
Red Star 15B Red,CA,30,26,2,0,0.8666666666666667,183,56,127,0.84,0,0.0,5,0.16666666666666666,2025-10-05,0.4272222222222222,30,0,0.8666666666666667,0.8390804597701149,0.5340277777777778,0.6615660919540229,1.224744871391589,0.8102496782072659,56,Active,9
San Ramon FC 15B Pre ECNL-RL,CA,30,25,3,0,0.8333333333333334,120,45,75,0.84,0,0.0,2,0.06666666666666667,2025-10-12,0.46210727969348653,30,0,0.8333333333333334,0.7394636015325671,0.5776340996168581,0.661139846743295,1.224744871391589,0.8097276365714716,58,Active,10
Lincoln FC 15B Blue,CA,30,22,6,0,0.7333333333333333,120,38,82,0.73,0,0.0,4,0.13333333333333333,2025-10-11,0.4849145299145299,30,0,0.7333333333333333,0.7528735632183908,0.6061431623931623,0.6609272767462422,1.224744871391589,0.8094672925577695,61,Active,11
B15 EA,CA,30,18,12,0,0.6,95,70,25,0.5700000000000001,0,0.0,1,0.03333333333333333,2025-08-31,0.5495060928182524,30,0,0.6,0.6436781609195402,0.6868826160228154,0.6608652017975973,1.224744871391589,0.8093912665827748,62,Active,12
