Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
JA Elite FC - 2015 Boys DSA (U11),CT,21,21,16,3,0,0.7619047619047619,94,31,59,0.6333333333333333,0,0.0,7,0.3333333333333333,2025-10-12,1.5679936746464318,21,0,4.476190476190476,1.4761904761904763,4.055587370339128,1.9409418373639304,0.708959302495397,0.6956293631237063,0.7342341320944714,0.7214582123805036,1.0,0.7214582123805036,115,Active,1
B2015 Pre-ECNL I,CT,21,22,17,3,0,0.8095238095238095,114,45,54,0.6916666666666667,3,0.14285714285714285,18,0.8571428571428571,2025-10-11,1.1762896279445512,21,3,5.428571428571429,2.142857142857143,4.745242542752921,2.4237004580535855,0.8110011374720668,0.6200455903158864,0.6794627273966384,0.6938869819955736,1.0,0.6938869819955736,222,Active,2
Levels SC 2015,CT,17,17,13,4,0,0.7647058823529411,71,22,49,0.43333333333333335,0,0.0,8,0.47058823529411764,2025-08-17,1.7589745926248548,17,0,4.176470588235294,1.2941176470588236,3.7844813495933884,1.8914925313421593,0.6610019099389165,0.7028846768775479,0.7584981423039557,0.7278762027456663,0.9219544457292888,0.6710687010619202,373,Active,3
TUSC 2015 Boys U11 Black,CT,30,31,19,3,0,0.6333333333333333,102,31,63,0.625,6,0.2,14,0.4666666666666667,2025-10-12,1.0267852592183961,30,6,3.4,1.0333333333333334,3.305579835258808,1.4812450864093156,0.5682202412388435,0.7590191001091384,0.6588727329589412,0.6607715080449611,1.0,0.6607715080449611,456,Active,4
Inter Connecticut 2015 Pre-NAL Boys,CT,23,23,14,8,0,0.6086956521739131,92,61,15,0.4979166666666666,3,0.13043478260869565,14,0.6086956521739131,2025-10-04,1.1957825598044325,23,3,4.0,2.652173913043478,3.7294204432204747,2.7834617188243223,0.6508001759459766,0.5594006637251628,0.6860706193610978,0.6536825395508865,1.0,0.6536825395508865,506,Active,5
Oakwood SC 15 Pre-MLS Next Blue,CT,30,32,13,12,0,0.43333333333333335,95,79,19,0.44499999999999995,2,0.06666666666666667,19,0.6333333333333333,2025-10-04,1.4559414477237527,30,2,3.1666666666666665,2.6333333333333333,3.121369308943019,2.7444029811461577,0.5308010002218284,0.566106227381749,0.7229093368239838,0.6531270476151058,1.0,0.6531270476151058,516,Active,6
CFC Ole B2015 Pre-ECNL,CT,26,27,19,4,0,0.7307692307692307,120,51,58,0.76,7,0.2692307692307692,18,0.6923076923076923,2025-07-27,0.47515938023590787,26,7,4.615384615384615,1.9615384615384615,4.223883345289257,2.243744508339823,0.7366255150437936,0.6491488850257746,0.5744180456878548,0.6218057074266266,1.0,0.6218057074266266,871,Active,7
CFC North 2015 EDP Star Hill Black,CT,30,37,21,7,0,0.7,118,61,49,0.7066666666666666,0,0.0,11,0.36666666666666664,2025-10-12,0.6394135258983731,30,0,3.933333333333333,2.033333333333333,3.7266324668377555,2.2707187706198417,0.6502798285946623,0.6448505104393187,0.601966149968675,0.6202057577880012,1.0,0.6202057577880012,895,Active,8
Southeast SC B15,CT,30,40,20,10,0,0.6666666666666666,111,81,30,0.6733333333333333,1,0.03333333333333333,14,0.4666666666666667,2025-10-04,0.7965937909536833,30,1,3.7,2.7,3.542421940521966,2.797034560093526,0.6151556128550251,0.5570652798708352,0.6275902891421142,0.6109983520304406,1.0,0.6109983520304406,990,Active,9
Ct Select Black 2015,CT,30,33,19,7,0,0.6333333333333333,146,72,54,0.6266666666666666,0,0.0,12,0.4,2025-08-10,0.3830237874131064,30,0,4.866666666666666,2.4,4.463474572100914,2.560192454830368,0.7729777880566724,0.5973676507898962,0.5602753166453349,0.6102342777565146,1.0,0.6102342777565146,998,Active,10
