Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Delmarva Rush 2015B Rush,DE,30,35,22,8,0,0.7333333333333333,146,72,60,0.7366666666666666,6,0.2,22,0.7333333333333333,2025-10-11,0.9653704099618114,30,6,4.866666666666666,2.4,4.463474572100914,2.560192454830368,0.7729777880566724,0.5973676507898962,0.6490899265216087,0.663523043682279,1.0,0.663523043682279,421,Active,1
Concord 2015 Boys Red,DE,30,34,16,12,0,0.5333333333333333,126,89,36,0.535,0,0.0,16,0.5333333333333333,2025-10-12,0.7839545426865143,30,0,4.2,2.966666666666667,3.9371587826272294,3.0075608758829997,0.6884981708537787,0.5205814024970146,0.6248410658658611,0.6167205541896753,1.0,0.6167205541896753,936,Active,2
RSC '15 Boys Gold,DE,30,54,18,10,0,0.6,122,98,36,0.6066666666666666,0,0.0,12,0.4,2025-10-11,0.8633708497888786,30,0,4.066666666666666,3.2666666666666666,3.8318956247324927,3.2444029811461577,0.6696690161193243,0.47929267411583143,0.637279267179977,0.6121598983550174,1.0,0.6121598983550174,973,Active,3
2015 Boys South Pre-ECNL Black,DE,30,47,22,4,0,0.7333333333333333,102,41,57,0.7333333333333333,0,0.0,16,0.5333333333333333,2025-10-11,0.3746912485238985,30,0,3.4,1.3666666666666667,3.305579835258808,1.7444029811461574,0.5682202412388435,0.7238618786069331,0.5565188767975253,0.5923277500476705,1.0,0.5923277500476705,1229,Active,4
Sporting Athletic Club 2015B Black,DE,30,57,15,11,0,0.5,78,66,12,0.49999999999999994,7,0.23333333333333334,21,0.7,2025-10-04,0.8268266400379157,30,7,2.6,2.2,2.6740008878903874,2.402297717988263,0.4393204207163892,0.6235572963817939,0.6327390592496696,0.5922189789694383,1.0,0.5922189789694383,1233,Active,5
2015 Boys Central Black,DE,30,42,8,18,0,0.26666666666666666,92,122,-30,0.2633333333333333,4,0.13333333333333333,15,0.5,2025-10-11,0.8644685112743843,30,4,3.066666666666667,4.066666666666666,3.042421940521966,3.875981928514579,0.5146323086954417,0.37202475713902916,0.6430918556476983,0.5631865265555132,1.0,0.5631865265555132,1666,Active,6
Stars FC 2015 Boys Summer Select,DE,30,32,14,12,0,0.4666666666666667,138,124,9,0.47333333333333333,1,0.03333333333333333,23,0.7666666666666667,2025-07-27,0.36297452630257515,30,1,4.6,4.133333333333334,4.25294825631144,3.9286135074619475,0.7412286801135394,0.363486768573413,0.5611900348538187,0.5576571106496817,1.0,0.5576571106496817,1750,Active,7
Sporting Athletic Club 2015B Red I,DE,30,34,14,11,0,0.4666666666666667,87,84,5,0.47,0,0.0,23,0.7666666666666667,2025-10-12,0.4584817069486118,30,0,2.9,2.8,2.9108429931535453,2.8759819285145785,0.4876330732958159,0.5434345164199723,0.5732380243325306,0.5501563325426759,1.0,0.5501563325426759,1873,Active,8
Bu11 Elite Academy,DE,30,39,15,14,0,0.5,105,97,2,0.49666666666666665,0,0.0,18,0.6,2025-10-11,-0.01969629013360665,30,0,3.5,3.2333333333333334,3.384527203679861,3.218087191672473,0.5840466394032693,0.4838766612982608,0.4964574205293726,0.5114591124579295,1.0,0.5114591124579295,2603,Active,9
Sporting Athletic Club 2015B Gold,DE,30,53,11,17,0,0.36666666666666664,88,110,-22,0.3633333333333333,0,0.0,13,0.43333333333333335,2025-10-12,0.0703895276969136,30,0,2.933333333333333,3.6666666666666665,2.9371587826272294,3.5601924548303683,0.49303218909238583,0.4247733208161788,0.5127691719227505,0.49122260513536325,1.0,0.49122260513536325,2981,Active,10
Sporting Athletic Club 2015B White,DE,30,54,13,17,0,0.43333333333333335,104,70,12,0.43166666666666664,0,0.0,15,0.5,2025-10-12,-0.46397456805582604,30,0,3.466666666666667,2.3333333333333335,3.3582114142061767,2.5075608758829997,0.5787887215074169,0.6061675488010212,0.42126763111483545,0.4897518327305889,1.0,0.4897518327305889,3018,Active,11
2015 Boys Pre ECNL Black,DE,19,20,5,9,0,0.2631578947368421,39,68,-22,0.16666666666666666,0,0.0,0,0.0,2025-09-27,0.31474968381883917,19,0,2.0526315789473686,3.5789473684210527,2.3189642125864713,3.455085677168666,0.3692586015093045,0.44278330806987465,0.5554455046431256,0.4956756847017112,0.9746794344808963,0.48312489605099496,3156,Active,12
2015 Boys Pre ECNL Blue,DE,30,54,2,24,0,0.06666666666666667,64,120,-56,0.065,1,0.03333333333333333,13,0.43333333333333335,2025-10-04,0.14847504214376847,30,1,2.1333333333333333,4.0,2.305579835258808,3.8233503495672103,0.36670304708014956,0.3806433641166166,0.5285124941532603,0.4665767787313094,1.0,0.4665767787313094,3441,Active,13
RSC '15 Boys Black,DE,30,39,16,10,0,0.5333333333333333,109,83,8,0.5366666666666666,3,0.1,11,0.36666666666666664,2025-10-11,-0.8320023175736138,30,3,3.6333333333333333,2.7666666666666666,3.4897903615745975,2.8496661390408944,0.604876684227922,0.5479863655597346,0.36283831677596634,0.4482756000231111,1.0,0.4482756000231111,3756,Active,14
DFA 2015 Boys Black,DE,30,53,9,17,0,0.3,52,74,-22,0.29666666666666663,3,0.1,16,0.5333333333333333,2025-10-12,-0.4274693540833,30,3,1.7333333333333334,2.466666666666667,1.9897903615745978,2.6128240337777364,0.308819498746878,0.5885046054576597,0.4299593555903424,0.43744043419511297,1.0,0.43744043419511297,3940,Active,15
DFA 2015 Boys White,DE,30,57,8,19,0,0.26666666666666666,63,86,-24,0.265,1,0.03333333333333333,15,0.5,2025-10-12,-0.7805721744813175,30,1,2.1,2.8666666666666667,2.279264045785124,2.928613507461947,0.3617003360939573,0.5343097735789055,0.3745968686217609,0.40396014310762907,1.0,0.40396014310762907,4493,Active,16
Sporting PA Summer U10 Boys,DE,8,8,2,6,0,0.25,18,42,-22,0.125,0,0.0,5,0.625,2025-07-27,0.7252851778072875,8,0,2.25,5.25,2.60075210873967,4.205457080222124,0.42456617123035933,0.32007636292611186,0.6264822635313319,0.5248178649500933,0.6324555320336759,0.3319239619977891,5527,Active,17
2015 Boys North Blue,DE,25,27,5,18,0,0.2,41,115,-64,0.16833333333333333,1,0.04,14,0.56,2025-06-01,-1.2641021642016064,25,1,1.64,4.6,1.9579404163586278,4.251130705562241,0.30326624571630273,0.3131812837393808,0.3055564480499626,0.3066233747211143,1.0,0.3066233747211143,5830,Active,18
Bu11 Premier II,DE,13,13,1,12,0,0.07692307692307693,9,126,-57,0.038461538461538464,0,0.0,6,0.46153846153846156,2025-10-04,-1.0774410765171318,13,0,0.6923076923076923,9.692307692307692,1.5529539876111773,7.204157775407332,0.23789078476034498,0.054905749072136634,0.33780769944481254,0.26124392643338384,0.806225774829855,0.21062158700834854,6740,Active,19
Delmarva Rush Nero 2015B,DE,11,11,2,9,0,0.18181818181818182,24,92,-40,0.09090909090909091,2,0.18181818181818182,10,0.9090909090909091,2025-10-05,-1.442057166613747,11,2,2.1818181818181817,8.363636363636363,2.50589651262288,6.173016488608105,0.4056612571119889,0.10657424470957078,0.2873130534746662,0.27483493244911167,0.7416198487095663,0.20382304102301407,6807,Active,20
