Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Idaho Juniors 15B Neon,ID,30,89,18,12,0,0.6,162,54,54,0.6016666666666666,0,0.0,0,0.0,2025-10-11,2.312194204496027,30,0,5.4,1.8,4.884527203679861,2.0865082443040524,0.827908802268106,0.6737085541902292,0.8219795506101087,0.7935112016577323,1.0,0.7935112016577323,9,Active,1
NBFC 2015 Boys Blue,ID,30,38,27,3,0,0.9,125,35,81,0.9,0,0.0,4,0.13333333333333333,2025-10-11,2.4378890153238237,30,0,4.166666666666667,1.1666666666666667,3.9108429931535458,1.5865082443040521,0.6838458685016867,0.7453312988011773,0.8317696882200748,0.7848972463926177,1.0,0.7848972463926177,13,Active,2
2015 Timbers Elite,ID,30,66,22,4,0,0.7333333333333333,95,53,44,0.7266666666666667,0,0.0,4,0.13333333333333333,2025-10-04,2.643785571900996,30,0,3.1666666666666665,1.7666666666666666,3.121369308943019,2.060192454830368,0.5308010002218284,0.6777318187852601,0.851932317123654,0.7528659540756102,1.0,0.7528659540756102,41,Active,3
GSA U11B Academy Green,ID,30,42,20,7,0,0.6666666666666666,130,57,66,0.6649999999999999,0,0.0,8,0.26666666666666666,2025-10-11,1.9304255323102877,30,0,4.333333333333333,1.9,4.042421940521966,2.165455612725105,0.7067240805177042,0.6614860660100871,0.7797283485501364,0.74147903843564,1.0,0.74147903843564,67,Active,4
SSC 15B Black,ID,30,34,18,8,0,0.6,107,54,51,0.61,0,0.0,6,0.2,2025-10-12,1.8755494665103771,30,0,3.566666666666667,1.8,3.4371587826272294,2.0865082443040524,0.5945041847205146,0.6737085541902292,0.7744068446442873,0.7182866545687212,1.0,0.7182866545687212,128,Active,5
Idaho Rush 15 Blue,ID,30,51,22,5,0,0.7333333333333333,108,34,66,0.73,3,0.1,6,0.2,2025-10-11,1.4885471845784708,30,3,3.6,1.1333333333333333,3.4634745721009135,1.560192454830368,0.5997016053682214,0.7488007186381416,0.7242118770399688,0.7042275910252539,1.0,0.7042275910252539,175,Active,6
15 Boys Inferno Copa,ID,30,71,13,15,0,0.43333333333333335,148,104,19,0.43666666666666665,0,0.0,5,0.16666666666666666,2025-10-04,1.5675477234764654,30,0,4.933333333333334,3.466666666666667,4.516106151048282,3.402297717988263,0.7804707788714124,0.4518886608766801,0.7392799183035859,0.69003983893177,1.0,0.69003983893177,239,Active,7
Idaho Rush 15 Black,ID,30,63,22,6,0,0.7333333333333333,158,64,60,0.7433333333333334,0,0.0,3,0.1,2025-10-11,1.0065233248819505,30,0,5.266666666666667,2.1333333333333333,4.779264045785124,2.3496661390408944,0.8152452096700543,0.6321372823972602,0.6584113262612453,0.6845232941702101,1.0,0.6845232941702101,272,Active,8
NBFC 2015 Boys Black,ID,30,39,21,8,0,0.7,139,50,71,0.6966666666666667,0,0.0,5,0.16666666666666666,2025-10-13,0.9837269951928997,30,0,4.633333333333334,1.6666666666666667,4.279264045785124,1.9812450864093154,0.7453510149794267,0.6896429425868427,0.6533880662816496,0.6790316312822435,1.0,0.6790316312822435,311,Active,9
SSC 15B Yellow,ID,30,36,11,14,0,0.36666666666666664,97,77,0,0.3666666666666667,0,0.0,8,0.26666666666666666,2025-10-11,1.6053379354378625,30,0,3.2333333333333334,2.566666666666667,3.1740008878903874,2.691771402198789,0.5415464094601197,0.5751033913797139,0.7457581404315895,0.6707848444269204,1.0,0.6707848444269204,376,Active,10
2015 Thunder FC Premier,ID,30,43,23,5,0,0.7666666666666667,134,70,43,0.7633333333333333,0,0.0,11,0.36666666666666664,2025-10-07,1.0266251801563158,30,0,4.466666666666667,2.3333333333333335,4.147685098416703,2.5075608758829997,0.7243106029578598,0.6061675488010212,0.6633423474366034,0.6641010388137383,1.0,0.6641010388137383,415,Active,11
UVSF United '15 Marostica,ID,30,41,20,2,0,0.6666666666666666,155,61,77,0.6616666666666666,0,0.0,5,0.16666666666666666,2025-10-11,0.3653306196736803,30,0,5.166666666666667,2.033333333333333,4.700316677364071,2.2707187706198417,0.8052827890306169,0.6448505104393187,0.5547341082765415,0.622867124859912,1.0,0.622867124859912,856,Active,12
IFFC 2015B Claret - Brower,ID,30,37,13,14,0,0.43333333333333335,125,85,33,0.435,1,0.03333333333333333,12,0.4,2025-10-12,0.8057057421259356,30,1,4.166666666666667,2.8333333333333335,3.9108429931535458,2.902297717988263,0.6838458685016867,0.5388754014860178,0.6294214730494875,0.6221971378272334,1.0,0.6221971378272334,864,Active,13
Idaho Juniors 15B Black,ID,30,93,10,18,0,0.3333333333333333,70,83,-17,0.32666666666666666,0,0.0,4,0.13333333333333333,2025-10-05,1.236063920693192,30,0,2.3333333333333335,2.7666666666666666,2.4634745721009135,2.8496661390408944,0.3972926607917197,0.5479863655597346,0.6965758663687792,0.6070013250915585,1.0,0.6070013250915585,1041,Active,14
ALBION SC IDAHO B15 Academy,ID,30,71,12,13,0,0.4,94,94,-4,0.4066666666666666,0,0.0,6,0.2,2025-10-11,0.9559480499005963,30,0,3.1333333333333333,3.1333333333333333,3.0950535194693347,3.1391398232514205,0.5254169357964911,0.4976418251896023,0.6535641040233129,0.5967502146112064,1.0,0.5967502146112064,1170,Active,15
Idaho Rush 15 White,ID,30,76,24,4,0,0.8,176,46,96,0.815,0,0.0,2,0.06666666666666667,2025-10-11,-0.16576487262642695,30,0,5.866666666666666,1.5333333333333334,5.25294825631144,1.8759819285145785,0.8668448418640495,0.7051397500451574,0.4646031682792331,0.5931588193493812,1.0,0.5931588193493812,1217,Active,16
Sandpoint Strikers FC 2015B,ID,26,26,21,5,0,0.8076923076923077,102,54,45,0.8316666666666667,2,0.07692307692307693,16,0.6153846153846154,2025-10-12,0.2836827535660865,26,2,3.923076923076923,2.076923076923077,3.694471580583374,2.3319798024574707,0.6442516910517734,0.6350021301814703,0.5436071413205258,0.5820150490389642,1.0,0.5820150490389642,1376,Active,17
2015 B Timberwolves FC,ID,30,91,17,11,0,0.5666666666666667,88,64,16,0.5733333333333333,0,0.0,11,0.36666666666666664,2025-10-07,0.5695368634269116,30,0,2.933333333333333,2.1333333333333333,2.9371587826272294,2.3496661390408944,0.49303218909238583,0.6321372823972602,0.5929270490789186,0.5807901237452804,1.0,0.5807901237452804,1397,Active,18
NPSC U11B-White,ID,30,41,14,8,0,0.4666666666666667,86,70,16,0.46499999999999997,9,0.3,10,0.3333333333333333,2025-10-11,0.6440738766758143,30,9,2.8666666666666667,2.3333333333333335,2.884527203679861,2.5075608758829997,0.4822368417350272,0.6061675488010212,0.6049358444473577,0.5806423847756244,1.0,0.5806423847756244,1404,Active,19
BTT 15 Boise Timbers Elite,ID,27,27,14,10,0,0.5185185185185185,114,63,31,0.56,9,0.3333333333333333,6,0.2222222222222222,2025-09-30,0.11686785783325071,27,9,4.222222222222222,2.3333333333333335,3.9317723925667063,2.5224946652444,0.6875489757542188,0.6036773700396321,0.5204915933716958,0.5705402251817877,1.0,0.5705402251817877,1543,Active,20
ALBION SC IDAHO MH B15 Academy,ID,30,72,17,9,0,0.5666666666666667,90,88,2,0.56,3,0.1,7,0.23333333333333334,2025-10-05,0.6236111116308247,30,3,3.0,2.933333333333333,2.9897903615745975,2.981245086409315,0.5038340378275517,0.5251620113852107,0.6020425817050724,0.5670247588655959,1.0,0.5670247588655959,1596,Active,21
Sandpoint Strikers FC 2015B Red,ID,12,12,6,6,0,0.5,50,40,10,0.25,0,0.0,4,0.3333333333333333,2025-06-01,2.24674988222559,12,0,4.166666666666667,3.3333333333333335,3.6806016869917357,3.2643656641776992,0.6416376426037532,0.47581762701585995,0.816131204035456,0.7131697763451963,0.7745966692414834,0.5524189333606827,1835,Active,22
NBFC 2015 Boys White,ID,30,30,13,12,0,0.43333333333333335,74,66,7,0.4333333333333333,0,0.0,4,0.13333333333333333,2025-10-05,0.4112682728155348,30,0,2.466666666666667,2.2,2.56873772999565,2.402297717988263,0.4181580082487915,0.6235572963817939,0.5685553563724645,0.5494762747495958,1.0,0.5494762747495958,1886,Active,23
Shelley U10 Boys Team 2024-25,ID,21,21,18,1,0,0.8571428571428571,115,23,78,0.7,0,0.0,4,0.19047619047619047,2025-05-30,-0.5669865279626216,21,0,5.476190476190476,1.0952380952380953,4.7797253013736105,1.6650797683984135,0.8153022400938083,0.7347864584384425,0.39780913941350815,0.548703223354555,1.0,0.548703223354555,1902,Active,24
Rapids SC 2015B Blue,ID,30,68,16,12,0,0.5333333333333333,120,88,16,0.5283333333333333,0,0.0,9,0.3,2025-10-11,0.10312535333707042,30,0,4.0,2.933333333333333,3.779264045785124,2.981245086409315,0.6600414530605498,0.5251620113852107,0.5156996455270908,0.5464604802054066,1.0,0.5464604802054066,1942,Active,25
2015 Boys Bolts,ID,30,39,16,11,0,0.5333333333333333,126,106,20,0.5266666666666666,0,0.0,3,0.1,2025-10-04,0.18924711665630625,30,0,4.2,3.533333333333333,3.9371587826272294,3.4549292969356316,0.6884981708537787,0.44281022834472783,0.527761732974909,0.5429187196246468,1.0,0.5429187196246468,2003,Active,26
PFC 2015,ID,30,64,12,17,0,0.4,85,134,-24,0.39,6,0.2,11,0.36666666666666664,2025-10-07,0.7501441762208547,30,6,2.8333333333333335,4.466666666666667,2.8582114142061767,4.191771402198789,0.47684475023276796,0.3221579908194925,0.6235450463343343,0.5339275760110527,1.0,0.5339275760110527,2153,Active,27
GSA 15B Academy - Pina,ID,20,26,6,10,0,0.3,30,66,-32,0.3466666666666666,0,0.0,5,0.25,2025-05-19,0.725377059376344,20,0,1.5,3.3,1.914715490708383,3.260261188698357,0.29582078986333615,0.4765319423113621,0.6219788003297306,0.527657826632778,1.0,0.527657826632778,2275,Active,28
PVSC 2015 Boys- Harris,ID,24,24,12,9,0,0.5,65,36,23,0.41666666666666663,0,0.0,4,0.16666666666666666,2025-10-10,-0.12218257244589567,24,0,2.7083333333333335,1.5,2.769126054369835,1.915228540111062,0.45863857535008173,0.6994145280430928,0.47755651906459284,0.5181445321173905,1.0,0.5181445321173905,2464,Active,29
2015/16 Teton FC Boys - Mervis,ID,30,43,17,7,0,0.5666666666666667,113,84,26,0.5766666666666667,0,0.0,9,0.3,2025-10-11,-0.16898415714920972,30,0,3.7666666666666666,2.8,3.5950535194693347,2.8759819285145785,0.6253327715799233,0.5434345164199723,0.4692334141313842,0.5152935060788096,1.0,0.5152935060788096,2517,Active,30
