Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Inter AC 2015 Yellow,IL,27,28,23,3,0,0.8518518518518519,122,40,72,0.86,0,0.0,10,0.37037037037037035,2025-10-05,1.212436927778667,27,0,4.518518518518518,1.4814814814814814,4.160080013601473,1.8649939413191419,0.7267045868468855,0.7069734790145217,0.630318846359174,0.6649269209877859,1.0,0.6649269209877859,296,Active,1
Bloomingdale Lightning White 15b,IL,30,40,23,6,0,0.7666666666666667,125,50,71,0.7633333333333333,0,0.0,7,0.23333333333333334,2025-10-05,1.0128991420627864,30,0,4.166666666666667,1.6666666666666667,3.910600012527673,1.9809154722676308,0.6841351736081004,0.6898896502183511,0.594791660486235,0.6316799610570313,1.0,0.6316799610570313,584,Active,2
FSC - 2015 Boys Black,IL,29,29,20,9,0,0.6896551724137931,158,49,67,0.6883333333333332,1,0.034482758620689655,6,0.20689655172413793,2025-09-01,0.1270465858047295,29,1,5.448275862068965,1.6896551724137931,4.908183796650043,2.007426701247837,0.8310471747661365,0.6859063313482683,0.48257882376694305,0.5929379954830468,1.0,0.5929379954830468,1020,Active,3
Palatine Celtic 2015B Black,IL,19,19,15,0,0,0.7894736842105263,94,46,48,0.7166666666666666,0,0.0,3,0.15789473684210525,2025-09-28,0.5925060483950666,19,0,4.947368421052632,2.4210526315789473,4.3556592768907985,2.639806960969258,0.7574545566359705,0.5838223525526216,0.5618596763087241,0.6053711876229529,0.9746794344808963,0.5900428468033684,1063,Active,4
Midway Soccer Club 2015 Boys B,IL,20,20,16,4,0,0.8,145,36,77,0.7166666666666666,2,0.1,3,0.15,2025-06-15,-0.027253322198447838,20,2,7.25,1.8,6.021528588430414,2.1883852837917845,0.9247336809227178,0.6580030369845113,0.45462102299818613,0.5893199573803576,1.0,0.5893199573803576,1075,Active,5
UA 2015,IL,29,33,16,9,0,0.5517241379310345,132,47,49,0.5483333333333332,3,0.10344827586206896,6,0.20689655172413793,2025-10-04,0.23104388606860918,29,3,4.551724137931035,1.6206896551724137,4.20548109394734,1.953372647193783,0.7340553199162011,0.6939983395204998,0.5027862178372343,0.5872824625896809,1.0,0.5872824625896809,1104,Active,6
EMSSC 2015 Panthers,IL,30,51,24,6,0,0.8,126,22,90,0.8016666666666666,0,0.0,12,0.4,2025-10-12,0.3558716493694689,30,0,4.2,0.7333333333333333,3.9369158020013573,1.2440733670044728,0.6887921059662107,0.7883945769090785,0.480084302258846,0.5834879179303655,1.0,0.5834879179303655,1152,Active,7
Legion FC 2015 A2,IL,30,58,18,12,0,0.6,129,74,47,0.6133333333333333,0,0.0,4,0.13333333333333333,2025-10-04,0.40738730446965876,30,0,4.3,2.466666666666667,4.01586317042241,2.6124944196360516,0.7025331602933508,0.5884590861526573,0.538791518112336,0.5814733601566033,1.0,0.5814733601566033,1195,Active,8
Rockford Raptors B2015 Navy,IL,18,18,12,6,0,0.6666666666666666,101,34,43,0.4833333333333333,0,0.0,5,0.2777777777777778,2025-09-01,0.2538985203619907,18,0,5.611111111111111,1.8888888888888888,4.7924154029250605,2.2797995363911525,0.8172581930957261,0.643464328787788,0.5151888957703888,0.6012578418389362,0.9486832980505138,0.5704032723744962,1359,Active,9
Roadrunners SC B2016 Select I,IL,30,32,28,2,0,0.9333333333333333,149,49,96,0.9349999999999999,0,0.0,10,0.3333333333333333,2025-10-11,0.24188996867968593,30,0,4.966666666666667,1.6333333333333333,4.542178959896094,1.9545996827939465,0.7845080487720386,0.6938159454361896,0.45738376042002543,0.5700950550936609,1.0,0.5700950550936609,1364,Active,10
Roadrunners SC B2015 Select II,IL,30,48,21,7,0,0.7,93,43,48,0.6983333333333334,2,0.06666666666666667,4,0.13333333333333333,2025-10-12,0.48632613988572787,30,2,3.1,1.4333333333333333,3.068494749369778,1.7967049459518412,0.52010207954377,0.7167752203148922,0.5327636302708152,0.5670336381342216,1.0,0.5670336381342216,1407,Active,11
Bobcats2015gold,IL,20,23,12,3,0,0.6,94,38,36,0.5833333333333333,0,0.0,4,0.2,2025-07-13,0.04823012919041794,20,0,4.7,1.9,4.200100017001842,2.2598138552203557,0.7331907051732451,0.6466666715135732,0.4782445959959411,0.5629182329349283,1.0,0.5629182329349283,1473,Active,12
Atletico Soledad 2015,IL,30,37,21,5,0,0.7,117,58,59,0.7016666666666665,0,0.0,5,0.16666666666666666,2025-10-05,0.3578056352374659,30,0,3.9,1.9333333333333333,3.7000736967381997,2.191441788057104,0.6455976879198683,0.6575215097704987,0.5035583531874545,0.5627588514505462,1.0,0.5627588514505462,1479,Active,13
Sockers FC 2015 Orange,IL,25,27,16,9,0,0.64,114,63,40,0.5383333333333333,0,0.0,1,0.04,2025-10-05,0.14481608785917252,25,0,4.56,2.52,4.169781832607623,2.6749935741263626,0.7282859824170788,0.5778270465841107,0.4986667175320192,0.5604226363194494,1.0,0.5604226363194494,1520,Active,14
Chicago Blast 2015 Select Boys,IL,26,26,22,4,0,0.8461538461538461,138,45,71,0.86,0,0.0,10,0.38461538461538464,2025-10-08,-0.11914731860464678,26,0,5.3076923076923075,1.7307692307692308,4.753023543413282,2.066905527828528,0.812371274717249,0.6768699180447646,0.4315190628330518,0.5567596762522338,1.0,0.5567596762522338,1567,Active,15
Astra 2015/16,IL,30,34,23,4,0,0.7666666666666667,123,63,56,0.78,0,0.0,12,0.4,2025-10-12,0.19973174429091434,30,0,4.1,2.1,3.857968433580304,2.3230207354255255,0.6747102071014083,0.636495195302101,0.48923997290922444,0.5557850642262365,1.0,0.5557850642262365,1580,Active,16
Sockers FC 2015 Blue,IL,30,37,16,12,0,0.5333333333333333,134,83,47,0.5349999999999999,2,0.06666666666666667,6,0.2,2025-10-05,0.09117686993850359,30,2,4.466666666666667,2.7666666666666666,4.147442117790831,2.8493365248992095,0.7246360205286608,0.5478152537281158,0.49701880428943535,0.5527015374250166,1.0,0.5527015374250166,1632,Active,17
Midway Soccer Club 2015,IL,23,24,15,4,0,0.6521739130434783,86,45,33,0.5416666666666666,0,0.0,2,0.08695652173913043,2025-10-04,0.20604390116246374,23,0,3.739130434782609,1.9565217391304348,3.5355742089048894,2.2669286434248375,0.6140788477904968,0.6455281467592067,0.5007477816014878,0.5523700678708334,1.0,0.5523700678708334,1642,Active,18
Raiders FC 2015,IL,20,20,17,2,0,0.85,107,28,66,0.75,0,0.0,11,0.55,2025-06-14,-0.2856882934304989,20,0,5.35,1.4,4.664385731287557,1.9026709980774987,0.8010090992637633,0.7014813921303128,0.4155224503524038,0.5498115684902576,1.0,0.5498115684902576,1681,Active,19
Gallardo Academy 2015,IL,30,48,19,11,0,0.6333333333333333,135,59,40,0.6349999999999999,0,0.0,9,0.3,2025-10-12,-0.11861408783916355,30,0,4.5,1.9666666666666666,4.173757907264515,2.2177575775307887,0.7289324224162407,0.6533623257067143,0.4548898571991959,0.5493928639441086,1.0,0.5493928639441086,1683,Active,20
WCOB FC 2015,IL,25,26,20,3,0,0.8,125,49,68,0.6816666666666666,2,0.08,10,0.4,2025-10-12,-0.0699599681681029,25,2,5.0,1.96,4.503115165940957,2.2507511498839383,0.779028609435317,0.6481144986944041,0.43851702423316924,0.5485388361658459,1.0,0.5485388361658459,1695,Active,21
Plainfield United SC 2015B Premier 1,IL,20,20,10,4,0,0.5,70,32,33,0.4066666666666666,4,0.2,5,0.25,2025-10-12,0.12271938582918349,20,4,3.5,1.6,3.3429571598589845,2.0455281409346417,0.5759374541407237,0.6801333947073362,0.4949648161552753,0.5481930594627771,1.0,0.5481930594627771,1701,Active,22
AUSA 2015s Select,IL,30,39,18,8,0,0.6,78,36,37,0.6000000000000001,0,0.0,10,0.3333333333333333,2025-10-12,0.2953463028529486,30,0,2.6,1.2,2.673757907264515,1.6124944196360518,0.4392747693908435,0.7422009096430293,0.5145751787873302,0.5450402430791726,1.0,0.5450402430791726,1742,Active,23
2015B HOTC ELITE,IL,24,24,8,12,0,0.3333333333333333,80,78,-10,0.2833333333333333,0,0.0,1,0.041666666666666664,2025-08-31,0.2298491706632274,24,0,3.3333333333333335,3.25,3.2375875148766116,3.2273371233178114,0.5546512537984463,0.4818347897697157,0.560500158344645,0.5435973037204194,1.0,0.5435973037204194,1769,Active,24
Barça Academy Chicago 2015 Grana,IL,22,22,16,6,0,0.7272727272727273,147,48,63,0.6499999999999999,0,0.0,12,0.5454545454545454,2025-10-12,-0.4010176366640207,22,0,6.681818181818182,2.1818181818181817,5.686760015868386,2.442492931538999,0.9031934524377334,0.6169382841246915,0.39810687846076276,0.5428904743889427,1.0,0.5428904743889427,1785,Active,25
MidState 2015 Boys,IL,30,69,16,10,0,0.5333333333333333,102,50,26,0.5316666666666666,0,0.0,2,0.06666666666666667,2025-10-05,0.015699323841377497,30,0,3.4,1.6666666666666667,3.305336854632936,1.9809154722676308,0.5683656698225615,0.6898896502183511,0.4838596139172176,0.5419668323585132,1.0,0.5419668323585132,1798,Active,26
GSC 2015 Boys (Green),IL,30,57,20,8,0,0.6666666666666666,100,46,54,0.6666666666666667,0,0.0,8,0.26666666666666666,2025-10-12,0.1344170231226356,30,0,3.3333333333333335,1.5333333333333334,3.2527052756855674,1.8756523143728938,0.5577195075258632,0.7054258424004032,0.47904252990632074,0.5400545879290457,1.0,0.5400545879290457,1834,Active,27
Sockers FC 2015 Black,IL,30,50,10,14,0,0.3333333333333333,102,90,0,0.33166666666666667,0,0.0,6,0.2,2025-10-12,0.08700661539956045,30,0,3.4,3.0,3.305336854632936,3.033547051214999,0.5683656698225615,0.5157271345006986,0.5371035658763678,0.5390807003904727,1.0,0.5390807003904727,1857,Active,28
EIFC 2015 blue,IL,25,25,12,13,0,0.48,80,41,27,0.4,0,0.0,1,0.04,2025-09-27,-0.07649853779783194,25,0,3.2,1.64,3.139478802304593,2.008326907459696,0.5346482940023578,0.6857705888322955,0.48961729357475975,0.5378541527117865,1.0,0.5378541527117865,1879,Active,29
INTER EMSSC,IL,30,32,22,6,0,0.7333333333333333,139,58,78,0.7316666666666667,0,0.0,15,0.5,2025-10-12,-0.18306084041668017,30,0,4.633333333333334,1.9333333333333333,4.279021065159252,2.191441788057104,0.7456910602711992,0.6575215097704987,0.42832538378207163,0.5376377442775826,1.0,0.5376377442775826,1881,Active,30
Ela 2015 Boys Elite Select,IL,17,17,11,5,0,0.6470588235294118,44,33,11,0.5083333333333333,0,0.0,2,0.11764705882352941,2025-09-28,0.7592616017098581,17,0,2.588235294117647,1.9411764705882353,2.704112019042063,2.330991517846799,0.4454311304742182,0.6352035747248554,0.6101801296924922,0.58223501885531,0.9219544457292888,0.5367941640929293,1895,Active,31
