Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Indy Eleven 2015B IDP,IN,30,35,24,3,0,0.8,183,32,119,0.8033333333333333,0,0.0,10,0.3333333333333333,2025-10-11,0.6160254916370591,30,0,6.1,1.0666666666666667,5.436915802001358,1.5072312617413148,0.8836848414790237,0.7560431024657852,0.513048791048044,0.6357748634177882,1.0,0.6357748634177882,541,Active,1
Carmel FC 2015B Gold,IN,30,40,21,4,0,0.7,167,64,91,0.6983333333333334,4,0.13333333333333333,7,0.23333333333333334,2025-10-17,0.6415364377954704,30,4,5.566666666666666,2.1333333333333333,5.01586317042241,2.3493365248992095,0.8431165926860326,0.6322234875453308,0.5373694059570062,0.6174896596204764,1.0,0.6174896596204764,727,Active,2
Echo Premier 15 Elite I Boys,IN,27,28,25,1,0,0.9259259259259259,160,39,101,0.9316666666666668,0,0.0,12,0.4444444444444444,2025-10-12,-0.0058727572823576435,27,0,5.925925925925926,1.4444444444444444,5.24579429931576,1.8364225127477134,0.8665340024648573,0.7110985650249471,0.44173452168971067,0.5805672265117873,1.0,0.5805672265117873,1209,Active,3
Boilers FC 2015 Boys Black,IN,26,26,18,7,0,0.6923076923076923,115,47,49,0.725,0,0.0,1,0.038461538461538464,2025-10-11,0.05613122529360645,26,0,4.423076923076923,1.8076923076923077,4.076552955177988,2.125729057240293,0.712854801200574,0.6678012248811346,0.47098812124904155,0.5587240779657666,1.0,0.5587240779657666,1539,Active,4
Plymouth United 2015B,IN,25,25,17,4,0,0.68,123,36,68,0.5766666666666667,0,0.0,10,0.4,2025-10-04,-0.17935619481917986,25,0,4.92,1.44,4.442509105334897,1.8568117559445445,0.770331410579047,0.7081583274817943,0.4252452746915763,0.5508451124271141,1.0,0.5508451124271141,1663,Active,5
Southern Indiana United 2015 Boys Red,IN,30,41,24,4,0,0.8,133,58,59,0.795,0,0.0,11,0.36666666666666664,2025-09-28,0.04768600300869616,30,0,4.433333333333334,1.9333333333333333,4.121126328317147,2.191441788057104,0.7202976510755574,0.6575215097704987,0.4585286334968593,0.5506810122673269,1.0,0.5506810122673269,1665,Active,6
Indy Premier 15B Elite I,IN,30,34,14,9,0,0.4666666666666667,99,46,37,0.46499999999999997,1,0.03333333333333333,11,0.36666666666666664,2025-10-05,0.049980879035963544,30,1,3.3,1.5333333333333334,3.2263894862118834,1.8756523143728938,0.5523758346870907,0.7054258424004032,0.4861891536010507,0.5432738275781293,1.0,0.5432738275781293,1774,Active,7
Dynamo 2015 Boys Red,IN,30,40,18,10,0,0.6,117,82,28,0.6,0,0.0,8,0.26666666666666666,2025-10-04,0.10468870708459457,30,0,3.9,2.7333333333333334,3.7000736967381997,2.8230207354255255,0.6455976879198683,0.5523732181955605,0.5058143085072148,0.5430827663274146,1.0,0.5430827663274146,1777,Active,8
FCE United 2015 Boys Black,IN,28,28,18,8,0,0.6428571428571429,95,43,50,0.63,0,0.0,9,0.32142857142857145,2025-09-28,0.06768979810743056,28,0,3.392857142857143,1.5357142857142858,3.2945222354458767,1.89652188739361,0.5661829381395846,0.7023817638621079,0.47687664153094045,0.5398389253189029,1.0,0.5398389253189029,1837,Active,9
FWSC 2015B Schalke,IN,20,20,14,4,0,0.7,74,42,32,0.6499999999999999,0,0.0,7,0.35,2025-10-11,-0.011908831568519851,20,0,3.7,2.1,3.4858143027161277,2.402670998077499,0.6043388863833483,0.6235026199995911,0.4689254461943836,0.5269235689932181,1.0,0.5269235689932181,2093,Active,10
USAI 2015B Red,IN,30,34,21,4,0,0.7,113,42,65,0.7033333333333333,2,0.06666666666666667,7,0.23333333333333334,2025-10-17,-0.21877316787271328,30,2,3.7666666666666666,1.4,3.5948105388434626,1.770389156478157,0.6255551831964741,0.7204990264188865,0.428655972244791,0.5264044252699467,1.0,0.5264044252699467,2102,Active,11
Southern Indiana United 2015 Boys Blue,IN,30,36,22,4,0,0.7333333333333333,109,47,54,0.7383333333333333,0,0.0,8,0.26666666666666666,2025-10-12,-0.07494731007758515,30,0,3.6333333333333333,1.5666666666666667,3.489547380948726,1.901968103846578,0.6050725815783039,0.7015843912547628,0.4372331336247315,0.5236712747414523,1.0,0.5236712747414523,2140,Active,12
Union FC Indy 2015 Boys Teal II,IN,28,30,14,6,0,0.5,102,47,43,0.5083333333333333,0,0.0,5,0.17857142857142858,2025-10-04,-0.30917455194939814,28,0,3.642857142857143,1.6785714285714286,3.4889666798903214,2.007632998504721,0.604958482211043,0.6858752264958847,0.43799234812276017,0.5209621506150417,1.0,0.5209621506150417,2188,Active,13
Indy Eleven 2015B Red 2,IN,30,38,12,11,0,0.4,94,101,-2,0.39999999999999997,0,0.0,8,0.26666666666666666,2025-10-12,0.08332386418540516,30,0,3.1333333333333333,3.3666666666666667,3.0948105388434626,3.3230207354255255,0.525500070445377,0.4651426117368438,0.526464642268811,0.5140073217977308,1.0,0.5140073217977308,2310,Active,14
Union FC Indy 2015 Boys Teal I,IN,27,29,15,11,0,0.5555555555555556,97,74,20,0.545,0,0.0,7,0.25925925925925924,2025-10-05,-0.1334786339358412,27,0,3.5925925925925926,2.740740740740741,3.445794299315759,2.8364225127477134,0.5964444813547258,0.5500530454855846,0.4694954425963825,0.5109967709258916,1.0,0.5109967709258916,2361,Active,15
Indy Premier 15B Elite II,IN,27,31,17,6,0,0.6296296296296297,85,61,22,0.6616666666666666,1,0.037037037037037035,13,0.48148148148148145,2025-10-05,-0.061135413784588866,27,1,3.1481481481481484,2.259259259259259,3.102937156458616,2.464993941319142,0.5271658872061057,0.613210051565495,0.4697616784870433,0.5099321948465462,1.0,0.5099321948465462,2378,Active,16
Indiana Elite FC 2015 Premier Boys,IN,19,19,5,12,0,0.2631578947368421,37,57,-20,0.3291666666666666,0,0.0,8,0.42105263157894735,2025-10-05,0.2814169902532544,19,0,1.9473684210526316,3.0,2.2445481657796877,3.0472143683766655,0.355028628125546,0.513337923774943,0.5676443936572029,0.5142599465744195,0.9746794344808963,0.5012385939033311,2541,Active,17
FW United 2015 Elite Boys Barcelona,IN,29,29,14,11,0,0.4827586206896552,79,83,-4,0.4758333333333333,0,0.0,13,0.4482758620689655,2025-10-05,-0.0053243109053440416,29,0,2.7241379310344827,2.8620689655172415,2.7730486615149075,2.9263456201667557,0.45947216157197757,0.5344337067978058,0.5034513098968859,0.5008519596120882,1.0,0.5008519596120882,2548,Active,18
Indy Premier 15B Elite III,IN,19,20,9,7,0,0.47368421052631576,69,55,14,0.35416666666666663,0,0.0,5,0.2631578947368421,2025-10-10,0.012983350304277191,19,0,3.6315789473684212,2.8947368421052633,3.429733350964873,2.9731402943025915,0.5932619277337143,0.5262768657667489,0.47703394551122635,0.5101281260068284,0.9746794344808963,0.49721139336913495,2616,Active,19
SCSA Eleven 2015B Red,IN,30,31,17,9,0,0.5666666666666667,71,45,20,0.5599999999999999,0,0.0,7,0.23333333333333334,2025-10-05,-0.19257937959934485,30,0,2.3666666666666667,1.5,2.4895473809487254,1.8493365248992095,0.4023781005848973,0.7092383372080298,0.4556214154782162,0.49569613684551517,1.0,0.49569613684551517,2650,Active,20
Millennium Soccer Academy 15B Black,IN,28,32,11,13,0,0.39285714285714285,60,77,-15,0.38999999999999996,0,0.0,11,0.39285714285714285,2025-10-11,0.022879881024520377,28,0,2.142857142857143,2.75,2.322300013223655,2.8409663318380547,0.3697990560316665,0.5492659005093352,0.5083777507608951,0.4888396417647374,1.0,0.4888396417647374,2791,Active,21
Hoosier FC 2015B Elite Wolves III,IN,23,23,15,3,0,0.6521739130434783,90,42,47,0.5729166666666666,0,0.0,7,0.30434782608695654,2025-10-04,-0.5853237871567945,23,0,3.9130434782608696,1.826086956521739,3.6646064669694054,2.1701544498764505,0.6388975023196354,0.6608683708134742,0.3798696932880668,0.487874990599462,1.0,0.487874990599462,2801,Active,22
St Francis Premier 2015B Blue,IN,30,46,10,13,0,0.3333333333333333,83,64,14,0.32333333333333336,0,0.0,6,0.2,2025-10-05,-0.4422105257763336,30,0,2.7666666666666666,2.1333333333333333,2.805336854632936,2.3493365248992095,0.46607220929636756,0.6322234875453308,0.4432377565269404,0.4856017932845039,1.0,0.4856017932845039,2852,Active,23
Columbus Express 2015B Blue,IN,27,27,14,12,0,0.5185185185185185,91,78,10,0.56,0,0.0,7,0.25925925925925924,2025-10-05,-0.2616498872164008,27,0,3.3703703703703702,2.888888888888889,3.274365727887188,2.9507082270334277,0.5621079210447526,0.5301890489430794,0.4442879111814192,0.4850321407064179,1.0,0.4850321407064179,2868,Active,24
