Team,State,Games_Played,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Win_Pct_Norm,Goal_Diff_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
SPORTING WICHITA 2015B ACADEMY,KS,26,22,2,0,0.8461538461538461,160,59,101,0.79,7,0.2692307692307692,5,0.19230769230769232,2025-10-05,0.41168262022834734,26,7,0.8461538461538461,0.789272030651341,0.5146032752854341,0.6358471405322978,1.140175425099138,0.7249772837544841,545,Active,1
FC ATLAS 15B BLACK,KS,30,18,8,0,0.6,106,76,30,0.56,0,0.0,6,0.2,2025-10-05,0.44318188092101135,30,0,0.6,0.6532567049808429,0.5539773511512641,0.5830377516869271,1.224744871391589,0.7140724962062467,683,Active,2
DODGE CITY TOROS FC 15B ELITE,KS,30,18,11,0,0.6,157,87,70,0.6300000000000001,6,0.2,8,0.26666666666666666,2025-10-05,0.4196947738252085,30,6,0.6,0.7298850574712644,0.5246184672815105,0.5807480918631591,1.224744871391589,0.7112682470798555,718,Active,3
FC WICHITA 15B,KS,30,12,14,0,0.4,108,102,6,0.4,3,0.1,6,0.2,2025-10-17,0.4936493576573536,30,3,0.4,0.60727969348659,0.617061697071692,0.5716929569403333,1.224744871391589,0.7001780170233657,840,Active,4
Jus4Kix Lightning 15B,KS,29,18,4,0,0.6206896551724138,170,84,86,0.63,0,0.0,1,0.034482758620689655,2025-09-21,0.38491985285657415,29,0,0.6206896551724138,0.7605363984674329,0.48114981607071766,0.5649351003704,1.2041594578792296,0.680271944198969,1163,Active,5
AZTECA ACADEMY 15B,KS,29,15,13,0,0.5172413793103449,114,115,-1,0.49,4,0.13793103448275862,5,0.1724137931034483,2025-04-19,0.4514667732446775,29,4,0.5172413793103449,0.5938697318007663,0.5643334665558468,0.5608223021557304,1.2041594578792296,0.6753194793304258,1239,Inactive,6
GREAT BEND PANTHERS 15B,KS,30,20,1,0,0.6666666666666666,123,77,46,0.6799999999999999,9,0.3,3,0.1,2025-10-04,0.35990547318933125,30,9,0.6666666666666666,0.6839080459770115,0.44988184148666405,0.540044047420734,1.224744871391589,0.6614161774041,1491,Active,7
Kansas Rush Academy 2015,KS,21,14,6,0,0.6666666666666666,98,36,62,0.62,0,0.0,11,0.5238095238095238,2025-06-15,0.453509193860071,21,0,0.6666666666666666,0.7145593869731801,0.5668864923250887,0.6163771061230225,1.02469507659596,0.6315985859707267,2016,Active,8
WICHITA RUSH 15B WHITE,KS,23,17,4,0,0.7391304347826086,95,52,43,0.67,0,0.0,5,0.21739130434782608,2025-09-21,0.4031084457771115,23,0,0.7391304347826086,0.6781609195402298,0.5038855572213894,0.5857896051974013,1.0723805294763609,0.6281893669833376,2096,Active,9
MISSION FC ELITE 15B,KS,20,12,5,0,0.6,79,41,38,0.52,5,0.25,1,0.05,2025-10-04,0.47483936353501566,20,5,0.6,0.6685823754789272,0.5935492044187696,0.6098459977470472,1.0,0.6098459977470472,2469,Active,10
ANDOVER ADRENALINE FC 15B,KS,29,10,13,0,0.3448275862068966,94,93,1,0.33999999999999997,0,0.0,1,0.034482758620689655,2025-10-04,0.42391328717389826,29,0,0.3448275862068966,0.5977011494252874,0.5298916089673728,0.5064407125068604,1.2041594578792296,0.6098353738202318,2470,Active,11
FC ATLAS 15/16B,KS,30,12,8,0,0.4,89,74,15,0.43000000000000005,2,0.06666666666666667,5,0.16666666666666666,2025-05-11,0.375130450647692,30,2,0.4,0.6245210727969349,0.468913063309615,0.486252052545156,1.224744871391589,0.5955347075583133,2730,Active,12
