Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Greater Lowell 2015 Boys Pre-MLS Academy,MA,18,18,17,0,0,0.9444444444444444,121,31,72,0.7333333333333333,1,0.05555555555555555,3,0.16666666666666666,2025-10-12,3.4317478182265533,18,1,6.722222222222222,1.7222222222222223,5.562001297685951,2.164896664752076,0.8935066723658692,0.6615733874412544,0.891572808857089,0.8459596972756781,0.9486832980505138,0.8025478356293045,4,Active,1
2015B Pre-Regional North,MA,30,54,20,6,0,0.6666666666666666,108,38,65,0.675,1,0.03333333333333333,3,0.1,2025-10-13,2.713604247404251,30,1,3.6,1.2666666666666666,3.4634745721009135,1.6654556127251048,0.5997016053682214,0.734735352526776,0.840728924803285,0.7713247464609705,1.0,0.7713247464609705,24,Active,2
U11 Pre-MLS Blue,MA,25,25,21,2,0,0.84,131,34,68,0.7133333333333334,0,0.0,11,0.44,2025-10-12,2.171208568958438,25,0,5.24,1.36,4.685213143631355,1.7965852510167875,0.8033311221673624,0.7165253528547293,0.7734359065478156,0.7680328389331077,1.0,0.7680328389331077,27,Active,3
New England Force 2015 Boys Surge Black,MA,24,24,19,2,0,0.7916666666666666,111,35,66,0.6722222222222223,0,0.0,2,0.08333333333333333,2025-10-12,2.3835939928206393,24,0,4.625,1.4583333333333333,4.206626054369835,1.883978540111062,0.7338676243945919,0.703978373039718,0.7977732908172719,0.7662331739772251,1.0,0.7662331739772251,28,Active,4
2015 Boys Elite Red,MA,30,46,26,4,0,0.8666666666666667,149,29,107,0.86,5,0.16666666666666666,6,0.2,2025-10-13,1.9719734327973806,30,5,4.966666666666667,0.9666666666666667,4.542421940521966,1.428613507461947,0.7841500159347473,0.7656718561331807,0.7493780797865851,0.7595912222855367,1.0,0.7595912222855367,36,Active,5
U11 Pre-MLS Gold,MA,26,26,24,2,0,0.9230769230769231,180,32,118,0.9333333333333333,1,0.038461538461538464,10,0.38461538461538464,2025-10-12,1.9140889598183382,26,1,6.923076923076923,1.2307692307692308,5.988589227642198,1.6849209789280584,0.922534481737284,0.7320799368957529,0.7139103639744152,0.7592691021112565,1.0,0.7592691021112565,38,Active,6
Wellesley Premier Club 2015 Boys FC,MA,30,48,24,6,0,0.8,136,48,74,0.8033333333333333,0,0.0,1,0.03333333333333333,2025-10-05,2.369971086424573,30,0,4.533333333333333,1.6,4.200316677364071,1.928613507461947,0.7328547392242234,0.6974475210585387,0.7852796980243391,0.7572282708711557,1.0,0.7572282708711557,39,Active,7
South Shore 2015B AT Sky Blue Real,MA,30,50,21,7,0,0.7,128,54,55,0.6983333333333334,1,0.03333333333333333,3,0.1,2025-10-13,2.3054800149823125,30,1,4.266666666666667,1.8,3.9897903615745975,2.0865082443040524,0.6976889568100423,0.673708554190229,0.7932667136279203,0.7502395303768065,1.0,0.7502395303768065,49,Active,8
West 2015 Boys Pre-MLS Blue,MA,30,37,22,6,0,0.7333333333333333,135,39,79,0.7233333333333334,0,0.0,15,0.5,2025-10-12,1.8395585633062497,30,0,4.5,1.3,4.174000887890387,1.691771402198789,0.7286037697042561,0.7311414204240871,0.7288810269055396,0.7292776541689925,1.0,0.7292776541689925,95,Active,9
NEFC 2015 Pre-MLS Next Red,MA,20,20,12,8,0,0.6,70,38,25,0.4733333333333333,0,0.0,9,0.45,2025-10-11,2.114901859564302,20,0,3.5,1.9,3.3432869192798114,2.260261188698357,0.5757987533942669,0.646519756645514,0.7995114895276026,0.7241705957245177,1.0,0.7241705957245177,112,Active,10
