Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
2015B Pre NAL,ME,29,29,17,7,0,0.5862068965517241,133,50,60,0.5866666666666666,3,0.10344827586206896,21,0.7241379310344828,2025-10-05,-0.04422565721519206,29,3,4.586206896551724,1.7241379310344827,4.232508120974368,2.034453728274864,0.7383708255592207,0.6818171333584007,0.4530211563315004,0.5558502855824246,1.0,0.5558502855824246,1579,Active,1
2015B Pool Volt,ME,20,20,13,4,0,0.65,79,59,32,0.6166666666666667,0,0.0,11,0.55,2025-05-25,-0.3318731128797486,20,0,3.95,2.95,3.664385731287556,3.0098138552203557,0.6388556297849891,0.5198742102893663,0.42280610007938946,0.4854296280625048,1.0,0.4854296280625048,2858,Active,2
2015 Boys Regional Blue,ME,16,16,9,5,0,0.5625,52,46,5,0.6166666666666667,0,0.0,16,1.0,2025-06-01,-0.040244624132345905,16,0,3.25,2.875,3.1501166865021486,2.969782831090415,0.5368237708698813,0.5268626290752414,0.48372595702222365,0.5029728542023587,0.8944271909999159,0.4498725971334259,3587,Active,3
2015/16 Premier Boys Blue,ME,19,19,10,7,0,0.5263157894736842,49,39,10,0.44166666666666665,1,0.05263157894736842,11,0.5789473684210527,2025-06-15,-0.5354599214153286,19,1,2.5789473684210527,2.0526315789473686,2.6889926102241324,2.3805477017099985,0.44236242758676614,0.6271301483208063,0.40497494863494016,0.45688348436247855,0.9746794344808963,0.44531493616208206,3691,Active,4
Kittery Fall 2025 U11 Boys,ME,17,18,14,2,0,0.8235294117647058,66,34,32,0.6083333333333334,0,0.0,11,0.6470588235294118,2025-10-04,-0.560141612427475,17,0,3.8823529411764706,2.0,3.584112019042063,2.3709915178467984,0.6234924724192289,0.6286926762216666,0.3818388515843126,0.4795403406787666,0.9219544457292888,0.4421143489953266,3760,Active,5
2015/16 Premier Boys Red,ME,18,18,8,9,0,0.4444444444444444,46,54,-8,0.43333333333333335,2,0.1111111111111111,11,0.6111111111111112,2025-06-15,-0.3678633329292835,18,2,2.5555555555555554,3.0,2.677030787540445,3.0490303056219217,0.43993770487793404,0.5130204279378887,0.4442339223470818,0.45713197997141364,0.9486832980505138,0.43367347440364207,3931,Active,6
NEFC Maine Boys 2015 Red,ME,13,13,8,4,0,0.6153846153846154,66,42,22,0.3076923076923077,0,0.0,8,0.6153846153846154,2025-10-05,-0.38954237038386674,13,0,5.076923076923077,3.230769230769231,4.2668000226691225,3.203561330769998,0.7437808431440862,0.48599027472312606,0.4338681334692352,0.5062751036549835,0.806225774829855,0.4081720377213042,4467,Active,7
2015/16 Boys Black,ME,16,16,8,8,0,0.5,60,76,0,0.26666666666666666,0,0.0,8,0.5,2025-08-31,-0.40544805878051493,16,0,3.75,4.75,3.483450019835482,4.2197828310904155,0.6038739694283556,0.3170750472341388,0.43972481883872166,0.4480246946357319,0.8944271909999159,0.40072546912163276,4617,Active,8
York U10 Boys Blue 24/25,ME,13,15,7,0,0,0.5384615384615384,33,12,21,0.2692307692307692,0,0.0,6,0.46153846153846156,2025-06-07,-0.7018725035647576,13,0,2.5384615384615383,0.9230769230769231,2.695371451240551,1.7749899021985698,0.4436565829798575,0.7198501648363362,0.3694149276898931,0.45435030617717465,0.806225774829855,0.3663089276418745,5157,Active,9
2015 Coed,ME,16,16,7,9,0,0.4375,14,27,-13,0.23333333333333334,0,0.0,10,0.625,2025-06-22,-0.9516836424289618,16,0,0.875,1.6875,1.5667833531688153,2.1781161644237486,0.23970924772579924,0.6596184651494044,0.35134572700651456,0.39067297877894946,0.8944271909999159,0.3494285350088255,5390,Active,10
