Team,State,Games_Played,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Win_Pct_Norm,Goal_Diff_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
MFA GR 15B Elite,MI,30,21,7,0,0.7,116,47,69,0.73,1,0.03333333333333333,7,0.23333333333333334,2025-10-12,0.5172718655613392,30,1,0.7,0.7279693486590039,0.646589831951674,0.6735477689028051,1.224744871391589,0.8249241756009577,33,Active,1
Michigan Jaguars GN 2015 Boys Green,MI,30,23,4,0,0.7666666666666667,147,46,101,0.8,0,0.0,6,0.2,2025-10-11,0.4635342934593309,30,0,0.7666666666666667,0.789272030651341,0.5794178668241636,0.6588384595580997,1.224744871391589,0.8069090244193174,67,Active,2
Nationals Macomb 15 Boys Black,MI,30,16,11,0,0.5333333333333333,95,75,20,0.54,1,0.03333333333333333,7,0.23333333333333334,2025-10-12,0.5404573644599219,30,1,0.5333333333333333,0.6340996168582376,0.6755717055749023,0.6388296133832556,1.224744871391589,0.7824032926842138,132,Active,3
Portage SC 2015B Green,MI,30,21,9,0,0.7,144,78,66,0.72,4,0.13333333333333333,2,0.06666666666666667,2025-10-12,0.4654342587237323,30,4,0.7,0.7222222222222222,0.5817928234046653,0.6335201384872436,1.224744871391589,0.7759005405355408,163,Active,4
Central 15 B Red,MI,30,18,7,0,0.6,141,94,47,0.61,1,0.03333333333333333,6,0.2,2025-10-04,0.49588908576015023,30,1,0.6,0.685823754789272,0.6198613572001878,0.6290815652779671,1.224744871391589,0.7704644207611833,184,Active,5
Michigan Wolves 15 Pre-Academy,MI,30,22,8,0,0.7333333333333333,123,76,47,0.73,0,0.0,13,0.43333333333333335,2025-10-12,0.45910093506001437,30,0,0.7333333333333333,0.685823754789272,0.5738761688250179,0.6281571189195319,1.224744871391589,0.7693322098248131,193,Active,6
Midland Fusion 15 Green,MI,30,24,4,0,0.8,114,40,74,0.7799999999999999,0,0.0,2,0.06666666666666667,2025-10-12,0.426766177177942,30,0,0.8,0.7375478927203065,0.5334577214724275,0.6275842114275179,1.224744871391589,0.7686305443121871,199,Active,7
MI Stars Oakland 15B Pre-MLS NEXT,MI,30,20,9,0,0.6666666666666666,113,62,51,0.6799999999999999,2,0.06666666666666667,12,0.4,2025-10-12,0.4738273125342091,30,2,0.6666666666666666,0.6934865900383141,0.5922841406677614,0.6274011357416529,1.224744871391589,0.7684063233048475,201,Active,8
Chaos 15' Red,MI,30,15,13,0,0.5,123,107,16,0.51,0,0.0,3,0.1,2025-10-12,0.5296985634167045,30,0,0.5,0.6264367816091954,0.6621232042708806,0.6225612788843674,1.224744871391589,0.7624787334406177,224,Active,9
Kalamazoo SC 2015B Red,MI,30,16,12,0,0.5333333333333333,127,70,57,0.59,0,0.0,0,0.0,2025-10-12,0.49713069391230313,30,0,0.5333333333333333,0.7049808429118773,0.6214133673903789,0.6205108556832695,1.224744871391589,0.7599674881408907,237,Active,10
Michigan Jaguars Rochester Romeo 2015 Boys Green-DA,MI,28,23,5,0,0.8214285714285714,152,52,100,0.83,0,0.0,13,0.4642857142857143,2025-10-11,0.42347641203659625,28,0,0.8214285714285714,0.7873563218390804,0.5293455150457452,0.6393642876809775,1.1832159566199232,0.7565060272770636,252,Active,11
Royal Oak FC 2015 Boys Green,MI,30,16,8,0,0.5333333333333333,82,48,34,0.56,0,0.0,13,0.43333333333333335,2025-10-17,0.5047659180631316,30,0,0.5333333333333333,0.6609195402298851,0.6309573975789146,0.6174250132599924,1.224744871391589,0.7561881184590595,255,Active,12
DCFC South Oakland 15B Rouge,MI,30,22,6,0,0.7333333333333333,77,29,48,0.79,0,0.0,8,0.26666666666666666,2025-10-12,0.4426246217550566,30,0,0.7333333333333333,0.6877394636015326,0.5532807771938207,0.6161830257032657,1.224744871391589,0.7546670005686262,268,Active,13
Nationals Macomb Pre-Academy 15 Boys,MI,30,16,10,0,0.5333333333333333,74,57,17,0.53,5,0.16666666666666666,14,0.4666666666666667,2025-10-12,0.5050132717524021,30,5,0.5333333333333333,0.6283524904214559,0.6312665896905025,0.6110971185652594,1.224744871391589,0.7484380618849792,312,Active,14
Michigan Jaguars Pre MLS 2015 Boys 1-DA,MI,28,15,8,0,0.5357142857142857,89,52,37,0.5066666666666666,2,0.07142857142857142,13,0.4642857142857143,2025-10-11,0.5171768707482993,28,2,0.5357142857142857,0.6666666666666666,0.6464710884353742,0.628358843537415,1.1832159566199232,0.7434842101567112,342,Active,15
Detroit City FC North 15B Rouge,MI,30,23,6,0,0.7666666666666667,178,51,127,0.78,0,0.0,5,0.16666666666666666,2025-10-06,0.373688897309587,30,0,0.7666666666666667,0.8390804597701149,0.4671111216369837,0.6014160982695466,1.224744871391589,0.736581281927967,411,Active,16
Midwest United FC SCOR 15B Academy,MI,26,18,6,0,0.6923076923076923,121,45,76,0.6499999999999999,0,0.0,9,0.34615384615384615,2025-10-11,0.47572296124927693,26,0,0.6923076923076923,0.7413793103448276,0.5946537015615961,0.6435296214674617,1.140175425099138,0.7337366597205506,442,Active,17
MI Rangers FC 15B Black,MI,30,21,7,0,0.7,116,50,66,0.72,3,0.1,8,0.26666666666666666,2025-10-04,0.411910866910867,30,3,0.7,0.7222222222222222,0.5148885836385837,0.5933775946275947,1.224744871391589,0.7267361658188238,522,Active,18
Michigan Tigers 2015 Boys Gray,MI,30,20,9,0,0.6666666666666666,110,67,43,0.6699999999999999,3,0.1,3,0.1,2025-10-12,0.429153836389344,30,3,0.6666666666666666,0.6781609195402298,0.53644229548668,0.5908308945333873,1.224744871391589,0.7236171079394709,559,Active,19
Cap City 2015 Boys Blue,MI,30,20,7,0,0.6666666666666666,111,37,74,0.6799999999999999,0,0.0,6,0.2,2025-10-11,0.4112492127755285,30,0,0.6666666666666666,0.7375478927203065,0.5140615159694106,0.589279821459041,1.224744871391589,0.7217174391465117,576,Active,20
SWM Kickers 2015B Blue,MI,29,16,6,0,0.5517241379310345,90,60,30,0.58,0,0.0,5,0.1724137931034483,2025-10-05,0.4760932752014797,29,0,0.5517241379310345,0.6532567049808429,0.5951165940018496,0.5980661249834852,1.2041594578792296,0.7201669808360451,596,Active,21
Cap City 2015 Boys Grey,MI,30,16,14,0,0.5333333333333333,88,84,4,0.52,0,0.0,6,0.2,2025-10-12,0.4753726772977148,30,0,0.5333333333333333,0.603448275862069,0.5942158466221434,0.5838858298123665,1.224744871391589,0.715111175540918,659,Active,22
Plymouth Reign 15 Boys White,MI,30,20,8,0,0.6666666666666666,97,59,38,0.62,3,0.1,3,0.1,2025-10-12,0.421869767430139,30,3,0.6666666666666666,0.6685823754789272,0.5273372092876737,0.5834521340017229,1.224744871391589,0.7145800088210883,670,Active,23
MI Stars Macomb 15B Pre MLS Next,MI,26,15,9,0,0.5769230769230769,107,60,47,0.53,0,0.0,15,0.5769230769230769,2025-10-12,0.4964268968579313,26,0,0.5769230769230769,0.685823754789272,0.620533621072414,0.6248695389859182,1.140175425099138,0.7124608922447717,705,Active,24
Michigan Wolves 15 Academy,MI,30,18,8,0,0.6,112,74,38,0.6000000000000001,1,0.03333333333333333,10,0.3333333333333333,2025-10-12,0.4314102564102563,30,1,0.6,0.6685823754789272,0.5392628205128204,0.5772741674034776,1.224744871391589,0.7070135759142587,763,Active,25
Michigan Jaguars Marshall 2015B Green,MI,30,18,12,0,0.6,113,64,49,0.63,0,0.0,3,0.1,2025-10-05,0.4241017454235845,30,0,0.6,0.6896551724137931,0.5301271817794806,0.576007343550447,1.224744871391589,0.705462039897303,783,Active,26
Kingdom SC 2016B Grey,MI,30,16,10,0,0.5333333333333333,106,67,39,0.51,0,0.0,6,0.2,2025-10-12,0.43958367051379743,30,0,0.5333333333333333,0.6704980842911877,0.5494795881422467,0.5704540364102522,1.224744871391589,0.6986606554580871,867,Active,27
Haslett SC 2015B Navy,MI,25,14,7,0,0.56,73,50,23,0.5,0,0.0,8,0.32,2025-10-05,0.512672268907563,25,0,0.56,0.6398467432950191,0.6408403361344537,0.624473550339676,1.118033988749895,0.6981826543550762,877,Active,28
Michigan Wolves HYPE 15,MI,24,21,0,0,0.875,126,46,80,0.7866666666666666,2,0.08333333333333333,4,0.16666666666666666,2025-10-12,0.4145212303147074,24,2,0.875,0.7490421455938697,0.5181515378933842,0.6356993518548044,1.0954451150103321,0.6963737496045799,904,Active,29
Plymouth Reign 15 Boys Green,MI,30,14,14,0,0.4666666666666667,86,80,6,0.5,0,0.0,7,0.23333333333333334,2025-10-11,0.4716183574879226,30,0,0.4666666666666667,0.60727969348659,0.5895229468599031,0.5685030401465931,1.224744871391589,0.6962711827900665,909,Active,30
Royal Oak FC 2015 Boys White,MI,30,11,19,0,0.36666666666666664,68,111,-43,0.31999999999999995,0,0.0,13,0.43333333333333335,2025-10-05,0.5226178070295717,30,0,0.36666666666666664,0.5134099616858238,0.6532722587869646,0.5679786809426768,1.224744871391589,0.695628976544303,921,Active,31
North Storm '15B Red,MI,29,12,13,0,0.41379310344827586,73,78,-5,0.41,0,0.0,1,0.034482758620689655,2025-10-12,0.5027763590732106,29,0,0.41379310344827586,0.5862068965517241,0.6284704488415133,0.577082269304908,1.2041594578792296,0.6948990725579136,929,Active,32
