Team,State,Games_Played,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Win_Pct_Norm,Goal_Diff_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
2015 Boys Academy,MN,30,23,5,0,0.7666666666666667,136,52,84,0.77,0,0.0,4,0.13333333333333333,2025-10-12,0.4700994152046784,30,0,0.7666666666666667,0.7567049808429118,0.587624269005848,0.6572488909054246,1.224744871391589,0.8049622083642287,73,Active,1
Boys 15 Academy 1,MN,30,20,5,0,0.6666666666666666,102,50,52,0.6699999999999999,5,0.16666666666666666,6,0.2,2025-10-05,0.5101875378100424,30,5,0.6666666666666666,0.6954022988505747,0.6377344222625531,0.6550544464609801,1.224744871391589,0.8022745737853415,80,Active,2
2015 Boys Academy Black,MN,30,23,6,0,0.7666666666666667,139,48,91,0.77,0,0.0,14,0.4666666666666667,2025-10-12,0.44587719298245615,30,0,0.7666666666666667,0.7701149425287356,0.5573464912280701,0.6417642165759225,1.224744871391589,0.785997432894002,124,Active,3
2015/16 Boys Academy,MN,30,23,4,0,0.7666666666666667,136,49,87,0.76,0,0.0,7,0.23333333333333334,2025-10-12,0.40609275256334076,30,0,0.7666666666666667,0.7624521072796935,0.5076159407041759,0.6103933192117776,1.224744871391589,0.7475760872363137,319,Active,4
2015 Boys Academy 1,MN,30,15,8,0,0.5,93,78,15,0.42999999999999994,0,0.0,8,0.26666666666666666,2025-10-05,0.5019883040935673,30,0,0.5,0.6245210727969349,0.6274853801169591,0.6013954426295625,1.224744871391589,0.7365559840388312,412,Active,5
15 Boys EDT 1,MN,30,11,16,0,0.36666666666666664,107,113,-6,0.32999999999999996,0,0.0,15,0.5,2025-10-04,0.5481231568950868,30,0,0.36666666666666664,0.5842911877394636,0.6851539461188585,0.6012839385525411,1.224744871391589,0.73641941999236,416,Active,6
2015 Boys Gold 2,MN,30,22,2,0,0.7333333333333333,131,46,85,0.75,0,0.0,18,0.6,2025-10-12,0.37765887621150773,30,0,0.7333333333333333,0.7586206896551724,0.47207359526438464,0.5816349617563319,1.224744871391589,0.7123544364331105,707,Active,7
Boys 15 Academy 2,MN,30,19,4,0,0.6333333333333333,101,50,51,0.6100000000000001,0,0.0,10,0.3333333333333333,2025-10-04,0.40722222222222226,30,0,0.6333333333333333,0.6934865900383141,0.5090277777777777,0.5707806513409961,1.224744871391589,0.6990606754194356,859,Active,8
15 Boys Academy 1,MN,30,12,16,0,0.4,99,107,-8,0.39,0,0.0,9,0.3,2025-10-12,0.4758978675645343,30,0,0.4,0.5804597701149425,0.5948723344556678,0.5530153546963892,1.224744871391589,0.6773027194652032,1210,Active,9
2015 Boys Navy 1,MN,30,12,14,0,0.4,67,67,0,0.41000000000000003,4,0.13333333333333333,10,0.3333333333333333,2025-10-12,0.4566666666666667,30,4,0.4,0.5957854406130269,0.5708333333333334,0.5416570881226055,1.224744871391589,0.663391740731063,1446,Active,10
15 Boys EDT 2,MN,30,19,11,0,0.6333333333333333,119,70,49,0.5900000000000001,0,0.0,16,0.5333333333333333,2025-10-04,0.3687069525666017,30,0,0.6333333333333333,0.6896551724137931,0.4608836907082521,0.5411279155743766,1.224744871391589,0.6627436393665385,1464,Active,11
2015B Elite Jumale,MN,30,20,8,0,0.6666666666666666,122,60,62,0.6599999999999999,7,0.23333333333333334,18,0.6,2025-10-12,0.3422695206028539,30,7,0.6666666666666666,0.7145593869731801,0.4278369007535674,0.5329473511801097,1.224744871391589,0.6527245350795715,1647,Active,12
2015 Boys Green,MN,30,15,9,0,0.5,89,61,28,0.53,1,0.03333333333333333,10,0.3333333333333333,2025-10-12,0.40277777777777785,30,1,0.5,0.6494252873563219,0.5034722222222223,0.5319683908045978,1.224744871391589,0.6515255583803676,1666,Active,13
2015 Boys Copa,MN,30,24,2,0,0.8,135,46,89,0.81,0,0.0,15,0.5,2025-10-12,0.2849723947550034,30,0,0.8,0.7662835249042146,0.35621549344375425,0.5269860010470955,1.224744871391589,0.6454234020775927,1783,Active,14
2015 Boys Academy Carolina,MN,30,13,14,0,0.43333333333333335,76,87,-11,0.43000000000000005,0,0.0,16,0.5333333333333333,2025-09-28,0.43027940220922667,30,0,0.43333333333333335,0.5747126436781609,0.5378492527615333,0.5243187470592188,1.224744871391589,0.642156696435242,1840,Active,15
