Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
SLSG MO B 2015 Academy Green,MO,30,57,25,5,0,0.8333333333333334,141,37,72,0.8266666666666667,4,0.13333333333333333,13,0.43333333333333335,2025-10-12,1.6996847002872204,30,4,4.7,1.2333333333333334,4.331895624732493,1.6391398232514207,0.7534650195097932,0.7382984389451037,0.7520755536386848,0.7495980238741903,1.0,0.7495980238741903,49,Active,1
SLSG MO B 2015 Academy Navy,MO,30,54,28,2,0,0.9333333333333333,158,42,100,0.9349999999999999,9,0.3,15,0.5,2025-10-12,1.304276312654111,30,9,5.266666666666667,1.4,4.779264045785124,1.7707187706198417,0.8152452096700543,0.7201767337962423,0.6952844111688495,0.724255035394569,1.0,0.724255035394569,107,Active,2
SLSG MO B 2015 Premier Blue,MO,30,65,25,4,0,0.8333333333333334,156,48,98,0.83,0,0.0,11,0.36666666666666664,2025-10-12,1.1672148135153944,30,0,5.2,1.6,4.7266324668377555,1.928613507461947,0.80864813882117,0.6974475210585387,0.6793416668644332,0.7088241320946016,1.0,0.7088241320946016,155,Active,3
LFA Blue Star Championship 2015B,MO,19,19,13,4,0,0.6842105263157895,105,32,51,0.5416666666666666,0,0.0,5,0.2631578947368421,2025-10-12,1.158849149077954,19,0,5.526315789473684,1.6842105263157894,4.763408657030915,2.121752343835333,0.8132765377285066,0.6682800416245195,0.6791457850909093,0.7037987869251507,0.9746794344808963,0.6859782036285468,265,Active,4
Cottleville United 2015B White,MO,30,66,18,10,0,0.6,124,94,30,0.5966666666666666,0,0.0,1,0.03333333333333333,2025-10-05,1.5047244119846028,30,0,4.133333333333334,3.1333333333333333,3.8845272036798617,3.1391398232514205,0.6791564628515223,0.4976418251896023,0.7301601822688144,0.6734557669695136,1.0,0.6734557669695136,353,Active,5
STLDA 2015B Elite Red,MO,30,60,24,3,0,0.8,148,54,78,0.8049999999999999,4,0.13333333333333333,9,0.3,2025-10-05,0.8444155307151092,30,4,4.933333333333334,1.8,4.516106151048282,2.0865082443040524,0.7804707788714124,0.6737085541902292,0.6314529091026729,0.669707612073932,1.0,0.669707612073932,384,Active,6
LFA Blue Star Premier 2015B,MO,30,74,19,6,0,0.6333333333333333,120,52,56,0.6333333333333333,4,0.13333333333333333,14,0.4666666666666667,2025-10-12,0.9960373665399158,30,4,4.0,1.7333333333333334,3.779264045785124,2.0338766653566838,0.6600414530605498,0.6817289110348387,0.6546474099664957,0.6611425187989752,1.0,0.6611425187989752,446,Active,7
Sporting Columbia 15B Navy,MO,30,43,19,8,0,0.6333333333333333,124,79,42,0.6333333333333333,0,0.0,9,0.3,2025-10-12,1.1245773168822468,30,0,4.133333333333334,2.6333333333333333,3.8845272036798617,2.7444029811461577,0.6791564628515223,0.566106227381749,0.67681363684114,0.6551407201513383,1.0,0.6551407201513383,495,Active,8
SLSG MO B 2015 Academy,MO,16,16,10,2,0,0.625,80,34,36,0.6499999999999999,0,0.0,2,0.125,2025-05-29,1.7874601374355101,16,0,5.0,2.125,4.317168072493113,2.4703047201480826,0.751212167021489,0.6123556941717292,0.7631065424295855,0.730577497696395,0.8944271909999159,0.6534483790723341,508,Active,9
Semo Swarm Frenzy,MO,30,40,24,5,0,0.8,137,33,76,0.81,2,0.06666666666666667,13,0.43333333333333335,2025-09-28,0.5404639564079134,30,2,4.566666666666666,1.1,4.2266324668377555,1.5338766653566838,0.7370631532000996,0.7522385853144583,0.5835166881221495,0.6479703605762013,1.0,0.6479703605762013,555,Active,10
