Team,State,Games_Played,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Win_Pct_Norm,Goal_Diff_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
SFC B2015 T2,MT,30,22,6,0,0.7333333333333333,143,45,98,0.75,0,0.0,5,0.16666666666666666,2025-10-12,0.4292123878536922,30,0,0.7333333333333333,0.7835249042145593,0.5365154848171152,0.6252809383998477,1.224744871391589,0.7658096224841334,210,Active,1
MT SURF B2015 Blue,MT,30,15,8,0,0.5,82,63,19,0.49,2,0.06666666666666667,10,0.3333333333333333,2025-09-21,0.4765210727969348,30,2,0.5,0.632183908045977,0.5956513409961685,0.5838275862068965,1.224744871391589,0.7150398419838272,661,Active,2
BU B2015 Pink-SE,MT,30,20,8,0,0.6666666666666666,97,62,35,0.6599999999999999,3,0.1,12,0.4,2025-06-01,0.4059523809523809,30,3,0.6666666666666666,0.6628352490421456,0.507440476190476,0.5703646688560481,1.224744871391589,0.6985512030044069,871,Active,3
SFC B2015 T1,MT,30,12,16,0,0.4,114,90,24,0.37,0,0.0,4,0.13333333333333333,2025-10-12,0.4662902266815311,30,0,0.4,0.6417624521072797,0.5828627833519138,0.5580701604326042,1.224744871391589,0.6834935668665132,1106,Active,4
HYSA B2015 GRAY-AC,MT,30,15,12,0,0.5,90,96,-6,0.48,0,0.0,7,0.23333333333333334,2025-06-15,0.4536772840685884,30,0,0.5,0.5842911877394636,0.5670966050857355,0.557116200599334,1.224744871391589,0.682325209453202,1131,Active,5
FVU B2015 Green-AC,MT,30,13,12,0,0.43333333333333335,89,80,9,0.36,2,0.06666666666666667,9,0.3,2025-10-12,0.45482463896257,30,2,0.43333333333333335,0.6130268199233716,0.5685307987032125,0.5503905098732684,1.224744871391589,0.6740879542298872,1259,Active,6
LYSA B2015-AC,MT,29,15,10,0,0.5172413793103449,127,57,70,0.51,0,0.0,13,0.4482758620689655,2025-06-15,0.4110837438423646,29,0,0.5172413793103449,0.7298850574712644,0.5138546798029557,0.5577380952380953,1.2041594578792296,0.6716056024004989,1304,Active,7
FVU B2015 White-AC,MT,30,12,18,0,0.4,74,102,-28,0.41,0,0.0,10,0.3333333333333333,2025-06-15,0.4695421599334642,30,0,0.4,0.5421455938697318,0.5869276999168302,0.5405857387240445,1.224744871391589,0.6620796110497069,1477,Active,8
Glacier Surf 2015 Boys BLUE,MT,28,14,10,0,0.5,104,93,11,0.52,4,0.14285714285714285,11,0.39285714285714285,2025-10-12,0.4467796092796093,28,4,0.5,0.6168582375478927,0.5584745115995116,0.5584563544692855,1.1832159566199232,0.6607744696838506,1501,Active,9
HYSA B2015 BLUE,MT,30,13,15,0,0.43333333333333335,86,87,-1,0.43,0,0.0,10,0.3333333333333333,2025-10-12,0.4422413793103448,30,0,0.43333333333333335,0.5938697318007663,0.5528017241379309,0.5371216475095785,1.224744871391589,0.657836983100757,1555,Active,10
SFC B2015 T3,MT,30,15,13,0,0.5,87,83,4,0.48,0,0.0,9,0.3,2025-10-11,0.4163301127214171,30,0,0.5,0.603448275862069,0.5204126409017714,0.5329372397134766,1.224744871391589,0.6527121511126703,1648,Active,11
REAL B2015 Gold,MT,30,10,11,0,0.3333333333333333,77,60,17,0.35,10,0.3333333333333333,12,0.4,2025-10-12,0.45111111111111113,30,10,0.3333333333333333,0.6283524904214559,0.5638888888888889,0.5306704980842911,1.224744871391589,0.6499359709275556,1698,Active,12
REAL B2015 Black,MT,30,10,16,0,0.3333333333333333,74,91,-17,0.35,4,0.13333333333333333,10,0.3333333333333333,2025-10-12,0.4672605363984675,30,4,0.3333333333333333,0.5632183908045977,0.5840756704980843,0.5297557471264368,1.224744871391589,0.6488156343833229,1726,Active,13
MT Rush B-2015-SE-Blue,MT,30,9,15,0,0.3,80,99,-19,0.26,1,0.03333333333333333,3,0.1,2025-10-12,0.47253831417624514,30,1,0.3,0.5593869731800766,0.5906728927203064,0.5262811302681991,1.224744871391589,0.6445601152061456,1802,Active,14
MT SURF B2015 White,MT,30,16,7,0,0.5333333333333333,95,53,42,0.54,0,0.0,6,0.2,2025-10-12,0.3694444444444445,30,0,0.5333333333333333,0.6762452107279694,0.46180555555555564,0.5189990421455939,1.224744871391589,0.6356414151249632,1941,Active,15
BR SFC B2015,MT,23,15,6,0,0.6521739130434783,131,67,64,0.585,0,0.0,5,0.21739130434782608,2025-06-15,0.4192753623188405,23,0,0.6521739130434783,0.7183908045977011,0.5240942028985506,0.5885694652673663,1.0723805294763609,0.6311704347970368,2028,Active,16
Missoula Surf 2015B,MT,25,8,17,0,0.32,99,136,-37,0.27,0,0.0,13,0.52,2025-06-01,0.5174199823165341,25,0,0.32,0.524904214559387,0.6467749778956675,0.5570458296492778,1.118033988749895,0.6227961708392766,2207,Active,17
PFC B2015/16navy-AC,MT,25,12,7,0,0.48,96,83,13,0.41,0,0.0,11,0.44,2025-06-15,0.43499442586399106,25,0,0.48,0.6206896551724138,0.5437430323299888,0.546383750432476,1.118033988749895,0.6108756038841483,2453,Active,18
FRDS B2015-AC,MT,30,9,20,0,0.3,83,149,-66,0.29000000000000004,0,0.0,5,0.16666666666666666,2025-06-15,0.45203220611916256,30,0,0.3,0.46934865900383144,0.5650402576489532,0.4928938863901382,1.224744871391589,0.6036692594965902,2574,Active,19
HYSA B2015 WHITE-AC,MT,24,13,11,0,0.5416666666666666,115,79,36,0.4933333333333333,0,0.0,8,0.3333333333333333,2025-06-15,0.34831349206349205,24,0,0.5416666666666666,0.6647509578544061,0.43539186507936506,0.5025186439518337,1.0954451150103321,0.5504815937186526,3495,Active,20
REAL B2015 Silver,MT,18,6,6,0,0.3333333333333333,44,39,5,0.3,1,0.05555555555555555,9,0.5,2025-10-12,0.4774691358024692,18,1,0.3333333333333333,0.6053639846743295,0.5968364197530864,0.5458413154533844,0.9486832980505138,0.5178305393565477,3944,Active,21
MT Rush B-2015-SE-Red,MT,24,8,16,0,0.3333333333333333,110,161,-51,0.30666666666666664,0,0.0,7,0.2916666666666667,2025-06-15,0.40643115942028984,24,0,0.3333333333333333,0.49808429118773945,0.5080389492753623,0.47110689446943194,1.0954451150103321,0.5160717461942272,3963,Active,22
LST B 2014- AC,MT,20,2,16,0,0.1,33,146,-113,0.08,5,0.25,8,0.4,2025-10-12,0.38294540229885055,20,5,0.1,0.3793103448275862,0.4786817528735632,0.38307112068965515,1.0,0.38307112068965515,5489,Active,23
