Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
OBX Storm Cyclones,NC,30,39,20,8,0,0.6666666666666666,97,56,41,0.6633333333333333,1,0.03333333333333333,16,0.5333333333333333,2025-10-04,1.4419970463149137,30,1,3.2333333333333334,1.8666666666666667,3.1740008878903874,2.1391398232514205,0.5415464094601197,0.6655852296611358,0.7093183573105075,0.6670173422105555,1.0,0.6670173422105555,403,Active,1
North Carolina FC 2015 South Red,NC,13,13,7,4,0,0.5384615384615384,45,29,13,0.2692307692307692,0,0.0,9,0.6923076923076923,2025-08-24,1.124418826744876,13,0,3.4615384615384617,2.230769230769231,3.2672397018968913,2.5851101563597134,0.560481628994857,0.593179110057364,0.6749546735785742,0.6357049519575887,0.806225774829855,0.5125217174551827,2573,Active,2
Carolina United Soccer Association,NC,22,22,8,9,0,0.36363636363636365,45,55,-10,0.26666666666666666,0,0.0,10,0.45454545454545453,2025-10-11,-0.3341641720235897,22,0,2.0454545454545454,2.5,2.2870677913278237,2.6762437761184663,0.363180783416007,0.5777485782145917,0.45103393216756016,0.4588062316266558,1.0,0.4588062316266558,3568,Active,3
North Carolina FC 2015 North Red,NC,13,13,3,9,0,0.23076923076923078,35,51,-18,0.11538461538461539,0,0.0,10,0.7692307692307693,2025-08-24,0.6966294793585883,13,0,2.6923076923076925,3.923076923076923,2.7910492257064154,3.6327292039787613,0.4631106166034326,0.41245670912215415,0.6423061633666157,0.5604971631650868,0.806225774829855,0.45188725966270776,3705,Active,4
North Carolina FC 2015 South Blue,NC,11,11,5,5,0,0.45454545454545453,25,36,-9,0.22727272727272727,0,0.0,7,0.6363636363636364,2025-08-24,-0.046495952214186696,11,0,2.272727272727273,3.272727272727273,2.558528091570249,3.225648067555473,0.4161200826649564,0.48255930909572686,0.48918162355498546,0.47324485248512793,0.7416198487095663,0.3509677759026016,5269,Active,5
North Carolina FC 2015 North Blue,NC,11,11,1,10,0,0.09090909090909091,24,49,-25,0.045454545454545456,0,0.0,7,0.6363636363636364,2025-08-24,-0.4375637069947126,11,0,2.1818181818181817,4.454545454545454,2.50589651262288,3.9098585938712622,0.4056612571119889,0.366519688659276,0.44087567700407504,0.418961595356698,0.7416198487095663,0.31071023496355293,5780,Active,6
Carolina Velocity IPP RED,NC,6,6,2,4,0,0.3333333333333333,24,30,-4,0.16666666666666666,0,0.0,3,0.5,2025-05-25,0.7103967122953571,6,0,4.0,5.0,3.400859552845337,3.949093805968142,0.5873003432099403,0.3601871923848683,0.62392395344764,0.5638518791875458,0.5477225575051661,0.30883439332269647,5812,Active,7
U10B Black,NC,6,6,2,4,0,0.3333333333333333,20,28,-8,0.16666666666666666,0,0.0,3,0.5,2024-11-17,0.37951502737484255,6,0,3.3333333333333335,4.666666666666667,3.1151452671310516,3.8062366631109987,0.529528196120918,0.38346237281259743,0.5608232474505505,0.5190920622570334,0.5477225575051661,0.28431843192005324,6073,Inactive,8
NCF 2015 WS Red,NC,8,8,4,2,0,0.5,16,12,4,0.25,0,0.0,4,0.5,2024-11-17,-0.6501075317677473,8,0,2.0,1.5,2.47575210873967,2.330457080222124,0.3997087182500485,0.6352483389063015,0.38948914885458036,0.4406849007440182,0.6324555320336759,0.2787136033592657,6130,Inactive,9
Carolina Velocity IPP Blue,NC,6,6,0,4,0,0.0,14,34,-20,0.0,0,0.0,3,0.5,2025-05-25,0.12724167376047624,6,0,2.3333333333333335,5.666666666666667,2.686573838559623,4.234808091682427,0.44186452217501315,0.31563614797047523,0.5353178582620582,0.4726908489863326,0.5477225575051661,0.25890344071608234,6326,Active,10
2014B SCS Clinton United,NC,4,4,4,0,0,1.0,20,2,17,0.5,0,0.0,4,1.0,2025-02-02,-0.47005780334931374,4,0,5.0,0.5,3.634336144986227,2.273942773629499,0.6328576739610664,0.6443351790538487,0.42229710480764643,0.5088168334875709,0.4472135954999579,0.22754980555487997,6614,Inactive,11
2014B CVFC Bolton,NC,2,2,2,0,0,1.0,11,5,6,0.5,0,0.0,0,0.0,2025-03-16,2.0637102382578942,2,0,5.5,2.5,3.461203373983472,3.028731328355399,0.5992539049090834,0.5168938570501422,0.7946857742608343,0.7000410169483458,0.31622776601683794,0.22137240690973076,6661,Inactive,12
15 (U11) NCFCY Gold HSFV,NC,7,7,2,4,0,0.2857142857142857,13,20,-7,0.14285714285714285,0,0.0,5,0.7142857142857143,2025-03-02,-1.3032847658346305,7,0,1.8571428571428572,2.857142857142857,2.440802249322315,3.019154218903599,0.39284426013233154,0.5185622844253304,0.2979514271343333,0.36105216519213235,0.5916079783099616,0.2136013415137517,6716,Inactive,13
Barça Academy Carolinas 2015 Blau,NC,3,3,2,1,0,0.6666666666666666,9,7,2,0.3333333333333333,0,0.0,3,1.0,2025-05-25,0.42349532777235477,3,0,3.0,2.3333333333333335,2.9647303399849747,2.9352102985049076,0.4986906687105451,0.5331643388265344,0.5655822385956464,0.5457203446648037,0.3872983346207417,0.21135658065733562,6737,Provisional,14
GSO Red,NC,6,6,2,4,0,0.3333333333333333,10,22,-12,0.16666666666666666,0,0.0,3,0.5,2024-11-17,-1.2611250163789711,6,0,1.6666666666666667,3.6666666666666665,2.400859552845337,3.3776652345395703,0.38505083117828176,0.45614892522781636,0.30559771015934317,0.35159857737682554,0.5477225575051661,0.1925784720160129,6881,Inactive,15
WHYFC 15 White,NC,4,4,2,2,0,0.5,15,8,6,0.25,0,0.0,4,1.0,2024-11-17,-1.1217313087111713,4,0,3.75,2.0,3.2176694783195603,2.7739427736294986,0.5504331036915597,0.5610369613907511,0.32130737089319056,0.4150784355523765,0.4472135954999579,0.18562871957787586,6932,Inactive,16
Wake FC 2015 PA South,NC,3,3,1,1,0,0.3333333333333333,7,10,-3,0.16666666666666666,0,0.0,3,1.0,2024-11-24,-1.3389558104984571,3,0,2.3333333333333335,3.3333333333333335,2.782912158166793,3.2079375712321805,0.46145002939328156,0.48564540666122324,0.29057838446344403,0.3637661178889674,0.3872983346207417,0.14088601164984946,7224,Inactive,17
Barça Academy Carolinas 2015 Grana,NC,3,3,1,1,0,0.3333333333333333,9,12,-3,0.16666666666666666,0,0.0,3,1.0,2025-05-25,-1.4595507247309496,3,0,3.0,4.0,2.9647303399849747,3.389755753050362,0.4986906687105451,0.4540569914126198,0.2773754927024325,0.35697482764609245,0.3872983346207417,0.13825575624885791,7239,Provisional,18
CCFC Brazil,NC,3,3,0,2,0,0.0,6,12,-6,0.0,0,0.0,3,1.0,2025-03-09,-1.462323203737433,3,0,2.0,4.0,2.6920030672577018,3.389755753050362,0.44296406354032525,0.4540569914126198,0.27647737995777666,0.345290638965255,0.3872983346207417,0.13373048943137505,7261,Inactive,19
