Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
WUFC U10 Boys Orange,ND,21,21,16,4,0,0.7619047619047619,86,47,37,0.6583333333333333,0,0.0,12,0.5714285714285714,2025-06-08,0.8054603362288476,21,0,4.095238095238095,2.238095238095238,3.779725301373611,2.492665975294965,0.6601264190919676,0.6086457612856283,0.6273087806874792,0.6301397044880066,1.0,0.6301397044880066,761,Active,1
Magic Soccer FC 15B Green - Team ID: 09B2508,ND,15,15,13,2,0,0.8666666666666667,71,17,46,0.43333333333333335,0,0.0,6,0.4,2025-06-08,1.0023964045396183,15,0,4.733333333333333,1.1333333333333333,4.11356668434064,1.8385788384153907,0.7186823278389379,0.7105365357074958,0.6554325747019331,0.6791033175304466,0.8660254037844386,0.5881207247756568,1300,Active,2
Dickinson SC U9/10 Boys White,ND,18,18,12,6,0,0.6666666666666666,85,37,38,0.6499999999999999,0,0.0,8,0.4444444444444444,2025-06-08,0.15579136232897306,18,0,4.722222222222222,2.0555555555555554,4.177385913070566,2.395665895521307,0.7291529486403499,0.6246428185794971,0.5206619053025431,0.5831562966254953,0.9486832980505138,0.5532306387615986,1819,Active,3
GGFSC 2015B,ND,8,8,6,2,0,0.75,40,36,6,0.375,0,0.0,4,0.5,2025-08-24,1.2335843440882097,8,0,5.0,4.5,3.97575210873967,3.830457080222124,0.6952525625606091,0.37947507417537407,0.6936804268599026,0.6311537834631382,0.6324555320336759,0.39917670191524657,4577,Active,4
Magic Soccer FC 15B Black - Team ID: 09B1189,ND,8,8,6,2,0,0.75,36,18,18,0.375,0,0.0,2,0.25,2025-06-08,0.6482675701866677,8,0,4.5,2.25,3.72575210873967,2.705457080222124,0.6501154442990702,0.572768410455734,0.6009194635532717,0.6051284490829238,0.6324555320336759,0.38271683521345373,4849,Active,5
Mc Legends U10 Boys 2015 Red,ND,12,12,4,8,0,0.3333333333333333,21,37,-14,0.16666666666666666,0,0.0,8,0.6666666666666666,2025-07-13,-0.578792592091217,12,0,1.75,3.0833333333333335,2.230601686991736,3.1143656641776993,0.35252865109024895,0.5019631381890923,0.40756022916736273,0.4154344953562859,0.7745966692414834,0.32179417639099556,5649,Active,6
Dickinson SC U9/10 Boys Orange,ND,12,12,4,8,0,0.3333333333333333,39,50,-24,0.16666666666666666,0,0.0,8,0.6666666666666666,2025-06-08,-0.7359077473857415,12,0,3.25,4.166666666666667,3.130601686991736,3.7643656641776992,0.532688260391939,0.39039224675331696,0.3822570022092938,0.41397030275462743,0.7745966692414834,0.3206600176786229,5665,Active,7
WUFC U10 Boys Black,ND,12,12,4,5,0,0.3333333333333333,35,48,-10,0.16666666666666666,0,0.0,10,0.8333333333333334,2025-07-13,-1.2830419157330626,12,0,2.9166666666666665,4.0,2.930601686991736,3.664365664177699,0.49168669225720724,0.4071180808020858,0.30029016077192067,0.359935051075011,0.7745966692414834,0.2788044917059667,6132,Active,8
MSC U9/10 Boys,ND,8,8,0,8,0,0.0,10,36,-26,0.0,0,0.0,4,0.5,2025-06-08,-0.312666427010253,8,0,1.25,4.5,2.10075210873967,3.830457080222124,0.32859498355858957,0.37947507417537407,0.45703922906733674,0.41583754898719477,0.6324555320336759,0.26299875828427605,6298,Active,9
2015 Boys U10,ND,6,6,2,4,0,0.3333333333333333,12,20,-8,0.16666666666666666,0,0.0,3,0.5,2025-06-08,-1.5814506408818774,6,0,2.0,3.3333333333333335,2.54371669570248,3.2348080916824276,0.41316871742406297,0.4809636593248081,0.2601725240682168,0.3349299897907043,0.5477225575051661,0.18344871059334372,6951,Active,10
TCU 2015 Boys Black,ND,4,4,2,1,0,0.5,16,19,-2,0.25,0,0.0,4,1.0,2025-05-04,-1.1314995876974105,4,0,4.0,4.75,3.3010028116528933,3.6906094402961656,0.5672980822440791,0.402705990638606,0.31988901712525675,0.38593422485169104,0.4472135954999579,0.17259503232241397,7027,Provisional,11
