Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
2015 Pre MLS Next Carolina,NH,26,26,13,11,0,0.5,112,55,43,0.5633333333333334,0,0.0,14,0.5384615384615384,2025-10-12,1.647842983058746,26,0,4.3076923076923075,2.1153846153846154,3.9885892276421977,2.3613915671633525,0.6974809273825394,0.6302328184159149,0.7344673570588142,0.7062231633949794,1.0,0.7062231633949794,162,Active,1
Lightning Soccer Club 2015 Boys Green,NH,29,31,19,9,0,0.6551724137931034,151,56,71,0.6575,0,0.0,15,0.5172413793103449,2025-10-12,0.27258036184618145,29,0,5.206896551724138,1.9310344827586208,4.719244155130668,2.196954413069027,0.8077078033309345,0.6565475399650547,0.5039264803307786,0.595206956857665,1.0,0.595206956857665,1206,Active,2
2015 Boys 1,NH,26,27,18,4,0,0.6923076923076923,103,42,57,0.6116666666666666,0,0.0,18,0.6923076923076923,2025-10-17,0.39395201870859675,26,0,3.9615384615384617,1.6153846153846154,3.723883345289256,1.979038625986882,0.6497663824558938,0.689972351061207,0.5430731261235324,0.5937916223775396,1.0,0.5937916223775396,1225,Active,3
PCSC 2015 Boys Black,NH,16,16,14,2,0,0.875,82,29,51,0.7833333333333333,0,0.0,6,0.375,2025-09-27,0.9206125574049542,16,0,5.125,1.8125,4.400501405826446,2.2619713868147495,0.7637775632187151,0.6462470166566594,0.625936326064594,0.6575667116138313,0.8944271909999159,0.5881455467638108,1290,Active,4
Tazmanian Devils FC Coed U10,NH,23,24,17,4,0,0.7391304347826086,64,34,28,0.61875,0,0.0,8,0.34782608695652173,2025-07-13,0.5396471358715079,23,0,2.782608695652174,1.4782608695652173,2.8261946367688617,1.9124939768888383,0.47029192153284705,0.6998154915343355,0.5810585642600512,0.5826566211694673,1.0,0.5826566211694673,1375,Active,5
ORU 2015 Boys Gray,NH,21,22,16,5,0,0.7619047619047619,70,42,28,0.6333333333333333,0,0.0,7,0.3333333333333333,2025-10-04,0.31364849653589383,21,0,3.3333333333333335,2.0,3.2280011634425763,2.3202521821915165,0.5525311473812645,0.636896536209428,0.5315775483098969,0.5568320657040766,1.0,0.5568320657040766,1749,Active,6
Goal King Academy - Rye Soccer 2015,NH,30,37,10,14,0,0.3333333333333333,64,68,-4,0.3383333333333334,0,0.0,15,0.5,2025-06-01,0.39196010353652233,30,0,2.1333333333333333,2.2666666666666666,2.305579835258808,2.454929296935631,0.36670304708014956,0.614899104936445,0.5642878293602928,0.5348931280194946,1.0,0.5348931280194946,2150,Active,7
Red Hawks U11 Coed - Black,NH,22,24,14,6,0,0.6363636363636364,78,44,34,0.5166666666666666,0,0.0,10,0.45454545454545453,2025-10-12,0.006803423196453828,22,0,3.5454545454545454,2.0,3.3870677913278238,2.3095771094517996,0.5845532600756398,0.638617235923044,0.4646105704164365,0.5234004414495986,1.0,0.5234004414495986,2345,Active,8
WSA Boys 2015 Gold - BU11,NH,22,23,14,5,0,0.6363636363636364,91,49,34,0.5333333333333333,0,0.0,6,0.2727272727272727,2025-10-12,-0.22988307394504698,22,0,4.136363636363637,2.227272727272727,3.8204011246611573,2.476243776118466,0.6675781552507672,0.6113716020036508,0.43376150605471425,0.5160468550837122,1.0,0.5160468550837122,2509,Active,9
2015 NH Premier Blue,NH,30,32,12,16,0,0.4,98,85,11,0.40166666666666667,0,0.0,16,0.5333333333333333,2025-06-01,-0.049249689523982496,30,0,3.2666666666666666,2.8333333333333335,3.2003166773640714,2.902297717988263,0.5469052863368324,0.5388754014860175,0.49655612385269987,0.51508981187619,1.0,0.51508981187619,2527,Active,10
2015 Boys - Roehm,NH,21,23,12,7,0,0.5714285714285714,44,38,6,0.5,0,0.0,5,0.23809523809523808,2025-06-08,0.11615743926171414,21,0,2.0952380952380953,1.8095238095238095,2.331449439304645,2.182321147708758,0.37164910740743573,0.6588461021805713,0.5067070449216433,0.5101232688705873,1.0,0.5101232688705873,2633,Active,11
Strikers U10 Boys B 24/25,NH,15,17,11,2,0,0.7333333333333333,45,23,22,0.36666666666666664,0,0.0,3,0.2,2025-06-07,0.6531385338829007,15,0,3.0,1.5333333333333334,2.983131901731944,2.099448403632782,0.5024674765240418,0.6717207406708375,0.590005314670636,0.5888408322413574,0.8660254037844386,0.5099511195065864,2637,Active,12
ORU 2015 Boys Blue,NH,18,19,9,5,0,0.5,83,40,32,0.4666666666666667,0,0.0,7,0.3888888888888889,2025-10-04,-0.3481100487582426,18,0,4.611111111111111,2.2222222222222223,4.100462836147489,2.5110505109059225,0.7165021877763679,0.605586147746098,0.43642646835431353,0.5262735481170813,0.9486832980505138,0.49926692530445843,2835,Active,13
ISC 2015 Eagles,NH,26,27,14,10,0,0.5384615384615384,82,54,28,0.4716666666666666,1,0.038461538461538464,16,0.6153846153846154,2025-10-12,-0.27650726066572745,26,1,3.1538461538461537,2.076923076923077,3.1062362864657267,2.3319798024574707,0.5277056630491213,0.6350021301814701,0.42550582878171506,0.48784505591514726,1.0,0.48784505591514726,3057,Active,14
Rapids U11 Boys,NH,15,15,10,4,0,0.6666666666666666,76,33,33,0.3333333333333333,0,0.0,5,0.3333333333333333,2025-10-04,0.03242120621501429,15,0,5.066666666666666,2.2,4.330957988688466,2.534231012328434,0.753322000587108,0.6017165726929824,0.47575285370246845,0.5564594268774992,0.8660254037844386,0.4819079998512435,3160,Active,15
2015 Pre MLS Next Navy,NH,23,23,6,11,0,0.2608695652173913,49,68,-13,0.22083333333333333,1,0.043478260869565216,12,0.5217391304347826,2025-10-12,-0.05963165324726631,23,1,2.130434782608696,2.9565217391304346,2.3423236690269262,3.0092681704372253,0.37373629609382525,0.520284097545588,0.4959242743530701,0.4763586433397247,1.0,0.4763586433397247,3278,Active,16
Lightning Soccer Club 2015 Boys White,NH,25,25,11,14,0,0.44,100,108,-11,0.3733333333333333,1,0.04,11,0.44,2025-10-12,-0.2387644982558842,25,1,4.0,4.32,3.7458192042374154,4.03900949344103,0.6538535371622227,0.3458599582259544,0.4522929034005329,0.4713184411179551,1.0,0.4713184411179551,3367,Active,17
