Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Medford Strikers 2015 Boys,NJ,30,73,28,2,0,0.9333333333333333,154,41,105,0.93,1,0.03333333333333333,3,0.1,2025-10-12,2.2248968138493033,30,1,5.133333333333334,1.3666666666666667,4.674000887890387,1.7444029811461574,0.8018727535292927,0.7238618786069331,0.8102649868849272,0.7913059185582014,1.0,0.7913059185582014,11,Active,1
FUTBOLTECH CHSC - 2015 LIVERPOOL,NJ,30,49,23,1,0,0.7666666666666667,124,39,76,0.7666666666666666,0,0.0,18,0.6,2025-10-11,2.37298229967124,30,0,4.133333333333334,1.3,3.8845272036798617,1.691771402198789,0.6791564628515223,0.7311414204240873,0.8264106458530153,0.777905964166931,1.0,0.777905964166931,17,Active,2
NY Red Bulls RDS Showcase B2015 Red,NJ,20,20,16,1,0,0.8,99,23,67,0.7166666666666666,0,0.0,5,0.25,2025-07-27,2.0054586658617684,20,0,4.95,1.15,4.379001204994097,1.724546902984071,0.7605780871253947,0.7266224778396033,0.7867256059636817,0.7694754765712086,1.0,0.7694754765712086,23,Active,3
Egg Harbor SC Eagles 2015 White,NJ,30,40,15,13,0,0.5,139,103,34,0.49,0,0.0,4,0.13333333333333333,2025-10-17,2.8590578329477387,30,0,4.633333333333334,3.433333333333333,4.279264045785124,3.375981928514579,0.7453510149794267,0.4564402997720549,0.8684952502636187,0.7614554131084676,1.0,0.7614554131084676,31,Active,4
Sharks Select,NJ,30,37,25,4,0,0.8333333333333334,177,46,111,0.83,0,0.0,11,0.36666666666666664,2025-08-10,1.5609976701923574,30,0,5.9,1.5333333333333334,5.279264045785124,1.8759819285145785,0.8693188628388893,0.7051397500451574,0.7312583214406817,0.7536467154412183,1.0,0.7536467154412183,40,Active,5
NJ Premier B2015 - BLUE,NJ,30,80,18,8,0,0.6,116,54,50,0.5933333333333334,0,0.0,10,0.3333333333333333,2025-10-11,2.2429485390168953,30,0,3.8666666666666667,1.8,3.6740008878903874,2.0865082443040524,0.6403906209812292,0.6737085541902292,0.8144969312602329,0.7515179937904315,1.0,0.7515179937904315,44,Active,6
Upper Township SA Comets Green 2015,NJ,30,53,22,8,0,0.7333333333333333,139,79,60,0.725,0,0.0,7,0.23333333333333334,2025-10-17,2.237902117588846,30,0,4.633333333333334,2.6333333333333333,4.279264045785124,2.7444029811461577,0.7453510149794267,0.566106227381749,0.8133607405734935,0.7503078928163311,1.0,0.7503078928163311,47,Active,7
MUSC Boys 2015 Blue,NJ,29,29,25,2,0,0.8620689655172413,134,45,75,0.8608333333333333,2,0.06896551724137931,9,0.3103448275862069,2025-10-12,1.806699431762587,29,2,4.620689655172414,1.5517241379310345,4.259784695671208,1.8996571157717292,0.7423037641771549,0.7016936437967249,0.7654955417708202,0.7480968066572681,1.0,0.7480968066572681,52,Active,8
United FC Jr NPSC,NJ,30,38,26,0,0,0.8666666666666667,148,42,104,0.8666666666666666,0,0.0,7,0.23333333333333334,2025-10-12,1.6720733221457165,30,0,4.933333333333334,1.4,4.516106151048282,1.7707187706198417,0.7804707788714124,0.7201767337962423,0.7465478415806762,0.7480582074819366,1.0,0.7480582074819366,53,Active,9
Valencia 2015 Black North,NJ,30,46,20,5,0,0.6666666666666666,146,61,74,0.6633333333333333,7,0.23333333333333334,16,0.5333333333333333,2025-10-11,1.7973822696952708,30,7,4.866666666666666,2.033333333333333,4.463474572100914,2.2707187706198417,0.7729777880566724,0.6448505104393187,0.7639235762742874,0.7419198054637707,1.0,0.7419198054637707,66,Active,10
Soccer United 2015,NJ,30,65,24,3,0,0.8,135,46,79,0.7933333333333333,4,0.13333333333333333,3,0.1,2025-08-31,1.735049491229877,30,4,4.5,1.5333333333333334,4.174000887890387,1.8759819285145785,0.7286037697042561,0.7051397500451574,0.7556576611190732,0.7401433006213266,1.0,0.7401433006213266,71,Active,11
Animals 2015,NJ,30,51,14,14,0,0.4666666666666667,108,102,6,0.4766666666666667,2,0.06666666666666667,5,0.16666666666666666,2025-10-12,2.7924288487308035,30,2,3.6,3.4,3.4634745721009135,3.3496661390408944,0.5997016053682214,0.4609992250827616,0.8655393352329386,0.7314637672299598,1.0,0.7314637672299598,93,Active,12
Lightning 2015,NJ,30,71,15,10,0,0.5,116,90,24,0.5066666666666667,0,0.0,2,0.06666666666666667,2025-10-10,2.4259981738452394,30,0,3.8666666666666667,3.0,3.6740008878903874,3.0338766653566838,0.6403906209812292,0.5159973304206875,0.8331275672376675,0.7311541306229838,1.0,0.7311541306229838,94,Active,13
Mainland United SA Mustangs Black 2015 B,NJ,30,35,16,12,0,0.5333333333333333,110,100,12,0.525,0,0.0,1,0.03333333333333333,2025-09-28,2.6884931605068414,30,0,3.6666666666666665,3.3333333333333335,3.516106151048282,3.297034560093526,0.6100283652684396,0.4701359198077778,0.8568701302241847,0.7301549351497543,1.0,0.7301549351497543,96,Active,14
World Elite 2015 Boys Blue,NJ,30,40,22,4,0,0.7333333333333333,141,65,69,0.7333333333333333,0,0.0,7,0.23333333333333334,2025-10-05,1.6236918739508588,30,0,4.7,2.1666666666666665,4.331895624732493,2.3759819285145785,0.7534650195097932,0.6278573602385503,0.743523127150278,0.7223783522398355,1.0,0.7223783522398355,111,Active,15
Winslow Titans 2015,NJ,30,44,16,8,0,0.5333333333333333,140,118,22,0.54,0,0.0,4,0.13333333333333333,2025-10-05,2.328533770082905,30,0,4.666666666666667,3.933333333333333,4.305579835258809,3.770718770619842,0.7494298790527603,0.38933784602216837,0.8243029440124252,0.7223353114224409,1.0,0.7223353114224409,112,Active,16
CJFA Venom 15B,NJ,30,54,24,2,0,0.8,138,42,96,0.7966666666666666,3,0.1,5,0.16666666666666666,2025-10-12,1.4246866651403916,30,3,4.6,1.4,4.25294825631144,1.7707187706198417,0.7412286801135394,0.7201767337962423,0.7146877853232935,0.7210937539759323,1.0,0.7210937539759323,116,Active,17
ProElite Training 2015,NJ,30,39,19,9,0,0.6333333333333333,169,94,67,0.6366666666666667,0,0.0,7,0.23333333333333334,2025-10-05,1.6419811073227693,30,0,5.633333333333334,3.1333333333333333,5.06873772999565,3.1391398232514205,0.8484006367632642,0.4976418251896023,0.7456822430951927,0.7166178382476889,1.0,0.7166178382476889,132,Active,18
Wall Elite Lazio,NJ,30,68,22,4,0,0.7333333333333333,119,44,67,0.7316666666666666,5,0.16666666666666666,5,0.16666666666666666,2025-10-11,1.5985081191526622,30,5,3.966666666666667,1.4666666666666666,3.75294825631144,1.82335034956721,0.6551770034087772,0.7127169651630355,0.7379525844547891,0.716350344387236,1.0,0.716350344387236,133,Active,19
CFS 2015 Boys EDP Fire,NJ,30,40,21,9,0,0.7,90,60,30,0.7,5,0.16666666666666666,7,0.23333333333333334,2025-10-12,2.046387142918798,30,4,3.0,2.0,2.9897903615745975,2.2444029811461577,0.5038340378275517,0.6490442410243816,0.7956825789659899,0.7079852031499807,1.0,0.7079852031499807,158,Active,20
New York Red Bulls - U11,NJ,26,26,15,11,0,0.5769230769230769,98,60,28,0.63,1,0.038461538461538464,10,0.38461538461538464,2025-10-11,1.8274684020505898,26,1,3.769230769230769,2.3076923076923075,3.5768245217598444,2.508450390692764,0.621819920226104,0.6060193770094693,0.7691829840053797,0.7070776498503424,1.0,0.7070776498503424,164,Active,21
JFC- MAN CITY,NJ,22,23,12,10,0,0.5454545454545454,102,70,28,0.4,0,0.0,11,0.5,2025-10-11,1.8340443869485112,22,0,4.636363636363637,3.1818181818181817,4.187067791327824,3.1762437761184663,0.7307198533913358,0.4911707070658652,0.7692140128986537,0.7059065198306325,1.0,0.7059065198306325,170,Active,22
Aston Villa Orange,NJ,30,48,26,4,0,0.8666666666666667,113,68,45,0.8683333333333333,0,0.0,6,0.2,2025-10-12,1.7529076668335621,30,0,3.7666666666666666,2.2666666666666666,3.5950535194693347,2.454929296935631,0.6253327715799233,0.6148991049364452,0.761142268994867,0.7047317367001938,1.0,0.7047317367001938,174,Active,23
FTYSA ATLAS 2015,NJ,17,18,12,4,0,0.7058823529411765,103,63,36,0.5416666666666666,0,0.0,2,0.11764705882352941,2025-05-19,2.5396413871431656,17,0,6.0588235294117645,3.7058823529411766,5.064481349593389,3.5314925313421592,0.847950649468233,0.42967332808953407,0.8422085876104838,0.7608499480778437,0.9219544457292888,0.7014689921632665,187,Active,24
2015B Blue Pre-USYS,NJ,26,27,20,3,0,0.7692307692307693,117,59,54,0.6783333333333333,1,0.038461538461538464,11,0.4230769230769231,2025-10-05,1.4603980082214452,26,1,4.5,2.269230769230769,4.135648051171609,2.479038625986882,0.7223329142661611,0.610908184926334,0.721212317221535,0.69937561017142,1.0,0.69937561017142,201,Active,25
2015 Boys Ocean EDP,NJ,24,24,20,4,0,0.8333333333333334,89,56,38,0.7055555555555555,3,0.125,9,0.375,2025-10-12,1.71510438770071,24,3,3.7083333333333335,2.3333333333333335,3.519126054369835,2.540228540111062,0.610618009768032,0.6007132969759588,0.75633424178218,0.6960668064181061,1.0,0.6960668064181061,211,Active,26
Medford SC White 2015,NJ,30,60,18,10,0,0.6,120,101,19,0.6,0,0.0,6,0.2,2025-10-12,1.9299192744351727,30,0,4.0,3.3666666666666667,3.779264045785124,3.3233503495672103,0.6600414530605498,0.46556468411429686,0.7824798155926416,0.6946091167905543,1.0,0.6946091167905543,217,Active,27
New York Red Bulls Pre-Academy 2015 NY,NJ,29,31,24,5,0,0.8275862068965517,111,60,52,0.8233333333333333,0,0.0,12,0.41379310344827586,2025-03-02,1.539397737167583,29,0,3.8275862068965516,2.0689655172413794,3.638163074049587,2.305062521177135,0.6335873702848006,0.6393438701334131,0.7322263675587778,0.6939220686189094,1.0,0.6939220686189094,221,Inactive,28
Cyclones Red,NJ,30,57,20,8,0,0.6666666666666666,132,72,60,0.6666666666666666,1,0.03333333333333333,5,0.16666666666666666,2025-10-12,1.4232447575787825,30,1,4.4,2.4,4.095053519469334,2.560192454830368,0.7155992464502661,0.5973676507898962,0.7164853280259942,0.6924845762636289,1.0,0.6924845762636289,227,Active,29
Carteret Soccer Academy Dynamo 2015-16,NJ,28,29,22,5,0,0.7857142857142857,130,57,73,0.7783333333333333,0,0.0,5,0.17857142857142858,2025-10-11,1.2041344564263667,28,0,4.642857142857143,2.0357142857142856,4.267000937217631,2.285758702320944,0.7434354070394396,0.6424436422177872,0.6861309851129939,0.6888544009192417,1.0,0.6888544009192417,247,Active,30
Red 2015 B,NJ,30,38,20,7,0,0.6666666666666666,82,54,28,0.6733333333333333,0,0.0,5,0.16666666666666666,2025-10-05,1.804947613448712,30,0,2.7333333333333334,1.8,2.779264045785124,2.0865082443040524,0.46070580950833667,0.6737085541902292,0.7662950833645163,0.6866599227584229,1.0,0.6866599227584229,261,Active,31
Future_Sa_15_Blue,NJ,30,94,18,8,0,0.6,100,74,26,0.6,0,0.0,10,0.3333333333333333,2025-10-05,1.7384548237955557,30,0,3.3333333333333335,2.466666666666667,3.25294825631144,2.6128240337777364,0.5575892797717137,0.5885046054576597,0.760185442019462,0.6853300422575519,1.0,0.6853300422575519,266,Active,32
