Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Sierra Surf 2015B Blue,NV,30,79,18,9,0,0.6,133,57,56,0.5983333333333333,0,0.0,14,0.4666666666666667,2025-10-05,1.613937679784777,30,0,4.433333333333334,1.9,4.121126328317147,2.16512599858342,0.7202976510755574,0.6616566323108546,0.716923225968875,0.7065447922586074,1.0,0.7065447922586074,95,Active,1
RENO MINEROS,NV,26,26,18,5,0,0.6923076923076923,87,56,31,0.615,0,0.0,13,0.5,2025-09-28,1.503026604546756,26,0,3.3461538461538463,2.1538461538461537,3.2530235434132813,2.3904349395932343,0.5577840556669512,0.625510691227213,0.700154257765693,0.6567515040382486,1.0,0.6567515040382486,346,Active,2
Zorritos,NV,15,17,13,2,0,0.8666666666666667,84,29,45,0.43333333333333335,0,0.0,8,0.5333333333333333,2025-06-15,1.7668179537899862,15,0,5.6,1.9333333333333333,4.678382629393546,2.3597733889639114,0.8028371149286467,0.6305235170365766,0.7404771124841097,0.7309583938835105,0.8660254037844386,0.6330285382125919,565,Active,3
15B Gold,NV,30,49,8,20,0,0.26666666666666666,77,97,-23,0.2666666666666666,0,0.0,13,0.43333333333333335,2025-10-11,0.6698598740656431,30,0,2.566666666666667,3.2333333333333334,2.6474421177908307,3.2177575775307887,0.4339524655488714,0.48350881357623643,0.6436065641819532,0.5696561943341935,1.0,0.5696561943341935,1370,Active,4
15B Silver,NV,30,104,15,13,0,0.5,91,85,8,0.49166666666666664,1,0.03333333333333333,5,0.16666666666666666,2025-10-05,0.24986400255858005,30,1,3.033333333333333,2.8333333333333335,3.01586317042241,2.901968103846578,0.5092932649055104,0.5386759766362588,0.547780704565267,0.538262271047514,1.0,0.538262271047514,1873,Active,5
MVLA Nevada 2015B,NV,20,20,5,15,0,0.25,42,125,-50,0.2033333333333333,0,0.0,10,0.5,2025-09-28,0.9245501828063323,20,0,2.1,6.25,2.3429571598589845,5.366956712363213,0.3737659469674254,0.17220424987634853,0.6806228590173619,0.5175677547791719,1.0,0.5175677547791719,2242,Active,6
ALBION SC Las Vegas B15 Academy I,NV,30,44,19,6,0,0.6333333333333333,111,36,67,0.6466666666666667,5,0.16666666666666666,11,0.36666666666666664,2025-10-12,-0.3827797679393605,30,5,3.7,1.2,3.5421789598960944,1.6124944196360518,0.6153650025131085,0.7422009096430293,0.39820307563051316,0.5104350278095354,1.0,0.5104350278095354,2367,Active,7
Vegas United ‘15 Boys Elite,NV,30,71,19,9,0,0.6333333333333333,149,58,57,0.6233333333333333,0,0.0,18,0.6,2025-10-12,-0.5795454741920303,30,0,4.966666666666667,1.9333333333333333,4.542178959896094,2.191441788057104,0.7845080487720386,0.6575215097704987,0.3669518250811246,0.5085770067571822,1.0,0.5085770067571822,2394,Active,8
B15E R.Arredondo,NV,21,21,13,6,0,0.6190476190476191,88,44,32,0.5333333333333333,4,0.19047619047619047,4,0.19047619047619047,2025-10-12,-0.5924267736506524,21,4,4.190476190476191,2.0952380952380953,3.848372430208675,2.38878579124724,0.6729761675490598,0.6257810061187676,0.39212087527228595,0.49502395989693704,1.0,0.49502395989693704,2663,Active,9
Sierra Surf 2015B White,NV,27,30,13,10,0,0.48148148148148145,102,95,9,0.47833333333333333,0,0.0,18,0.6666666666666666,2025-10-11,-0.15636922977862963,27,0,3.7777777777777777,3.5185185185185186,3.588651442172902,3.4364225127477135,0.6243682402536629,0.4454630228993617,0.4629141051324195,0.4917147157100566,1.0,0.4917147157100566,2740,Active,10
