Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
NLSA Select B2015,NY,30,43,29,1,0,0.9666666666666667,183,51,112,0.97,4,0.13333333333333333,6,0.2,2025-06-13,1.669726169426781,30,4,6.1,1.7,5.437158782627229,2.0075608758829997,0.8833535755832114,0.685699418368461,0.7461159980228201,0.7614801976040265,1.0,0.7614801976040265,30,Active,1
B2015 Elite Academy Porto,NY,30,38,20,8,0,0.6666666666666666,128,53,74,0.67,0,0.0,4,0.13333333333333333,2025-10-05,1.999745147756553,30,0,4.266666666666667,1.7666666666666666,3.9897903615745975,2.060192454830368,0.6976889568100423,0.6777318187852601,0.7869422783033174,0.7472495221010509,1.0,0.7472495221010509,54,Active,2
FA Euro 2015 Pre-MLS Academy,NY,30,79,26,2,0,0.8666666666666667,144,42,89,0.8683333333333333,3,0.1,14,0.4666666666666667,2025-10-11,1.6195776016082108,30,3,4.8,1.4,4.410842993153545,1.7707187706198417,0.7653059523946024,0.7201767337962423,0.7416358620197081,0.7420780544499939,1.0,0.7420780544499939,64,Active,3
Kosmos Dragons,NY,30,81,24,4,0,0.8,137,30,99,0.8016666666666666,5,0.16666666666666666,4,0.13333333333333333,2025-10-12,1.5715842773607027,30,4,4.566666666666666,1.0,4.2266324668377555,1.4549292969356311,0.7370631532000996,0.7623615015507492,0.7344449049926979,0.7405518739457885,1.0,0.7405518739457885,70,Active,4
NYSC B2015 Blue,NY,30,80,24,3,0,0.8,152,62,82,0.7999999999999999,0,0.0,10,0.3333333333333333,2025-10-11,1.711704214527386,30,0,5.066666666666666,2.066666666666667,4.621369308943019,2.2970345600935262,0.7949183073220948,0.6406344137227147,0.7530194086229917,0.7389221893827569,1.0,0.7389221893827569,74,Active,5
B2015 Academy,NY,30,116,21,9,0,0.7,95,39,30,0.6983333333333334,2,0.06666666666666667,9,0.3,2025-10-12,2.178294120764319,30,2,3.1666666666666665,1.3,3.121369308943019,1.691771402198789,0.5308010002218284,0.7311414204240873,0.8092789664472548,0.737955863997536,1.0,0.737955863997536,79,Active,6
2015B Navy,NY,30,69,18,6,0,0.6,133,49,70,0.5966666666666666,3,0.1,5,0.16666666666666666,2025-10-05,1.436520056280554,30,3,4.433333333333334,1.6333333333333333,4.121369308943019,1.9549292969356311,0.7199756243398089,0.6935590999179821,0.7179890654234101,0.7135003841056042,1.0,0.7135003841056042,141,Active,7
Elmont Liverpool,NY,30,37,19,11,0,0.6333333333333333,109,77,32,0.6316666666666667,14,0.4666666666666667,4,0.13333333333333333,2025-10-04,2.0394795579935865,30,14,3.6333333333333333,2.566666666666667,3.4897903615745975,2.691771402198789,0.604876684227922,0.5751033913797139,0.7947952979856685,0.7128731939129282,1.0,0.7128731939129282,143,Active,8
Ajax,NY,30,44,27,2,0,0.9,111,43,68,0.9049999999999999,13,0.43333333333333335,6,0.2,2025-10-05,1.5186283005487475,30,13,3.7,1.4333333333333333,3.542421940521966,1.797034560093526,0.6151556128550251,0.7164616732999118,0.728554231081708,0.7034559958800122,1.0,0.7034559958800122,178,Active,9
2015 Boys Red EDP - Furlong,NY,30,33,27,0,0,0.9,164,6,118,0.9,3,0.1,18,0.6,2025-10-12,0.7830568000338014,30,3,5.466666666666667,0.2,4.937158782627229,0.8233503495672102,0.833978171273921,0.8329017718036854,0.6161029483801749,0.7030377576436262,1.0,0.7030377576436262,180,Active,10
Spartans,NY,30,36,19,6,0,0.6333333333333333,120,41,73,0.6366666666666666,11,0.36666666666666664,13,0.43333333333333335,2025-10-12,1.3843990663458159,30,11,4.0,1.3666666666666667,3.779264045785124,1.7444029811461574,0.6600414530605498,0.7238618786069331,0.7100295378735151,0.7027983890576057,1.0,0.7027983890576057,182,Active,11
B2015 Green,NY,30,87,22,6,0,0.7333333333333333,144,62,47,0.73,3,0.1,9,0.3,2025-10-12,1.294063134850019,30,3,4.8,2.066666666666667,4.410842993153545,2.2970345600935262,0.7653059523946024,0.6406344137227147,0.6996671415670775,0.70098835816371,1.0,0.70098835816371,189,Active,12
Blue Dragons 2015,NY,30,31,12,16,0,0.4,86,96,-10,0.4016666666666666,8,0.26666666666666666,6,0.2,2025-06-21,2.4733122480974234,30,8,2.8666666666666667,3.2,2.884527203679861,3.191771402198789,0.4822368417350272,0.48846336329868323,0.8396317247067281,0.697919075830779,1.0,0.697919075830779,205,Active,13
WI Sharks B2015,NY,30,32,24,3,0,0.8,136,54,81,0.8016666666666666,8,0.26666666666666666,5,0.16666666666666666,2025-10-04,1.261702411627942,30,8,4.533333333333333,1.8,4.200316677364071,2.0865082443040524,0.7328547392242234,0.6737085541902292,0.693404257821978,0.6973552133760773,1.0,0.6973552133760773,208,Active,14
Sharks Academy B2015,NY,30,76,20,6,0,0.6666666666666666,124,56,62,0.6583333333333333,3,0.1,3,0.1,2025-10-12,1.3948653416780457,30,3,4.133333333333334,1.8666666666666667,3.8845272036798617,2.1391398232514205,0.6791564628515223,0.665585229661136,0.7118465327085233,0.6960562581276456,1.0,0.6960562581276456,212,Active,15
LISC Boys 2015 Premier,NY,30,44,25,2,0,0.8333333333333334,156,52,92,0.83,0,0.0,3,0.1,2025-10-12,1.0460401355644162,30,0,5.2,1.7333333333333334,4.7266324668377555,2.0338766653566838,0.80864813882117,0.6817289110348387,0.6610896088438531,0.6947291752775135,1.0,0.6947291752775135,216,Active,16
NYCFC Boys Select 2015,NY,21,21,9,12,0,0.42857142857142855,66,59,7,0.44999999999999996,0,0.0,7,0.3333333333333333,2025-10-11,2.1098677780389465,21,0,3.142857142857143,2.8095238095238093,3.090070128959818,2.9064590787432407,0.5243966575589054,0.5381538450595629,0.8031653876735003,0.6944093331277938,1.0,0.6944093331277938,219,Active,17
Stallions,NY,30,68,19,7,0,0.6333333333333333,148,76,70,0.6283333333333333,0,0.0,4,0.13333333333333333,2025-10-11,1.3236535418408713,30,0,4.933333333333334,2.533333333333333,4.516106151048282,2.665455612725105,0.7804707788714124,0.5795837678725685,0.7021770704678293,0.6933171516294938,1.0,0.6933171516294938,224,Active,18
EM B15 preECNL-RL,NY,30,41,23,7,0,0.7666666666666667,103,73,30,0.7583333333333334,1,0.03333333333333333,5,0.16666666666666666,2025-10-12,1.7773356123379627,30,1,3.433333333333333,2.433333333333333,3.3318956247324927,2.5865082443040524,0.5735128736209013,0.592943690471716,0.7649179603475728,0.6922420890270671,1.0,0.6922420890270671,228,Active,19
B2015 Wolverines,NY,30,49,23,7,0,0.7666666666666667,112,54,58,0.7666666666666666,0,0.0,3,0.1,2025-10-12,1.4355423078827203,30,0,3.7333333333333334,1.8,3.56873772999565,2.0865082443040524,0.6202574125007158,0.6737085541902292,0.718412133658053,0.6898404735330208,1.0,0.6898404735330208,241,Active,20
FC Roma,NY,20,20,14,4,0,0.7,83,39,43,0.6133333333333333,1,0.05,5,0.25,2025-10-05,1.3928374412800408,20,1,4.15,1.95,3.8075726335655253,2.2959754744126424,0.6652368219452415,0.6408045168356797,0.7120133967958472,0.6884163058336925,1.0,0.6884163058336925,251,Active,21
Arsenal,NY,30,186,18,9,0,0.6,89,56,33,0.6033333333333333,0,0.0,3,0.1,2025-10-12,1.7318980089138014,30,0,2.966666666666667,1.8666666666666667,2.9634745721009135,2.1391398232514205,0.4984329306126169,0.665585229661136,0.7590006722182046,0.6882040353856733,1.0,0.6882040353856733,252,Active,22
B2015 Hornets,NY,30,37,21,3,0,0.7,100,51,49,0.695,5,0.16666666666666666,5,0.16666666666666666,2025-10-05,1.4660686517152093,30,5,3.3333333333333335,1.7,3.25294825631144,2.0075608758829997,0.5575892797717137,0.685699418368461,0.7241414932544858,0.6831426355807264,1.0,0.6831426355807264,285,Active,23
Raptors Green,NY,30,41,14,14,0,0.4666666666666667,81,91,-10,0.47333333333333333,4,0.13333333333333333,5,0.16666666666666666,2025-10-04,2.2034566909296958,30,4,2.7,3.033333333333333,2.75294825631144,3.060192454830368,0.4553427420039701,0.5114105646997578,0.8137553484382078,0.6816038704036702,1.0,0.6816038704036702,295,Active,24
B2015 Blue (Aces),NY,30,74,23,2,0,0.7666666666666667,100,48,52,0.7733333333333333,5,0.16666666666666666,7,0.23333333333333334,2025-10-12,1.4130497585083341,30,5,3.3333333333333335,1.6,3.25294825631144,1.928613507461947,0.5575892797717137,0.6974475210585387,0.7162967243311488,0.6807853947647398,1.0,0.6807853947647398,301,Active,25
QUSC Arsenal,NY,30,52,22,4,0,0.7333333333333333,93,47,46,0.7366666666666666,8,0.26666666666666666,7,0.23333333333333334,2025-10-04,1.4706153226770653,30,8,3.1,1.5666666666666667,3.06873772999565,1.9022977179882627,0.5200269552872199,0.7013078512007536,0.7245041243471081,0.6789694359058596,1.0,0.6789694359058596,312,Active,26
Mineola 2015 Red,NY,30,40,16,13,0,0.5333333333333333,109,66,40,0.5233333333333333,12,0.4,4,0.13333333333333333,2025-10-04,1.4406628223287279,30,12,3.6333333333333333,2.2,3.4897903615745975,2.402297717988263,0.604876684227922,0.6235572963817939,0.7187787334506878,0.6769540361923558,1.0,0.6769540361923558,325,Active,27
SEA DOGS,NY,30,35,16,11,0,0.5333333333333333,102,59,43,0.5249999999999999,13,0.43333333333333335,6,0.2,2025-10-04,1.4348479790536424,30,13,3.4,1.9666666666666666,3.305579835258808,2.218087191672473,0.5682202412388435,0.653215081774744,0.7200740245478019,0.6763314793313986,1.0,0.6763314793313986,331,Active,28
Snow Leopards B2015,NY,30,47,14,14,0,0.4666666666666667,74,80,-6,0.4683333333333333,4,0.13333333333333333,2,0.06666666666666667,2025-10-12,2.0753781535358753,30,4,2.466666666666667,2.6666666666666665,2.56873772999565,2.7707187706198417,0.4181580082487915,0.5615908655460355,0.8003692941290291,0.676171351236383,1.0,0.676171351236383,333,Active,29
FSA U11 Boys,NY,30,42,16,10,0,0.5333333333333333,123,69,48,0.5433333333333332,1,0.03333333333333333,15,0.5,2025-10-12,1.2713655448254675,30,1,4.1,2.3,3.8582114142061767,2.481245086409315,0.6744306156531555,0.6105421876798163,0.6957412250326366,0.6744392956861763,1.0,0.6744392956861763,344,Active,30
Arsenal Black,NY,30,45,20,7,0,0.6666666666666666,112,47,65,0.6616666666666666,7,0.23333333333333334,6,0.2,2025-10-12,1.1696779564603903,30,7,3.7333333333333334,1.5666666666666667,3.56873772999565,1.9022977179882627,0.6202574125007158,0.7013078512007536,0.6811418008267673,0.6729981332363543,1.0,0.6729981332363543,356,Active,31
PSG B2015,NY,30,41,16,12,0,0.5333333333333333,128,58,56,0.5283333333333333,5,0.16666666666666666,5,0.16666666666666666,2025-10-04,1.0729085546385506,30,5,4.266666666666667,1.9333333333333333,3.9897903615745975,2.191771402198789,0.6976889568100423,0.6573625223617402,0.6674553021840622,0.671483477144794,1.0,0.671483477144794,369,Active,32
Quickstrike FC B15,NY,29,30,25,3,0,0.8620689655172413,153,36,92,0.8666666666666666,1,0.034482758620689655,12,0.41379310344827586,2025-10-12,0.6534300946122152,29,1,5.275862068965517,1.2413793103448276,4.773298209184722,1.656413872528486,0.8145063561162771,0.7359630682382876,0.599956623126914,0.6700678587470613,1.0,0.6700678587470613,381,Active,33
Strong Inter 2015,NY,30,34,20,9,0,0.6666666666666666,144,66,70,0.6766666666666667,5,0.16666666666666666,4,0.13333333333333333,2025-10-04,0.9778500677197168,30,5,4.8,2.2,4.410842993153545,2.402297717988263,0.7653059523946024,0.6235572963817939,0.6514250684213735,0.6686276908081034,1.0,0.6686276908081034,390,Active,34
B15 Academy - Williamsburg,NY,30,41,19,3,0,0.6333333333333333,127,58,67,0.635,1,0.03333333333333333,4,0.13333333333333333,2025-10-12,1.0523864113811083,30,1,4.233333333333333,1.9333333333333333,3.9634745721009135,2.191771402198789,0.6931127357659077,0.6573625223617402,0.663584322640354,0.6682456452097421,1.0,0.6682456452097421,392,Active,35
Cobras,NY,30,61,18,7,0,0.6,105,62,35,0.6033333333333333,8,0.26666666666666666,7,0.23333333333333334,2025-10-04,1.310807385533269,30,9,3.5,2.066666666666667,3.384527203679861,2.2970345600935262,0.5840466394032693,0.6406344137227147,0.7034374059724905,0.6669986542086911,1.0,0.6669986542086911,401,Active,36
HAMMERHEAD SHARKS,NY,27,29,17,8,0,0.6296296296296297,82,69,13,0.6633333333333333,4,0.14814814814814814,3,0.1111111111111111,2025-10-04,1.644721597599126,27,4,3.037037037037037,2.5555555555555554,3.0174866782809917,2.693923236672971,0.5095174972109612,0.5747364754979132,0.7491433656084852,0.6663368139068659,1.0,0.6663368139068659,405,Active,37
NLSA Select B2015 Blue,NY,30,30,16,8,0,0.5333333333333333,132,91,39,0.54,3,0.1,5,0.16666666666666666,2025-10-12,1.280540137776592,30,3,4.4,3.033333333333333,4.095053519469334,3.060192454830368,0.7155992464502661,0.5114105646997578,0.6998553919158036,0.6653151973794869,1.0,0.6653151973794869,408,Active,38
Inter,NY,22,26,14,7,0,0.6363636363636364,76,36,37,0.5166666666666666,6,0.2727272727272727,7,0.3181818181818182,2025-10-04,1.2157403104605353,22,6,3.4545454545454546,1.6363636363636365,3.3204011246611573,2.042910442785133,0.5712030959120785,0.6803597511763505,0.6889140545534377,0.6636610021497484,1.0,0.6636610021497484,417,Active,39
Lightning B2015,NY,30,43,21,8,0,0.7,135,92,38,0.7,4,0.13333333333333333,6,0.2,2025-10-11,1.1781147492542137,30,4,4.5,3.066666666666667,4.174000887890387,3.0865082443040524,0.7286037697042561,0.5068218766908292,0.6843346985232461,0.6576859483929648,1.0,0.6576859483929648,475,Active,40
Portugal B2015,NY,30,37,15,11,0,0.5,100,69,27,0.5033333333333333,9,0.3,8,0.26666666666666666,2025-10-04,1.305386628143119,30,9,3.3333333333333335,2.3,3.25294825631144,2.481245086409315,0.5575892797717137,0.6105421876798163,0.7034651839026811,0.6557054038319147,1.0,0.6557054038319147,489,Active,41
2015 Boys Academy White,NY,24,25,12,11,0,0.5,95,63,23,0.4111111111111111,1,0.041666666666666664,5,0.20833333333333334,2025-10-05,1.202976473189263,24,1,3.9583333333333335,2.625,3.706626054369835,2.758978540111062,0.6465353914610767,0.5636066047339707,0.6885345384162997,0.6551491222887893,1.0,0.6551491222887893,494,Active,42
Red Inferno 2015,NY,20,21,10,6,0,0.5,62,42,20,0.48,1,0.05,0,0.0,2025-10-12,1.3632566866892808,20,1,3.1,2.1,3.0575726335655253,2.4031183315554996,0.5177386460464458,0.6234228886601079,0.7110293689595355,0.654849928317032,1.0,0.654849928317032,499,Active,43
Lightning,NY,30,180,21,8,0,0.7,94,56,41,0.7066666666666666,3,0.1,2,0.06666666666666667,2025-10-12,1.2337844318450182,30,3,3.1333333333333333,1.8666666666666667,3.0950535194693347,2.1391398232514205,0.5254169357964911,0.665585229661136,0.692387147539332,0.6536327216151245,1.0,0.6536327216151245,507,Active,44
Red Bulls B2015,NY,30,36,17,11,0,0.5666666666666667,94,72,21,0.5700000000000001,12,0.4,11,0.36666666666666664,2025-10-04,1.3845571298733104,30,12,3.1333333333333333,2.4,3.0950535194693347,2.560192454830368,0.5254169357964911,0.5973676507898962,0.7146506317331912,0.6533472963571922,1.0,0.6533472963571922,510,Active,45
Real POB,NY,30,69,16,12,0,0.5333333333333333,99,68,27,0.525,2,0.06666666666666667,5,0.16666666666666666,2025-10-12,1.268395466432589,30,2,3.3,2.2666666666666666,3.2266324668377555,2.454929296935631,0.5522533135054343,0.6148991049364452,0.6984919906453033,0.6525256780755578,1.0,0.6525256780755578,521,Active,46
URUGUAYAN RENEGADES 2015,NY,29,31,18,8,0,0.6206896551724138,116,80,31,0.6283333333333333,1,0.034482758620689655,9,0.3103448275862069,2025-10-04,1.1245443160824933,29,1,4.0,2.7586206896551726,3.773298209184722,2.845603061717675,0.6589415838088962,0.5486884616807323,0.6774493581464969,0.6479956239858238,1.0,0.6479956239858238,554,Active,47
Athletico (2015),NY,30,38,24,2,0,0.8,125,58,67,0.8066666666666665,6,0.2,9,0.3,2025-06-16,0.8528973994777765,30,6,4.166666666666667,1.9333333333333333,3.9108429931535458,2.191771402198789,0.6838458685016867,0.6573625223617402,0.6323467871394007,0.6476497504563259,1.0,0.6476497504563259,558,Active,48
B15 United,NY,30,41,19,7,0,0.6333333333333333,114,92,19,0.6283333333333333,4,0.13333333333333333,4,0.13333333333333333,2025-10-04,1.2645572077024805,30,4,3.8,3.066666666666667,3.621369308943019,3.0865082443040524,0.6303807200033912,0.5068218766908292,0.6987306158462028,0.6466788888465658,1.0,0.6466788888465658,569,Active,49
Met Oval Academy 2015 White,NY,30,63,15,13,0,0.5,133,94,14,0.49,0,0.0,9,0.3,2025-10-12,1.0763584545950986,30,0,4.433333333333334,3.1333333333333333,4.121369308943019,3.1391398232514205,0.7199756243398089,0.4976418251896023,0.6718345944352428,0.646624246567028,1.0,0.646624246567028,571,Active,50
NY Eagles SC Stars,NY,30,50,21,5,0,0.7,103,55,48,0.7133333333333334,0,0.0,5,0.16666666666666666,2025-10-12,1.038903428495779,30,0,3.433333333333333,1.8333333333333333,3.3318956247324927,2.1128240337777364,0.5735128736209013,0.6696595441205168,0.6632359497103398,0.6465760533744875,1.0,0.6465760533744875,572,Active,51
B15 Raptors,NY,30,39,16,12,0,0.5333333333333333,129,89,38,0.53,9,0.3,10,0.3333333333333333,2025-10-12,1.0682600535251787,30,9,4.3,2.966666666666667,4.016106151048282,3.0075608758829997,0.7022262553393436,0.5205814024970146,0.6686374129958536,0.6457439793647838,1.0,0.6457439793647838,576,Active,52
