Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Club Ohio West Pre MLS NEXT 15B,OH,30,45,29,1,0,0.9666666666666667,171,29,118,0.97,3,0.1,13,0.43333333333333335,2025-10-12,3.0492908719211163,30,3,5.7,0.9666666666666667,5.121369308943019,1.428613507461947,0.853874851149151,0.7656718561331807,0.8378708703236573,0.8266318636506607,1.0,0.8266318636506607,1,Active,1
CUP 15B Black,OH,27,27,24,3,0,0.8888888888888888,167,40,93,0.9,0,0.0,8,0.2962962962962963,2025-10-12,2.827781616623585,27,0,6.185185185185185,1.4814814814814814,5.44605810685242,1.8653518081015423,0.8841042977757156,0.7066794883617153,0.8207063839620401,0.8105805876047103,1.0,0.8105805876047103,2,Active,2
Cleveland Force 15B Pre-ECNL White,OH,30,37,27,1,0,0.9,160,37,101,0.9,0,0.0,8,0.26666666666666666,2025-10-12,2.770142309395623,30,0,5.333333333333333,1.2333333333333334,4.831895624732493,1.6391398232514207,0.8216649978126112,0.7382984389451035,0.8182197740183442,0.8029245517625494,1.0,0.8029245517625494,3,Active,3
CUP 15B Gold,OH,30,30,22,6,0,0.7333333333333333,128,34,72,0.735,0,0.0,9,0.3,2025-10-12,2.706708331477158,30,0,4.266666666666667,1.1333333333333333,3.9897903615745975,1.560192454830368,0.6976889568100423,0.7488007186381415,0.8314888713693491,0.7881912579112462,1.0,0.7881912579112462,10,Active,4
CUP 15B Silver,OH,21,21,20,0,0,0.9523809523809523,104,12,84,0.8166666666666667,0,0.0,6,0.2857142857142857,2025-10-12,2.355394762420598,21,0,4.9523809523809526,0.5714285714285714,4.400414956546024,1.285769423570827,0.7637647578998861,0.7830782673403424,0.7846230170152179,0.7801424152571764,1.0,0.7801424152571764,13,Active,5
Cleveland Force 15B Pre-ECNL Blue,OH,18,18,12,6,0,0.6666666666666666,76,26,36,0.5666666666666667,0,0.0,1,0.05555555555555555,2025-10-12,3.5136255803968823,18,0,4.222222222222222,1.4444444444444444,3.8312320669167197,1.9725889724443841,0.6695484955262869,0.6909341321228899,0.904326592621921,0.8146924811029881,0.9486832980505138,0.7728851498697386,22,Active,6
Grasshoppers FC - 2015B Black,OH,30,32,19,11,0,0.6333333333333333,107,60,43,0.6466666666666666,2,0.06666666666666667,7,0.23333333333333334,2025-10-12,2.5778147648345446,30,2,3.566666666666667,2.0,3.4371587826272294,2.2444029811461577,0.5945041847205146,0.6490442410243815,0.8374182713574697,0.7511606479634609,1.0,0.7511606479634609,47,Active,7
DSX Orange 2015B,OH,28,28,22,4,0,0.7857142857142857,144,40,88,0.7816666666666666,0,0.0,1,0.03571428571428571,2025-09-21,1.773894805697143,28,0,5.142857142857143,1.4285714285714286,4.65588982610652,1.8135364800987217,0.7994998936491978,0.7141169170742481,0.7151592907320565,0.7318189365839232,1.0,0.7318189365839232,85,Active,8
CU North 15B Elite 1,OH,27,27,23,4,0,0.8518518518518519,115,73,42,0.8633333333333334,0,0.0,4,0.14814814814814814,2025-10-05,2.307859470930055,27,0,4.2592592592592595,2.7037037037037037,3.9603438211381348,2.808208950958685,0.6925657456391126,0.5551406806571608,0.8020749410400323,0.730786249883274,1.0,0.730786249883274,90,Active,9
Cleveland Force 15B White West,OH,30,57,22,8,0,0.7333333333333333,136,80,50,0.73,0,0.0,10,0.3333333333333333,2025-06-01,2.138382753231774,30,0,4.533333333333333,2.6666666666666665,4.200316677364071,2.7707187706198417,0.7328547392242234,0.5615908655460354,0.7802101411563003,0.7270152056478318,1.0,0.7270152056478318,103,Active,10
