Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
WUFC 15B White,OR,30,34,20,8,0,0.6666666666666666,112,42,60,0.6699999999999999,0,0.0,9,0.3,2025-08-10,1.4418884602884432,30,0,3.7333333333333334,1.4,3.56873772999565,1.7707187706198417,0.6202574125007158,0.7201767337962421,0.689386601771478,0.6817187903222783,1.0,0.6817187903222783,285,Active,1
FC Portland 15B Navy,OR,30,52,22,6,0,0.7333333333333333,120,46,58,0.73,0,0.0,8,0.26666666666666666,2025-08-24,1.21303190791778,30,0,4.0,1.5333333333333334,3.779264045785124,1.8759819285145785,0.6600414530605498,0.7051397500451573,0.657540063742279,0.6675602788665088,1.0,0.6675602788665088,391,Active,2
15B TS Copa,OR,30,33,23,2,0,0.7666666666666667,122,37,81,0.765,0,0.0,15,0.5,2025-08-24,1.2480863606033652,30,0,4.066666666666666,1.2333333333333334,3.8318956247324927,1.6391398232514207,0.6696690161193243,0.7382984389451035,0.6410659505850023,0.6662330613638869,1.0,0.6662330613638869,408,Active,3
15B Blue,OR,30,125,15,9,0,0.5,99,62,37,0.495,0,0.0,3,0.1,2025-10-11,1.1194200633833478,30,0,3.3,2.066666666666667,3.2266324668377555,2.2970345600935262,0.5522533135054343,0.6406344137227147,0.6575127378110882,0.6330851881322828,1.0,0.6330851881322828,732,Active,4
LOSC 15B Gold,OR,24,24,15,8,0,0.625,101,42,46,0.5222222222222221,0,0.0,8,0.3333333333333333,2025-08-31,0.8188394423554488,24,0,4.208333333333333,1.75,3.894126054369835,2.102728540111062,0.680871210619201,0.6712158769031311,0.5911863056594371,0.6251292009001286,1.0,0.6251292009001286,823,Active,5
PCU 15B Red,OR,16,16,12,4,0,0.75,58,34,24,0.7166666666666666,0,0.0,4,0.25,2025-08-17,1.1346931205944744,16,0,3.625,2.125,3.4005014058264464,2.4703047201480826,0.5872290743700711,0.6123556941717292,0.6694687795421927,0.6415982214336757,0.8944271909999159,0.5738628949474646,1489,Active,6
Columbia Premier SC 15B Black 3,OR,22,22,13,7,0,0.5909090909090909,119,68,37,0.5,0,0.0,7,0.3181818181818182,2025-08-24,0.014023139018543268,22,0,5.409090909090909,3.090909090909091,4.753734457994491,3.1095771094517994,0.8120674309930451,0.5027983835668994,0.4725788407696092,0.5465204673737545,1.0,0.5465204673737545,1941,Active,7
WOODBURN FC B15 Academy,OR,28,28,15,9,0,0.5357142857142857,95,83,16,0.5383333333333333,0,0.0,14,0.5,2025-08-24,0.3450709484261762,28,0,3.392857142857143,2.9642857142857144,3.2947787149954086,3.0079809245431663,0.566043330717908,0.5205082573846949,0.5478603823040442,0.5460265470029471,1.0,0.5460265470029471,1956,Active,8
FC Portland 15B White,OR,30,40,21,3,0,0.7,102,49,49,0.7016666666666667,0,0.0,7,0.23333333333333334,2025-08-24,0.17740357025296644,30,0,3.4,1.6333333333333333,3.305579835258808,1.9549292969356311,0.5682202412388435,0.6935590999179819,0.47906967176338894,0.5397976712893984,1.0,0.5397976712893984,2062,Active,9
Capital FC 15B Red PA,OR,14,14,12,2,0,0.8571428571428571,27,17,10,0.42857142857142855,0,0.0,7,0.5,2025-08-10,1.4966316332045193,14,0,1.9285714285714286,1.2142857142857142,2.3005469881743057,1.9221506037979084,0.3657440246878803,0.6983981964714647,0.7174275870101413,0.6432849964379538,0.8366600265340756,0.5382108421887511,2092,Active,10
15B Elite - Pre MLS Next,OR,16,16,4,12,0,0.25,48,52,-6,0.13333333333333333,0,0.0,2,0.125,2025-08-24,0.9833367508955311,16,0,3.0,3.25,2.98383473915978,3.2203047201480826,0.5026117267571305,0.4834902711693989,0.6739660617876501,0.601600036657896,0.8944271909999159,0.5380874308933683,2094,Active,11
