Team,State,Games_Played,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Win_Pct_Norm,Goal_Diff_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Ignite 2015 Boys Blue,SD,30,20,8,0,0.6666666666666666,145,74,71,0.6699999999999999,1,0.03333333333333333,26,0.8666666666666667,2025-08-17,0.398752176941832,30,1,0.6666666666666666,0.7318007662835249,0.49844022117729,0.5787576192964123,1.224744871391589,0.7088304260120867,745,Active,1
BASA RED,SD,30,13,17,0,0.43333333333333335,86,89,-3,0.43,3,0.1,15,0.5,2025-10-12,0.4337737317149083,30,3,0.43333333333333335,0.5900383141762452,0.5422171646436353,0.5300046282880969,1.224744871391589,0.6491204503096522,1714,Active,2
BH Rapids 2015 Boys Burgundy,SD,20,17,3,0,0.85,132,41,91,0.78,2,0.1,12,0.6,2025-03-01,0.4201923076923076,20,2,0.85,0.7701149425287356,0.5252403846153845,0.6391672192749778,1.0,0.6391672192749778,1877,Inactive,3
BH Rapids BU11 White,SD,28,13,11,0,0.4642857142857143,92,87,5,0.45666666666666667,6,0.21428571428571427,23,0.8214285714285714,2025-10-12,0.399850457424349,28,6,0.4642857142857143,0.6053639846743295,0.4998130717804362,0.5138177828602705,1.1832159566199232,0.6079573994753429,2499,Active,4
OFC U10 Revolution Green,SD,24,11,9,0,0.4583333333333333,59,57,2,0.41333333333333333,1,0.041666666666666664,13,0.5416666666666666,2025-06-08,0.40214947089947084,24,1,0.4583333333333333,0.5996168582375478,0.5026868386243385,0.5132021414887793,1.0954451150103321,0.5621847789067246,3285,Active,5
DASC 2015B White,SD,14,6,6,0,0.42857142857142855,58,64,-6,0.2571428571428571,2,0.14285714285714285,3,0.21428571428571427,2025-09-21,0.5696293902176255,14,2,0.42857142857142855,0.5842911877394636,0.7120367377720318,0.6297945659253975,0.8366600265340756,0.5269239382381596,3809,Active,6
Spearfish Soccer U10B Maroon,SD,29,5,24,0,0.1724137931034483,72,220,-148,0.19,0,0.0,15,0.5172413793103449,2025-10-12,0.45363984674329505,29,0,0.1724137931034483,0.31226053639846746,0.5670498084291188,0.43716475095785445,1.2041594578792296,0.5264160695173185,3814,Active,7
Sodak Spurs SC 2015 Boys Orange,SD,17,7,7,0,0.4117647058823529,52,45,7,0.27999999999999997,4,0.23529411764705882,6,0.35294117647058826,2025-08-24,0.44341736694677875,17,4,0.4117647058823529,0.6091954022988506,0.5542717086834734,0.5367550468463247,0.9219544457292888,0.4948637017076017,4248,Active,8
DASC 2015 Silver,SD,8,8,0,0,1.0,26,16,10,0.6,0,0.0,4,0.5,2025-09-21,0.5565476190476191,8,0,1.0,0.6149425287356322,0.6956845238095238,0.7403992200328408,0.6324555320336759,0.46826958262318896,4576,Active,9
BH Rapids 2015 Boys Sky,SD,16,8,8,0,0.5,55,64,-9,0.32,0,0.0,6,0.375,2025-03-02,0.3874608150470219,16,0,0.5,0.578544061302682,0.48432601880877735,0.5063044235458027,0.8944271909999159,0.452852443342904,4737,Inactive,10
