Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Mellindo FC 2015 A,UT,21,21,14,7,0,0.6666666666666666,77,55,22,0.5166666666666667,1,0.047619047619047616,6,0.2857142857142857,2025-09-01,2.4721595933572758,21,1,3.6666666666666665,2.619047619047619,3.469380473787404,2.7685280442604823,0.6008650008417136,0.5619671587371391,0.8375790974393602,0.7351138903793867,1.0,0.7351138903793867,84,Active,1
Sparta B15 Premier NK,UT,30,31,23,5,0,0.7666666666666667,132,35,76,0.7633333333333333,0,0.0,15,0.5,2025-09-01,1.3975244204053545,30,0,4.4,1.1666666666666667,4.095053519469334,1.5865082443040521,0.7155992464502661,0.7453312988011773,0.711864929244002,0.7193050665966899,1.0,0.7193050665966899,126,Active,2
Utah United Academy 2015,UT,30,45,22,7,0,0.7333333333333333,109,48,55,0.7350000000000001,1,0.03333333333333333,17,0.5666666666666667,2025-09-01,1.6366466314148387,30,1,3.6333333333333333,1.6,3.4897903615745975,1.928613507461947,0.604876684227922,0.6974475210585387,0.7457188057408912,0.7078961245018269,1.0,0.7078961245018269,159,Active,3
Utah Athletic Academy B15,UT,27,27,17,10,0,0.6296296296296297,107,65,40,0.66,3,0.1111111111111111,15,0.5555555555555556,2025-09-14,1.3341482445666282,27,3,3.962962962962963,2.4074074074074074,3.731772392566706,2.5796375223872565,0.6512388641015704,0.5941002169719001,0.7043410978375754,0.6716724749172394,1.0,0.6716724749172394,367,Active,4
Utah Elite FC B15 Gold,UT,29,29,16,10,0,0.5517241379310345,149,56,45,0.54,0,0.0,14,0.4827586206896552,2025-08-30,0.4371251283048626,29,0,5.137931034482759,1.9310344827586208,4.665190101076614,2.196954413069027,0.8007210395017736,0.6565475399650548,0.5689791389409703,0.6328411992579479,1.0,0.6328411992579479,726,Active,5
LFCIA Utah 15B Premier,UT,13,13,11,1,0,0.8461538461538461,87,44,46,0.4230769230769231,0,0.0,3,0.23076923076923078,2025-07-26,2.590531779095647,13,0,6.6923076923076925,3.3846153846153846,5.267239701896891,3.299395870645428,0.8681933020561275,0.4697255275869112,0.8416789709805623,0.7725911485169451,0.806225774829855,0.6228828973397617,855,Active,6
15B Black DW,UT,16,16,11,3,0,0.6875,59,25,32,0.6833333333333333,4,0.25,8,0.5,2025-09-01,1.4699178926330232,16,4,3.6875,1.5625,3.442168072493113,2.0953047201480826,0.5954952013202223,0.672357950521782,0.7206183956014599,0.6859416677292769,0.8944271909999159,0.6135248790568948,957,Active,7
Aggies15BTL,UT,15,15,8,7,0,0.5333333333333333,38,53,-10,0.26666666666666666,1,0.06666666666666667,1,0.06666666666666667,2025-07-26,2.135789540822337,15,1,2.533333333333333,3.533333333333333,2.678784075644988,3.4037962297197386,0.4402879170740131,0.45162970959943305,0.8067250493199223,0.6624185549266426,0.8660254037844386,0.57367129650465,1503,Active,8
La Roca 15B R Rada,UT,22,22,15,6,0,0.6818181818181818,64,34,30,0.6166666666666667,0,0.0,9,0.4090909090909091,2025-08-30,0.23005043430846595,22,0,2.909090909090909,1.5454545454545454,2.920401124661157,1.9762437761184661,0.4895938132733149,0.6903893252489561,0.5359131058484101,0.5575444912135002,1.0,0.5575444912135002,1754,Active,9
La Roca 15B A Vazquez,UT,23,23,5,16,0,0.21739130434782608,33,59,-26,0.16666666666666666,1,0.043478260869565216,6,0.2608695652173913,2025-07-26,0.8323292777511859,23,1,1.434782608695652,2.5652173913043477,1.826194636768862,2.7189455897920642,0.28090984713681233,0.5704638916405689,0.6379847548659892,0.5530656006750697,1.0,0.5530656006750697,1823,Active,10
