Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
SYC 2015B Pre-MLS Next,VA,30,93,20,6,0,0.6666666666666666,134,68,56,0.6633333333333333,0,0.0,14,0.4666666666666667,2025-10-11,1.1659521556722292,30,0,4.466666666666667,2.2666666666666666,4.147442117790831,2.4545996827939462,0.7246360205286608,0.6149339734430501,0.649874996777833,0.657838996861042,1.0,0.657838996861042,339,Active,1
Alex 2015 Boys Red,VA,30,54,16,8,0,0.5333333333333333,116,68,48,0.5349999999999999,0,0.0,9,0.3,2025-10-12,1.1205073611375678,30,0,3.8666666666666667,2.2666666666666666,3.6737579072645152,2.4545996827939462,0.6406316237699639,0.6149339734430501,0.6497020352059711,0.6409343405661855,1.0,0.6409343405661855,483,Active,2
SYC 2015B Blue,VA,30,43,28,2,0,0.9333333333333333,168,33,113,0.93,0,0.0,13,0.43333333333333335,2025-10-12,0.6930004070498453,30,0,5.6,1.1,5.042178959896094,1.5335470512149991,0.8459573621372463,0.7526302655802521,0.5171100341617794,0.6299835460405673,1.0,0.6299835460405673,596,Active,3
RU RED PRE ECNL 1 B15,VA,21,21,19,2,0,0.9047619047619048,110,37,70,0.7833333333333333,0,0.0,4,0.19047619047619047,2025-10-05,0.49515687624783544,21,0,5.238095238095238,1.7619047619047619,4.606993119863848,2.1474064809024127,0.7933805479901136,0.6644271821857738,0.5231926328877518,0.6054771257678285,1.0,0.6054771257678285,866,Active,4
VSA 15B Pre-ECNL I VDA West,VA,30,35,22,8,0,0.7333333333333333,141,70,66,0.7383333333333333,0,0.0,13,0.43333333333333335,2025-10-12,0.5061519090741886,30,0,4.7,2.3333333333333335,4.3316526441066205,2.507231261741315,0.7538098424732195,0.6061760269104717,0.5276007101240623,0.5885575999511756,1.0,0.5885575999511756,1089,Active,5
Loudoun 2015B Pre-MLS Next Red,VA,30,38,19,11,0,0.6333333333333333,92,69,23,0.6383333333333332,0,0.0,9,0.3,2025-10-05,0.6295631084937692,30,0,3.066666666666667,2.3,3.042178959896094,2.4809154722676308,0.5146993910468464,0.6105639165631074,0.5841561340156425,0.5755463419313762,1.0,0.5755463419313762,1286,Active,6
Herndon 2015B FC Black,VA,30,31,16,8,0,0.5333333333333333,116,57,57,0.54,1,0.03333333333333333,9,0.3,2025-08-31,0.21126093481185715,30,1,3.8666666666666667,1.9,3.6737579072645152,2.16512599858342,0.6406316237699639,0.6616566323108546,0.5150989474180704,0.5695170196670059,1.0,0.5695170196670059,1372,Active,7
Tidewater Sharks 2015B Elite White,VA,26,26,19,7,0,0.7307692307692307,139,62,60,0.64,0,0.0,9,0.34615384615384615,2025-08-31,0.1267701466691158,26,0,5.346153846153846,2.3846153846153846,4.782435308119164,2.566905527828528,0.8160294938480983,0.5961632703543402,0.47566632812703874,0.567838349716711,1.0,0.567838349716711,1394,Active,8
Alex 2015 Boys White,VA,30,32,16,6,0,0.5333333333333333,76,50,26,0.5333333333333333,0,0.0,7,0.23333333333333334,2025-10-12,0.6601937282557728,30,0,2.533333333333333,1.6666666666666667,2.6211263283171466,1.9809154722676308,0.4286453514221855,0.6898896502183511,0.5734275813296643,0.5677635491259059,1.0,0.5677635491259059,1396,Active,9
SYC 2015B Pre-MLS Next II,VA,30,71,16,6,0,0.5333333333333333,105,62,35,0.5333333333333333,1,0.03333333333333333,15,0.5,2025-10-11,0.34228346796770115,30,1,3.5,2.066666666666667,3.384284223053989,2.2967049459518414,0.5842142645389916,0.640745480974322,0.5375301255830977,0.5675100244525213,1.0,0.5675100244525213,1400,Active,10
BRYC Academy '15B Teal,VA,27,27,16,6,0,0.5925925925925926,68,32,36,0.59,0,0.0,9,0.3333333333333333,2025-10-12,0.47523360111880625,27,0,2.5185185185185186,1.1851851851851851,2.6172228707443304,1.6364225127477132,0.42785950513457616,0.7389838076956692,0.5498440570873544,0.5632750968184617,1.0,0.5632750968184617,1467,Active,11
Arlington SA 2015B Red,VA,21,21,13,6,0,0.6190476190476191,68,41,29,0.5083333333333333,0,0.0,7,0.3333333333333333,2025-09-01,0.4049484957515656,21,0,3.238095238095238,1.9523809523809523,3.1587172577948817,2.285337515385171,0.5385815912497383,0.6425746795500125,0.543427964372432,0.5622880327834093,1.0,0.5622880327834093,1491,Active,12
