Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
VT Northern United U10 Boys Green,VT,19,19,10,3,0,0.5263157894736842,95,56,34,0.44166666666666665,0,0.0,3,0.15789473684210525,2025-10-05,-0.09987276554994166,19,0,5.0,2.9473684210526314,4.393038286660545,3.010641232724222,0.7626703216897018,0.5200449847169425,0.4786643217750281,0.5437416543463457,0.9746794344808963,0.5299738081620032,2227,Active,1
Far Post U10 Boys Ajax,VT,29,29,13,11,0,0.4482758620689655,101,92,5,0.45333333333333337,0,0.0,14,0.4827586206896552,2025-06-22,-0.06090576215622881,29,0,3.4827586206896552,3.1724137931034484,3.3678928037793168,3.1699273860419996,0.5807252166874668,0.4922721684271222,0.48835378812318053,0.5076117498968261,1.0,0.5076117498968261,2672,Active,2
Capital U10 Boys,VT,15,15,12,3,0,0.8,113,48,39,0.4,0,0.0,8,0.5333333333333333,2025-06-15,0.03856883036897912,15,0,7.533333333333333,3.2,5.939653640862379,3.1864049253719124,0.9196141991886669,0.4893989753671989,0.4975413466991296,0.5803274429306509,0.8660254037844386,0.5025783080912076,2763,Active,3
Iroquois U10 1,VT,10,10,10,0,0,1.0,50,8,42,0.5,0,0.0,0,0.0,2025-06-01,1.2609917868594531,10,0,5.0,0.8,4.089557429990817,1.8492951824196657,0.7146800481488444,0.7089962951696358,0.6900467116897072,0.6987632956775204,0.7071067811865476,0.49410026481783526,2930,Active,4
VT Northern United U10 Boys Blue,VT,16,17,8,6,0,0.5,58,56,2,0.26666666666666666,0,0.0,1,0.0625,2025-06-22,0.2352276236924599,16,0,3.625,3.5,3.4005014058264464,3.3869713868147495,0.5872290743700711,0.45453860887678255,0.5387695499624064,0.5316152666268146,0.8944271909999159,0.4754911496216931,3287,Active,5
Nordic 2015 Boys Napoli,VT,30,68,8,18,0,0.26666666666666666,98,105,-11,0.2733333333333333,0,0.0,15,0.5,2025-10-05,-0.24438043638686838,30,0,3.2666666666666666,3.5,3.2003166773640714,3.4286135074619475,0.5469052863368324,0.44734505623506715,0.45855282023160593,0.47398176065334346,1.0,0.47398176065334346,3321,Active,6
EUSC U10 Boys Sunderland,VT,17,17,10,7,0,0.5882352941176471,78,76,4,0.6166666666666667,0,0.0,1,0.058823529411764705,2025-06-22,-0.17362384483608365,17,0,4.588235294117647,4.470588235294118,4.064481349593389,4.051492531342159,0.7104636214369865,0.3438921377266626,0.4692824351355012,0.4924406129140305,0.9219544457292888,0.45400781233374626,3658,Active,7
VTUSA U10 Boys,VT,10,10,10,0,0,1.0,69,6,60,0.5,0,0.0,2,0.2,2025-06-01,0.23461410194296323,10,0,6.9,0.6,5.145112985546373,1.738184071308555,0.8562903165066436,0.7247283486863305,0.5231257482990842,0.6300791820180454,0.7071067811865476,0.44553326228943285,3802,Active,8
u10 Boys Sky,VT,17,17,8,5,0,0.47058823529411764,62,59,8,0.4083333333333333,0,0.0,4,0.23529411764705882,2025-06-15,-0.2683703151084919,17,0,3.6470588235294117,3.4705882352941178,3.4244813495933886,3.3714925313421595,0.5919927094050423,0.4572175444039699,0.45332918265364,0.48183956035398645,0.9219544457292888,0.44423412479660374,3826,Active,9
u10 Boys Blue,VT,15,15,11,2,0,0.7333333333333333,57,26,31,0.36666666666666664,0,0.0,2,0.13333333333333333,2025-06-22,-0.41939021325340736,15,0,3.8,1.7333333333333334,3.5048710321667267,2.2298831862414774,0.6078318639873822,0.651348375141785,0.42455357280537537,0.5065681915090587,0.8660254037844386,0.4387009225959854,3916,Active,10
