Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
WW SURF B15 ELITE A,WA,26,26,24,0,0,0.9230769230769231,100,27,68,0.815,0,0.0,7,0.2692307692307692,2025-04-27,1.8591706323871677,26,0,3.8461538461538463,1.0384615384615385,3.6356480511716094,1.537862155398647,0.6331078893084033,0.7517199584401011,0.7712536341899687,0.7397177500636821,1.0,0.7397177500636821,72,Active,1
WW SURF B15 SNOHOMISH A,WA,30,32,27,2,0,0.9,138,37,97,0.9,0,0.0,1,0.03333333333333333,2025-10-04,1.5590218495366654,30,0,4.6,1.2333333333333334,4.25294825631144,1.6391398232514207,0.7412286801135394,0.7382984389451037,0.7335509531366683,0.7360359956937296,1.0,0.7360359956937296,81,Active,2
Steel United WA B15 Elite,WA,30,37,26,4,0,0.8666666666666667,116,47,69,0.88,0,0.0,4,0.13333333333333333,2025-10-05,1.2561635904155177,30,0,3.8666666666666667,1.5666666666666667,3.6740008878903874,1.9022977179882627,0.6403906209812292,0.7013078512007536,0.6928998177024752,0.6840795850578817,1.0,0.6840795850578817,275,Active,3
Cascade FC B15 Green,WA,19,19,12,4,0,0.631578947368421,77,53,16,0.5083333333333333,1,0.05263157894736842,3,0.15789473684210525,2025-08-10,1.584254716789279,19,1,4.052631578947368,2.789473684210526,3.7263716199938783,2.8995301216131106,0.650231125857691,0.5393551970538493,0.7409523713209496,0.6824886873748778,0.9746794344808963,0.6652076878501552,410,Active,4
Columbia Premier SC 15B Black 1,WA,17,17,12,3,0,0.7058823529411765,77,22,42,0.6833333333333333,0,0.0,13,0.7647058823529411,2025-08-24,1.403699112930791,17,0,4.529411764705882,1.2941176470588236,4.024481349593389,1.8914925313421593,0.7036620298874483,0.7028846768775479,0.7143514454936597,0.709920208649195,0.9219544457292888,0.6545140924771896,503,Active,5
BVBIA WA-EASTSIDE-B2015,WA,27,28,20,5,0,0.7407407407407407,143,43,82,0.7233333333333333,0,0.0,5,0.18518518518518517,2025-10-12,0.5380663346909415,27,0,5.296296296296297,1.5925925925925926,4.760343821138135,1.9510660938158282,0.8128941363554232,0.694131672471162,0.5833478665739132,0.6514138817096651,1.0,0.6514138817096651,529,Active,6
CPSC 2015B Black 2,WA,30,31,19,7,0,0.6333333333333333,95,33,54,0.6316666666666666,0,0.0,17,0.5666666666666667,2025-08-24,0.9128050076718968,30,0,3.1666666666666665,1.1,3.121369308943019,1.5338766653566838,0.5308010002218284,0.7522385853144583,0.6447351365962115,0.6434489990649843,1.0,0.6434489990649843,600,Active,7
B15 Red,WA,30,169,18,10,0,0.6,111,89,20,0.5916666666666666,0,0.0,7,0.23333333333333334,2025-10-12,1.0887930295880448,30,0,3.7,2.966666666666667,3.542421940521966,3.0075608758829997,0.6151556128550251,0.5205814024970146,0.6728265883528218,0.630843356082101,1.0,0.630843356082101,752,Active,8
TC United B2015 Navy,WA,21,21,17,2,0,0.8095238095238095,108,37,60,0.6666666666666666,0,0.0,5,0.23809523809523808,2025-10-11,0.3740627368615861,21,0,5.142857142857143,1.7619047619047619,4.538345991028784,2.1478383890880686,0.7835830910127376,0.6642329961953206,0.5550788335631566,0.6226105175795056,1.0,0.6226105175795056,857,Active,9
NCA Boys 2015 Navy,WA,30,32,17,13,0,0.5666666666666667,121,55,50,0.5733333333333334,1,0.03333333333333333,5,0.16666666666666666,2025-10-12,0.4556433436868343,30,1,4.033333333333333,1.8333333333333333,3.805579835258808,2.1128240337777364,0.66487238074069,0.6696595441205168,0.5695498151097956,0.6086362740381188,1.0,0.6086362740381188,1019,Active,10
WW SURF B15 BOTHELL A,WA,27,28,14,7,0,0.5185185185185185,120,68,23,0.5549999999999999,0,0.0,4,0.14814814814814814,2025-10-12,0.45001159779627786,27,0,4.444444444444445,2.5185185185185186,4.103200963995278,2.6653518081015424,0.7169585842706335,0.579601415626865,0.5740305734930665,0.6037303440753397,1.0,0.6037303440753397,1085,Active,11
HPFC Heat B2015 White,WA,27,29,23,2,0,0.8518518518518519,154,45,91,0.86,0,0.0,3,0.1111111111111111,2025-04-27,-0.11755185164087589,27,0,5.703703703703703,1.6666666666666667,5.074629535423849,2.0082089509586853,0.8490217166762326,0.6856019597365098,0.4720021909580636,0.5901260498573866,1.0,0.5901260498573866,1265,Active,12
Little Warriors B15/16 Attack,WA,25,26,14,5,0,0.56,100,54,39,0.48,0,0.0,11,0.44,2025-10-11,0.32641448269511825,25,0,4.0,2.16,3.7458192042374154,2.4026458570773936,0.6538535371622227,0.623500277245449,0.5511151077706528,0.586139827543926,1.0,0.586139827543926,1322,Active,13
WW SURF B15 ISSAQUAH/SAMMAMISH A,WA,22,22,13,7,0,0.5909090909090909,76,59,20,0.5,0,0.0,2,0.09090909090909091,2025-10-11,0.5833434627468378,22,0,3.4545454545454546,2.6818181818181817,3.3204011246611573,2.8095771094517996,0.5712030959120785,0.5549049236827184,0.5928891338559367,0.5809550842325214,1.0,0.5809550842325214,1394,Active,14
XL B15 Onyx,WA,26,27,9,15,0,0.34615384615384615,96,95,-7,0.30666666666666664,0,0.0,8,0.3076923076923077,2025-10-11,0.6842414986224371,26,0,3.6923076923076925,3.6538461538461537,3.51800099234808,3.5378621553986465,0.610398375995902,0.42858460104050844,0.6144033514769832,0.576438606293472,1.0,0.576438606293472,1460,Active,15
B15 Canchola,WA,24,26,15,3,0,0.625,83,38,37,0.5333333333333333,0,0.0,11,0.4583333333333333,2025-10-12,0.26014201834222,24,0,3.4583333333333335,1.5833333333333333,3.331626054369835,1.977728540111062,0.5734587407393539,0.6901678462194244,0.5395110490127883,0.5764319467994286,1.0,0.5764319467994286,1461,Active,16
Mukilteo FC B15 - Navy,WA,30,41,19,2,0,0.6333333333333333,103,44,55,0.6333333333333333,0,0.0,7,0.23333333333333334,2025-10-11,0.2108590064128523,30,0,3.433333333333333,1.4666666666666666,3.3318956247324927,1.82335034956721,0.5735128736209013,0.7127169651630355,0.531950875312402,0.5764164929442286,1.0,0.5764164929442286,1463,Active,17
HPFC Heat B2015 Blue,WA,22,22,12,5,0,0.5454545454545454,59,39,20,0.5,0,0.0,6,0.2727272727272727,2025-04-27,0.5421584443644792,22,0,2.6818181818181817,1.7727272727272727,2.7537344579944905,2.1429104427851327,0.45550282346072984,0.6649994013105953,0.585720561014337,0.5755327815628672,1.0,0.5755327815628672,1478,Active,18
NW United B15 Red,WA,17,17,8,5,0,0.47058823529411764,43,27,16,0.26666666666666666,1,0.058823529411764705,0,0.0,2025-08-02,1.0617900344952176,17,1,2.5294117647058822,1.588235294117647,2.664481349593389,2.0914925313421593,0.43739628040100914,0.6729436230259218,0.6672641456011488,0.6224264680460754,0.9219544457292888,0.5738488493546583,1498,Active,19
NCA Boys 2015 White,WA,22,22,12,6,0,0.5454545454545454,105,51,40,0.4333333333333333,0,0.0,3,0.13636363636363635,2025-10-12,-0.007803513706406223,22,0,4.7727272727272725,2.3181818181818183,4.287067791327824,2.542910442785133,0.7465651168412074,0.600264389955738,0.4927057613104729,0.5649893581456729,1.0,0.5649893581456729,1623,Active,20
HPFC Heat B2015 Purple,WA,30,35,13,11,0,0.43333333333333335,104,80,16,0.44333333333333336,0,0.0,3,0.1,2025-10-12,0.3683766360987219,30,0,3.466666666666667,2.6666666666666665,3.3582114142061767,2.7707187706198417,0.5787887215074169,0.5615908655460355,0.5609719543511413,0.5646590900213753,1.0,0.5646590900213753,1626,Active,21
Seattle Celtic B15 Green,WA,30,39,11,17,0,0.36666666666666664,78,99,-16,0.3633333333333333,0,0.0,15,0.5,2025-10-12,0.8154740202886385,30,0,2.6,3.3,2.6740008878903874,3.2707187706198417,0.4393204207163892,0.4747121712378085,0.6335376295464483,0.5629290961187086,1.0,0.5629290961187086,1670,Active,22
Wolves,WA,30,94,9,15,0,0.3,84,117,-28,0.305,11,0.36666666666666664,3,0.1,2025-10-05,0.8711549260337859,30,11,2.8,3.9,2.8318956247324927,3.7444029811461577,0.47145805075520514,0.3937120063313717,0.6433092174029421,0.5590195418590806,1.0,0.5590195418590806,1736,Active,23
Seattle Celtic B15 Black,WA,30,32,16,12,0,0.5333333333333333,100,76,22,0.5283333333333333,0,0.0,3,0.1,2025-10-04,0.2943316595711131,30,0,3.3333333333333335,2.533333333333333,3.25294825631144,2.665455612725105,0.5575892797717137,0.5795837678725685,0.546712369037363,0.5554620309512742,1.0,0.5554620309512742,1784,Active,24
3RSC B15 Dynamo,WA,16,18,12,2,0,0.75,90,37,47,0.4,6,0.375,5,0.3125,2025-06-29,0.46118413510800305,16,6,5.625,2.3125,4.7338347391597795,2.5953047201480826,0.8095614137337779,0.5914615046089757,0.5637952612417849,0.6184817404136216,0.8944271909999159,0.5531868857628947,1821,Active,25
WW SURF B15 BELLEVUE A,WA,30,34,11,19,0,0.36666666666666664,74,107,-33,0.3733333333333333,0,0.0,5,0.16666666666666666,2025-10-11,0.7954561482805382,30,0,2.466666666666667,3.566666666666667,2.56873772999565,3.4812450864093156,0.4181580082487915,0.43828491388491553,0.6324140012600504,0.5507369851827717,1.0,0.5507369851827717,1864,Active,26
WW SURF B15 EASTSIDE A,WA,23,25,11,8,0,0.4782608695652174,78,66,7,0.4291666666666666,0,0.0,6,0.2608695652173913,2025-04-27,0.286519423818443,23,0,3.391304347826087,2.869565217391304,3.2778075399946682,2.9447520414049673,0.56261775493266,0.531506941299402,0.5482748691522155,0.5477898607377416,1.0,0.5477898607377416,1916,Active,27
Liga Tlaxlti,WA,13,13,9,1,0,0.6923076923076923,59,12,43,0.34615384615384615,0,0.0,1,0.07692307692307693,2025-08-03,1.047074265554392,13,0,4.538461538461538,0.9230769230769231,3.933906368563558,1.775586346835904,0.6879252159371707,0.7194918140512199,0.6592872317602757,0.6770557450538435,0.806225774829855,0.5458597926590397,1950,Active,28
