Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Wolverines,WI,30,57,11,17,0,0.36666666666666664,92,97,-15,0.365,2,0.06666666666666667,8,0.26666666666666666,2025-10-12,1.1921468388848346,30,2,3.066666666666667,3.2333333333333334,3.042178959896094,3.2177575775307887,0.5146993910468464,0.48350881357623643,0.7082227088084841,0.624575266209707,1.0,0.624575266209707,659,Active,1
2015 Boys Select Blue,WI,18,18,12,4,0,0.6666666666666666,63,24,37,0.4833333333333333,0,0.0,2,0.1111111111111111,2025-10-05,0.8826232031726151,18,0,3.5,1.3333333333333333,3.330876941386599,1.895184151775768,0.5735097921285233,0.7025774318540756,0.6204024548403293,0.6274589177007173,0.9486832980505138,0.5952597954355223,993,Active,2
2015 Boys White,WI,30,316,9,18,0,0.3,55,82,-13,0.30166666666666664,0,0.0,1,0.03333333333333333,2025-10-12,1.0193846793501318,30,0,1.8333333333333333,2.7333333333333334,2.068494749369778,2.8230207354255255,0.3226192202944228,0.5523732181955605,0.6913643091776762,0.5898170732046024,1.0,0.5898170732046024,1067,Active,3
2015 Boys Premier 1,WI,13,13,4,4,0,0.3076923076923077,32,18,10,0.15384615384615385,0,0.0,2,0.15384615384615385,2025-10-05,2.232590493447434,13,0,2.4615384615384617,1.3846153846153846,2.6477524036215034,2.0607041879128554,0.4340151339192103,0.6778184091493427,0.8138312844044363,0.7106654792563724,0.806225774829855,0.5729568266582991,1326,Active,4
2015 Boys Premier 2,WI,16,16,6,10,0,0.375,24,40,-16,0.2,0,0.0,4,0.25,2025-10-05,1.696498015751461,16,0,1.5,2.5,1.983450019835482,2.719782831090415,0.3075314074257367,0.5701625031353357,0.7688812126987608,0.6368675097314709,0.8944271909999159,0.5696316177682311,1371,Active,5
LKF 2015B CHARACTER,WI,13,13,7,4,0,0.5384615384615384,30,23,7,0.2692307692307692,0,0.0,3,0.23076923076923078,2025-10-05,1.6208393565449322,13,0,2.3076923076923075,1.7692307692307692,2.552514308383408,2.2987994260080935,0.41488819163071716,0.640407997438063,0.7427252910445141,0.6566944124404646,0.806225774829855,0.52944396149625,2043,Active,6
PPSC U11 Boys,WI,8,8,6,2,0,0.75,30,20,10,0.375,0,0.0,1,0.125,2025-09-21,10.807554625987661,8,0,3.75,2.5,3.350175029753223,2.829674246635623,0.5773862307225422,0.5512216126422029,0.9992396641557917,0.825265367166424,0.6324555320336759,0.5219436468602076,2173,Active,7
U11 Regent Royals,WI,8,8,6,2,0,0.75,30,22,8,0.375,0,0.0,0,0.0,2025-10-17,13.725806542263319,8,0,3.75,2.75,3.350175029753223,2.954674246635623,0.5773862307225422,0.5294976258191828,0.9998896626154751,0.82131056887763,0.6324555320336759,0.5194424128043825,2211,Active,8
Sugar River Thunder Cats,WI,8,8,4,4,0,0.5,34,30,4,0.25,0,0.0,0,0.0,2025-10-17,13.414704626085815,8,0,4.25,3.75,3.600175029753223,3.454674246635623,0.6265877660192735,0.44230992824879956,0.9998682326977174,0.813700478472245,0.6324555320336759,0.5146293690282203,2300,Active,9
2015 Boys Blue,WI,30,482,10,16,0,0.3333333333333333,65,105,-26,0.33166666666666667,0,0.0,3,0.1,2025-10-12,0.30605461118615684,30,0,2.1666666666666665,3.5,2.33165264410662,3.428283893320262,0.3715929452638905,0.4468704493327542,0.5820577209528528,0.5129273114910406,1.0,0.5129273114910406,2327,Active,10
2015 Boys Select White,WI,30,32,15,15,0,0.5,78,89,-9,0.4966666666666666,0,0.0,8,0.26666666666666666,2025-10-10,0.1542868742100327,30,0,2.6,2.966666666666667,2.673757907264515,3.007231261741315,0.4392747693908435,0.5203253309127303,0.531130231062122,0.510598158697988,1.0,0.510598158697988,2364,Active,11
2015 Boys Black,WI,30,315,11,19,0,0.36666666666666664,50,103,-42,0.36,0,0.0,9,0.3,2025-10-12,0.1310184412050812,30,0,1.6666666666666667,3.433333333333333,1.936915802001357,3.375652314372894,0.2994440428919977,0.45599172273063404,0.5422733648952811,0.476451172061695,1.0,0.476451172061695,3035,Active,12
Lake Country FC 11UB Blue,WI,8,8,2,2,0,0.25,6,6,0,0.125,0,0.0,1,0.125,2025-10-05,2.451192352244753,8,0,0.75,0.75,1.8501750297532233,1.9546742466356228,0.2847000028126244,0.6938048598527307,0.8376562941936525,0.6982947490492626,0.6324555320336759,0.44164037702627357,3776,Active,13
LKF 2015B (Community),WI,12,12,0,12,0,0.0,12,78,-58,0.0,0,0.0,2,0.16666666666666666,2025-10-05,1.6682461275025329,12,0,1.0,6.5,1.7801400238025784,5.163739397308499,0.27312009095437306,0.19343148564119883,0.7856957184352567,0.5647277463802683,0.7745966692414834,0.43743623137440507,3862,Active,14
