Team,State,Games_Played,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Win_Pct_Norm,Goal_Diff_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
WVFC 2015 Boys - Red,WV,30,12,12,0,0.4,49,35,14,0.4,0,0.0,17,0.5666666666666667,2025-10-11,0.48451251646903815,30,0,0.4,0.6226053639846744,0.6056406455862976,0.5679054601487135,1.224744871391589,0.6955392997524172,922,Active,1
RVSC Sting,WV,29,20,4,0,0.6896551724137931,119,51,68,0.7,0,0.0,14,0.4827586206896552,2025-09-28,0.3918374728719556,29,0,0.6896551724137931,0.7260536398467433,0.4897968410899445,0.577019867106074,1.2041594578792296,0.6948239303599952,932,Active,2
FC Alliance South 2015B Gold,WV,30,15,11,0,0.5,97,75,22,0.53,3,0.1,19,0.6333333333333333,2025-09-21,0.42873737373737375,30,3,0.5,0.6379310344827587,0.5359217171717171,0.549139237199582,1.224744871391589,0.6725554644400773,1284,Active,3
FC Alliance 2015B,WV,25,9,16,0,0.36,120,92,28,0.3,1,0.04,11,0.44,2025-04-12,0.5248421052631579,25,1,0.36,0.6494252873563219,0.6560526315789473,0.5955166364186328,1.118033988749895,0.665807840382045,1399,Inactive,4
MUSC 2015 Boys,WV,21,12,9,0,0.5714285714285714,73,44,29,0.52,0,0.0,14,0.6666666666666666,2025-09-21,0.5021152793566587,21,0,0.5714285714285714,0.6513409961685823,0.6276440991958233,0.6211403730369247,1.02469507659596,0.6364794821259147,1924,Active,5
WVFC 2015 Boys - Gray,WV,30,14,16,0,0.4666666666666667,97,79,18,0.5,3,0.1,14,0.4666666666666667,2025-10-12,0.36310939112487095,30,3,0.4666666666666667,0.6302681992337165,0.45388673890608866,0.49171901652372985,1.224744871391589,0.6022303436531541,2611,Active,6
WVFC 2015 Boys - Black,WV,30,8,17,0,0.26666666666666666,82,98,-16,0.27,6,0.2,18,0.6,2025-10-12,0.432061191626409,30,6,0.26666666666666666,0.5651340996168582,0.5400764895330112,0.49040604697651174,1.224744871391589,0.6006222909339054,2646,Active,7
FC Alliance Central 2015B Gold,WV,30,8,19,0,0.26666666666666666,52,114,-62,0.24000000000000002,3,0.1,15,0.5,2025-09-21,0.35975079894578965,30,3,0.26666666666666666,0.47701149425287354,0.44968849868223704,0.4185487313932503,1.224744871391589,0.512615412201339,4017,Active,8
EPIC SC 2015B Ambush Black,WV,14,12,2,0,0.8571428571428571,58,20,38,0.5142857142857142,0,0.0,7,0.5,2025-10-12,0.401058201058201,14,0,0.8571428571428571,0.6685823754789272,0.5013227513227512,0.6059386973180075,0.8366600265340756,0.5069646865761074,4093,Active,9
WVFC 2015 Boys - White,WV,18,6,12,0,0.3333333333333333,59,65,-6,0.42,0,0.0,6,0.3333333333333333,2025-09-14,0.43294207741576163,18,0,0.3333333333333333,0.5842911877394636,0.541177596769702,0.5082314622763806,0.9486832980505138,0.48215069980539205,4422,Active,10
FCR 2015 Boys,WV,13,7,4,0,0.5384615384615384,70,41,29,0.32307692307692304,0,0.0,5,0.38461538461538464,2025-04-06,0.41379310344827586,13,0,0.5384615384615384,0.6513409961685823,0.5172413793103448,0.5483053345122311,0.806225774829855,0.44205789316046634,4874,Inactive,11
SHSA Patriots,WV,10,10,0,0,1.0,78,4,74,0.6,0,0.0,6,0.6,2025-05-18,0.3166666666666667,10,0,1.0,0.7375478927203065,0.39583333333333337,0.5850095785440613,0.7071067811865476,0.41366424004759,5190,Active,12
SOS 2015-2016 Boys,WV,19,4,14,0,0.21052631578947367,38,152,-114,0.16,0,0.0,4,0.21052631578947367,2025-09-14,0.3984210526315789,19,0,0.21052631578947367,0.3773946360153257,0.4980263157894736,0.41639997983464405,0.9746794344808963,0.4058564968630875,5273,Active,13
MUSC 2015 (2) Boys,WV,11,8,3,0,0.7272727272727273,35,24,11,0.43636363636363634,0,0.0,6,0.5454545454545454,2025-08-31,0.2984339190221543,11,0,0.7272727272727273,0.6168582375478927,0.3730423987776929,0.49265163223073977,0.7416198487095663,0.3653602289614821,5677,Active,14
