Rank,Team,PowerScore,Off_norm,Def_norm,GamesPlayed
1,Arizona Soccer Club 2015 Boys Black,0.93,1.0,0.17500000000000004,30
2,State 48 FC 2015 Boys,0.853,0.7555555555555555,0.0,30
3,Madison FC 2015 Boys White,0.807,0.8444444444444444,0.24999999999999994,30
4,AZ Inferno 2015 Boys,0.797,0.7111111111111109,0.07500000000000007,30
5,SC Union Maricopa Academy 2015 Boys Black,0.777,0.6444444444444445,0.02499999999999991,30
6,FC Arizona 2015 Boys Blue,0.777,0.8444444444444444,0.325,30
7,Phoenix Premier FC 2015 Boys Black,0.75,0.7333333333333334,0.22500000000000003,30
8,RSL-AZ Yuma 2015 Boys Black,0.733,0.6888888888888888,0.19999999999999996,30
9,RSL-AZ North 2015 Boys Blue,0.733,0.7555555555555555,0.29999999999999993,30
10,Arizona Soccer Club 2015 Boys Blue,0.733,0.6888888888888888,0.19999999999999996,30
11,Excel Soccer Academy 2015 Boys Blue,0.727,0.6444444444444445,0.14999999999999997,30
12,FC Arizona 2015 Boys Black,0.723,0.7555555555555555,0.325,30
13,AYSO 350 Alliance 2015 Boys White,0.72,0.7999999999999998,0.3999999999999999,30
14,Spartans FC (AZ) 2015 Boys Red,0.717,0.6444444444444445,0.17500000000000004,30
15,RSL-AZ North 2015 Boys White,0.713,0.7555555555555555,0.3499999999999999,30
16,CCV STARS 2015 Boys Red,0.703,0.7555555555555555,0.375,30
17,Epic Soccer Club 2015 Boys Blue,0.7,0.6,0.14999999999999997,30
18,Synergy FC AZ 2015 Boys White,0.693,0.6888888888888888,0.29999999999999993,30
19,RSL-AZ Yuma 2015 Boys White,0.69,0.8666666666666666,0.5750000000000002,30
20,AYSO United (AZ) 2015 Boys Black,0.677,0.7777777777777777,0.47500000000000014,30
21,RSL-AZ North 2015 Boys Black,0.677,0.7111111111111109,0.375,30
22,FC Tucson Youth Soccer 2015 Boys Blue,0.673,0.5555555555555557,0.14999999999999997,30
23,Spartans FC (AZ) 2015 Boys White,0.67,0.7333333333333334,0.425,30
24,FC Tucson Youth Soccer 2015 Boys White,0.66,0.7333333333333334,0.4499999999999999,30
25,FC Sonora 2015 Boys White,0.66,0.7999999999999998,0.5499999999999999,30
26,Arizona Soccer Club 2015 Boys Red,0.653,0.8222222222222223,0.6000000000000001,30
27,Canyon Del Oro Soccer Club 2015 Boys Black,0.64,0.4666666666666666,0.09999999999999998,30
28,FC Deportivo Arizona 2015 Boys Blue,0.637,0.7111111111111109,0.47500000000000014,30
29,FC Arizona 2015 Boys White,0.633,0.8222222222222223,0.6499999999999999,30
30,Vail SC 2015 Boys White,0.633,0.6222222222222221,0.3499999999999999,30
31,La Academia FC 2015 Boys Blue,0.63,0.7999999999999998,0.625,30
32,SC Union Maricopa Academy 2015 Boys Red,0.63,0.3999999999999999,0.02499999999999991,30
33,Amore Soccer 2015 Boys,0.627,0.6444444444444445,0.3999999999999999,30
34,Phoenix Rush 2015 Boys Blue,0.623,0.6888888888888888,0.47500000000000014,30
35,RSL-AZ Yuma 2015 Boys Blue,0.62,0.6666666666666666,0.4499999999999999,30
36,Phoenix Rising FC 2015 Boys Blue,0.617,0.7111111111111109,0.525,30
37,Scottsdale City FC 2015 Boys White,0.617,0.7777777777777777,0.625,30
38,Paladin Soccer Club 2015 Boys Blue,0.613,0.6222222222222221,0.3999999999999999,30
39,La Academia FC 2015 Boys White,0.613,0.6222222222222221,0.3999999999999999,30
40,FC Elite Arizona 2015 Boys Blue,0.613,0.6222222222222221,0.3999999999999999,30
41,AYSO United (AZ) 2015 Boys Blue,0.613,0.5555555555555557,0.29999999999999993,30
42,Real Arizona FC 2015 Boys White,0.61,0.6,0.375,30
43,Sun Warriors AZFC 2015 Boys White,0.61,0.6,0.375,30
44,Spartans FC (AZ) 2015 Boys Blue,0.6,0.5333333333333332,0.29999999999999993,30
45,Playmaker Futbol Academy 2015 Boys,0.6,0.7333333333333334,0.6000000000000001,30
46,United Latinos SC 2015 Boys Red,0.597,0.5777777777777778,0.375,30
47,AYSO United (AZ) 2015 Boys Red,0.597,0.6444444444444445,0.47500000000000014,30
48,Phoenix Premier FC 2015 Boys White,0.59,0.5333333333333332,0.325,30
49,Renegades Soccer Club 2015 Boys,0.59,0.4666666666666666,0.22500000000000003,30
50,Phoenix Premier FC 2015 Boys Red,0.587,0.6444444444444445,0.5000000000000001,30
51,FBSL 2015 Boys White,0.587,0.5111111111111111,0.29999999999999993,30
52,Synergy FC AZ 2015 Boys Red,0.577,0.5111111111111111,0.325,30
53,Scottsdale City FC 2015 Boys Blue,0.577,0.5111111111111111,0.325,30
54,Phoenix Rising FC 2015 Boys Red,0.573,0.4222222222222222,0.19999999999999996,30
55,FC Arizona 2015 Boys Red,0.57,0.6,0.47500000000000014,30
56,Phoenix United Futbol Club 2015 Boys,0.57,0.4666666666666666,0.275,30
57,Real Arizona FC 2015 Boys Blue,0.56,0.6,0.5000000000000001,30
58,Canyon Del Oro Soccer Club 2015 Boys White,0.557,0.5777777777777778,0.47500000000000014,30
59,Brazas Futebol Club 2015 Boys,0.553,0.2888888888888889,0.04999999999999999,30
60,Real Arizona FC 2015 Boys Red,0.553,0.4222222222222222,0.24999999999999994,30
61,FC Elite Arizona 2015 Boys White,0.55,0.4666666666666666,0.325,30
62,Canyon Del Oro Soccer Club 2015 Boys Blue,0.543,0.5555555555555557,0.47500000000000014,30
63,CCV STARS 2015 Boys Blue,0.543,0.48888888888888876,0.375,30
64,RSL-AZ Yuma 2015 Boys Red,0.537,0.37777777777777777,0.22500000000000003,30
65,FC Deportivo Arizona 2015 Boys White,0.533,0.4222222222222222,0.29999999999999993,30
66,Phoenix Rush 2015 Boys White,0.533,0.48888888888888876,0.3999999999999999,30
67,RSL-AZ West Valley 2015 Boys White,0.533,0.4222222222222222,0.29999999999999993,30
68,FC Sonora 2015 Boys Blue,0.53,0.4666666666666666,0.375,30
69,Phoenix Rising FC 2015 Boys White,0.53,0.6,0.5750000000000002,30
70,Pima County Surf Soccer Club 2015 Boys,0.527,0.5111111111111111,0.4499999999999999,30
71,RSL-AZ West Valley 2015 Boys Blue,0.527,0.44444444444444436,0.3499999999999999,30
72,Bala FC 2015 Boys White,0.523,0.5555555555555557,0.525,30
73,FC Sonora 2015 Boys Red,0.517,0.5111111111111111,0.47500000000000014,30
74,Arizona Soccer Club 2015 Boys White,0.517,0.31111111111111106,0.17500000000000004,30
75,AZ Arsenal Soccer Club 2015 Boys Blue,0.513,0.6222222222222221,0.6499999999999999,30
76,Paris Saint-Germain Academy Phoenix 2015 Boys White,0.513,0.48888888888888876,0.4499999999999999,30
77,AYSO United (AZ) 2015 Boys White,0.513,0.5555555555555557,0.5499999999999999,30
78,Spartak Academy 2015 Boys White,0.51,0.4666666666666666,0.425,30
79,FBSL 2015 Boys Red,0.51,0.5333333333333332,0.525,30
80,North Scottsdale Soccer Club 2015 Boys,0.507,0.5111111111111111,0.5000000000000001,30
81,SC Union Maricopa Academy 2015 Boys Blue,0.5,0.5333333333333332,0.5499999999999999,30
82,Arizona Soccer Academy 2015 Boys,0.497,0.5111111111111111,0.525,30
83,Madison FC 2015 Boys Blue,0.49,0.4666666666666666,0.47500000000000014,30
84,Scottsdale City FC 2015 Boys Red,0.49,0.4666666666666666,0.47500000000000014,30
85,United Latinos SC 2015 Boys Black,0.487,0.44444444444444436,0.4499999999999999,30
86,Paladin Soccer Club 2015 Boys Red,0.487,0.31111111111111106,0.24999999999999994,30
87,AZ Arsenal Soccer Club 2015 Boys White,0.483,0.35555555555555546,0.325,30
88,RSL-AZ South 2015 Boys Red,0.483,0.48888888888888876,0.525,30
89,SC Union Maricopa Academy 2015 Boys White,0.48,0.3333333333333333,0.29999999999999993,30
90,FC Elite Arizona 2015 Boys Red,0.48,0.5333333333333332,0.6000000000000001,30
91,United Latinos SC 2015 Boys Blue,0.48,0.5333333333333332,0.6000000000000001,30
92,FC Elite Arizona 2015 Boys Black,0.467,0.44444444444444436,0.5000000000000001,30
93,La Academia FC 2015 Boys Red,0.463,0.6222222222222221,0.7750000000000001,30
94,AZ Arsenal Soccer Club 2015 Boys Black,0.46,0.5333333333333332,0.6499999999999999,30
95,Sun Warriors AZFC 2015 Boys Red,0.457,0.37777777777777777,0.425,30
96,Dynamos SC 2015 Boys Red,0.457,0.5111111111111111,0.625,30
97,La Academia FC 2015 Boys Black,0.453,0.22222222222222218,0.19999999999999996,30
