Rank,Team,Club,Team_ID,State,Gender,Age_Group,Games Played,Wins,Losses,Ties,Goals For,Goals Against,Goal Differential,Goals For/Game,Goals Against/Game,Offense Score,Adj Defense Score,SOS,Raw Power,Power Score,Opponents_Count
1,FC Elite Arizona 2014 Boys - Martinez,FC Elite Arizona,631446,AZ,M,U12,6,6,0,0,43,3,40,5.016666666666667,0.3499999999999999,5.016666666666667,0.6500000000000001,1.4593265993265991,2.48983164983165,1.8673737373737374,6
2,PFC Danger B2014 Blue,Paris United FC,638992,AZ,M,U12,1,1,0,0,6,0,6,4.199999999999999,0.0,4.199999999999999,1.0,1.506122448979592,2.326530612244898,1.7448979591836733,1
3,2014 Elite,Phoenix United Futbol Club,579284,AZ,M,U12,10,8,1,1,50,11,39,3.5,0.7699999999999999,3.5,0.2300000000000001,1.388982057923217,1.7459955144808041,1.5713959630327237,10
4,2014 Tuzos Academy FV,FBSL,308708,AZ,M,U12,16,12,3,1,93,21,72,3.1187500000000004,0.8687499999999999,3.1187500000000004,0.1312500000000001,1.247036703475083,1.530509175868771,1.377458258281894,16
5,Monsters 2014,United Latinos SC,380328,AZ,M,U12,12,8,3,1,62,42,20,3.483333333333333,1.7833333333333332,3.483333333333333,-0.7833333333333332,1.0510504772807938,1.2752626193201984,1.1477363573881785,12
6,Scottsdale 14 Sandsharks Select,North Scottsdale Soccer Club,152739,AZ,M,U12,59,45,7,7,223,34,189,1.350847457627119,0.23389830508474577,1.350847457627119,0.7661016949152543,1.2006328113552922,1.094014135042213,1.094014135042213,59
7,Phoenix Premier FC 14B X-Factor,Phoenix Premier FC,250009,AZ,M,U12,23,17,4,2,106,37,69,1.9565217391304348,0.6913043478260869,1.9565217391304348,0.30869565217391315,0.9374870461410284,1.0838282832743877,1.0838282832743877,23
8,FC Deportivo AZ 2014B (Gallegos),FC Deportivo Arizona,523920,AZ,M,U12,18,11,3,4,86,46,40,2.5444444444444443,1.2111111111111112,2.5444444444444443,-0.21111111111111125,1.2309875288318386,1.1827468822079594,1.0644721939871635,18
9,14 Pre-MLSN #2,FC Tucson Youth Soccer,499128,AZ,M,U12,29,16,11,2,111,59,52,1.8241379310344827,0.803448275862069,1.8241379310344827,0.19655172413793098,1.1979302605309228,1.0572411858223858,1.0572411858223858,29
10,AZ Thundercats 2014,FBSL,434312,AZ,M,U12,2,2,0,0,6,1,5,2.0999999999999996,0.35,2.0999999999999996,0.65,1.494927536231884,1.404981884057971,1.0537364130434783,2
11,SFC XOLOS ARIZONA 2014,Spartans FC (AZ),584054,AZ,M,U12,11,8,2,1,43,26,17,2.518181818181818,1.5818181818181818,2.518181818181818,-0.5818181818181818,1.6675292278525402,1.1430186705994987,1.0287168035395489,11
12,AZ Arsenal Pre-ECNL B14,Arizona Arsenal Soccer Club,130653,AZ,M,U12,69,45,21,3,272,141,131,1.5710144927536234,0.682608695652174,1.5710144927536234,0.31739130434782603,1.23877099608478,1.0178449229342386,1.0178449229342386,69
13,2014B West,Phoenix United Futbol Club,499398,AZ,M,U12,69,49,15,5,296,137,159,1.4956521739130437,0.7057971014492754,1.4956521739130437,0.29420289855072457,1.286737636354059,0.9928800612624278,0.9928800612624278,69
14,14B NL #1,FC Tucson Youth Soccer,515148,AZ,M,U12,12,8,4,0,40,19,21,2.1,0.9416666666666665,2.1,0.05833333333333346,1.1663406423823093,1.1009601605955774,0.9908641445360197,12
15,Real Arizona 2014,Real Arizona FC,170375,AZ,M,U12,36,23,9,4,161,82,79,1.7305555555555556,0.9500000000000001,1.7305555555555556,0.04999999999999993,1.2735111994285186,0.9860861331904629,0.9860861331904629,36
16,AZEV B2014 (WHITE),AYSO United (AZ),368573,AZ,M,U12,35,22,8,5,140,87,53,1.7714285714285714,0.9971428571428573,1.7714285714285714,0.0028571428571426694,1.267940175024532,0.9823421866132758,0.9823421866132758,35
17,AZSC 2014B Pre-NL Premier 2,Arizona Soccer Club,79991,AZ,M,U12,27,19,5,3,89,32,57,1.3888888888888888,0.5481481481481482,1.3888888888888888,0.45185185185185184,1.1459744327673431,0.9767713859696135,0.9767713859696135,27
