Team,ComponentID,ComponentSize,Degree
La Academia 14B,0,330,19
LAFC 14 BOYS,0,330,19
Madison FC 2015 Boys Gold,0,330,8
AZ Arsenal 14 Boys Teal 2 PJ,0,330,20
AZ Inferno 14 Boys Black,0,330,47
CCV Stars 14 Boys North Pre-ECNL,0,330,19
Legends FC AZ 14B Gold,0,330,24
Excel Soccer Academy 14 Red,0,330,22
Southeast 2015 Boys Red,0,330,7
Rey Del Castillo FC Black,0,330,1
PRFC Scottsdale 15B Pre-Academy,0,330,1
Phoenix Premier FC 15B Black,0,330,2
AZSC 2014/2015B Navy,0,330,6
PRFC SEV 13B NL Premier 2 AZ,0,330,1
Phoenix Premier FC 13B Black,0,330,1
Tuzos Academy Mesa 2014,0,330,46
AZSC 15B White,0,330,11
East Valley NSFC 14 Boys Aguirre,0,330,44
City SC Central Valley AV-B2014,0,330,1
Los Alamos Soccer League,0,330,1
AZSC 15B Gold,0,330,2
Platinum IE B14 Yanez 1037,0,330,1
13 Boys Navy,0,330,4
Southeast 2014 Boys Blue,0,330,29
Legends FC AZ 14B FC,0,330,24
Schneider Futsal Academy 2015,0,330,2
America 14b,0,330,10
CITY SC SW B14 White MV II,0,330,1
West Valley 2014 Boys Acosta Pre-Premier,0,330,2
REAL AZ,0,330,3
U-12 (2014) Boys Pre Academy Orange,0,330,3
Rey Del Castillo FC 2014/15,0,330,1
SFC XOLOS ARIZONA 2014,0,330,11
RSL-AZ Yuma 14 Boys Quinonez,0,330,21
AZEV B2014 (WHITE),0,330,35
PRFC North Valley 15B Copa,0,330,5
Legends FC AZ 14B Black,0,330,37
PRFC North Valley 13B Predator,0,330,5
Brazas 2014 Boys Black Marcos,0,330,29
Desert Communities Soccer Club,0,330,1
14B NL #2,0,330,11
SCUM East Valley 14B Ninjas,0,330,5
Phoenix United 2015 Academy,0,330,28
Phoenix United 2015 Elite,0,330,16
State 48 FC Casa Grande 14/15 Black,0,330,2
Galacticos FC Sonora,0,330,1
B2014 Academy,0,330,2
PRFC Southeast Valley 14B Predator-Central,0,330,38
CCV Stars 14 Boys South Pre-ECNL,0,330,30
Pima Surf 2014 B,0,330,4
ALBION SC San Diego B14 Academy III,0,330,1
B2014,0,330,4
AZ Arsenal 13 Boys Flagstaff,0,330,4
Select 14B,0,330,25
2014 Boys Yellow,0,330,34
PRFC Scottsdale 14B Pre-Academy,0,330,40
Havasu Lions FC 14B Castillo,0,330,3
Playmaker Futbol Academy 14B Black,0,330,56
15B NMarkette,0,330,26
Sun Warriors 13/14 Boys,0,330,5
Dallas Texans Pre ECNL B14 Salazar,0,330,1
PSG 13B Blue E64RL,0,330,1
Playmaker Futbol Academy 14B White,0,330,22
Pima Surf 2014 B White,0,330,4
AZ Inferno 14 Boys Blue,0,330,7
14B Hermanson,0,330,2
Verde Valley United FC,0,330,17
AZ Arsenal 14 Boys AYDP,0,330,21
14B Laroussi,0,330,15
AZSC 2015B White,0,330,2
Carlsbad B14 White - C. Oliveira,0,330,1
PSC 2014/15B,0,330,6
Playmaker Futbol Academy PRE-ECNL B14,0,330,27
Juventus,0,330,7
Milan,0,330,23
Synergy FC 14 B,0,330,33
PRFC Southeast Valley 13B Predator,0,330,2
State 48 FC Avondale 14 White,0,330,6
Tuzos Academy 2013,0,330,1
PRFC Scottsdale 14B Predator,0,330,38
CDO 14B Elite,0,330,14
BRAZAS FC 2014 Boys Gold,0,330,3
Playmaker Futbol Academy 13B Black,0,330,4
CCV STARS 14 Boys Navy PEO,0,330,24
13B Flores,0,330,4
14B Flores,0,330,20
CCV Stars 14 Boys West Pre-ECNL,0,330,24
Jedi 14B,0,330,3
PSG 15B Blue,0,330,5
AZ Arsenal 14 Boys Select,0,330,22
AZSC 2015B Navy,0,330,2
South County Fury B2014,0,330,1
PRFC Desert Foothills 14B Predator,0,330,28
14B Jimmy,0,330,22
Southeast 2013 Boys Blue,0,330,1
FC Deportivo AZ 2014B (Gallegos),0,330,22
PRFC North Valley 14B PreAcademy,0,330,32
Playmaker Futbol Academy North 14B,0,330,3
EV-NSFC 15 Boys Perez(1),0,330,1
Madison FC 14 White Boys,0,330,6
14B GSA,0,330,32
AZVV B2014 (NAVY),0,330,5
FC Elite Arizona 2014 Boys - Martinez,0,330,9
Las Vegas Sports Academy U11 Boys Black 2014,0,330,2
Tuzos USA 2013,0,330,1
Next Level Soccer Southeast 2014 Boys Green,0,330,18
PRFC Desert Foothills 14B Pre-Academy,0,330,37
14 ECNL #1,0,330,25
South County B2013,0,330,1
Las Vegas Elite FC B14 Gold,0,330,2
PSC 2014B,0,330,6
FC Elite Arizona 2014 Boys (ARCHIVED),0,330,39
VSC 2014 Boys Green,0,330,20
AYSO United 15BlueB,0,330,1
Phoenix Premier FC 14B White,0,330,25
Tuzos Royals 2014,0,330,52
PRFC WV 13B NL Premier 2 AZ,0,330,1
15 Pre-MLS Next Tier #1,0,330,1
FDI 2015,0,330,1
AZ Arsenal 14 Boys Teal SC,0,330,36
Hustle Hard 2014- Boys,0,330,26
Scottsdale 14 Sandsharks Black,0,330,19
Tuzos Nogales 2014,0,330,3
2014 Elite,0,330,13
BRAZAS FC 2014 Boys Black,0,330,5
Havasu Lions 13B Moran,0,330,1
PRFC Southeast Valley 14B Copa,0,330,2
CCV Stars 14 Boys West Orange,0,330,19
AZ Arsenal 14 Boys Teal CB,0,330,30
Amore 2013 Boys,0,330,3
B13 Velazquez,0,330,1
AZSC 13B Vargas Pre-E64RL,0,330,1
PRFC Scottsdale 14B Copa,0,330,36
AZ Arsenal 14 Boys Flagstaff,0,330,1
14 Boys Navy,0,330,32
PRFC West Valley 14B Predator,0,330,33
AZ Arsenal 15 Boys Teal 1 JZ,0,330,22
CDO 13B Elite,0,330,3
15B Oscar,0,330,3
City SC B14 Premier - O'Mahoney,0,330,1
Phoenix United FC 2014 Premier,0,330,18
AZ Arsenal 14 Boys Teal MC,0,330,20
Madison FC 14 Gold Boys,0,330,38
East Valley NSFC 14 Boys Tiggs,0,330,27
Tuzos Halcones 2014,0,330,34
B-14 Hugo,0,330,1
Monsters 2014,0,330,10
Catalyst 14 N,0,330,1
Bala FC - 2014B,0,330,3
AZSC 2014B Pre-NL Premier 2,0,330,32
Next Level Soccer Southeast 2015 Boys Blue,0,330,15
Phoenix Premier FC 14B Pre MLS AD,0,330,3
CITY SC SW B14 Premier MUR,0,330,2
15B AChacon Pre-MLS Next,0,330,4
Rey Del Castillo FC Gold,0,330,2
Madison FC 14 Gold Boys Storm,0,330,25
Madison FC 14 Blue Boys,0,330,36
Las Vegas Sports Academy U12 Boys Pre MLS Next 2014,0,330,3
14 Pre-MLSN #1,0,330,26
14B Bratcher,0,330,18
Tuzos Titanes 2014,0,330,22
CCV Stars 14 Boys North Orange,0,330,27
Santos 15B,0,330,8
AZ Arsenal 13 Boys Teal 1,0,330,2
CCV Stars 14 Boys South Orange,0,330,31
CDO 14B Premier,0,330,21
2014 Rush Boys,0,330,34
Real Arizona 2014,0,330,32
B2014 Premier,0,330,1
Milan B,0,330,3
PRFC North Valley 14B Predator,0,330,40
U-12 (2014) Boys Yuma Pre Academy,0,330,17
State 48 FC 14 White,0,330,22
14B Engilman,0,330,32
CCV STARS 14 Boys White PEO,0,330,22
Excel Soccer Academy 14B Black,0,330,16
Kingman SC B14 McGill,0,330,19
14B Velasco,0,330,28
FSC United 14 Boys,0,330,38
AZ Arsenal 14 Boys Teal CJB,0,330,2
U-12 (2014) Boys Pre Academy Blue,0,330,30
Phoenix United 2014B West,0,330,13
Peak FC - U9/U10/U11,0,330,1
FC Elite Arizona 2014 Boys - Urbina,0,330,10
FC Tucson Youth 13B NL,0,330,2
Scottsdale 14 Sandsharks Select,0,330,24
PRFC North Valley 13B PreAcademy,0,330,3
Scottsdale 13 Sandsharks Select,0,330,3
State 48 FC Avondale 14 Black,0,330,27
ESC - Boys Chandler 15/16,0,330,4
14 Cityzens,0,330,51
South County B2013 White,0,330,1
Phoenix Premier FC 14B CG,0,330,19
14B JCFresquez Pre-MLS Next,0,330,18
14B Rayados Blue AL,0,330,14
Select 14B Red,0,330,26
Phoenix United 14 Elite,0,330,7
Scottsdale 14 Sandsharks,0,330,22
14B Blue #1,0,330,12
14B Felix Nogales,0,330,14
14B Velasco Pre-MLS Next,0,330,16
U-11 (2014) Boys Pre Academy,0,330,24
Next Level Soccer Southeast 2014 Boys Red,0,330,24
FC Sonora 14' B Dynamo,0,330,11
Spartak Academy 2014 Boys,0,330,3
NOS Santos 14 Boys Blue,0,330,30
Northwest 2013 Boys Black,0,330,1
14B Moyer,0,330,26
14B Hermanson AL,0,330,30
Phoenix Premier FC 14B Black,0,330,37
Phoenix Premier FC 14B SW White,0,330,2
AZ Arsenal Pre-ECNL B15,0,330,32
Next Level Soccer Northwest 2015 Boys Red,0,330,7
Dynamos SC 14B Gold,0,330,33
B2014 Blue,0,330,1
FC ARIZONA PRE ECNL RL B14,0,330,4
XOLOS ARIZONA 2014B,0,330,7
Phoenix Premier FC 14B Pre MLS Next AD,0,330,5
AZEV B2014 (NAVY),0,330,38
South County B2013 Blue,0,330,1
Southeast 2014 Boys Red,0,330,32
VSC 2014 Boys White,0,330,15
Cachimbas FC 2014,0,330,1
Phoenix Premier FC 14B SW Black,0,330,26
El Paso Football Club U11 BLUE,0,330,4
Amore 2014 Boys,0,330,44
CCV Stars 14 Boys East Pre-ECNL,0,330,21
"ARCOS FC , CHALLENGERS",0,330,1
AZ Arsenal 14 Boys Teal 2 SC,0,330,32
JUSA Select Oftellie B14,0,330,1
CITY SC SW B14 White LE Rea,0,330,1
U-13 (2013) Boys Yuma Academy,0,330,2
Las Vegas Sports Academy U12 Boys Black 2014,0,330,4
14B Antunez Pre-MLS Next,0,330,24
State 48 FC Avondale 13 Copper,0,330,3
Next Level Soccer Northwest 2014 Boys,0,330,33
14B Rayados Blue,0,330,3
B14 EA,0,330,1
Rebels FC 2014,0,330,2
RENO PUMITAS,0,330,1
CAC 14/15B (Conroy),0,330,28
14B Midhaan,0,330,21
Fenomenos 2014,0,330,1
West Valley 2014 Boys Martinez Pre-Elite64,0,330,44
AZ Thundercats 2013,0,330,2
Tuzos Chandler 2014 boys,0,330,6
PSG 14B Blue,0,330,37
Pima Surf 2014 B Blue,0,330,9
Phoenix United 2014 Premier,0,330,45
Southeast 2014 Boys Black,0,330,19
Playmaker Futbol Academy 14B Gold,0,330,53
SWSC B2014 ELITE,0,330,1
Temecula FC 2014 quails,0,330,1
AZSC 14B Azanger,0,330,27
SCFC 2014,0,330,2
FC Elite Arizona 2014/15 Boys,0,330,2
14B Hinds,0,330,23
Eagles F.C.,0,330,17
Phoenix Premier FC 14B SW,0,330,25
AZSC 14B Perez,0,330,39
AZ Arsenal 13 Boys Teal 2 Don,0,330,2
14B OMolina,0,330,21
2014 Tuzos Academy FV,0,330,18
Southeast 2013 Boys Green,0,330,3
Borussia Del Mar Soccer Club Boys 2014,0,330,1
FCDA 2013B Red,0,330,1
Select 14/15B Red,0,330,18
Xplosion SC B14,0,330,1
Phoenix Valley Soccer Club boys 2014,0,330,30
B2014 Yee,0,330,1
Deportivo Mexico 14B,0,330,14
14B Geoff,0,330,16
14B JDeutsch Pre-MLS Next,0,330,21
14B Negrete Pre MLS Next,0,330,24
Cimarron FC,0,330,1
Pumas Tucson 14B,0,330,3
CCV STARS 14 Boys Navy LAV,0,330,28
SWSC B2014 GOLD,0,330,1
AZSC 2014B Azanger- Indoor Only,0,330,2
Northwest 2014 Boys,0,330,33
14 Pre-MLSN #2,0,330,36
ALBION SC Las Vegas B13 Academy V,0,330,1
PRFC Southeast Valley 14B Pre-Academy,0,330,32
14B NL #1,0,330,11
Excel Soccer Academy 14B Red,0,330,25
14 ECNL #2,0,330,31
Tuzos 2014 Nava,0,330,17
FCDA 13B Red NL (AZ),0,330,2
CCV STARS 14 Boys Orange LAV,0,330,25
NOS Santos 14 Boys White,0,330,25
AZ Arsenal 14 Boys Teal 2 AP,0,330,23
ASA 014B Magic,0,330,13
CCV Stars 14 Boys North Navy,0,330,22
FC Arizona 14B Black GFC Suenaga U12,0,330,9
RSL-AZ Yuma 14 Boys Rodriguez,0,330,13
2014B West,0,330,46
Phoenix Premier FC 14B X-Factor,0,330,27
Albion CC SM B14 Academy,0,330,1
15B Vyas,0,330,9
Park City SC B2014 Red,0,330,1
Phoenix Premier FC 14B Pre MLS ACADEMY,0,330,2
AZ Arsenal 14 Boys Teal 1,0,330,18
14B Rueda,0,330,23
14,0,330,42
Southeast 2014 Boys Green,0,330,30
Avalanche 14B Gray SL,0,330,1
2014 Boys Blue,0,330,28
United SoCal Redlands B2014 White,0,330,1
Next Level Soccer Southeast 2014 Boys Blue,0,330,23
OJB FC 2014 Boys,0,330,1
Atletico Tuzos Guerrero 2014,0,330,3
Pima Surf Academy Boys 15,0,330,6
PRFC Southeast Valley 14B Predator,0,330,47
PRFC Scottsdale 15B Predator,0,330,9
PRFC West Valley 15B Predator,0,330,8
NOS Santos 15 Boys Blue,0,330,8
PRFC West Valley 14B Pre-Academy,0,330,47
Gila Valley Ninjas,0,330,3
Chelsea 13B,0,330,6
AZ Arsenal Pre-ECNL B14,0,330,38
FC ARIZONA 13 GFC CUEVAS,0,330,3
Dynamos SC 14B SC,0,330,26
Tuzos Royals 14 Pre-Academy,0,330,44
BRAZAS FC 2015 Boys Black,0,330,11
AZ Arsenal 13 Boys Teal DC,0,330,1
B14 Premier,0,330,1
CCV STARS 14 Boys Orange PEO,0,330,8
FSC United 15 Boys,0,330,2
PSG 14B Red,0,330,3
PRFC North Valley 14B Copa,0,330,38
