Team A,Team B,Score A,Score B,Date,Competition,SourceURL
goodyear soccer club 2013 white,casa grande soccer club 2013 gold,2,4,2025-07-29,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,elite arizona 2013 blue,2,0,2025-07-17,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,fountain hills soccer club 2013 blue,0,1,2025-06-28,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,chandler soccer club 2013 red,3,3,2025-02-10,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,az arsenal soccer club 2013 white,5,0,2025-06-04,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,gilbert soccer club 2013 blue,0,1,2024-10-21,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,rsl-az south 2013 blue,3,4,2025-01-01,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,gilbert soccer club 2013 black,2,0,2025-09-09,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,az soccer club 2013 blue,0,5,2025-04-11,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,scottsdale soccer club 2013 red,0,3,2025-07-09,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,fountain hills soccer club 2013 blue,0,4,2025-08-13,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,az soccer club 2013 black,1,3,2025-09-09,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,casa grande soccer club 2013 blue,1,0,2024-12-29,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,queen creek soccer club 2013 red,1,1,2025-07-24,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,elite arizona 2013 blue,1,4,2025-06-25,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,elite arizona 2013 blue,4,4,2025-08-21,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,elite arizona 2013 red,5,3,2025-09-06,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,tucson youth soccer 2013 black,2,4,2025-01-06,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,cave creek soccer club 2013 white,0,0,2024-11-25,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,avondale soccer club 2013 gold,5,0,2025-05-23,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,queen creek soccer club 2013 gold,2,3,2025-08-08,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,paradise valley soccer club 2013 blue,5,3,2025-07-13,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,paradise valley soccer club 2013 gold,1,1,2025-10-01,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,elite arizona 2013 blue,3,3,2025-09-27,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,az soccer club 2013 gold,1,1,2025-06-02,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,queen creek soccer club 2013 gold,3,1,2025-03-17,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,rsl-az west valley 2013 white,3,1,2025-04-02,League Play,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 white,apache junction soccer club 2013 white,3,4,2024-11-04,League Play,https://rankings.gotsport.com/teams/u13_1
fountain hills soccer club 2013 blue,tucson youth soccer 2013 white,5,4,2024-10-28,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,buckeye soccer club 2013 blue,5,2,2025-07-22,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,glendale soccer club 2013 blue,3,5,2025-09-06,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,apache junction soccer club 2013 white,1,0,2025-10-07,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,cave creek soccer club 2013 white,4,0,2025-05-19,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,scottsdale soccer club 2013 blue,4,4,2025-04-03,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,scottsdale soccer club 2013 blue,5,0,2025-09-11,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,goodyear soccer club 2013 blue,2,5,2025-05-30,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,rsl-az north 2013 red,0,5,2025-07-30,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,rsl-az yuma 2013 gold,0,1,2025-01-09,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,rsl-az south 2013 blue,0,4,2025-02-26,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,mesa soccer club 2013 gold,0,4,2024-12-03,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,mesa soccer club 2013 red,5,2,2024-12-02,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,chandler soccer club 2013 white,3,2,2025-05-21,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,chandler soccer club 2013 gold,3,0,2025-03-06,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,buckeye soccer club 2013 white,5,3,2024-12-18,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,tucson youth soccer 2013 white,3,5,2025-09-12,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,paradise valley soccer club 2013 blue,0,1,2025-06-11,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,az arsenal soccer club 2013 gold,4,5,2025-09-15,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,rsl-az west valley 2013 gold,4,2,2024-10-17,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,glendale soccer club 2013 gold,3,5,2025-09-13,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,goodyear soccer club 2013 red,0,3,2025-03-14,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,queen creek soccer club 2013 black,0,1,2025-07-28,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,surprise soccer club 2013 gold,3,2,2025-06-30,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,peoria soccer club 2013 white,0,5,2025-06-22,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,apache junction soccer club 2013 black,5,5,2025-05-08,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,paradise valley soccer club 2013 gold,1,4,2024-11-05,League Play,https://rankings.gotsport.com/teams/u13_2
fountain hills soccer club 2013 blue,tucson youth soccer 2013 white,0,2,2024-12-09,League Play,https://rankings.gotsport.com/teams/u13_2
elite arizona 2013 blue,buckeye soccer club 2013 blue,1,0,2025-06-16,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,elite arizona 2013 red,1,0,2025-04-29,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,buckeye soccer club 2013 white,2,0,2025-01-23,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,chandler soccer club 2013 white,3,3,2025-01-03,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,rsl-az north 2013 red,2,2,2025-06-14,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,apache junction soccer club 2013 white,2,4,2025-06-06,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,goodyear soccer club 2013 red,5,5,2024-12-02,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,tucson youth soccer 2013 white,0,3,2025-08-03,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,az arsenal soccer club 2013 black,1,0,2024-11-18,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,gilbert soccer club 2013 gold,4,4,2025-07-07,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,az arsenal soccer club 2013 gold,5,1,2025-06-06,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,gilbert soccer club 2013 blue,0,1,2025-08-05,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,desert 2013 white,3,3,2025-09-18,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,paradise valley soccer club 2013 blue,5,1,2025-07-16,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,apache junction soccer club 2013 black,4,0,2025-05-29,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,gilbert soccer club 2013 red,2,3,2024-11-13,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,apache junction soccer club 2013 white,2,0,2025-04-01,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,tucson youth soccer 2013 red,2,2,2025-08-25,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,tucson youth soccer 2013 white,2,0,2025-02-02,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,paradise valley soccer club 2013 gold,2,0,2025-05-05,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,tucson youth soccer 2013 white,5,4,2025-04-03,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,phoenix rising 2013 gold,5,4,2025-05-26,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,tucson youth soccer 2013 black,1,1,2025-09-02,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,peoria soccer club 2013 blue,2,4,2025-09-12,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,az soccer club 2013 gold,5,1,2025-08-17,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,desert 2013 white,2,2,2024-11-28,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,chandler soccer club 2013 gold,0,3,2025-08-11,League Play,https://rankings.gotsport.com/teams/u13_3
elite arizona 2013 blue,buckeye soccer club 2013 blue,2,5,2025-08-22,League Play,https://rankings.gotsport.com/teams/u13_3
phoenix premier 2013 white,rsl-az yuma 2013 gold,4,5,2024-11-08,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,apache junction soccer club 2013 white,0,4,2024-11-29,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,casa grande soccer club 2013 blue,1,2,2025-07-31,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,tucson youth soccer 2013 white,2,3,2025-09-21,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,rsl-az west valley 2013 white,3,4,2025-09-27,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,mesa soccer club 2013 black,3,3,2024-12-31,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,rsl-az west valley 2013 white,2,0,2025-04-24,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,cave creek soccer club 2013 gold,1,0,2024-10-22,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,avondale soccer club 2013 gold,2,3,2025-08-22,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,chandler soccer club 2013 white,1,1,2025-08-03,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,gilbert soccer club 2013 white,1,4,2025-04-30,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,scottsdale soccer club 2013 blue,0,1,2025-01-30,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,fountain hills soccer club 2013 blue,4,0,2025-09-19,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,phoenix rising 2013 gold,2,1,2025-03-15,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,goodyear soccer club 2013 red,1,3,2025-08-01,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,tucson youth soccer 2013 white,1,4,2025-10-03,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,paradise valley soccer club 2013 blue,4,5,2024-12-20,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,casa grande soccer club 2013 white,5,2,2025-07-30,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,rsl-az west valley 2013 white,2,2,2025-05-29,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,cave creek soccer club 2013 blue,2,0,2025-02-28,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,scottsdale soccer club 2013 white,1,2,2024-12-19,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,az soccer club 2013 black,3,2,2025-09-09,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,goodyear soccer club 2013 black,2,3,2024-10-15,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,apache junction soccer club 2013 black,4,1,2025-02-20,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,peoria soccer club 2013 white,5,5,2025-06-25,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,elite arizona 2013 blue,4,1,2025-08-07,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,apache junction soccer club 2013 white,5,2,2024-12-21,League Play,https://rankings.gotsport.com/teams/u13_4
phoenix premier 2013 white,glendale soccer club 2013 gold,2,3,2025-02-17,League Play,https://rankings.gotsport.com/teams/u13_4
