Game_ID,Team_A,Team_B,Team_A_Match,Team_B_Match,Reason,Date,Event
22641542,Southeast 2014 Boys Black,Las Vegas Sports Academy U12 Boys Pre MLS Next 2014,Southeast 2014 Boys Black,,Unmatched team(s),9/14/2025,2025 Cactus Kick Off
20628107,Dallas Texans Pre ECNL B14 Salazar,Southeast 2014 Boys Black,,Southeast 2014 Boys Black,Unmatched team(s),5/17/2025,Next Generation Cup 2025
20628102,Southeast 2014 Boys Black,Fenomenos 2014,Southeast 2014 Boys Black,,Unmatched team(s),5/17/2025,Next Generation Cup 2025
20628118,Southeast 2014 Boys Black,Catalyst 14 N,Southeast 2014 Boys Black,,Unmatched team(s),5/16/2025,Next Generation Cup 2025
20356780,AZ Arsenal 13 Boys Teal 2 Don,Southeast 2014 Boys Black,,Southeast 2014 Boys Black,Unmatched team(s),4/13/2025,Rivalries Cup 2025
20356784,Southeast 2014 Boys Black,ALBION SC Las Vegas B13 Academy V,Southeast 2014 Boys Black,,Unmatched team(s),4/12/2025,Rivalries Cup 2025
18965458,Southeast 2014 Boys Black,Phoenix United 14 Elite,Southeast 2014 Boys Black,,Unmatched team(s),2/14/2025,Presidents' Day Tournament 2025
17825643,FC ARIZONA 13 GFC CUEVAS,Southeast 2014 Boys Black,,Southeast 2014 Boys Black,Unmatched team(s),10/13/2024,2024 Scottsdale Cup
22426331,14B GSA,Phoenix United 2015 Elite,14B GSA,,Unmatched team(s),9/7/2025,Tuzos Challenge 2025
22380961,14B GSA,Phoenix United 2015 Elite,14B GSA,,Unmatched team(s),8/30/2025,Phoenix Rising Cup 2025
19916708,14B GSA,14 ECNL #2,14B GSA,,Unmatched team(s),4/26/2025,2025 Arizona Presidents Cup
20024179,14B GSA,Phoenix United 14 Elite,14B GSA,,Unmatched team(s),3/30/2025,Tuzos Challenge 2025
20024171,14B GSA,Chelsea 13B,14B GSA,,Unmatched team(s),3/29/2025,Tuzos Challenge 2025
18969285,CCV STARS 14 Boys Orange PEO,14B GSA,,14B GSA,Unmatched team(s),2/8/2025,Desert Classic 2025
17674850,13B Flores,14B GSA,,14B GSA,Unmatched team(s),9/15/2024,2024 Cactus Kick Off
15600190,14B GSA,Chelsea 13B,14B GSA,,Unmatched team(s),4/21/2024,Schools Out For Summer 2024
15600184,Juventus,14B GSA,,14B GSA,Unmatched team(s),4/20/2024,Schools Out For Summer 2024
22426328,Phoenix United 2015 Elite,Tuzos Royals 2014,,Tuzos Royals 2014,Unmatched team(s),9/6/2025,Tuzos Challenge 2025
21614317,City SC Central Valley AV-B2014,Tuzos Royals 2014,,Tuzos Royals 2014,Unmatched team(s),8/9/2025,2025 Los Angeles Cup
21614319,Tuzos Royals 2014,Desert Communities Soccer Club,Tuzos Royals 2014,,Unmatched team(s),8/9/2025,2025 Los Angeles Cup
